> Measurement made Thu Nov 14 16:27:41 2024
> Main magnet sweep  7.00000 to  9.50000 Tesla at  5.999 mT/s 
> Hysteresis correction (approximate) has been applied. 
> Main Magnet at  7.00000 T 
> ITC set at    0.000 K, T1: 288.600 K, T2: 509.100 K, T3: 324.100 K 
> Sample Temperature could not be read directly 
> LockIn1:   2 mV, Mod Freq 41680.000000 Hz, Phase 152.580000 degr, Ampl. 0.200000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Normal .
> LockIn2:   2 mV, Mod Freq 41680.600000 Hz, Phase 153.030000 degr, Ampl. 0.010000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Low Noise .
> Modulation: 32.084600 mA 
> Source Freq 240.000 GHz (dial 15.00), LO Freq 234.000 GHz (dial 3760) 
> Martin Pupplet setting 7.0 mm, Attenuator Grid 34 dB
> Source attn 10 dB, Diode reading (-20dB) 0 mV
> Reference attn 0 dB, Diode reading (-30dB) 8 mV
Field  Signal1_X  Signal2_X    Signal1_Y   Signal2_Y    
T  mV mV mV mV 
RT YMnSn  large thin crystal
Orientation 265.5 deg from perp plane (875+1)
With preamp filter.(3k-100kHz)
-
-

>BEGIN
      7.0000126     -0.00417235       0.0036955      0.00417235      0.00154973 
       7.000044     -0.00405314      0.00417235      0.00429156      0.00107289 
       7.000102     -0.00393394       0.0047684      0.00452998      0.00143052 
      7.0001831     -0.00429156      0.00464919      0.00417235      0.00190736 
      7.0002865     -0.00464919       0.0036955      0.00393394       0.0023842 
      7.0004114     -0.00441077      0.00309946       0.0036955      0.00202657 
      7.0005373     -0.00429156      0.00381473      0.00381473      0.00202657 
       7.000723     -0.00452998      0.00488761      0.00417235      0.00178815 
      7.0009083     -0.00452998      0.00512603      0.00441077      0.00178815 
      7.0011124     -0.00333787      0.00488761      0.00452998      0.00214578 
      7.0013347     -0.00274183      0.00524524      0.00417235      0.00250341 
      7.0015745      -0.0036955      0.00548366      0.00417235       0.0023842 
      7.0018314     -0.00405314      0.00524524      0.00452998      0.00190736 
      7.0021046     -0.00393394      0.00524524      0.00452998      0.00178815 
      7.0023559      -0.0036955      0.00524524      0.00441077      0.00190736 
      7.0026585     -0.00393394      0.00500682      0.00429156      0.00202657 
      7.0029345     -0.00381473      0.00464919      0.00429156      0.00202657 
      7.0032645     -0.00321867      0.00488761      0.00405314      0.00190736 
      7.0036085     -0.00321867      0.00512603       0.0036955      0.00190736 
      7.0039661      -0.0036955      0.00500682      0.00405314      0.00190736 
