> Measurement made Thu Jun 22 22:54:27 2023
> Main magnet sweep  6.20000 to  8.20000 Tesla at  3.999 mT/s 
> Hysteresis correction (approximate) has been applied. 
> Main Magnet at  6.49885 T 
> ITC set at  100.000 K, T1: 100.000 K, T2: 509.100 K, T3: 324.100 K 
> For Cernox1 0.601000 Ohm corresponds to T = 0.000000 K at 0 T 
> LockIn1:   1 mV, Mod Freq 39610.000000 Hz, Phase 175.980000 degr, Ampl. 0.100000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Normal .
> LockIn2:   1 mV, Mod Freq 39609.800000 Hz, Phase 172.460000 degr, Ampl. 0.010000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Normal .
> Modulation: 22.776000 mA 
> Source Freq 240.000 GHz (dial 15.00), LO Freq 234.000 GHz (dial 3760) 
> Martin Pupplet setting 7.0 mm, Attenuator Grid 15 dB
> Source attn 10 dB, Diode reading (-20dB) 0.2 mV
> Reference attn 4 dB, Diode reading (-30dB) 10 mV
Field  Signal1_X  Signal2_X    Signal1_Y   Signal2_Y    ADC   ADC   
T  mV mV mV mV V V 
YMn6Sn6  FIeld perp plane ~5x4x0.5 mm
100K (field cooled)
-
-

>BEGIN
      8.1999935      -0.0452402      -0.0283123       0.0128747        0.035763      0.24859035      0.36806238 
      8.1999669      -0.0451806      -0.0283123       0.0131131       0.0359418      0.24794702      0.36850124 
      8.1999263      -0.0448229      -0.0277163       0.0125766       0.0369551      0.24860927      0.36846889 
      8.1998704      -0.0445845      -0.0271798       0.0110865       0.0367167      0.24777184       0.3687051 
      8.1997897      -0.0452998       -0.027001       0.0108481       0.0364783      0.24752098      0.36847865 
      8.1996908      -0.0446441      -0.0274183      0.00995403       0.0362399      0.24775353      0.36848964 
      8.1995754      -0.0452402      -0.0279547       0.0101925       0.0364187      0.24740074      0.36855007 
      8.1994583      -0.0440481      -0.0284315        0.011623       0.0363591      0.24750328      0.36834925 
      8.1993285        -0.04375       -0.029266       0.0127555       0.0358226      0.24756798      0.36828394 
      8.1991864      -0.0444057      -0.0291468       0.0127555       0.0358822      0.24711631      0.36871303 
      8.1990324      -0.0457766      -0.0283123       0.0120402       0.0366571      0.24742882      0.36868923 
      8.1988668      -0.0447037      -0.0280143       0.0124574       0.0368955      0.24761193      0.36859951 
      8.1986901       -0.045419      -0.0274183       0.0130535       0.0373723      0.24776086      0.36895413 
      8.1985026      -0.0452402      -0.0279547       0.0128151       0.0373127      0.24775109      0.36870266 
      8.1983047      -0.0450017      -0.0280739       0.0130535       0.0362399      0.24853481      0.36886013 
      8.1980968      -0.0466111      -0.0276567       0.0128747       0.0349286      0.24732994      0.36938322 
      8.1978791      -0.0467899      -0.0275375       0.0128747       0.0348093      0.24732444      0.36929594 
       8.197652      -0.0450613      -0.0278951       0.0135899        0.035763      0.24666158      0.36915494 
       8.197385      -0.0438096      -0.0280143        0.014186       0.0361803      0.24790307      0.36908597 
       8.197139      -0.0433328      -0.0278355       0.0149608       0.0360014      0.24753014      0.36907926 
      8.1968845       -0.043154      -0.0281335       0.0153781       0.0357034      0.24681539      0.36930387 
      8.1966218      -0.0447037      -0.0277759       0.0162722       0.0353458      0.24722861        0.369064 
      8.1963512      -0.0444653      -0.0278355       0.0160934       0.0350478      0.24842921      0.36854274 
       8.196073      -0.0444653      -0.0277759       0.0145436       0.0340941      0.24783776       0.3689761 
      8.1958243      -0.0438693      -0.0271798       0.0135899       0.0342133      0.24756859      0.36897244 
      8.1955325      -0.0445845      -0.0262858       0.0138879       0.0345113      0.24703635      0.36873745 
      8.1952337      -0.0447633      -0.0265242        0.014782       0.0349882      0.24686605      0.36955351 
      8.1948887        -0.04375      -0.0274183       0.0141264       0.0353458      0.24695944      0.36951689 
      8.1946163      -0.0435712      -0.0287296       0.0128151       0.0365975      0.24644002      0.36960723 
      8.1942981      -0.0449421        -0.02867       0.0123978       0.0368955      0.24608539      0.36969207 
      8.1939738      -0.0454786       -0.028968       0.0123382       0.0361206      0.24728477      0.36937101 
      8.1936437      -0.0448825      -0.0287892       0.0126362       0.0351074      0.24670858      0.36995514 
      8.1933079      -0.0444653      -0.0287296       0.0122786       0.0349882      0.24648701      0.36997833 
      8.1929667      -0.0445845      -0.0288488       0.0132919       0.0353458      0.24584246      0.36955596 
      8.1926202      -0.0444653      -0.0291468       0.0151992       0.0359418      0.24660237      0.37023103 
      8.1922685      -0.0439289      -0.0289084       0.0156165       0.0371339      0.24691977      0.36985321 
       8.191912       -0.043154      -0.0283123       0.0163318         0.03773      0.24651021      0.37013215 
       8.191504      -0.0435116      -0.0276567       0.0153185       0.0379088      0.24774499      0.37001129 
      8.1911375      -0.0448825      -0.0280739       0.0148416       0.0373723      0.24674764      0.37042512 
      8.1907217      -0.0454786      -0.0283719       0.0153185       0.0366571      0.24745262      0.37008209 
      8.1902975      -0.0451806      -0.0281335       0.0138879        0.035763      0.24635823      0.36997894 
      8.1898681      -0.0441673      -0.0271798       0.0126362       0.0353458      0.24769616      0.36905484 
      8.1894831       -0.043452      -0.0273586       0.0127555        0.035763      0.24894681      0.36877407 
      8.1890944      -0.0430348      -0.0280143       0.0138283       0.0364187      0.24864162      0.36877529 
      8.1887019      -0.0435712      -0.0285507       0.0139475       0.0376108       0.2490109      0.36884915 
      8.1883059      -0.0427368      -0.0287892       0.0135899       0.0367763      0.24864467      0.36945097 
      8.1879064      -0.0421407      -0.0293256       0.0128151       0.0361206      0.24797815      0.36947966 
      8.1875553      -0.0436308      -0.0284315       0.0126362       0.0366571      0.24755516      0.36908353 
      8.1871496      -0.0433328      -0.0279547       0.0126958       0.0374916      0.24706137      0.37008759 
      8.1867408      -0.0430348      -0.0280143       0.0125766       0.0370743      0.24647176      0.37020844 
      8.1862761      -0.0436308      -0.0281931       0.0127555       0.0358822      0.24726218       0.3701175 
      8.1858609      -0.0439289      -0.0277163       0.0130535       0.0349286      0.24863491      0.36959319 
       8.185443      -0.0430348      -0.0280739       0.0131131       0.0344517      0.24827174      0.36904752 
      8.1850763      -0.0424983      -0.0287892       0.0133515       0.0356438       0.2478695      0.36965972 
      8.1845989      -0.0432732      -0.0285507       0.0134111       0.0364783      0.24758385      0.36941801 
      8.1842277      -0.0438096      -0.0281931       0.0129939       0.0369551      0.24825526      0.36976836 
      8.1837996      -0.0441673      -0.0280739       0.0125766       0.0369551      0.24604755      0.37023408 
      8.1833692      -0.0451209      -0.0278355       0.0133515       0.0361206      0.24687155      0.37015778 
      8.1828809      -0.0446441      -0.0275375       0.0145436       0.0355246      0.24761681      0.36947844 
      8.1824456      -0.0443461      -0.0275971        0.014484       0.0352862      0.24797998       0.3694528 
      8.1820082      -0.0450017      -0.0277759       0.0138283        0.036061      0.24629536      0.36971587 
      8.1815158      -0.0451209      -0.0274779       0.0138879       0.0362399      0.24711814      0.36942351 
      8.1810741      -0.0453594      -0.0274183        0.014186       0.0365975      0.24572893      0.37005585 
      8.1806304       -0.045717      -0.0278355       0.0136495       0.0370147      0.24714377      0.36991852 
      8.1801848      -0.0458362      -0.0284911       0.0126958       0.0369551       0.2459975      0.36997223 
      8.1797374      -0.0458362       -0.028968       0.0132919       0.0362399      0.24627033      0.37007538 
      8.1792307      -0.0458362      -0.0290872       0.0136495       0.0364783       0.2473983      0.36984771 
      8.1787796       -0.046015      -0.0294448       0.0135303       0.0369551      0.24562212      0.37028474 
       8.178327      -0.0460746        -0.02867       0.0142456       0.0371935      0.24610187      0.36977691 
      8.1778727      -0.0459554      -0.0277163       0.0142456       0.0370147      0.24621357      0.36995697 
       8.177417      -0.0445249      -0.0275971       0.0135899       0.0370743      0.24608844      0.36973663 
      8.1769598      -0.0433328      -0.0274183       0.0118614       0.0367763      0.24617328        0.369653 
      8.1765011      -0.0438096      -0.0275375       0.0120402       0.0364783      0.24518754      0.37041047 
      8.1760411      -0.0439885      -0.0286103       0.0128747       0.0367763      0.24736473       0.3697702 
      8.1755797      -0.0441673      -0.0291468       0.0134707       0.0370147      0.24634846      0.36986419 
      8.1751171      -0.0451806      -0.0282527       0.0128151       0.0369551      0.24596088      0.37104831 
      8.1745937      -0.0457766      -0.0280739       0.0128747       0.0356438       0.2465688      0.37069369 
      8.1741285      -0.0460746      -0.0289084        0.012219        0.035167      0.24636372      0.36989044 
      8.1736621      -0.0433328       -0.029266       0.0123978       0.0358822      0.24709616      0.36995025 
      8.1731946      -0.0417831      -0.0291468       0.0138879       0.0362995      0.24799341      0.36983612 
       8.172726      -0.0417831      -0.0283719        0.015855       0.0362995      0.24840541      0.36943266 
      8.1722564      -0.0427368      -0.0275375       0.0157953        0.035763      0.24638997      0.37000153 
      8.1717858      -0.0427368      -0.0274183       0.0143052       0.0353458      0.24783471      0.36930631 
      8.1712575       -0.042856       -0.027299       0.0142456       0.0361803      0.24824793      0.36962249 
      8.1708416      -0.0423791      -0.0268818       0.0135899       0.0367763      0.24834925      0.36942228 
      8.1703681      -0.0421407      -0.0272394       0.0131727       0.0366571      0.24809107      0.36939665 
      8.1698938      -0.0429156      -0.0278355       0.0131131       0.0365379      0.24831812      0.36949187 
      8.1694186      -0.0442865      -0.0281335       0.0127555       0.0358822      0.24677694      0.37027924 
      8.1689425      -0.0461342      -0.0278355       0.0138283        0.036061      0.24887295      0.36893521 
      8.1684657      -0.0466111      -0.0269414       0.0146628       0.0361803      0.24836329      0.36893216 
      8.1679881      -0.0464323      -0.0268818       0.0139475       0.0374319      0.24749107      0.36962004 
      8.1675098      -0.0448825       -0.027299       0.0133515       0.0370147      0.24758202      0.36931913 
      8.1670307        -0.04375       -0.027299       0.0138283       0.0362995      0.24923612      0.36944548 
      8.1664934       -0.043452       -0.027001       0.0143052        0.036061      0.24848048      0.36903165 
      8.1660705       -0.043154      -0.0276567       0.0143648       0.0361803      0.24795373      0.36930998 
      8.1655895      -0.0423791      -0.0278355       0.0133515        0.035763      0.24677389      0.36969573 
      8.1651078      -0.0414851      -0.0276567       0.0125766       0.0355842      0.24746239      0.36914457 
      8.1646255      -0.0407698      -0.0274779        0.011921       0.0357034      0.24784692      0.36940764 
      8.1641426      -0.0416043      -0.0274183       0.0127555       0.0357034      0.24720298       0.3698294 
      8.1636011      -0.0426772      -0.0276567       0.0138879       0.0357034      0.24873012      0.36899625 
       8.163055      -0.0429156      -0.0280739       0.0134707       0.0351074      0.24814478      0.36912809 
      8.1625121      -0.0440481      -0.0278355       0.0127555       0.0340345       0.2484994      0.36909452 
      8.1620269        -0.04375      -0.0277163       0.0138879       0.0335576      0.24867946       0.3689816 
      8.1615411      -0.0441077      -0.0279547       0.0130535       0.0345113      0.24825892      0.36871364 
      8.1610549        -0.04375      -0.0276567       0.0133515       0.0362995      0.24786828      0.36898953 
      8.1605683      -0.0441077      -0.0271798       0.0137091       0.0379088      0.24877651      0.36899625 
      8.1600812      -0.0442865       -0.027299       0.0132323        0.038624      0.24779015       0.3688052 
      8.1595937      -0.0430944      -0.0281335       0.0134111       0.0381472      0.24769921       0.3690701 
      8.1591057      -0.0427368      -0.0278355       0.0131131       0.0370743      0.24756737      0.36867946 
      8.1586174      -0.0416043      -0.0277163       0.0113845       0.0364187      0.24800989      0.36875515 
      8.1581287      -0.0423195      -0.0285507       0.0106693       0.0362399      0.24757042      0.36893277 
      8.1575769       -0.042856      -0.0287892       0.0115634       0.0355842      0.24725303      0.36881008 
      8.1570874      -0.0429752      -0.0279547       0.0105501       0.0361803      0.24673238      0.36927274 
      8.1565976      -0.0430348      -0.0274779       0.0109077       0.0367763       0.2472158      0.36884243 
