> Measurement made Fri Jun 23 17:10:22 2023
> Main magnet sweep  0.00000 to 12.50000 Tesla at  5.999 mT/s 
> Hysteresis correction (approximate) has been applied. 
> Main Magnet at  0.00000 T 
> ITC set at  100.000 K, T1: 100.020 K, T2: 509.100 K, T3: 324.100 K 
> For Cernox1 56.872000 Ohm corresponds to T = 999.000000 K at 0 T 
> LockIn1:   1 mV, Mod Freq 39610.000000 Hz, Phase 175.980000 degr, Ampl. 0.080000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Normal .
> LockIn2:   1 mV, Mod Freq 39609.800000 Hz, Phase 172.460000 degr, Ampl. 0.010000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Normal .
> Modulation: 18.648000 mA 
> Source Freq 240.000 GHz (dial 15.00), LO Freq 234.000 GHz (dial 3760) 
> Martin Pupplet setting 7.0 mm, Attenuator Grid 15 dB
> Source attn 10 dB, Diode reading (-20dB) 0.2 mV
> Reference attn 4 dB, Diode reading (-30dB) 10 mV
Field  Signal1_X  Signal2_X    Signal1_Y   Signal2_Y    ADC   ADC   
T  mV mV mV mV V V 
YMn6Sn6  FIeld REALLY perp plane ~5x4x0.5 mm
100 K (zero-field cooled)
After seeing likely sample movement. Sample was not perp field.
Mounted anew and cooled (grease frozen) in zero field. 100K measurement
-

>BEGIN
  1.2559254e-05      0.00327827     -0.00327827      -0.0011921      0.00524524      0.65546678     -0.46098209 
  4.9677676e-05      0.00256301     -0.00202657     -0.00035763      0.00542405      0.65590014      -0.4610065 
  0.00011053725      0.00292064     -0.00137091      0.00143052      0.00548366      0.65502304     -0.46117069 
   0.0001943472     0.000715259      -0.0011921      0.00101329      0.00447038      0.65482284     -0.46100406 
  0.00030034311     0.000178815     -0.00154973      0.00208618      0.00345708      0.65514756     -0.46106326 
  0.00042778599     0.000298025     -0.00286104       0.0012517      0.00387433      0.65482711     -0.46121158 
   0.0005759615    -0.000178815      -0.0036359    -5.96051e-05      0.00405314      0.65482162     -0.46143254 
  0.00074417907    -0.000178815     -0.00315906    -0.000178815      0.00441077      0.65573107     -0.46073489 
  0.00093177114     5.96051e-05     -0.00196697     -0.00023842      0.00405314      0.65636586     -0.46061464 
   0.0011380924     -0.00101329     -0.00107289      0.00178815      0.00315906      0.65560717     -0.46113895 
   0.0013925215     5.96051e-05      -0.0011921      0.00292064       0.0036359      0.65605823     -0.46106876 
   0.0016366482     0.000417234     -0.00184775      0.00256301      0.00393394      0.65595813      -0.4614124 
    0.001897621      0.00059605      -0.0023246      0.00274183      0.00405314      0.65520981     -0.46063234 
   0.0022092182    -0.000178815     -0.00160933      0.00262262      0.00315906      0.65559069     -0.46110172 
   0.0025040721      0.00023842     -0.00137091               0      0.00292064       0.6562859     -0.46112857 
   0.0028140825      0.00298025     -0.00172854     -0.00137091       0.0036955      0.65519883     -0.46108341 
   0.0031813339       0.0036955     -0.00274183      -0.0012517      0.00488761      0.65508957     -0.46087527 
   0.0035665294       0.0023842     -0.00292064     -0.00101329      0.00506642      0.65479904     -0.46121097 
   0.0039660826      0.00149012     -0.00208618     -0.00178815      0.00530484      0.65529099     -0.46131413 
   0.0043366979     0.000476841     -0.00107289     -0.00184775      0.00560287      0.65511704      -0.4607532 
   0.0047698923    -5.96051e-05     -0.00011921     -0.00149012      0.00596049       0.6546672     -0.46051393 
   0.0051668864      0.00184775     0.000178815    -5.96051e-05      0.00619891      0.65472823     -0.46073428 
   0.0055756349       0.0011921     0.000178815      0.00023842      0.00548366      0.65530259      -0.4613477 
   0.0059957463     -0.00011921    -0.000417234      0.00101329      0.00518563      0.65512497     -0.46108951 
   0.0064827965     5.96051e-05    -0.000715259      0.00262262      0.00560287      0.65514512     -0.46137028 
   0.0069258443     0.000655655     -0.00143052     0.000536445      0.00524524      0.65602832     -0.46156377 
   0.0073791125      0.00101329      -0.0023842    -0.000536445      0.00375511      0.65571459      -0.4618659 
   0.0078984868      0.00059605     -0.00226499     0.000774864       0.0036955      0.65522263     -0.46132694 
   0.0083723105     0.000178815     -0.00208618     0.000894073       0.0036955      0.65609546     -0.46135441 
   0.0089178041    -0.000655655     -0.00214578      0.00184775      0.00351669      0.65644154     -0.46141484 
   0.0094108286     -0.00107289      -0.0023842      0.00202657      0.00458959      0.65706473     -0.46164617 
   0.0099124088      0.00059605      -0.0023842       0.0012517      0.00536445      0.65755058     -0.46163152 
     0.01042226      0.00178815     -0.00137091      0.00023842       0.0060797      0.65777093     -0.46237007 
    0.010940106      0.00202657     -0.00131131    -0.000655655      0.00655654      0.65734367     -0.46219672 
    0.011465682      0.00149012     -0.00172854      0.00011921      0.00625852      0.65834773     -0.46222907 
    0.012063185      0.00035763     -0.00131131     0.000298025      0.00512603      0.65830439     -0.46271187 
    0.012674076     0.000417234     -0.00131131     -0.00059605      0.00506642      0.65909177     -0.46234443 
    0.013223023       0.0023842     -0.00196697     0.000655655      0.00506642      0.65867916      -0.4624958 
    0.013778664       0.0023246     -0.00250341     0.000894073      0.00518563      0.65919736     -0.46286447 
    0.014413181     0.000834469      -0.0023842     0.000953682      0.00411275      0.65950682     -0.46288705 
    0.015051038      0.00172854      -0.0024438      0.00250341       0.0023246      0.65923826     -0.46264962 
    0.015701053       0.0023246     -0.00268222      0.00333787      0.00274183      0.65939207     -0.46295419 
    0.016283457      0.00339748     -0.00327827      0.00339748      0.00351669      0.65940184     -0.46258614 
    0.016947095      0.00375511     -0.00315906      0.00256301      0.00429156      0.66043947     -0.46307138 
    0.017541148       0.0023842     -0.00262262      0.00143052      0.00381473      0.66084414      -0.4629725 
    0.018140391       0.0023246     -0.00262262      0.00226499      0.00292064      0.66140751     -0.46278268 
    0.018744653      0.00011921     -0.00184775       0.0036955      0.00214578      0.66153203     -0.46314035 
    0.019427177     -0.00166894    -0.000774864      0.00298025      0.00220539      0.66145817     -0.46329417 
     0.02004153      -0.0024438    -0.000417234      0.00166894      0.00226499       0.6620838     -0.46346751 
    0.020660398     -0.00303985    -0.000715259               0      0.00357629      0.66250618      -0.4632844 
    0.021283631     -0.00274183    -0.000655655    -0.000655655      0.00435117      0.66197089     -0.46362926 
    0.021911082     -0.00268222    -0.000417234      0.00101329      0.00405314      0.66233589     -0.46352672 
    0.022623735     -0.00178815      -0.0011921      0.00196697      0.00250341       0.6629841     -0.46348888 
    0.023336276    -0.000894073      -0.0024438      0.00333787      0.00143052      0.66308298     -0.46400403 
    0.024058697     0.000655655     -0.00345708       0.0023842      0.00208618      0.66360607     -0.46461867 
    0.024785748      0.00339748     -0.00327827      0.00107289      0.00321867      0.66311716     -0.46427686 
     0.02551205      0.00226499     -0.00131131      0.00101329      0.00423196       0.6637434     -0.46452345 
    0.026164112      0.00154973    -0.000834469      0.00184775      0.00482801      0.66409497     -0.46483535 
    0.026903543      0.00149012     -0.00154973     -0.00023842       0.0047088      0.66434645     -0.46506729 
    0.027646965      0.00101329     -0.00178815     -0.00166894      0.00429156         0.66339     -0.46502274 
    0.028309244     0.000834469      -0.0012517     0.000417234      0.00441077      0.66456801     -0.46527726 
    0.028974441    -0.000715259    -0.000536445     5.96051e-05       0.0047684      0.66409253     -0.46523148 
    0.029722807    -0.000953682    -0.000774864      0.00059605       0.0047684      0.66404126     -0.46534257 
    0.030393874    -0.000476841     -0.00101329     0.000894073      0.00596049      0.66391797     -0.46534806 
    0.031067566     0.000536445     -0.00172854     0.000417234      0.00536445      0.66348277     -0.46584124 
    0.031830532      0.00023842      -0.0023842    -0.000476841      0.00536445      0.66331126      -0.4660567 
    0.032591164       0.0011921      -0.0023842     -0.00137091      0.00578168      0.66260323     -0.46477309 
    0.033272796      0.00149012      -0.0023246      0.00059605      0.00542405      0.66375256     -0.46559343 
    0.033956701      0.00137091      -0.0024438     0.000715259      0.00512603      0.66374828     -0.46537797 
    0.034730781     5.96051e-05     -0.00208618     0.000774864      0.00387433      0.66335337     -0.46494217 
    0.035507552     -0.00154973    -0.000894073      0.00208618      0.00327827      0.66428297     -0.46494461 
    0.036281378    -0.000894073     -0.00023842       0.0011325      0.00381473      0.66507645     -0.46553667 
    0.037063217    -0.000536445     0.000178815    -0.000178815      0.00387433      0.66508194     -0.46560686 
    0.037758347     -0.00023842     -0.00107289    -0.000953682      0.00441077       0.6651735     -0.46592364 
    0.038544641      0.00274183     -0.00208618     0.000536445      0.00411275      0.66419752     -0.46531938 
    0.039327567      0.00512603     -0.00274183      0.00154973      0.00452998      0.66456069     -0.46512772 
    0.040028404       0.0023246     -0.00333787      0.00154973      0.00482801      0.66486587     -0.46512589 
    0.040730874      0.00011921     -0.00327827       0.0012517      0.00488761      0.66543657     -0.46579302 
    0.041525153      0.00101329     -0.00333787     0.000834469       0.0047684      0.66564714     -0.46499161 
    0.042230922     0.000715259     -0.00196697      0.00214578      0.00494721      0.66622883     -0.46550066 
    0.043023125    -0.000953682    -0.000834469      0.00429156      0.00435117      0.66610431     -0.46577288 
    0.043731952    -0.000774864    -0.000536445      0.00298025      0.00387433      0.66573016     -0.46535539 
    0.044442146     -0.00107289    -0.000298025      0.00190736      0.00458959      0.66599139     -0.46520096 
    0.045153663     0.000298025    -0.000774864      0.00184775      0.00548366      0.66547441     -0.46503983 
    0.045866458     0.000417234     -0.00137091      0.00160933      0.00578168      0.66532365     -0.46534928 
    0.046580488     -0.00011921     -0.00214578      0.00202657      0.00554326      0.66550188     -0.46541337 
    0.047387347    -0.000953682     -0.00208618       0.0024438      0.00542405      0.66528153     -0.46497574 
    0.048103872     -0.00101329     -0.00131131       0.0036955      0.00429156      0.66588275      -0.4648439 
    0.048821508      -0.0023246    -0.000655655      0.00309946      0.00512603      0.66537126     -0.46469497 
    0.049540219     -0.00357629     -0.00196697      0.00178815      0.00649694      0.66545244     -0.46484756 
    0.050259969     -0.00131131     -0.00220539      0.00202657      0.00578168        0.666451      -0.4654445 
     0.05107305      0.00011921    -0.000953682       0.0024438      0.00458959      0.66700644     -0.46535417 
    0.051794896    -0.000953682    -0.000655655       0.0024438      0.00333787      0.66680074     -0.46553789 
    0.052517677    -0.000715259     -0.00149012       0.0024438      0.00262262      0.66689779     -0.46536637 
    0.053328261      -0.0011921     -0.00226499      0.00345708      0.00292064      0.66687521     -0.46483779 
    0.054052921    -0.000894073     -0.00292064      0.00154973      0.00321867      0.66645833     -0.46441969 
    0.054871344     -0.00059605     -0.00226499     0.000655655      0.00357629      0.66705832     -0.46450331 
    0.055597759    -0.000178815     -0.00160933     0.000894073      0.00441077       0.6662154      -0.4646144 
    0.056324955      0.00035763     -0.00160933       0.0011921      0.00554326      0.66661092     -0.46468459 
    0.057146139      0.00208618     -0.00220539      0.00143052      0.00590089      0.66621906     -0.46463759 
