> Measurement made Fri Jun 23 12:42:24 2023
> Main magnet sweep  6.50000 to  8.50000 Tesla at  5.999 mT/s 
> Hysteresis correction (approximate) has been applied. 
> Main Magnet at  6.50000 T 
> ITC set at   10.000 K, T1:  10.004 K, T2: 509.100 K, T3: 324.100 K 
> For Cernox1 77.177000 Ohm corresponds to T = 999.000000 K at 0 T 
> LockIn1:   1 mV, Mod Freq 39610.000000 Hz, Phase 175.980000 degr, Ampl. 0.080000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Normal .
> LockIn2:   1 mV, Mod Freq 39609.800000 Hz, Phase 172.460000 degr, Ampl. 0.010000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Normal .
> Modulation: 21.947900 mA 
> Source Freq 240.000 GHz (dial 15.00), LO Freq 234.000 GHz (dial 3760) 
> Martin Pupplet setting 7.0 mm, Attenuator Grid 15 dB
> Source attn 10 dB, Diode reading (-20dB) 0.2 mV
> Reference attn 4 dB, Diode reading (-30dB) 10 mV
Field  Signal1_X  Signal2_X    Signal1_Y   Signal2_Y    ADC   ADC   
T  mV mV mV mV V V 
YMn6Sn6  FIeld perp plane ~5x4x0.5 mm
10 K (field cooled)
-
-

>BEGIN
      8.4999874       0.0268818      -0.0198485       0.0321867      0.00101329    0.0058326975      0.18525529 
      8.4999503       0.0276567       -0.019312       0.0320675     0.000655655    0.0023853267      0.17935179 
      8.4998895       0.0271798      -0.0188948       0.0327232     0.000178815    0.0062599567      0.18808557 
      8.4998057       0.0256897       -0.019014        0.033498    -0.000536445    0.0046131779      0.18346324 
      8.4996845       0.0239612      -0.0199677       0.0330212    -0.000655655    0.0040876492      0.18567095 
      8.4995362       0.0245572      -0.0201465       0.0323656    -0.000536445    0.0039411603      0.18200507 
      8.4993829       0.0249149       -0.021279       0.0336769     -0.00137091    0.0050483718       0.1848677 
      8.4992096       0.0244976       -0.021279       0.0345113     -0.00137091   0.00084475234      0.17776055 
      8.4990172       0.0240804      -0.0209213       0.0336769      -0.0011921    0.0036542863      0.18628803 
      8.4987796       0.0240804      -0.0207425        0.033498    -0.000655655   0.00052186651      0.17820124 
      8.4985485         0.02414      -0.0209213       0.0340345     -0.00101329    0.0030066836      0.18877834 
      8.4983002       0.0247956      -0.0206829       0.0358822     -0.00131131  -0.00058717612      0.17864376 
      8.4980351       0.0245572      -0.0199081       0.0369551     -0.00149012    0.0039649648      0.18732566 
      8.4977539       0.0248553      -0.0187756       0.0370743     -0.00143052    0.0010327464      0.17903867 
      8.4974571       0.0246764      -0.0186564       0.0353458    -0.000953682    0.0011761834      0.18400769 
      8.4971452       0.0252129      -0.0187756       0.0339749     -0.00011921   0.00056031983      0.18126041 
      8.4968187       0.0257493      -0.0184776       0.0345709      0.00035763   -0.0004791406      0.18229133 
      8.4964335        0.026405      -0.0180603       0.0341537     -0.00023842    0.0014215522      0.18192083 
      8.4960775       0.0260473      -0.0190736       0.0332596     -0.00023842   0.00021179846      0.18159062 
      8.4956633       0.0265838      -0.0201465       0.0333788      0.00011921  -0.00011291849      0.17803522 
      8.4952801       0.0265838      -0.0191928       0.0336769    -0.000953682    0.0020184942      0.18436598 
      8.4948846       0.0268222      -0.0193716       0.0344517     -0.00166894   -0.0007043672      0.17884884 
      8.4944773       0.0271202      -0.0194908       0.0341537      -0.0024438    0.0023426008      0.18786401 
      8.4940043        0.026703       -0.019312       0.0334384     -0.00280143   -0.0012524796      0.17629994 
      8.4935172       0.0260473      -0.0194908       0.0332596     -0.00220539    0.0018530839      0.18855861 
      8.4930742       0.0264646      -0.0204445       0.0339749     -0.00137091    0.0026947844      0.18764672 
      8.4926209       0.0265242      -0.0206233       0.0338557    -0.000774864   0.00065736869      0.17852962 
      8.4921577        0.026107      -0.0194908       0.0327828    -0.000476841   0.00088198492      0.18526749 
       8.491685       0.0261666      -0.0197889        0.032902    -0.000536445    0.0022400586      0.18472671 
      8.4911447        0.026107      -0.0203253       0.0338557      -0.0011921   0.00060975982       0.1840376 
      8.4906528       0.0258089      -0.0199081       0.0336769     -0.00149012      0.00239082      0.18288095 
      8.4901523       0.0252129      -0.0192524       0.0336769     -0.00202657    0.0017511521      0.18498062 
      8.4896435       0.0259877      -0.0190736       0.0340941     -0.00184775    0.0034485916      0.18622211 
      8.4890599       0.0272394      -0.0192524       0.0337961    -0.000834469   0.00073244423      0.17659474 
      8.4885343       0.0280143      -0.0198485       0.0339749    -0.000536445    0.0017853328      0.18150761 
      8.4880013       0.0276567      -0.0204445       0.0330808      -0.0012517    0.0024787133      0.18645955 
      8.4873913       0.0271202      -0.0214578        0.032306     -0.00262262    0.0014355907      0.18060854 
      8.4868432       0.0265838       -0.020981       0.0308158     -0.00387433    0.0021906186      0.18690451 
      8.4862213       0.0258685      -0.0194312       0.0300409      -0.0036359  -0.00031617176       0.1791876 
      8.4856592        0.026405      -0.0196696       0.0308754     -0.00250341    0.0023035371      0.18428968 
      8.4850909       0.0263454      -0.0205041       0.0321271     -0.00220539    0.0021289712       0.1864217 
      8.4844425       0.0260473      -0.0205637       0.0332596     -0.00214578    0.0026868496      0.18574297 
      8.4837914       0.0258685      -0.0199081       0.0344517     -0.00226499    0.0020789209      0.18733238 
      8.4832041       0.0248553      -0.0202061       0.0352862      -0.0012517    0.0010150456      0.18600909 
      8.4826114       0.0246168      -0.0204445       0.0343921    -0.000536445    -0.001678518      0.17775811 
      8.4820135       0.0246764      -0.0200869       0.0346901     -0.00107289    0.0011780145      0.18697287 
       8.481333       0.0240208      -0.0188352       0.0345113      -0.0024438   -0.0024365978      0.17813105 
      8.4807245       0.0243784       -0.018716       0.0332596      -0.0024438  -0.00078920866      0.18259529 
      8.4801113       0.0251533       -0.019014       0.0336173     -0.00214578   -0.0026953948      0.17846919 
      8.4794935       0.0250937      -0.0195504       0.0335576     -0.00208618   -0.0015588855      0.17914975 
      8.4787914       0.0256301      -0.0203849       0.0321271    -0.000953682  -0.00036988433      0.18677572 
      8.4781644       0.0266434      -0.0204445       0.0320079      0.00011921    -0.003422956      0.17766106 
      8.4774574       0.0265242      -0.0194312       0.0330808      0.00011921  -0.00010498367      0.18708457 
      8.4768219       0.0258089       -0.018716       0.0324252     0.000655655  -0.00088137455      0.18476577 
      8.4761826       0.0259877      -0.0185372       0.0322463      0.00059605   -0.0025452437      0.17747246 
      8.4755397       0.0271202       -0.019312       0.0325444    -0.000536445   0.00028015992      0.18547502 
      8.4748931       0.0279547      -0.0203253       0.0325444     -0.00166894    -0.003246559      0.17774529 
      8.4742432       0.0274183      -0.0208021       0.0333192     -0.00262262  -0.00013611255      0.18470534 
       8.473506       0.0255109      -0.0203849       0.0328424      -0.0024438   -0.0024500259      0.17824396 
      8.4727648       0.0251533      -0.0199081       0.0311735     -0.00149012   5.3712577e-05      0.18598163 
      8.4721044       0.0246168      -0.0186564       0.0312927      -0.0011921   0.00032288583       0.1890994 
      8.4713612       0.0255109      -0.0180603       0.0311139    -0.000834469   -0.0024610126      0.18291086 
      8.4706946       0.0255705      -0.0180007       0.0325444     -0.00101329  -0.00070192572       0.1816364 
      8.4699393       0.0246764      -0.0191928       0.0342729     -0.00137091   -0.0014496292      0.18398633 
      8.4692669       0.0252129      -0.0202061       0.0344517     -0.00101329   -0.0015991699      0.18041505 
      8.4685919       0.0269414      -0.0203849       0.0338557    -0.000417234   -0.0020068972      0.17844417 
       8.467833       0.0270606      -0.0206233       0.0340941     -0.00059605   0.00091738639       0.1870101 
      8.4671528       0.0285507      -0.0207425       0.0346305     -0.00023842   -0.0012262337      0.18127384 
      8.4664703       0.0277759      -0.0204445       0.0342729      0.00011921  -0.00017029328      0.17989807 
      8.4658679       0.0273586      -0.0205041       0.0336769               0  -0.00029297769      0.18623859 
      8.4651812       0.0280143      -0.0203253       0.0321867     0.000774864      0.00130253       0.1873629 
      8.4644924       0.0271798      -0.0195504       0.0311139      0.00101329   0.00014770959      0.18023133 
      8.4638017       0.0251533       -0.019312       0.0315907       0.0011325   -0.0016919462      0.17927976 
      8.4631089         0.02414      -0.0195504       0.0322463      0.00172854    0.0010986663      0.18616901 
      8.4624142       0.0243784      -0.0191332       0.0321867      0.00172854   -0.0012433241      0.18147832 
      8.4617177       0.0254513      -0.0188948       0.0323656     0.000417234    0.0007165746      0.18506302 
      8.4609355       0.0252129      -0.0180007       0.0330212     -0.00107289   -0.0019916379      0.17960753 
      8.4602353       0.0263454      -0.0181795       0.0319483      -0.0024438    0.0012213507      0.18740013 
      8.4595334       0.0267626      -0.0185372       0.0317099     -0.00315906   0.00082949309       0.1872689 
      8.4587398       0.0266434      -0.0187756       0.0316503     -0.00220539   -0.0019226661      0.17727836 
      8.4580346       0.0269414      -0.0199677       0.0314119     -0.00160933    0.0014069033      0.18587237 
      8.4573279       0.0277759      -0.0196696       0.0321271     -0.00154973  -0.00055177465      0.18383068 
      8.4566198       0.0252725      -0.0191928       0.0329616    -0.000655655  -0.00058168279      0.17911985 
      8.4559103       0.0246764      -0.0197889       0.0333788     -0.00023842  -0.00043031098      0.18482253 
      8.4551083       0.0253917      -0.0197889       0.0338557    -0.000953682    0.0021131016      0.18765465 
      8.4543104       0.0254513      -0.0193716       0.0342133    -0.000894073   0.00056764428      0.18431104 
      8.4535967        0.026107      -0.0192524       0.0330212    -0.000655655   -0.0018945891      0.17999023 
      8.4528818       0.0262858      -0.0191332       0.0311139    -0.000417234   0.00049256874         0.18485 
      8.4521657       0.0258089      -0.0191928       0.0311735    -0.000655655   -0.0013983581      0.18101627 
      8.4514485       0.0262858      -0.0203849       0.0326636    -0.000774864   0.00088625752      0.18423902 
      8.4506381       0.0249149      -0.0205041       0.0330808    -0.000476841   -0.0018518632      0.18070193 
      8.4499186       0.0240804      -0.0201465       0.0339153    -0.000953682   -0.0010388501      0.17901486 
      8.4491981       0.0255109      -0.0199081       0.0343921     -0.00196697    0.0013794366      0.18900662 
      8.4484766       0.0255705      -0.0199677       0.0345113     -0.00250341   -0.0010992767       0.1803882 
      8.4476617       0.0258089      -0.0200273       0.0358822     -0.00178815    0.0019519639      0.18665914 
      8.4469382       0.0262262      -0.0197889       0.0360014     -0.00131131   0.00056398206      0.18812525 
      8.4461269       0.0258089      -0.0197889       0.0343325      -0.0011325  -0.00052247688      0.17951842 
      8.4454016       0.0246764      -0.0199081       0.0333788     -0.00137091    0.0028351695       0.1886166 
      8.4445825       0.0237228      -0.0202657       0.0330212    -0.000655655   0.00032837916       0.1868984 
      8.4438555       0.0234247      -0.0196696       0.0338557    -0.000417234  -0.00014587848      0.17911252 
      8.4431277       0.0219942        -0.01961       0.0344517    -0.000417234    0.0033985412      0.18834986 
      8.4423117       0.0216366        -0.01961       0.0342729     -0.00101329   0.00087405011      0.18396008 
        8.44167       0.0233651        -0.01961       0.0338557     -0.00268222    0.0010974456       0.1815949 
      8.4408524         0.02414      -0.0196696        0.033498     -0.00292064    0.0014404736      0.18706381 
      8.4401218       0.0236632      -0.0201465       0.0320079     -0.00280143   0.00038026063      0.17928587 
      8.4392968       0.0229479      -0.0197889       0.0319483     -0.00262262    0.0027344584        0.185992 
      8.4385649       0.0225307      -0.0188352       0.0320675      -0.0011921   6.8971831e-05      0.18450819 
      8.4378323       0.0226499       -0.018716       0.0336769    -0.000178815   -0.0013080233      0.17903623 
       8.437193        0.023544      -0.0202061       0.0346901     5.96051e-05    0.0027307962      0.18973479 
      8.4363654         0.02414      -0.0204445       0.0343921     0.000417234    0.0016736351      0.18804773 
      8.4356311       0.0243188      -0.0192524       0.0345709               0   0.00015686514      0.18358348 
