> Measurement made Fri Jun 23 17:55:52 2023
> Main magnet sweep 12.10000 to  0.00000 Tesla at  5.999 mT/s 
> Hysteresis correction (approximate) has been applied. 
> Main Magnet at 12.11513 T 
> ITC set at   10.000 K, T1:  10.064 K, T2: 509.100 K, T3: 324.100 K 
> For Cernox1 20.778000 Ohm corresponds to T = 999.000000 K at 0 T 
> LockIn1:   1 mV, Mod Freq 39610.000000 Hz, Phase 175.980000 degr, Ampl. 0.080000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Normal .
> LockIn2:   1 mV, Mod Freq 39609.800000 Hz, Phase 172.460000 degr, Ampl. 0.010000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Normal .
> Modulation: 20.484200 mA 
> Source Freq 240.000 GHz (dial 15.00), LO Freq 234.000 GHz (dial 3760) 
> Martin Pupplet setting 7.0 mm, Attenuator Grid 15 dB
> Source attn 10 dB, Diode reading (-20dB) 0.2 mV
> Reference attn 4 dB, Diode reading (-30dB) 10 mV
Field  Signal1_X  Signal2_X    Signal1_Y   Signal2_Y    ADC   ADC   
T  mV mV mV mV V V 
YMn6Sn6  FIeld REALLY perp plane ~5x4x0.5 mm
10 K (zero-field cooled)
After seeing likely sample movement. Sample was not perp field.
Mounted anew and cooled (grease frozen) in zero field. 10K measurement
-

>BEGIN
  1.5733123e-05      0.00327827     -0.00292064      0.00292064      0.00536445     -0.22237495     -0.51248756 
  6.2588166e-05      0.00333787     -0.00220539      0.00327827      0.00518563     -0.22297555     -0.51316813 
  0.00012921213      0.00166894     -0.00184775      0.00309946      0.00554326     -0.22318979     -0.51272683 
  0.00023163929      0.00035763     -0.00262262      0.00327827      0.00452998     -0.22287912      -0.5128251 
  0.00034578461     0.000536445     -0.00327827      0.00292064      0.00339748     -0.22275887      -0.5131193 
  0.00048110546     0.000834469     -0.00351669      0.00214578      0.00399354     -0.22238594     -0.51305216 
  0.00063689654     0.000774864     -0.00327827      0.00339748      0.00518563     -0.22355602     -0.51335978 
  0.00081247603      0.00143052     -0.00327827      0.00417235      0.00554326     -0.22284188     -0.51398907 
   0.0010071848      0.00196697      -0.0024438      0.00381473      0.00584128     -0.22234382     -0.51326762 
    0.001247183      0.00202657     -0.00292064      0.00393394      0.00590089      -0.2226722     -0.51310526 
   0.0015114668      0.00154973     -0.00381473      0.00333787      0.00572208     -0.22348216     -0.51341533 
   0.0017640205     0.000894073     -0.00429156      0.00327827      0.00625852     -0.22310068     -0.51318339 
   0.0020687543      0.00035763     -0.00411275      0.00309946      0.00560287     -0.22352062     -0.51314432 
    0.002355898     0.000417234     -0.00333787      0.00172854       0.0060797     -0.22347911     -0.51351726 
   0.0026584549     0.000894073     -0.00262262     0.000178815      0.00619891     -0.22277779      -0.5133433 
   0.0029759118      0.00172854     -0.00190736     -0.00023842      0.00482801     -0.22296701     -0.51358867 
   0.0033485406      0.00292064     -0.00178815      0.00190736      0.00441077     -0.22309397     -0.51367779 
   0.0036959644      0.00208618     -0.00160933      0.00345708      0.00441077       -0.222884     -0.51339396 
   0.0041039246      0.00143052     -0.00166894      0.00280143      0.00458959     -0.22287851     -0.51334208 
   0.0044793402               0     -0.00137091      0.00292064      0.00494721     -0.22216926     -0.51393719 
   0.0049145939      -0.0012517     -0.00149012      0.00292064      0.00530484     -0.22156377      -0.5144676 
     0.00531596    -0.000834469     -0.00226499      0.00286104      0.00494721      -0.2215302     -0.51437666 
   0.0057289349     0.000417234     -0.00303985      0.00339748       0.0047088     -0.22193854     -0.51442183 
     0.00620822     -0.00011921     -0.00333787      0.00309946      0.00554326     -0.22162908     -0.51444563 
   0.0066446276     0.000298025     -0.00405314      0.00226499      0.00512603     -0.22151189     -0.51445784 
   0.0070914768       0.0011921     -0.00345708      0.00160933      0.00423196      -0.2219013     -0.51445906 
   0.0075484199      0.00149012      -0.0024438      0.00149012       0.0047684     -0.22209479     -0.51495773 
   0.0080755459     -0.00011921     -0.00154973    -5.96051e-05      0.00458959     -0.22266366     -0.51493027 
