> Measurement made Fri Jun 23 17:55:52 2023
> Main magnet sweep 12.10000 to  0.00000 Tesla at  5.999 mT/s 
> Hysteresis correction (approximate) has been applied. 
> Main Magnet at 12.11513 T 
> ITC set at   10.000 K, T1:  10.064 K, T2: 509.100 K, T3: 324.100 K 
> For Cernox1 20.778000 Ohm corresponds to T = 999.000000 K at 0 T 
> LockIn1:   1 mV, Mod Freq 39610.000000 Hz, Phase 175.980000 degr, Ampl. 0.080000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Normal .
> LockIn2:   1 mV, Mod Freq 39609.800000 Hz, Phase 172.460000 degr, Ampl. 0.010000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Normal .
> Modulation: 20.484200 mA 
> Source Freq 240.000 GHz (dial 15.00), LO Freq 234.000 GHz (dial 3760) 
> Martin Pupplet setting 7.0 mm, Attenuator Grid 15 dB
> Source attn 10 dB, Diode reading (-20dB) 0.2 mV
> Reference attn 4 dB, Diode reading (-30dB) 10 mV
Field  Signal1_X  Signal2_X    Signal1_Y   Signal2_Y    ADC   ADC   
T  mV mV mV mV V V 
YMn6Sn6  FIeld REALLY perp plane ~5x4x0.5 mm
10 K (zero-field cooled)
After seeing likely sample movement. Sample was not perp field.
Mounted anew and cooled (grease frozen) in zero field. 10K measurement
-

>BEGIN
      12.099987      -0.0119806     -0.00554326      0.00715259       0.0192524      0.68691794     -0.31020112 
      12.099944      -0.0121594     -0.00584128      0.00745061       0.0188352      0.68738182     -0.31060823 
       12.09988      -0.0123382     -0.00596049      0.00798708       0.0181199       0.6868276     -0.31061739 
      12.099793      -0.0124574      -0.0060201      0.00810629       0.0175835      0.68609882     -0.31050813 
      12.099669      -0.0113249     -0.00667575      0.00929838       0.0180603      0.68599078     -0.31061373 
      12.099536      -0.0112057     -0.00572208      0.00917917       0.0191928       0.6843672     -0.31022675 
      12.099383      -0.0114442     -0.00482801      0.00691417       0.0203849      0.68443922     -0.30992279 
       12.09921      -0.0112653     -0.00488761       0.0060797       0.0209213      0.68430677     -0.30988861 
      12.099017      -0.0113249     -0.00584128       0.0072718       0.0200869      0.68289254     -0.30911039 
      12.098806       -0.011623     -0.00554326      0.00810629       0.0191332       0.6832551     -0.30938505 
      12.098577      -0.0112057     -0.00560287      0.00792748         0.01961      0.68301401     -0.30911588 
      12.098331      -0.0100732     -0.00613931      0.00780827       0.0203253      0.68259102     -0.30848415 
      12.098068      -0.0110269     -0.00625852      0.00846392       0.0206233      0.68269234     -0.30824793 
      12.097788      -0.0120402     -0.00667575      0.00864273       0.0202061      0.68205756     -0.30814295 
      12.097494       -0.012517     -0.00649694      0.00745061       0.0208021      0.68109989     -0.30733299 
      12.097183      -0.0126958     -0.00613931      0.00631812       0.0207425      0.68091739     -0.30694052 
      12.096859      -0.0131727     -0.00578168      0.00625852       0.0201465      0.68093875     -0.30726218 
       12.09652      -0.0129343     -0.00715259      0.00715259        0.019014      0.67972472     -0.30660237 
      12.096124      -0.0120402     -0.00756982      0.00631812       0.0192524      0.67919004     -0.30629414 
      12.095756      -0.0112057     -0.00673535      0.00631812         0.01961      0.67897824       -0.306227 
      12.095327      -0.0109077     -0.00631812      0.00685456       0.0191928      0.67866512     -0.30587359 
      12.094933      -0.0113249     -0.00572208       0.0073314         0.01961      0.67782464     -0.30563311 
      12.094527      -0.0134707     -0.00536445      0.00882155        0.019312      0.67733695     -0.30543779 
      12.094059      -0.0128151     -0.00625852       0.0082851       0.0185372      0.67674856     -0.30546281 
      12.093629      -0.0121594     -0.00631812      0.00786787       0.0188352      0.67574633     -0.30485244 
      12.093189      -0.0108481     -0.00655654      0.00834471       0.0192524       0.6751793     -0.30498245 
      12.092738      -0.0110865     -0.00751021      0.00840431       0.0194312      0.67435041     -0.30438124 
      12.092218      -0.0106693     -0.00739101      0.00768906       0.0201465      0.67417219     -0.30378735 
      12.091746      -0.0114442     -0.00667575      0.00518563       0.0212194       0.6735905     -0.30351573 
      12.091265      -0.0118018     -0.00619891      0.00578168       0.0202061      0.67311991     -0.30326121 
      12.090712      -0.0114442     -0.00590089      0.00667575       0.0191332      0.67284524     -0.30337779 
      12.090213       -0.011921     -0.00590089      0.00566247        0.019312      0.67239479     -0.30331309 
      12.089705      -0.0117422     -0.00619891      0.00631812        0.019312       0.6731254     -0.30323557 
      12.089127      -0.0112057     -0.00810629      0.00637773        0.018716      0.67185461     -0.30256966 
      12.088534     -0.00923878     -0.00798708      0.00768906       0.0174643      0.67108737     -0.30226142 
      12.087933     -0.00911957     -0.00786787      0.00762945       0.0168086      0.67075106     -0.30213324 
      12.087326     -0.00882155     -0.00745061      0.00911957        0.017047      0.67123936      -0.3020838 
      12.086706     -0.00977522     -0.00685456      0.00900036       0.0182987      0.67011322     -0.30154668 
      12.086083      -0.0100732     -0.00637773      0.00709298        0.019014      0.66868191     -0.30099673 
      12.085446      -0.0113845     -0.00596049      0.00542405        0.019014       0.6695645     -0.30109867 
      12.084876      -0.0109673     -0.00500682       0.0047684       0.0191332      0.66969756     -0.30125919 
      12.084299     -0.00977522      -0.0047684      0.00548366       0.0197293      0.66919645     -0.30113163 
      12.083717      -0.0106693     -0.00458959      0.00560287         0.01961       0.6691232     -0.30067934 
      12.083129      -0.0108481     -0.00554326      0.00685456        0.019014      0.66849635     -0.30032838 
      12.082535      -0.0103713     -0.00590089      0.00685456        0.018418      0.66741722     -0.30000732 
      12.081937      -0.0106693     -0.00649694      0.00739101       0.0173451      0.66660482     -0.30029664 
      12.081333      -0.0104309     -0.00637773      0.00745061       0.0174047      0.66533158     -0.29998352 
      12.080724      -0.0116826     -0.00566247       0.0073314        0.018716      0.66494705     -0.30000793 
      12.080032      -0.0119806     -0.00530484      0.00637773       0.0203253      0.66399243     -0.29999817 
      12.079414      -0.0120402     -0.00518563      0.00649694       0.0200273      0.66394421     -0.29959838 
      12.078791      -0.0117422     -0.00619891      0.00691417        0.018716      0.66362804     -0.29953673 
      12.078164     -0.00959641     -0.00643733      0.00697377       0.0173451      0.66319712     -0.29934446 
      12.077533     -0.00917917      -0.0060201       0.0082255       0.0175835      0.66294259     -0.29919309 
      12.076898     -0.00965601     -0.00500682      0.00786787       0.0183583      0.66210211     -0.29883969 
       12.07626      -0.0111461     -0.00429156      0.00679496        0.018418      0.66184515     -0.29831721 
      12.075617      -0.0129343     -0.00387433      0.00596049       0.0190736      0.66056703     -0.29807062 
      12.074971      -0.0120402     -0.00375511      0.00661614       0.0189544       0.6601178     -0.29791559 
      12.074405      -0.0114442     -0.00494721      0.00721219        0.019014      0.65854305     -0.29668142 
      12.073668      -0.0105501     -0.00554326      0.00679496       0.0191928       0.6602649     -0.29703848 
      12.072933     -0.00977522     -0.00506642      0.00721219       0.0184776      0.65917112     -0.29682119 
      12.072189     -0.00870234     -0.00542405      0.00846392       0.0190736      0.65933653     -0.29687246 
      12.071441     -0.00905996     -0.00530484      0.00870234       0.0200273      0.65736869     -0.29610523 
      12.070775     -0.00917917     -0.00613931      0.00834471       0.0203849      0.65591845     -0.29579699 
      12.070025      -0.0100732     -0.00625852      0.00834471       0.0200869      0.65394391     -0.29484787 
      12.069353      -0.0113249      -0.0060201      0.00917917       0.0194908      0.65282083     -0.29452132 
      12.068592      -0.0113845     -0.00637773      0.00923878       0.0185968      0.65321146     -0.29483505 
      12.067914      -0.0122786     -0.00679496      0.00834471       0.0179411      0.65211524     -0.29457381 
      12.067235      -0.0122786     -0.00661614      0.00721219        0.019312      0.65229102     -0.29431867 
       12.06647       -0.012219     -0.00590089      0.00685456       0.0197293      0.65300638     -0.29463179 
      12.065786      -0.0109673     -0.00596049      0.00882155       0.0194908      0.65233924     -0.29424726 
      12.065011      -0.0110865     -0.00566247      0.00894075       0.0183583      0.65231483     -0.29387005 
      12.064233      -0.0112653      -0.0047684      0.00721219       0.0181199      0.65194739     -0.29374798 
      12.063458      -0.0123382     -0.00423196      0.00667575        0.018716       0.6516007     -0.29342631 
      12.062765      -0.0120998     -0.00435117      0.00649694       0.0194312      0.65109775     -0.29307291 
       12.06198       -0.011921     -0.00500682      0.00709298        0.019312       0.6495114     -0.29221534 
      12.061282      -0.0124574     -0.00548366      0.00697377       0.0194312      0.64915616      -0.2922953 
      12.060583      -0.0146032     -0.00506642      0.00661614       0.0193716      0.64878872     -0.29231849 
      12.059792      -0.0140668     -0.00441077      0.00667575       0.0190736      0.64866115     -0.29245033 
      12.059005      -0.0134111     -0.00411275      0.00768906       0.0186564      0.64780053     -0.29246559 
       12.05821      -0.0126958     -0.00554326      0.00756982       0.0187756      0.64808069     -0.29218421 
      12.057418      -0.0131131     -0.00578168      0.00774866        0.019312      0.64794153     -0.29075106 
      12.056711      -0.0137091     -0.00488761       0.0094772       0.0195504      0.64847865     -0.29201147 
      12.056001      -0.0119806     -0.00417235      0.00834471       0.0200869      0.64790918     -0.29292337 
       12.05529      -0.0131131     -0.00464919      0.00774866       0.0202061      0.64605426     -0.29286477 
      12.054487      -0.0128747     -0.00536445      0.00596049       0.0198485      0.64406323     -0.29169225 
      12.053774      -0.0122786     -0.00560287      0.00578168       0.0189544      0.64511917     -0.29179724 
      12.053059      -0.0118018     -0.00572208      0.00625852       0.0185968      0.64300546      -0.2916776 
      12.052252      -0.0120998     -0.00572208      0.00721219       0.0179411       0.6434547     -0.29144383 
      12.051535      -0.0121594     -0.00500682      0.00786787       0.0169874      0.64153447     -0.29170629 
      12.050816      -0.0115634     -0.00435117      0.00965601       0.0177623      0.63926389     -0.29085788 
      12.050011      -0.0107289     -0.00435117       0.0104309       0.0184776      0.63889218     -0.29098666 
       12.04929      -0.0120998     -0.00464919       0.0112057       0.0179411       0.6375103     -0.29040132 
      12.048569      -0.0135303     -0.00464919       0.0107885       0.0177027      0.63511704     -0.28977752 
      12.047847      -0.0142456     -0.00542405      0.00858313       0.0175239      0.63365764     -0.28951872 
      12.047123      -0.0135899     -0.00542405      0.00858313       0.0180603      0.63202246     -0.28966399 
      12.046399       -0.012517     -0.00530484      0.00834471       0.0187756      0.62993622      -0.2890109 
      12.045674      -0.0126958     -0.00494721      0.00756982       0.0206233      0.62815516     -0.28756798 
      12.044856      -0.0134111      -0.0047684      0.00679496       0.0214578      0.62792871     -0.28730491 
      12.044129      -0.0138879     -0.00578168      0.00751021        0.020981      0.62852321     -0.28793542 
      12.043308      -0.0131727     -0.00631812       0.0082255       0.0199081      0.62992523     -0.28804285 
       12.04258      -0.0126362     -0.00661614      0.00911957       0.0191332       0.6314536     -0.28810816 
      12.041851       -0.014186     -0.00613931      0.00882155       0.0191928       0.6303531     -0.28758873 
