> Measurement made Fri Jun 23 12:42:24 2023
> Main magnet sweep  6.50000 to  8.50000 Tesla at  5.999 mT/s 
> Hysteresis correction (approximate) has been applied. 
> Main Magnet at  6.50000 T 
> ITC set at   10.000 K, T1:  10.004 K, T2: 509.100 K, T3: 324.100 K 
> For Cernox1 77.177000 Ohm corresponds to T = 999.000000 K at 0 T 
> LockIn1:   1 mV, Mod Freq 39610.000000 Hz, Phase 175.980000 degr, Ampl. 0.080000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Normal .
> LockIn2:   1 mV, Mod Freq 39609.800000 Hz, Phase 172.460000 degr, Ampl. 0.010000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Normal .
> Modulation: 21.947900 mA 
> Source Freq 240.000 GHz (dial 15.00), LO Freq 234.000 GHz (dial 3760) 
> Martin Pupplet setting 7.0 mm, Attenuator Grid 15 dB
> Source attn 10 dB, Diode reading (-20dB) 0.2 mV
> Reference attn 4 dB, Diode reading (-30dB) 10 mV
Field  Signal1_X  Signal2_X    Signal1_Y   Signal2_Y    ADC   ADC   
T  mV mV mV mV V V 
YMn6Sn6  FIeld perp plane ~5x4x0.5 mm
10 K (field cooled)
-
-

>BEGIN
      6.5000126       0.0209213      -0.0197293       0.0206829      0.00214578     0.062979217     0.014430982 
      6.5000497        0.020981      -0.0191928       0.0198485      0.00250341     0.062622761     0.014454176 
        6.50012       0.0211002       -0.018716       0.0191332      0.00286104     0.063081149     0.014599445 
      6.5002067       0.0202657      -0.0178815        0.019014      0.00226499     0.062956023     0.014299753 
      6.5003155         0.01961      -0.0180007         0.01961      0.00226499     0.063156835     0.014386425 
      6.5004626       0.0205637       -0.018716       0.0197889      0.00321867     0.063436995     0.014233833 
      6.5006369       0.0217558      -0.0202061       0.0200869      0.00423196      0.06343028     0.014388256 
      6.5008348       0.0229479      -0.0202061       0.0195504      0.00429156     0.064289071     0.014615314 
      6.5010318       0.0229479      -0.0191332        0.018418      0.00512603     0.064273202     0.014510331 
      6.5012472       0.0230075      -0.0186564       0.0194908      0.00488761     0.064446547     0.014454787 
      6.5014804       0.0231863      -0.0185372       0.0198485      0.00381473     0.064125492     0.014687338 
      6.5016998       0.0228883       -0.019312        0.019312      0.00339748     0.064627827       0.0146086 
      6.5019978       0.0231863      -0.0196696       0.0197889      0.00405314     0.064497818     0.014499954 
      6.5022809       0.0225903      -0.0194312       0.0197293      0.00405314     0.064021729     0.014877163 
      6.5025796       0.0230075      -0.0195504        0.019312      0.00327827     0.064066286     0.014983367 
      6.5028933       0.0228883      -0.0188352       0.0194312      0.00268222      0.06413831      0.01480575 
      6.5032215       0.0225307      -0.0182391       0.0200273      0.00154973     0.063832514     0.014882656 
      6.5036085       0.0214578      -0.0183583       0.0195504      0.00160933     0.064162725     0.015584582 
      6.5040128       0.0213386      -0.0185968       0.0189544       0.0023842     0.064488052     0.015089572 
      6.5043851       0.0219942      -0.0190736       0.0184776       0.0023246      0.06461684     0.015137791 
      6.5047699       0.0212194      -0.0192524       0.0185372      0.00202657     0.064611347     0.015015717 
      6.5051669       0.0206233      -0.0195504       0.0191928      0.00172854      0.06468215      0.01506943 
      6.5055756       0.0204445      -0.0194312       0.0187756       0.0023246     0.064131596     0.015341655 
      6.5059957       0.0203253      -0.0195504       0.0187756      0.00292064     0.064109012     0.015639515 
      6.5064268        0.021279       -0.018716       0.0194312      0.00339748     0.063985717     0.015753044 
      6.5068686       0.0221134      -0.0181795       0.0190736      0.00441077      0.06461745     0.015306253 
      6.5073205       0.0225903      -0.0180007       0.0197293      0.00405314     0.063786126      0.01563036 
      6.5077824       0.0225903      -0.0181199       0.0203849      0.00315906     0.064470351     0.015800653 
      6.5082539       0.0225307      -0.0179411       0.0202061      0.00321867     0.064628437       0.0155974 
      6.5087347       0.0217558      -0.0178815       0.0201465      0.00357629      0.06524247     0.015615711 
      6.5092244        0.021279      -0.0181199       0.0194908      0.00262262     0.064417859     0.015491195 
      6.5097228       0.0210406      -0.0176431       0.0194312      0.00196697     0.064800562        0.015515 
      6.5102296        0.020981      -0.0175239       0.0190736      0.00131131     0.064062624     0.015219581 
      6.5107445       0.0225903      -0.0177027       0.0180603      0.00154973     0.063458968     0.015561388 
      6.5112672       0.0228883      -0.0182391       0.0187756      0.00160933      0.06370983     0.015883663 
      6.5118616       0.0217558      -0.0188352       0.0194908      0.00226499     0.063690909     0.015652333 
      6.5124694       0.0208617      -0.0185968       0.0191928       0.0024438     0.064044923     0.015602893 
      6.5130158        0.021577      -0.0188948       0.0190736      0.00292064     0.064478286     0.015709098 
      6.5136403       0.0221134      -0.0194312       0.0191928      0.00315906     0.064274422     0.016016114 
      6.5142008       0.0230671      -0.0181199       0.0182987      0.00292064     0.064046754     0.016694845 
      6.5147676       0.0233651      -0.0176431       0.0180603      0.00327827     0.063948485     0.016353648 
      6.5154097       0.0225903      -0.0175835       0.0180603       0.0036955     0.063894772     0.016789453 
      6.5159892       0.0228883       -0.018716       0.0181199       0.0036955     0.063485214     0.016399426 
      6.5165744       0.0231267       -0.018716       0.0180007      0.00411275     0.064115726     0.015971557 
      6.5171651       0.0216366      -0.0189544       0.0178815      0.00351669     0.063886227     0.016050905 
      6.5176893       0.0205637      -0.0194908       0.0190736      0.00339748     0.063714713     0.015941038 
      6.5182898       0.0205637      -0.0191928         0.01961      0.00375511      0.06398938     0.016301767 
      6.5188953        0.020981      -0.0182391       0.0197293      0.00351669     0.064442274     0.016458632 
      6.5195056       0.0213982      -0.0180007       0.0194908      0.00208618     0.064057741     0.016976226 
      6.5201946       0.0228883      -0.0181795       0.0199081     0.000894073     0.063393048     0.017172155 
      6.5207399       0.0234247      -0.0181199       0.0206829     0.000417234     0.062981658     0.016832179 
      6.5213637         0.02414      -0.0189544       0.0197293      0.00131131     0.063698233     0.017042756 
      6.5219917       0.0237824      -0.0199677       0.0192524      0.00160933      0.06385815     0.017054353 
      6.5226237       0.0233651      -0.0202657       0.0185968       0.0011325      0.06369396     0.017638478 
      6.5232597       0.0227691      -0.0200273       0.0176431     0.000298025     0.064016846     0.017089145 
      6.5239765       0.0228287      -0.0191332       0.0173451     0.000774864     0.063762932     0.017162999 
       6.524703       0.0234247      -0.0185372       0.0172259       0.0012517     0.063167821     0.017173376 
      6.5253509       0.0237824      -0.0178219        0.017047      0.00101329     0.064181646     0.016887112 
      6.5260021        0.023544      -0.0171066       0.0166894       0.0011325     0.062804651     0.017136753 
      6.5266566       0.0230075      -0.0165702       0.0162722      0.00226499     0.063226417     0.016666768 
      6.5273934       0.0232459      -0.0177027       0.0166894      0.00262262     0.063015229     0.017247841 
      6.5280546       0.0232459      -0.0185372       0.0178815      0.00172854     0.062457961     0.017321696 
      6.5287187       0.0228287       -0.019014       0.0184776      0.00202657     0.062797327     0.017126988 
      6.5293856       0.0222326      -0.0183583       0.0179411       0.0024438     0.063633534     0.017062288 
      6.5300553       0.0213386      -0.0180007       0.0183583      0.00292064     0.063515732     0.016552629 
       6.530814        0.021577      -0.0191928        0.018418      0.00298025     0.063980834     0.016418348 
      6.5315759       0.0221134      -0.0190736       0.0179411      0.00417235     0.063966185     0.017003082 
      6.5322539       0.0219942      -0.0188352       0.0175835      0.00411275     0.063456526     0.016699118 
      6.5329344       0.0211002      -0.0180603       0.0182987      0.00345708     0.064113285     0.016775414 
      6.5336172       0.0200869      -0.0171066       0.0177623      0.00309946     0.063894772     0.016827296 
      6.5343022       0.0205637      -0.0178219       0.0179411      0.00303985     0.063172094     0.016412854 
      6.5349894       0.0224115      -0.0183583       0.0186564      0.00298025     0.063219703     0.017005524 
      6.5357615       0.0222326      -0.0179411       0.0198485      0.00298025     0.063368023     0.016501358 
      6.5364531       0.0219942      -0.0179411       0.0194312      0.00333787     0.063070772     0.016614887 
      6.5371465       0.0210406      -0.0187756       0.0188352      0.00327827     0.064065065     0.016713767 
      6.5378419       0.0207425       -0.019312        0.019014      0.00357629     0.064000366     0.016962798 
      6.5386284       0.0203253      -0.0187756        0.018716      0.00405314     0.063607288     0.017145909 
      6.5393276       0.0197293      -0.0183583       0.0180603      0.00447038     0.064243294     0.017419965 
      6.5400284       0.0206233      -0.0178815       0.0182987      0.00393394     0.063166601     0.017665944 
      6.5407309       0.0217558      -0.0182987        0.017047      0.00303985     0.063733634     0.018248848 
      6.5413447       0.0218154      -0.0188948        0.015855      0.00226499     0.064431898     0.017711722 
      6.5421405       0.0203253      -0.0182987        0.016153      0.00160933     0.063886227     0.018262276 
      6.5428476       0.0207425      -0.0182391       0.0178815      0.00262262     0.063349712     0.018247627 
       6.543556        0.021279       -0.018418       0.0190736      0.00351669     0.063706778     0.017644581 
      6.5442659       0.0225903      -0.0191332       0.0189544      0.00393394     0.062928556     0.017772149 
      6.5449771       0.0219942      -0.0186564       0.0186564      0.00357629      0.06436964     0.017383953 
      6.5456896       0.0219942      -0.0186564       0.0179411      0.00292064     0.064688253     0.017835627 
      6.5464033       0.0216366      -0.0183583       0.0177623      0.00202657     0.064123051     0.017653127 
      6.5471182       0.0209213       -0.018418       0.0185968      0.00154973     0.064125492     0.016964019 
      6.5477426       0.0203849       -0.018418       0.0185968       0.0011325     0.064506973      0.01719718 
      6.5485515       0.0205637      -0.0185372       0.0175835      0.00154973     0.064393445     0.017502365 
      6.5492699       0.0202061      -0.0185372       0.0178219     0.000953682     0.063901486     0.017901547 
      6.5499892       0.0202061      -0.0181199       0.0187756      0.00101329     0.064645528     0.018013855 
      6.5507096       0.0202657      -0.0178815        0.019014      0.00149012      0.06395764     0.017828913 
       6.551431       0.0210406      -0.0181199        0.018418       0.0024438     0.064182867     0.017492599 
      6.5521533       0.0217558      -0.0181795       0.0183583      0.00357629      0.06377636     0.017737968 
      6.5529692       0.0212194      -0.0183583       0.0194312       0.0023842     0.063965575     0.017271645 
      6.5536934       0.0208021       -0.018418        0.019312      0.00202657     0.063929563     0.017335124 
      6.5544185       0.0203849      -0.0180007       0.0192524      0.00268222     0.063498642     0.017907651 
      6.5551444       0.0208617      -0.0183583       0.0179411      0.00298025     0.064245125     0.018001648 
      6.5558711       0.0204445      -0.0191332       0.0168682      0.00154973      0.06441847     0.017335734 
      6.5565986       0.0210406      -0.0200869       0.0163318    -0.000178815     0.063723869     0.017789239 
      6.5573268       0.0225903      -0.0195504       0.0169278               0     0.063139744     0.018323923 
      6.5580558       0.0228287      -0.0192524       0.0183583     0.000655655     0.064007691     0.018253121 
      6.5587854       0.0228287      -0.0191928       0.0190736      0.00208618     0.063457747     0.018303781 
      6.5596034       0.0219942        -0.01961       0.0185372      0.00286104     0.063935667     0.018040712 
      6.5604281        0.021875      -0.0207425       0.0185968      0.00309946     0.063189795     0.018062685 
      6.5611598       0.0215174      -0.0204445        0.019312      0.00280143     0.063568224     0.018049867 
      6.5618922       0.0215174       -0.018716        0.019312       0.0023842     0.063228248     0.017903378 
      6.5626252       0.0224115      -0.0172855       0.0193716       0.0024438     0.063153172     0.017733085 
      6.5634467       0.0221134      -0.0178815       0.0195504      0.00256301     0.063040254     0.018060244 
      6.5641808       0.0230075      -0.0187756       0.0207425      0.00107289     0.063180639     0.019154027 
      6.5649155       0.0243784      -0.0191332       0.0207425      0.00107289     0.062653279     0.019431135 
      6.5656507       0.0244976      -0.0191332       0.0202061       0.0012517     0.063584094     0.019292581 
      6.5663863       0.0236632      -0.0191332       0.0203849      0.00107289     0.063223365      0.01993408 
      6.5672167       0.0232459      -0.0187756       0.0197293     0.000655655     0.062663656     0.020551164 
