> Measurement made Thu Jun 22 17:51:19 2023
> Main magnet sweep  6.50000 to  8.50000 Tesla at  3.999 mT/s 
> Hysteresis correction (approximate) has been applied. 
> Main Magnet at  6.50000 T 
> ITC set at  140.000 K, T1: 139.990 K, T2: 509.100 K, T3: 324.100 K 
> For Cernox1 37.731000 Ohm corresponds to T = 999.000000 K at 0 T 
> LockIn1:   1 mV, Mod Freq 39610.000000 Hz, Phase 175.980000 degr, Ampl. 0.100000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Normal .
> LockIn2:   1 mV, Mod Freq 39609.800000 Hz, Phase 172.460000 degr, Ampl. 0.010000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Normal .
> Modulation: 22.396100 mA 
> Source Freq 240.000 GHz (dial 15.00), LO Freq 234.000 GHz (dial 3760) 
> Martin Pupplet setting 7.0 mm, Attenuator Grid 15 dB
> Source attn 10 dB, Diode reading (-20dB) 0.2 mV
> Reference attn 4 dB, Diode reading (-30dB) 10 mV
Field  Signal1_X  Signal2_X    Signal1_Y   Signal2_Y    ADC   ADC   
T  mV mV mV mV V V 
YMn6Sn6  FIeld perp plane ~5x4x0.5 mm
140K (field cooled)
-
-

>BEGIN
      6.5000084      -0.0639562       0.0256897       0.0367167       0.0401738      0.45500961      0.53447371 
      6.5000331       -0.063837       0.0267626       0.0361803       0.0399949      0.45634938      0.53454207 
        6.50008      -0.0640755        0.027299       0.0355842       0.0392797      0.45584033      0.53467635 
      6.5001463      -0.0645523       0.0275971       0.0364783       0.0386836      0.45605701      0.53499435 
      6.5002305      -0.0649695       0.0265242       0.0361803       0.0389221      0.45557482      0.53417951 
      6.5003207      -0.0645523       0.0259877       0.0358822       0.0395181      0.45617176      0.53381146 
      6.5004389      -0.0653868       0.0257493       0.0351074       0.0391605      0.45659658      0.53360515 
      6.5005737      -0.0665789       0.0256897       0.0353458       0.0387433       0.4573986      0.53352092 
      6.5007067      -0.0666981       0.0256301       0.0364187       0.0383856      0.45601672      0.53371319 
      6.5008519      -0.0665789       0.0253917       0.0362995        0.038326      0.45694205      0.53367046 
      6.5010089      -0.0671153       0.0258089       0.0348093       0.0389817      0.45671194      0.53371075 
      6.5011774      -0.0671153       0.0259877       0.0341537        0.038624       0.4573925      0.53350505 
      6.5013569      -0.0670557       0.0262858       0.0343325        0.038028      0.45695059      0.53343547 
      6.5015706      -0.0671749       0.0263454       0.0349286       0.0373127      0.45742607      0.53383526 
      6.5017723      -0.0665789       0.0259281       0.0365975       0.0370147      0.45704764      0.53399152 
      6.5019839      -0.0653272       0.0257493       0.0370147       0.0379088      0.45709769      0.53364605 
      6.5022342      -0.0646715       0.0252129       0.0354054       0.0385048      0.45703177      0.53347148 
      6.5024659      -0.0641947       0.0245572       0.0347497        0.038326      0.45753838      0.53333781 
      6.5027065      -0.0646119       0.0249149       0.0354054       0.0376704      0.45764092      0.53343059 
      6.5029557      -0.0646715       0.0248553       0.0364187       0.0374319      0.45812922      0.53334025 
      6.5032134      -0.0640159       0.0248553       0.0367763       0.0371339      0.45625233      0.53341227 
       6.503479      -0.0633006       0.0246764       0.0359418       0.0369551      0.45626087      0.53328349 
      6.5037525      -0.0634794       0.0249149       0.0352266       0.0368955        0.456292      0.53333537 
      6.5040335      -0.0643139       0.0259281       0.0349882       0.0379088      0.45643361      0.53305399 
      6.5043569      -0.0649099       0.0267626       0.0333192       0.0390413      0.45626026       0.5332902 
      6.5046531      -0.0647311       0.0257493       0.0328424       0.0389817      0.45677236      0.53335978 
      6.5049954      -0.0649695       0.0253321       0.0334384        0.038326      0.45690298      0.53338115 
      6.5053057      -0.0650887       0.0253321       0.0344517       0.0377896         0.45794      0.53320597 
      6.5056634         -0.0664       0.0252725       0.0342729       0.0378492      0.45933714      0.53302408 
      6.5059452      -0.0661616       0.0250937       0.0343325       0.0374916      0.45810175       0.5324723 
      6.5063164       -0.066102       0.0249745       0.0355246       0.0368955      0.45781671      0.53288491 
      6.5066515      -0.0660424       0.0252725       0.0348093       0.0373723      0.45875423      0.53278665 
      6.5069921      -0.0649099       0.0247956       0.0352862       0.0372531       0.4579284      0.53279885 
       6.507338      -0.0644331       0.0256897       0.0358226       0.0365975      0.45817866      0.53295938 
       6.507689      -0.0649099       0.0269414       0.0351074       0.0366571       0.4579284      0.53269021 
       6.508045      -0.0656848       0.0273586       0.0344517       0.0374319      0.45828364      0.53220985 
      6.5084058      -0.0665789        0.026703       0.0348093       0.0382068      0.45711539      0.53247658 
      6.5087712      -0.0654464       0.0256897       0.0353458       0.0376108      0.45780145      0.53264992 
      6.5091411      -0.0640159       0.0253321       0.0341537       0.0374916      0.45826472      0.53276467 
      6.5095153       -0.065506       0.0256897       0.0340345       0.0382068       0.4582989      0.53283181 
      6.5098451      -0.0674729       0.0254513       0.0343921        0.038624      0.45743217      0.53296182 
       6.510227      -0.0668769       0.0253917       0.0337961       0.0388625      0.45840754      0.53267739 
      6.5106129      -0.0665789       0.0256301       0.0335576       0.0388625      0.45698843      0.53257607 
      6.5110527      -0.0670557       0.0256301          0.0332       0.0392201      0.45680044      0.53224464 
      6.5114466      -0.0676517       0.0256301       0.0324252        0.038624      0.45748833       0.5323484 
      6.5118439      -0.0660424       0.0252129       0.0322463       0.0386836      0.45738334      0.53239967 
       6.512293      -0.0641351       0.0247956       0.0325444       0.0384452      0.45726859      0.53224464 
      6.5127495      -0.0643735       0.0247956       0.0319483       0.0378492      0.45694205      0.53241676 
      6.5131575      -0.0647907       0.0250937       0.0324848       0.0379088       0.4578399      0.53229469 
      6.5135686      -0.0643139       0.0255109       0.0336769       0.0384452       0.4586169      0.53239113 
      6.5139826      -0.0637774        0.026107       0.0339153       0.0389817      0.45769402      0.53231544 
      6.5143996      -0.0649695       0.0257493       0.0349286       0.0392797      0.45783441      0.53272988 
      6.5148192      -0.0658636        0.026107       0.0358822       0.0395181      0.45835627      0.53259011 
      6.5152416      -0.0662808       0.0263454       0.0367763       0.0391605      0.45817133      0.53273721 
      6.5156665      -0.0665192       0.0262858       0.0373127        0.038624      0.45967895      0.53269875 
       6.516094         -0.0664       0.0256301       0.0361803        0.038326      0.45873653      0.53235389 
      6.5165238      -0.0662808       0.0255109       0.0355842       0.0375512      0.45924802      0.53190771 
       6.516956      -0.0656848       0.0252725       0.0364783       0.0374916      0.45822443        0.531901 
      6.5173905      -0.0663404       0.0252725       0.0366571       0.0379684       0.4574395      0.53208655 
      6.5178271      -0.0661616       0.0257493       0.0356438        0.038624      0.45794122      0.53184301 
      6.5182658      -0.0662212       0.0264646       0.0343921       0.0388029      0.45689444       0.5315537 
      6.5187066      -0.0666385        0.026107       0.0348093       0.0389221      0.45699637      0.53129002 
      6.5192061      -0.0668769        0.026405       0.0345113       0.0399949      0.45662282       0.5314835 
       6.519651      -0.0670557        0.026703       0.0330808       0.0394585      0.45622364      0.53220008 
      6.5200977      -0.0684862       0.0263454       0.0330212       0.0382068      0.45647206      0.53197851 
      6.5205462      -0.0683074       0.0256301       0.0329616       0.0372531      0.45660756      0.53137852 
      6.5210506      -0.0665789       0.0256301       0.0337961       0.0371339      0.45702506      0.53143345 
      6.5215026      -0.0672345       0.0268818       0.0326636        0.038028      0.45819086       0.5311008 
      6.5219563      -0.0669365       0.0271798       0.0315907       0.0384452       0.4583166      0.53074862 
      6.5224115      -0.0666981        0.026107       0.0319483        0.038624      0.45881771      0.53082675 
      6.5228682      -0.0665192       0.0252129       0.0321867       0.0385048      0.45906247      0.53075716 
      6.5233263      -0.0660424       0.0250937       0.0333788       0.0383856      0.46001404      0.53004547 
      6.5237858      -0.0656848       0.0260473          0.0332       0.0382068      0.45899045      0.52988739 
      6.5242466      -0.0654464       0.0261666        0.032604       0.0380876      0.45882321      0.52990143 
      6.5247088      -0.0654464       0.0257493       0.0336173       0.0381472      0.45984741      0.53033296 
      6.5251722      -0.0657444       0.0247956       0.0339749       0.0377896      0.45960997      0.53069246 
       6.525581      -0.0665789         0.02414       0.0347497       0.0373127      0.45899655      0.53066805 
      6.5260467      -0.0681882       0.0234843       0.0345709       0.0373723      0.45907956      0.53050813 
      6.5265135      -0.0681882       0.0233651       0.0341537       0.0381472      0.45875362       0.5301706 
      6.5269815      -0.0666385       0.0247956       0.0333788       0.0384452      0.45917539      0.53038789 
      6.5274504      -0.0668769       0.0253917       0.0325444       0.0393393      0.45919065      0.53038606 
      6.5279204      -0.0671749       0.0256897       0.0319483       0.0389817      0.45898251      0.53010346 
       6.528448      -0.0668769       0.0250937       0.0320079       0.0386836      0.45912656      0.52995148 
      6.5289806      -0.0663404       0.0250937       0.0314119       0.0390413       0.4592993      0.52996063 
      6.5295106      -0.0657444       0.0253917       0.0322463       0.0375512      0.45882076      0.53005036 
      6.5299847      -0.0653272       0.0250937       0.0315907       0.0376704      0.45876705      0.52964629 
      6.5304597      -0.0652079       0.0246168       0.0305774        0.038326      0.45894284      0.52940275 
      6.5309355      -0.0654464       0.0251533       0.0305178       0.0384452      0.45904599      0.52907926 
      6.5313549      -0.0662808       0.0252129       0.0324252       0.0388625      0.45886105      0.52917447 
      6.5318896      -0.0668769       0.0249149       0.0333788       0.0395181      0.45912046      0.52948271 
      6.5323677      -0.0667577       0.0247956       0.0333192       0.0395777      0.45839961      0.52919828 
      6.5327891      -0.0677113       0.0249745       0.0333192       0.0393989      0.45912412      0.52949675 
      6.5333261      -0.0687842       0.0258685       0.0327232       0.0394585      0.45866634        0.529794 
      6.5337487      -0.0689034       0.0259281       0.0321271        0.038624      0.45828364      0.52999298 
      6.5342296      -0.0686054       0.0250937       0.0315907       0.0384452      0.45836848      0.53012177 
       6.534711      -0.0684862       0.0245572       0.0317099       0.0385048      0.45886898      0.52948943 
      6.5351931      -0.0681882       0.0250341       0.0321271       0.0393393      0.45807306      0.52954741 
      6.5356758      -0.0674133       0.0256301       0.0337961       0.0398757      0.45750969      0.52957915 
      6.5362171      -0.0647311       0.0259281       0.0356438        0.040591      0.45793451      0.52918607 
      6.5367009      -0.0644927       0.0263454       0.0346901       0.0404718      0.45832759      0.52919645 
      6.5372474      -0.0658636       0.0262262       0.0346901       0.0397565       0.4586108      0.52960112 
      6.5377324      -0.0670557        0.026107       0.0333788       0.0384452      0.45954711      0.52964751 
        6.53828      -0.0670557       0.0262858       0.0333788       0.0374319      0.45969665      0.52987091 
      6.5387661      -0.0670557       0.0262858       0.0332596       0.0371935      0.46004456      0.52954924 
      6.5392526      -0.0674729       0.0253917       0.0321271       0.0375512      0.45938536      0.52961882 
      6.5397395      -0.0681882       0.0244976       0.0325444       0.0382664      0.45823969      0.52977264 
      6.5402854      -0.0676517       0.0242592       0.0320079       0.0387433      0.45740471      0.52961211 
      6.5407732      -0.0681286       0.0247956       0.0319483       0.0387433      0.45564562      0.52939665 
       6.541324      -0.0684266       0.0247956       0.0330212       0.0381472       0.4547087       0.5293527 
      6.5417501       -0.068665       0.0252129       0.0340345       0.0375512       0.4549498      0.52931547 
      6.5423017       -0.068963       0.0253917       0.0342133       0.0365379      0.45391644      0.52970855 
      6.5427911      -0.0679498       0.0249149       0.0336769       0.0366571      0.45351115      0.53009674 
      6.5432809      -0.0669365       0.0247956       0.0330808       0.0380876      0.45267556      0.53038301 
       6.543771      -0.0672941       0.0247956       0.0326636       0.0385048      0.45162023      0.53074923 
      6.5443243      -0.0676517       0.0251533       0.0312927       0.0389221      0.45195959      0.53059359 
       6.544815      -0.0669961       0.0249745       0.0299813       0.0390413      0.45190588      0.53030427 
