> Measurement made Thu Jun 22 16:13:40 2023
> Main magnet sweep  6.50000 to  8.50000 Tesla at  3.999 mT/s 
> Hysteresis correction (approximate) has been applied. 
> Main Magnet at  6.50000 T 
> ITC set at  180.000 K, T1: 180.000 K, T2: 509.100 K, T3: 324.100 K 
> For Cernox1 4.209000 Ohm corresponds to T = 999.000000 K at 0 T 
> LockIn1:   1 mV, Mod Freq 39610.000000 Hz, Phase 175.980000 degr, Ampl. 0.100000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Normal .
> LockIn2:   1 mV, Mod Freq 39609.800000 Hz, Phase 172.460000 degr, Ampl. 0.010000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Normal .
> Modulation: 22.291800 mA 
> Source Freq 240.000 GHz (dial 15.00), LO Freq 234.000 GHz (dial 3760) 
> Martin Pupplet setting 7.0 mm, Attenuator Grid 34 dB
> Source attn 10 dB, Diode reading (-20dB) 0 mV
> Reference attn 0 dB, Diode reading (-30dB) 8 mV
Field  Signal1_X  Signal2_X    Signal1_Y   Signal2_Y    
T  mV mV mV mV 
YMn6Sn6 Field perp 5mmx0.5mm piece
180K
-
-

>BEGIN
      8.4999936      -0.0159146       0.0199677      0.00780827      0.00190736 
      8.4999745      -0.0151992       0.0206233      0.00804669      0.00202657 
      8.4999434      -0.0136495        0.021279      0.00834471      0.00268222 
      8.4998932      -0.0131131       0.0214578      0.00792748      0.00345708 
      8.4998372      -0.0143648        0.020981      0.00888115      0.00262262 
      8.4997695      -0.0153185       0.0211598       0.0104905      0.00160933 
      8.4996916       -0.016451       0.0213386       0.0116826      0.00178815 
      8.4996033      -0.0172259       0.0215174       0.0122786      0.00214578 
      8.4995039      -0.0178815        0.020981        0.011921       0.0024438 
      8.4993788      -0.0181199       0.0209213       0.0106097      0.00280143 
      8.4992413      -0.0174047       0.0208617       0.0104309      0.00262262 
      8.4991115      -0.0159742        0.021279       0.0110865      0.00292064 
      8.4989517      -0.0146032        0.020981        0.011623      0.00327827 
      8.4988016      -0.0141264       0.0202061       0.0117422      0.00292064 
      8.4986208      -0.0155569       0.0208617       0.0119806      0.00268222 
      8.4984294      -0.0160338        0.020981       0.0104905      0.00339748 
      8.4982541      -0.0165106       0.0206829      0.00780827      0.00381473 
      8.4980437      -0.0168086       0.0208021      0.00762945      0.00327827 
      8.4978237      -0.0151396       0.0206233      0.00786787      0.00202657 
      8.4976242      -0.0135899       0.0206233       0.0082851      0.00172854 
      8.4974159      -0.0139475       0.0210406      0.00882155      0.00256301 
      8.4972028       -0.014782        0.021279       0.0100136       0.0023246 
      8.4969504      -0.0149608       0.0208617       0.0107289       0.0023246 
      8.4967236       -0.015855       0.0199677       0.0112653      0.00268222 
      8.4964885      -0.0157357       0.0205041       0.0108481      0.00333787 
      8.4962497      -0.0150204       0.0212194       0.0108481      0.00345708 
      8.4959687      -0.0145436       0.0210406       0.0103117      0.00345708 
      8.4956805      -0.0140071       0.0202657       0.0101328      0.00298025 
       8.495421      -0.0151992       0.0194908       0.0108481      0.00298025 
      8.4951196      -0.0151992       0.0194312       0.0109673      0.00208618 
      8.4948117      -0.0154377       0.0199081       0.0112653      0.00172854 
       8.494538      -0.0156165       0.0200869       0.0108481      0.00202657 
      8.4942595      -0.0156165       0.0199081       0.0106097       0.0023246 
      8.4939738      -0.0153781       0.0197889       0.0107289       0.0023842 
      8.4936863      -0.0150204       0.0202061       0.0114442      0.00321867 
      8.4933944      -0.0147224       0.0207425       0.0116826      0.00381473 
      8.4930956      -0.0149012       0.0208617       0.0118018       0.0036955 
      8.4927955      -0.0155569        0.021279       0.0103117      0.00375511 
      8.4924464      -0.0162722       0.0215174      0.00971562      0.00405314 
       8.492135       -0.016451        0.021577      0.00858313      0.00423196 
      8.4918228      -0.0171066       0.0216962      0.00876194      0.00417235 
      8.4915069      -0.0178815       0.0210406       0.0101328      0.00381473 
      8.4911404      -0.0181199       0.0210406       0.0112653       0.0036955 
      8.4908142      -0.0181795        0.021577       0.0118614      0.00435117 
      8.4904395      -0.0182391        0.021875       0.0120402      0.00464919 
      8.4901093      -0.0173451       0.0219346       0.0113845      0.00494721 
      8.4897269      -0.0162126       0.0212194       0.0107289      0.00500682 
      8.4893902       -0.016153       0.0206829       0.0103117      0.00452998 
      8.4890475      -0.0162722        0.021279      0.00989443      0.00399354 
      8.4887051      -0.0172855        0.021279       0.0107885      0.00381473 
      8.4883568      -0.0163914       0.0203253       0.0113249      0.00399354 
       8.488009      -0.0153781       0.0196696       0.0109077      0.00375511 
       8.487607      -0.0159742         0.01961      0.00995403      0.00262262 
      8.4872017      -0.0160338       0.0202657       0.0104309      0.00190736 
      8.4868458      -0.0150204       0.0205637       0.0111461      0.00262262 
      8.4864842      -0.0146032       0.0202657       0.0113845      0.00357629 
      8.4860705      -0.0154377       0.0203849       0.0104905      0.00458959 
       8.485654        -0.01508       0.0207425       0.0103117      0.00429156 
      8.4852884      -0.0151396       0.0211002      0.00995403      0.00381473 
      8.4848126      -0.0153185       0.0209213      0.00917917      0.00351669 
      8.4844425      -0.0154973       0.0208617      0.00900036      0.00351669 
      8.4840157      -0.0149608       0.0205637      0.00959641       0.0036359 
      8.4836415      -0.0142456       0.0202657       0.0107289      0.00309946 
      8.4832102      -0.0143648       0.0205637       0.0111461      0.00268222 
      8.4828288      -0.0151992       0.0209213       0.0113249      0.00321867 
      8.4824491      -0.0151396       0.0208617       0.0106097      0.00405314 
      8.4820117      -0.0153185       0.0201465       0.0101925       0.0036955 
