> Measurement made Thu Jun 22 12:49:06 2023
> Main magnet sweep  6.50000 to  8.50000 Tesla at  3.999 mT/s 
> Hysteresis correction (approximate) has been applied. 
> Main Magnet at  6.50000 T 
> ITC set at  200.000 K, T1: 199.500 K, T2: 509.100 K, T3: 324.100 K 
> For Cernox1 42.069000 Ohm corresponds to T = 999.000000 K at 0 T 
> LockIn1:   1 mV, Mod Freq 39610.000000 Hz, Phase 175.980000 degr, Ampl. 0.100000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Normal .
> LockIn2:   1 mV, Mod Freq 39609.800000 Hz, Phase 172.460000 degr, Ampl. 0.010000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Normal .
> Modulation: 22.157700 mA 
> Source Freq 240.000 GHz (dial 15.00), LO Freq 234.000 GHz (dial 3760) 
> Martin Pupplet setting 7.0 mm, Attenuator Grid 34 dB
> Source attn 10 dB, Diode reading (-20dB) 0 mV
> Reference attn 0 dB, Diode reading (-30dB) 8 mV
Field  Signal1_X  Signal2_X    Signal1_Y   Signal2_Y    
T  mV mV mV mV 
YMn6Sn6 Field perp 5mmx0.5mm piece
200K
-
-
-

>BEGIN
      6.5000064       0.0172855      -0.0184776      0.00178815      0.00631812 
      6.5000253       0.0176431      -0.0181199      0.00143052       0.0060797 
      6.5000566       0.0178815      -0.0182987      0.00143052      0.00643733 
      6.5000995       0.0179411      -0.0184776     0.000894073      0.00661614 
      6.5001539       0.0168086      -0.0178815     0.000715259      0.00697377 
        6.50022       0.0157953      -0.0173451     0.000953682       0.0073314 
      6.5002963       0.0154377      -0.0172855      0.00184775      0.00745061 
       6.500384       0.0162126      -0.0175835      0.00101329      0.00745061 
      6.5004961       0.0168682      -0.0175239     5.96051e-05      0.00631812 
      6.5006045       0.0163914      -0.0172855     0.000178815      0.00524524 
      6.5007224       0.0154973      -0.0171066     0.000953682       0.0047088 
      6.5008507       0.0153781      -0.0173451      0.00059605      0.00518563 
      6.5009869       0.0159146      -0.0172855      0.00059605      0.00536445 
      6.5011538       0.0166298      -0.0178219      0.00101329      0.00518563 
      6.5013085       0.0172259      -0.0182391      0.00268222      0.00518563 
      6.5014728       0.0178815      -0.0185372      0.00381473      0.00590089 
      6.5016436       0.0176431       -0.018716      0.00351669      0.00625852 
       6.501849       0.0166298      -0.0185968       0.0023246      0.00578168 
      6.5020379       0.0159146       -0.018418      0.00178815      0.00494721 
      6.5022324       0.0166298      -0.0175239      0.00143052      0.00458959 
      6.5024338       0.0171066      -0.0171066      0.00107289      0.00488761 
      6.5026441        0.017047      -0.0176431      0.00160933      0.00506642 
       6.502859       0.0166298      -0.0187756      0.00178815      0.00518563 
      6.5030804       0.0163914      -0.0192524     0.000894073      0.00530484 
       6.503342       0.0165106      -0.0190736      0.00035763      0.00524524 
      6.5035788       0.0174643      -0.0188948     0.000655655      0.00542405 
      6.5038551       0.0186564       -0.019014      0.00166894       0.0060201 
      6.5041021       0.0185968      -0.0199677       0.0011325      0.00590089 
      6.5043921       0.0184776      -0.0199081       0.0012517       0.0060797 
      6.5046891       0.0180007        -0.01961      0.00286104      0.00613931 
      6.5049561       0.0178219      -0.0194312      0.00375511      0.00649694 
      6.5052257       0.0159146      -0.0186564      0.00357629      0.00661614 
      6.5055001       0.0138879      -0.0175835      0.00387433      0.00613931 
      6.5057818       0.0134707      -0.0174047      0.00441077      0.00548366 
      6.5060655       0.0151396      -0.0173451      0.00387433      0.00560287 
      6.5063536       0.0174047      -0.0172855       0.0036955      0.00572208 
      6.5066488       0.0185968      -0.0171663      0.00423196      0.00572208 
      6.5069454       0.0184776      -0.0175835      0.00452998      0.00524524 
      6.5072489       0.0178219      -0.0181199      0.00405314      0.00518563 
      6.5075987       0.0169874      -0.0178219      0.00298025      0.00542405 
      6.5079077       0.0172855      -0.0182987      0.00274183       0.0060797 
      6.5082205       0.0185968      -0.0184776      0.00256301      0.00625852 
      6.5085397       0.0191928      -0.0180603      0.00196697       0.0060201 
      6.5088596       0.0191928      -0.0182391      0.00160933      0.00566247 
      6.5092305       0.0179411      -0.0180007      0.00101329      0.00560287 
      6.5095575        0.016451      -0.0179411     0.000774864      0.00625852 
      6.5098907       0.0154973      -0.0169874     0.000894073      0.00578168 
       6.510224       0.0154377      -0.0165702      0.00101329      0.00494721 
      6.5106098       0.0162126      -0.0173451      0.00172854       0.0047088 
      6.5109995       0.0178219      -0.0181795      0.00160933      0.00530484 
      6.5113454       0.0180603      -0.0184776     0.000834469      0.00554326 
      6.5116909       0.0179411      -0.0181199       0.0011921      0.00572208 
      6.5120904       0.0175239      -0.0178815      0.00143052      0.00584128 
      6.5124415       0.0168682      -0.0177623     0.000953682      0.00572208 
      6.5127983       0.0165702      -0.0175835      0.00190736      0.00554326 
      6.5131542        0.016749      -0.0172855      0.00190736      0.00554326 
      6.5135125       0.0169874      -0.0175239      0.00214578      0.00536445 
      6.5139262       0.0157357      -0.0174047      0.00154973      0.00554326 
      6.5143427       0.0157357      -0.0176431      0.00101329      0.00554326 
       6.514762       0.0168682      -0.0181199     0.000774864      0.00554326 
      6.5151332        0.017047      -0.0186564      0.00178815      0.00554326 
      6.5155575        0.016749      -0.0191332      0.00274183      0.00590089 
      6.5159296        0.016153      -0.0196696      0.00333787       0.0060201 
      6.5163069        0.015855        -0.01961      0.00333787      0.00566247 
      6.5166826       0.0160934       -0.019014      0.00292064      0.00560287 
      6.5171156       0.0159742      -0.0188948      0.00226499      0.00524524 
      6.5174951       0.0156165      -0.0183583      0.00154973      0.00536445 
