> Measurement made Thu Jun 22 09:24:41 2023
> Main magnet sweep  6.50000 to  8.50000 Tesla at  5.999 mT/s 
> Hysteresis correction (approximate) has been applied. 
> Main Magnet at  6.50000 T 
> ITC set at  240.000 K, T1: 240.000 K, T2: 509.100 K, T3: 324.100 K 
> For Cernox1 43.003000 Ohm corresponds to T = 999.000000 K at 0 T 
> LockIn1:   1 mV, Mod Freq 39610.000000 Hz, Phase 175.980000 degr, Ampl. 0.100000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Normal .
> LockIn2:   1 mV, Mod Freq 39609.800000 Hz, Phase 172.460000 degr, Ampl. 0.010000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Normal .
> Modulation: 22.142200 mA 
> Source Freq 240.000 GHz (dial 15.00), LO Freq 234.000 GHz (dial 3760) 
> Martin Pupplet setting 7.0 mm, Attenuator Grid 15 dB
> Source attn 10 dB, Diode reading (-20dB) 0.2 mV
> Reference attn 4 dB, Diode reading (-30dB) 8 mV
Field  Signal1_X  Signal2_X    Signal1_Y   Signal2_Y    
T  mV mV mV mV 
YMn6Sn6 large crystal perpendicular to field
240 GHz, 240 K
-
-
-

>BEGIN
      6.5000096       0.0125766       0.0159146      0.00780827      0.00357629 
      6.5000436       0.0135899       0.0174643      0.00625852      0.00351669 
      6.5000933       0.0128747       0.0182987      0.00500682      0.00429156 
      6.5001824       0.0120402       0.0172855      0.00482801      0.00375511 
      6.5002856       0.0125766       0.0163914      0.00619891      0.00405314 
      6.5003942       0.0122786       0.0172259      0.00679496      0.00494721 
      6.5005373        0.011623       0.0178815       0.0060201      0.00441077 
      6.5007006       0.0113249       0.0177027      0.00536445      0.00405314 
      6.5008835       0.0123978       0.0173451      0.00584128      0.00500682 
      6.5010584       0.0106097       0.0163914      0.00619891      0.00566247 
      6.5012472       0.0102521       0.0163914      0.00685456      0.00649694 
      6.5014804       0.0104905       0.0166298      0.00768906      0.00661614 
      6.5016998       0.0105501        0.016749      0.00745061      0.00596049 
        6.50193       0.0104905       0.0159146      0.00649694      0.00500682 
      6.5022092       0.0104309       0.0160338      0.00578168       0.0047684 
      6.5025041       0.0102521       0.0162126      0.00482801      0.00423196 
      6.5028141       0.0105501       0.0160338      0.00530484      0.00452998 
       6.503099       0.0104309         0.01508      0.00798708      0.00452998 
      6.5033922       0.0103713       0.0149608       0.0094772       0.0047088 
       6.503696       0.0110269       0.0160338      0.00882155      0.00423196 
      6.5040568       0.0114442       0.0171066      0.00798708      0.00375511 
      6.5044306       0.0118614       0.0174643      0.00786787      0.00387433 
      6.5048169        0.011921       0.0178219      0.00804669       0.0036359 
      6.5051669        0.012219       0.0173451      0.00834471      0.00506642 
      6.5055227        0.011623       0.0177623      0.00745061      0.00542405 
      6.5059414       0.0116826       0.0184776      0.00679496      0.00452998 
      6.5063155       0.0113845       0.0175239      0.00709298      0.00393394 
      6.5067545       0.0112653        0.016749      0.00679496      0.00375511 
      6.5071494       0.0107885        0.016451      0.00661614      0.00381473 
      6.5075484      0.00917917       0.0157953      0.00661614      0.00375511 
      6.5080151      0.00864273        0.016153       0.0060797      0.00447038 
      6.5084336      0.00882155       0.0168086      0.00667575      0.00500682 
      6.5089765      0.00995403       0.0176431      0.00691417      0.00452998 
      6.5094706       0.0100136       0.0178219      0.00780827       0.0036955 
      6.5099124      0.00989443       0.0184776      0.00882155      0.00375511 
      6.5104223       0.0100732       0.0181795      0.00888115       0.0047088 
      6.5109401       0.0101328       0.0191928      0.00882155      0.00405314 
       6.511398      0.00989443       0.0194908      0.00911957      0.00321867 
      6.5119301      0.00959641       0.0199081      0.00929838      0.00309946 
      6.5124694      0.00977522         0.01961      0.00905996      0.00286104 
      6.5129455       0.0108481       0.0195504       0.0082255      0.00333787 
      6.5134978        0.011921       0.0190736      0.00780827      0.00405314 
