> Measurement made Thu Jun 22 08:22:47 2023
> Main magnet sweep  6.50000 to  8.50000 Tesla at  5.999 mT/s 
> Hysteresis correction (approximate) has been applied. 
> Main Magnet at  6.66088 T 
> ITC set at  245.000 K, T1: 245.000 K, T2: 509.100 K, T3: 324.100 K 
> For Cernox1 -45.178000 Ohm corresponds to T = 0.000000 K at 0 T 
> LockIn1:   1 mV, Mod Freq 39610.000000 Hz, Phase 175.980000 degr, Ampl. 0.100000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Normal .
> LockIn2:   1 mV, Mod Freq 39609.800000 Hz, Phase 172.460000 degr, Ampl. 0.010000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Normal .
> Modulation: 22.155800 mA 
> Source Freq 240.000 GHz (dial 15.00), LO Freq 234.000 GHz (dial 3760) 
> Martin Pupplet setting 7.0 mm, Attenuator Grid 15 dB
> Source attn 10 dB, Diode reading (-20dB) 0.2 mV
> Reference attn 4 dB, Diode reading (-30dB) 8 mV
Field  Signal1_X  Signal2_X    Signal1_Y   Signal2_Y    
T  mV mV mV mV 
YMn6Sn6 large crystal perpendicular to field
240 GHz, 245 K
-
-
-

>BEGIN
      6.5000126      0.00160933       0.0151396      0.00452998       0.0012517 
      6.5000436      0.00286104        0.014484      0.00387433       0.0023842 
      6.5001015      0.00172854       0.0139475      0.00309946       0.0012517 
      6.5001824      0.00172854       0.0140071      0.00482801      0.00149012 
       6.500272      0.00315906       0.0152589      0.00679496      0.00160933 
      6.5003942      0.00387433       0.0153185       0.0082851     0.000476841 
      6.5005179      0.00381473       0.0153781      0.00798708     -0.00131131 
      6.5006786      0.00411275       0.0142456      0.00751021     -0.00172854 
      6.5008348      0.00375511       0.0143648      0.00667575      -0.0011921 
      6.5010072      0.00339748       0.0153185      0.00584128      -0.0012517 
      6.5012204      0.00292064        0.016153      0.00590089    -0.000178815 
      6.5014209      0.00339748        0.014186      0.00578168               0 
      6.5016346      0.00381473       0.0135303      0.00637773    -0.000536445 
      6.5018955      0.00452998       0.0132919       0.0072718    -0.000536445 
      6.5021385      0.00441077       0.0135899      0.00762945    -5.96051e-05 
      6.5024295      0.00286104       0.0129939      0.00667575      0.00154973 
      6.5026958      0.00214578       0.0135303      0.00631812      0.00101329 
      6.5030569       0.0011325       0.0151396      0.00691417    -0.000298025 
      6.5033922       0.0011921       0.0159742      0.00691417     -0.00149012 
       6.503696      0.00131131       0.0149608      0.00715259     -0.00166894 
      6.5040568      0.00178815       0.0149608       0.0073314    -0.000834469 
      6.5043851      0.00149012       0.0156165       0.0082851      0.00023842 
      6.5047699      0.00143052       0.0157953      0.00911957     0.000655655 
      6.5051669      0.00268222       0.0154377      0.00792748    -0.000715259 
      6.5055756       0.0036955        0.015855      0.00739101     -0.00208618 
      6.5059414      0.00435117       0.0165106      0.00739101     -0.00309946 
      6.5063711      0.00512603       0.0159146      0.00762945      -0.0024438 
      6.5067545      0.00417235       0.0146628      0.00762945     -0.00220539 
      6.5072039      0.00345708       0.0132919      0.00774866      -0.0012517 
      6.5076633      0.00345708       0.0134707      0.00810629     -0.00023842 
      6.5081323      0.00351669        0.014782      0.00649694     0.000774864 
      6.5086108      0.00375511       0.0157357      0.00625852      0.00101329 
      6.5090982      0.00339748       0.0155569      0.00691417     0.000655655 
      6.5095944       0.0023246       0.0153185      0.00613931    -0.000476841 
      6.5100381      0.00166894        0.016153      0.00554326     -0.00101329 
        6.51055      0.00160933       0.0159146      0.00584128    -0.000417234 
      6.5110028       0.0023842       0.0150204      0.00685456    -0.000953682 
      6.5114614      0.00262262       0.0145436      0.00798708    -0.000476841 
      6.5119944      0.00262262         0.01508       0.0073314     -0.00023842 
      6.5125346      0.00184775       0.0154377      0.00685456     -0.00101329 
      6.5130818      0.00160933       0.0156761      0.00685456     5.96051e-05 
       6.513569      0.00190736        0.016153      0.00631812     0.000476841 
