> Measurement made Thu Jun 22 00:07:52 2023
> Main magnet sweep  6.50000 to  8.50000 Tesla at  5.999 mT/s 
> Hysteresis correction (approximate) has been applied. 
> Main Magnet at  6.50000 T 
> ITC set at  250.000 K, T1: 250.000 K, T2: 509.100 K, T3: 324.100 K 
> For Cernox1 -6.909000 Ohm corresponds to T = 0.000000 K at 0 T 
> LockIn1:   1 mV, Mod Freq 39610.000000 Hz, Phase 175.980000 degr, Ampl. 0.100000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Normal .
> LockIn2:   1 mV, Mod Freq 39609.800000 Hz, Phase 172.460000 degr, Ampl. 0.010000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Normal .
> Modulation: 22.139500 mA 
> Source Freq 240.000 GHz (dial 15.00), LO Freq 234.000 GHz (dial 3760) 
> Martin Pupplet setting 7.0 mm, Attenuator Grid 15 dB
> Source attn 10 dB, Diode reading (-20dB) 0.14 mV
> Reference attn 5 dB, Diode reading (-30dB) 10 mV
Field  Signal1_X  Signal2_X    Signal1_Y   Signal2_Y    
T  mV mV mV mV 
YMn6Sn6 largest crystal
250 K
>BEGIN
      8.4999874      0.00405314      0.00965601       0.0036955     -0.00292064 
      8.4999503      0.00423196       0.0100136      0.00268222      -0.0024438 
      8.4998895      0.00542405      0.00941759       0.0023246     -0.00298025 
      8.4998169      0.00703338      0.00905996       0.0024438     -0.00339748 
      8.4997135      0.00852352      0.00929838      0.00226499     -0.00321867 
      8.4995886      0.00810629      0.00995403      0.00411275     -0.00393394 
      8.4994627      0.00685456       0.0103117      0.00649694     -0.00590089 
      8.4992994      0.00464919       0.0104309      0.00780827     -0.00655654 
      8.4991165      0.00452998      0.00995403      0.00679496     -0.00548366 
      8.4989148      0.00488761      0.00959641      0.00506642     -0.00458959 
       8.498724      0.00536445       0.0094772      0.00298025     -0.00417235 
      8.4984885      0.00679496      0.00929838      0.00309946     -0.00506642 
       8.498236      0.00584128       0.0102521      0.00381473     -0.00530484 
      8.4979669      0.00464919       0.0111461      0.00393394     -0.00435117 
      8.4977168      0.00315906       0.0113845      0.00494721     -0.00458959 
       8.497418      0.00321867       0.0106097      0.00578168     -0.00500682 
      8.4971042      0.00315906      0.00989443      0.00554326     -0.00435117 
      8.4967758      0.00339748       0.0102521      0.00524524     -0.00345708 
      8.4964781      0.00172854       0.0113845      0.00441077     -0.00256301 
      8.4961238      0.00149012       0.0110269      0.00381473     -0.00208618 
      8.4957564      0.00286104       0.0109077      0.00423196     -0.00268222 
      8.4954225      0.00524524       0.0102521      0.00500682      -0.0036359 
      8.4950822      0.00596049       0.0103713      0.00512603     -0.00429156 
      8.4946808      0.00321867       0.0109673      0.00518563     -0.00488761 
      8.4943212      0.00172854       0.0118614      0.00590089     -0.00464919 
      8.4939497      0.00274183       0.0113845      0.00768906     -0.00417235 
      8.4935172      0.00315906       0.0113845       0.0082851     -0.00303985 
      8.4931314      0.00184775       0.0108481      0.00786787      -0.0023246 
      8.4926795      0.00256301      0.00917917      0.00655654     -0.00256301 
      8.4922772      0.00488761      0.00858313      0.00655654     -0.00351669 
      8.4917461      0.00518563      0.00941759      0.00512603      -0.0036359 
      8.4912653      0.00429156      0.00971562      0.00506642     -0.00417235 
      8.4908387       0.0036955       0.0103713      0.00512603     -0.00488761 
      8.4903414       0.0047684       0.0105501      0.00536445     -0.00506642 
      8.4898357      0.00584128       0.0112653      0.00584128     -0.00530484 
       8.489384       0.0047684       0.0115038      0.00590089      -0.0047088 
      8.4889303      0.00494721       0.0110269      0.00745061     -0.00488761 
      8.4884665      0.00530484       0.0105501      0.00768906     -0.00429156 
      8.4879325      0.00566247      0.00971562      0.00667575     -0.00250341 
       8.487461      0.00590089      0.00911957      0.00530484     -0.00196697 
      8.4869842      0.00500682      0.00995403      0.00500682     -0.00387433 
       8.486431      0.00447038       0.0095368      0.00530484     -0.00524524 
      8.4859388      0.00309946      0.00870234      0.00572208     -0.00494721 
      8.4853735       0.0024438       0.0082255      0.00566247     -0.00488761 
      8.4848021      0.00321867      0.00774866       0.0060201     -0.00482801 
      8.4842989      0.00512603      0.00655654      0.00649694     -0.00584128 
      8.4837165      0.00649694      0.00649694      0.00596049     -0.00554326 
      8.4832041      0.00816589      0.00774866      0.00441077     -0.00464919 
