> Measurement made Wed Jun 21 18:18:00 2023
> Main magnet sweep  6.50000 to  8.50000 Tesla at  5.999 mT/s 
> Hysteresis correction (approximate) has been applied. 
> Main Magnet at  6.50000 T 
> ITC set at  260.000 K, T1: 260.000 K, T2: 509.100 K, T3: 324.100 K 
> For Cernox1 -41.147000 Ohm corresponds to T = 0.000000 K at 0 T 
> LockIn1:   1 mV, Mod Freq 39610.000000 Hz, Phase 175.980000 degr, Ampl. 0.100000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Normal .
> LockIn2:   1 mV, Mod Freq 39609.800000 Hz, Phase 172.460000 degr, Ampl. 0.010000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Normal .
> Modulation: 22.156500 mA 
> Source Freq 240.000 GHz (dial 15.00), LO Freq 234.000 GHz (dial 3760) 
> Martin Pupplet setting 7.0 mm, Attenuator Grid 15 dB
> Source attn 10 dB, Diode reading (-20dB) 0.14 mV
> Reference attn 3 dB, Diode reading (-30dB) 10 mV
Field  Signal1_X  Signal2_X    Signal1_Y   Signal2_Y    
T  mV mV mV mV 
YMn6Sn6 largest crystal
260 K
>BEGIN
      8.4999903      0.00804669     -0.00268222      0.00661614     -0.00405314 
      8.4999503       0.0094772      -0.0024438      0.00679496      -0.0036359 
       8.499898       0.0103117     -0.00202657       0.0073314     -0.00339748 
      8.4998169       0.0101925     -0.00178815      0.00804669     -0.00345708 
      8.4997135      0.00834471     -0.00166894      0.00894075     -0.00387433 
      8.4995886      0.00804669    -0.000894073       0.0094772     -0.00274183 
      8.4994429      0.00780827    -0.000417234      0.00965601     -0.00208618 
       8.499277      0.00697377    -0.000953682      0.00894075     -0.00190736 
      8.4990917       0.0060201     -0.00137091      0.00786787     -0.00208618 
      8.4988876      0.00631812     -0.00137091      0.00774866     -0.00190736 
      8.4986653      0.00768906     -0.00172854      0.00900036      -0.0023842 
      8.4984572       0.0082851     -0.00184775      0.00995403     -0.00298025 
      8.4982024      0.00768906     -0.00131131      0.00935799     -0.00274183 
      8.4978954      0.00709298    -0.000476841      0.00804669     -0.00250341 
      8.4976441      0.00780827    -0.000715259      0.00780827     -0.00309946 
      8.4973811      0.00905996    -0.000953682      0.00774866     -0.00345708 
      8.4971042      0.00965601    -0.000178815      0.00882155     -0.00345708 
      8.4967758       0.0100732     -0.00035763       0.0100136     -0.00327827 
      8.4964335       0.0110865    -5.96051e-05      0.00989443     -0.00303985 
      8.4961238       0.0101328               0      0.00989443     -0.00375511 
      8.4957564      0.00840431    -0.000178815      0.00959641     -0.00327827 
      8.4953763       0.0073314     0.000417234      0.00888115     -0.00303985 
      8.4949838      0.00721219      0.00059605      0.00929838     -0.00250341 
      8.4945794       0.0072718     0.000178815       0.0082851     -0.00298025 
      8.4941635      0.00709298      0.00059605      0.00882155     -0.00357629 
      8.4937918       0.0073314     0.000536445      0.00905996     -0.00411275 
      8.4933554      0.00745061     -0.00023842       0.0082851     -0.00435117 
      8.4929085      0.00655654    -0.000953682       0.0082851     -0.00375511 
      8.4924516      0.00649694     -0.00160933      0.00876194     -0.00303985 
      8.4919849      0.00631812     -0.00143052      0.00852352     -0.00268222 
      8.4915087      0.00655654     -0.00172854       0.0082255     -0.00298025 
      8.4910235      0.00691417     -0.00131131      0.00864273     -0.00286104 
      8.4905294      0.00804669    -0.000834469      0.00852352     -0.00315906 
      8.4900268      0.00798708     -0.00137091      0.00685456     -0.00315906 
       8.489516      0.00792748     -0.00131131      0.00596049     -0.00303985 
      8.4890599      0.00888115    -0.000476841      0.00703338     -0.00303985 
      8.4885343      0.00882155      0.00023842       0.0082255     -0.00315906 
      8.4880699      0.00959641     0.000476841      0.00876194     -0.00327827 
      8.4875956       0.0104309     0.000417234      0.00876194      -0.0036359 
      8.4870501      0.00989443     0.000417234      0.00685456     -0.00381473 
      8.4864978       0.0095368    -0.000536445      0.00625852     -0.00399354 
      8.4859388      0.00864273    -0.000715259       0.0082851      -0.0036955 
      8.4854462       0.0082255    -0.000476841       0.0082255     -0.00226499 
      8.4848021      0.00798708    -0.000953682      0.00756982     -0.00160933 
      8.4842247      0.00774866     -0.00137091       0.0073314     -0.00220539 
      8.4837165      0.00858313     -0.00154973      0.00655654      -0.0024438 
      8.4831286      0.00977522     -0.00160933      0.00721219     -0.00190736 
