> Measurement made Wed Jun 21 17:31:00 2023
> Main magnet sweep  6.50000 to  8.50000 Tesla at  5.999 mT/s 
> Hysteresis correction (approximate) has been applied. 
> Main Magnet at  6.50000 T 
> ITC set at  270.000 K, T1: 269.800 K, T2: 509.100 K, T3: 324.100 K 
> For Cernox1 14.522000 Ohm corresponds to T = 999.000000 K at 0 T 
> LockIn1:   1 mV, Mod Freq 39610.000000 Hz, Phase 175.980000 degr, Ampl. 0.100000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Normal .
> LockIn2:   1 mV, Mod Freq 39609.800000 Hz, Phase 172.460000 degr, Ampl. 0.010000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Normal .
> Modulation: 22.112600 mA 
> Source Freq 240.000 GHz (dial 15.00), LO Freq 234.000 GHz (dial 3760) 
> Martin Pupplet setting 7.0 mm, Attenuator Grid 15 dB
> Source attn 10 dB, Diode reading (-20dB) 0.14 mV
> Reference attn 3 dB, Diode reading (-30dB) 10 mV
Field  Signal1_X  Signal2_X    Signal1_Y   Signal2_Y    
T  mV mV mV mV 
YMn6Sn6 largest crystal
270 K
>BEGIN
      8.4999874       0.0128151      -0.0024438       0.0105501    -0.000953682 
      8.4999564       0.0130535     -0.00262262       0.0108481      -0.0011921 
      8.4998895       0.0132323      -0.0023842       0.0131131      -0.0012517 
      8.4998057       0.0134111     -0.00149012       0.0144244      -0.0012517 
      8.4997144       0.0123978      -0.0012517       0.0129939    -0.000953682 
      8.4995722       0.0103713     -0.00196697       0.0118614     -0.00035763 
       8.499424       0.0105501     -0.00268222      0.00965601    -0.000417234 
      8.4992558       0.0116826     -0.00286104       0.0111461     -0.00137091 
      8.4990933       0.0113249     -0.00208618       0.0131727     -0.00172854 
      8.4988893       0.0101925      -0.0011921       0.0144244     -0.00184775 
      8.4986948       0.0106097    -0.000536445        0.014782     -0.00107289 
      8.4984275       0.0109077     -0.00101329       0.0122786    -0.000417234 
      8.4982024       0.0106693     -0.00131131       0.0109077     0.000417234 
      8.4979312       0.0115038     -0.00214578       0.0111461      0.00035763 
      8.4976817       0.0107885     -0.00208618       0.0115634     0.000298025 
      8.4973811      0.00965601     -0.00137091      0.00995403      0.00011921 
      8.4970655      0.00858313     -0.00208618       0.0109673    -0.000655655 
      8.4967785      0.00870234     -0.00339748       0.0129939      -0.0011921 
      8.4964781       0.0101925     -0.00411275       0.0144244     -0.00149012 
      8.4961699       0.0103117     -0.00417235       0.0130535     -0.00208618 
      8.4958042      0.00971562     -0.00351669       0.0130535     -0.00214578 
      8.4954256      0.00995403     -0.00298025       0.0123978     -0.00154973 
      8.4950347       0.0123978     -0.00298025      0.00923878     -0.00101329 
      8.4946318       0.0140071     -0.00292064      0.00905996     -0.00059605 
      8.4942174       0.0136495     -0.00214578      0.00971562     -0.00149012 
      8.4937918       0.0134707     -0.00137091       0.0112057     -0.00196697 
      8.4934118       0.0135303     -0.00143052       0.0116826     -0.00190736 
      8.4929085       0.0127555     -0.00149012       0.0109077     -0.00107289 
      8.4925106       0.0116826     -0.00149012       0.0106097    -0.000536445 
      8.4920452      0.00834471     -0.00131131       0.0113249    -0.000715259 
      8.4915702      0.00590089     -0.00149012       0.0111461    -0.000417234 
      8.4910861      0.00745061     -0.00303985       0.0115634    -0.000417234 
      8.4905931       0.0082851     -0.00375511        0.011921    -0.000298025 
      8.4900916       0.0072718     -0.00292064       0.0111461     0.000476841 
      8.4896435      0.00774866     -0.00280143       0.0123978      0.00011921 
      8.4891932      0.00685456     -0.00309946       0.0129939    -0.000417234 
      8.4886696       0.0060201     -0.00286104       0.0123382    -0.000953682 
      8.4882026      0.00774866     -0.00178815       0.0122786     -0.00154973 
       8.487665       0.0107885     -0.00202657       0.0138283     -0.00154973 
      8.4871904       0.0134111     -0.00262262       0.0126958      -0.0011921 
      8.4866398       0.0140668     -0.00280143      0.00989443    -0.000953682 
      8.4860825       0.0143648     -0.00274183       0.0107885    -0.000655655 
      8.4855913       0.0152589     -0.00274183       0.0114442    -0.000953682 
       8.484949       0.0145436     -0.00166894       0.0141264     -0.00101329 
      8.4843731       0.0134707     -0.00196697       0.0137091    -0.000417234 
      8.4837914       0.0128747     -0.00208618       0.0120402     -0.00023842 
      8.4832041      0.00834471     -0.00220539       0.0103117     0.000298025 
