> Measurement made Wed Jun 21 17:31:00 2023
> Main magnet sweep  6.50000 to  8.50000 Tesla at  5.999 mT/s 
> Hysteresis correction (approximate) has been applied. 
> Main Magnet at  6.50000 T 
> ITC set at  270.000 K, T1: 269.800 K, T2: 509.100 K, T3: 324.100 K 
> For Cernox1 14.522000 Ohm corresponds to T = 999.000000 K at 0 T 
> LockIn1:   1 mV, Mod Freq 39610.000000 Hz, Phase 175.980000 degr, Ampl. 0.100000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Normal .
> LockIn2:   1 mV, Mod Freq 39609.800000 Hz, Phase 172.460000 degr, Ampl. 0.010000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Normal .
> Modulation: 22.112600 mA 
> Source Freq 240.000 GHz (dial 15.00), LO Freq 234.000 GHz (dial 3760) 
> Martin Pupplet setting 7.0 mm, Attenuator Grid 15 dB
> Source attn 10 dB, Diode reading (-20dB) 0.14 mV
> Reference attn 3 dB, Diode reading (-30dB) 10 mV
Field  Signal1_X  Signal2_X    Signal1_Y   Signal2_Y    
T  mV mV mV mV 
YMn6Sn6 largest crystal
270 K
>BEGIN
      6.5000097      0.00441077      -0.0012517       0.0156761     -0.00160933 
      6.5000382      0.00566247     -0.00160933       0.0137091     -0.00137091 
      6.5000849      0.00780827     -0.00137091       0.0121594     -0.00131131 
      6.5001602      0.00774866    -0.000834469       0.0110269     -0.00184775 
       6.500245       0.0073314    -0.000417234       0.0116826     -0.00178815 
      6.5003619      0.00709298    -0.000953682       0.0137091     -0.00131131 
      6.5004999      0.00685456     -0.00154973       0.0157953      -0.0011325 
      6.5006786      0.00798708     -0.00149012        0.015855     -0.00208618 
      6.5008363      0.00888115     -0.00137091       0.0153185     -0.00160933 
      6.5010584       0.0107289     -0.00178815        0.012517     -0.00154973 
       6.501249       0.0132323     -0.00166894       0.0105501     -0.00131131 
      6.5015115       0.0124574     -0.00107289       0.0107885      -0.0012517 
      6.5017328       0.0113249     -0.00137091       0.0107885      -0.0011325 
          6.502      0.00983482    -0.000953682       0.0120998     -0.00166894 
      6.5022832      0.00798708    -0.000715259       0.0130535     -0.00149012 
      6.5026189      0.00804669      -0.0011921       0.0138283     -0.00160933 
      6.5029345      0.00870234     -0.00202657       0.0113249     -0.00131131 
      6.5032242      0.00852352     -0.00202657       0.0118614     -0.00131131 
      6.5036085      0.00572208     -0.00154973       0.0131727     -0.00190736 
      6.5039661      0.00524524    -0.000953682       0.0125766     -0.00178815 
      6.5043367      0.00751021    -0.000417234       0.0110269     -0.00184775 
      6.5047199      0.00810629    -0.000655655       0.0105501     -0.00184775 
      6.5051154      0.00768906      -0.0011921       0.0119806     -0.00250341 
      6.5055227      0.00804669     -0.00256301       0.0131131     -0.00298025 
      6.5058905      0.00941759     -0.00351669       0.0115634     -0.00196697 
      6.5063711      0.00905996     -0.00292064       0.0105501     -0.00101329 
      6.5068114      0.00840431      -0.0023246      0.00929838      -0.0011325 
      6.5072621      0.00751021     -0.00196697      0.00816589     -0.00166894 
      6.5077228      0.00888115     -0.00137091      0.00756982     -0.00214578 
      6.5081931      0.00917917     -0.00131131      0.00810629     -0.00137091 
      6.5086146       0.0110865      -0.0012517       0.0094772     -0.00131131 
      6.5091022       0.0111461    -0.000298025       0.0107289     -0.00172854 
      6.5095984      0.00989443      0.00035763       0.0108481     -0.00160933 
      6.5100381      0.00888115     -0.00011921       0.0126958     -0.00190736 
       6.510616      0.00888115      -0.0011921       0.0130535     -0.00220539 
      6.5111368      0.00900036     -0.00208618       0.0116826      -0.0023842 
      6.5116652      0.00882155     -0.00292064       0.0127555     -0.00220539 
       6.512201      0.00911957     -0.00345708       0.0131727      -0.0012517 
       6.512744       0.0123382     -0.00351669       0.0131727     -0.00137091 
       6.513223        0.012219     -0.00321867       0.0135303     -0.00166894 
      6.5138503       0.0113249     -0.00321867       0.0129939     -0.00214578 
      6.5143408       0.0109673     -0.00315906        0.011623      -0.0023246 
      6.5148406      0.00941759     -0.00250341       0.0108481     -0.00208618 
      6.5154143      0.00816589     -0.00196697       0.0106097      -0.0012517 
      6.5159939      0.00661614     -0.00196697       0.0106097    -0.000715259 
      6.5165039      0.00655654      -0.0023246       0.0106097     -0.00101329 
      6.5170939      0.00619891     -0.00286104       0.0102521     -0.00190736 
