> Measurement made Tue Jun 20 15:27:53 2023
> Main magnet sweep 12.50000 to  0.00000 Tesla at  5.999 mT/s 
> Hysteresis correction (approximate) has been applied. 
> Main Magnet at 12.50000 T 
> ITC set at    5.000 K, T1: 289.000 K, T2: 509.100 K, T3: 324.100 K 
> For Cernox1 74.989000 Ohm corresponds to T = 999.000000 K at 0 T 
> LockIn1:   1 mV, Mod Freq 39610.000000 Hz, Phase -166.020000 degr, Ampl. 0.100000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Normal .
> LockIn2:   1 mV, Mod Freq 39609.800000 Hz, Phase -170.540000 degr, Ampl. 0.010000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Normal .
> Modulation: 21.681400 mA 
> Source Freq 240.000 GHz (dial 15.00), LO Freq 234.000 GHz (dial 3760) 
> Martin Pupplet setting 7.0 mm, Attenuator Grid 15 dB
> Source attn 10 dB, Diode reading (-20dB) 0.14 mV
> Reference attn 3 dB, Diode reading (-30dB) 10 mV
Field  Signal1_X  Signal2_X    Signal1_Y   Signal2_Y    
T  mV mV mV mV 
YMn6Sn6 largest crystal
room temperature
>BEGIN
      12.499987      0.00190736      0.00303985     -0.00411275      0.00929838 
       12.49995      0.00208618      0.00286104     -0.00548366      0.00804669 
      12.499889      0.00184775       0.0011921     -0.00596049       0.0072718 
      12.499818    -0.000536445     0.000178815     -0.00494721      0.00762945 
      12.499729     -0.00196697      0.00011921     -0.00441077      0.00816589 
      12.499623     -0.00011921      0.00143052     -0.00399354      0.00911957 
      12.499482      0.00196697      0.00131131     -0.00292064       0.0107289 
      12.499321      0.00256301     0.000953682    -0.000774864       0.0126362 
      12.499165      0.00154973     0.000774864               0       0.0131131 
      12.498968      0.00143052    -5.96051e-05    -0.000774864        0.011623 
      12.498753     5.96051e-05     -0.00196697      -0.0024438       0.0104309 
       12.49852      -0.0011921     -0.00268222     -0.00393394      0.00911957 
        12.4983     -0.00160933     -0.00131131      -0.0036359      0.00911957 
      12.498002     -0.00256301    -0.000536445     -0.00333787      0.00882155 
      12.497754     -0.00149012     -0.00059605     -0.00256301      0.00935799 
      12.497496     -0.00154973     -0.00154973     -0.00160933       0.0113845 
      12.497186     -0.00196697     -0.00143052      -0.0012517       0.0128151 
      12.496861     -0.00274183    -0.000953682     -0.00172854        0.012517 
      12.496522     -0.00315906     -0.00107289      -0.0023246       0.0112653 
      12.496216    -0.000834469     0.000715259     -0.00160933       0.0107289 
      12.495852      0.00107289      0.00184775      -0.0024438        0.011921 
      12.495475     0.000715259      0.00154973     -0.00345708       0.0121594 
      12.495133     0.000715259     0.000417234     -0.00357629       0.0123978 
      12.494733      0.00101329      0.00035763     -0.00250341       0.0131727 
      12.494321      0.00137091    -5.96051e-05     -0.00172854       0.0123978 
      12.493898    -0.000476841    -0.000774864     -0.00381473       0.0103713 
      12.493465     -0.00190736     -0.00166894     -0.00405314      0.00959641 
       12.49302     -0.00226499     -0.00226499     -0.00333787      0.00900036 
      12.492566     -0.00280143     -0.00202657      -0.0023246      0.00959641 
      12.492161     -0.00023842     5.96051e-05     -0.00160933       0.0110865 
      12.491689      0.00101329      0.00035763     -0.00250341       0.0106693 
      12.491269      0.00375511      0.00166894     -0.00405314      0.00971562 
       12.49078      0.00488761      0.00208618     -0.00566247      0.00888115 
      12.490281      0.00333787     -0.00011921     -0.00542405      0.00995403 
      12.489774     -0.00035763     -0.00202657     -0.00345708       0.0112057 
      12.489322     -0.00190736     -0.00214578     -0.00315906       0.0115634 
      12.488867     -0.00166894     -0.00214578     -0.00578168      0.00995403 
      12.488339     -0.00011921     -0.00172854     -0.00685456      0.00870234 
      12.487803       0.0011325     -0.00154973     -0.00494721      0.00882155 
       12.48726      0.00107289     -0.00137091     -0.00309946       0.0082851 
      12.486711      0.00011921    -0.000178815     -0.00220539      0.00900036 
      12.486154     -0.00035763      0.00035763      -0.0012517      0.00971562 
      12.485591    -0.000834469    -0.000178815    -0.000834469      0.00959641 
      12.485022     -0.00190736     -0.00178815     -0.00035763       0.0112653 
      12.484447     -0.00274183     -0.00214578     0.000298025       0.0125766 
      12.483866     -0.00220539     -0.00220539       0.0011921       0.0136495 
       12.48328     -0.00154973     -0.00298025      0.00262262       0.0134111 
      12.482759     -0.00190736     -0.00387433      0.00143052       0.0118614 
