> Measurement made Wed Jun 21 15:13:00 2023
> Main magnet sweep  6.00000 to  9.00000 Tesla at  5.999 mT/s 
> Hysteresis correction (approximate) has been applied. 
> Main Magnet at  5.00173 T 
> ITC set at  290.000 K, T1: 290.000 K, T2: 509.100 K, T3: 324.100 K 
> For Cernox1 11.362000 Ohm corresponds to T = 999.000000 K at 0 T 
> LockIn1:   1 mV, Mod Freq 39610.000000 Hz, Phase -166.020000 degr, Ampl. 0.100000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Normal .
> LockIn2:   1 mV, Mod Freq 39609.800000 Hz, Phase -170.540000 degr, Ampl. 0.010000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Normal .
> Modulation: 22.037400 mA 
> Source Freq 240.000 GHz (dial 15.00), LO Freq 234.000 GHz (dial 3760) 
> Martin Pupplet setting 7.0 mm, Attenuator Grid 15 dB
> Source attn 10 dB, Diode reading (-20dB) 0.14 mV
> Reference attn 3 dB, Diode reading (-30dB) 10 mV
Field  Signal1_X  Signal2_X    Signal1_Y   Signal2_Y    
T  mV mV mV mV 
YMn6Sn6 largest crystal
290 K after not seeing anything at 240K
>BEGIN
      8.9999904      0.00298025      0.00190736      0.00578168      0.00864273 
      8.9999618      0.00131131      0.00107289      0.00190736      0.00834471 
      8.9999151       0.0024438     0.000655655     -0.00107289       0.0082255 
        8.99985      0.00679496      0.00023842     -0.00268222      0.00810629 
       8.999755       0.0060201     5.96051e-05      -0.0024438      0.00864273 
      8.9996381      0.00786787      0.00101329    -0.000834469      0.00858313 
      8.9995001      0.00864273     0.000715259    -0.000536445      0.00929838 
      8.9993417       0.0060797      0.00035763      0.00059605      0.00995403 
      8.9991637      0.00768906      0.00202657      -0.0024438      0.00911957 
      8.9989665       0.0036359       0.0023842     -0.00435117      0.00864273 
       8.998751      0.00226499      0.00226499     -0.00131131      0.00834471 
      8.9985485      0.00292064      0.00172854      0.00149012      0.00804669 
      8.9982672      0.00226499      0.00131131      0.00429156      0.00798708 
          8.998     0.000894073      0.00059605      0.00464919      0.00935799 
      8.9977539     -0.00107289               0      0.00756982       0.0103117 
      8.9974959    -0.000774864     0.000655655      0.00977522       0.0109077 
      8.9971859     -0.00011921      0.00154973      0.00989443       0.0110865 
      8.9968613       0.0011325      0.00214578      0.00715259      0.00995403 
      8.9965224     0.000953682      0.00256301      0.00226499      0.00911957 
      8.9961699     0.000894073       0.0023246     -0.00184775      0.00745061 
      8.9958042     -0.00154973       0.0011921     -0.00548366      0.00679496 
      8.9954256     -0.00149012     0.000953682     -0.00208618      0.00876194 
      8.9950347       0.0012517       0.0011325     -0.00381473      0.00888115 
      8.9946318     -0.00023842     0.000536445     -0.00292064      0.00792748 
      8.9942174     -0.00405314     0.000178815    -0.000417234      0.00685456 
      8.9937918      -0.0155569     -0.00160933     0.000417234      0.00679496 
      8.9933554      -0.0217558     -0.00154973     -0.00149012      0.00751021 
      8.9929085      -0.0153781     0.000715259       0.0012517      0.00834471 
      8.9924516     -0.00655654      0.00250341      0.00196697      0.00846392 
      8.9920414     -0.00542405      0.00131131      0.00280143      0.00858313 
      8.9916277      -0.0108481     -0.00035763      0.00911957      0.00917917 
      8.9911447      -0.0121594     0.000476841      0.00625852      0.00864273 
      8.9906528     -0.00673535      0.00220539      0.00679496      0.00894075 
      8.9902168     -0.00482801      0.00274183      0.00852352      0.00894075 
       8.989709     -0.00303985      0.00250341      0.00482801      0.00935799 
      8.9891932     -0.00697377      0.00143052      0.00101329      0.00900036 
      8.9886696     -0.00196697      0.00101329     -0.00625852      0.00751021 
      8.9881384      0.00214578     0.000953682      -0.0134707      0.00667575 
       8.987665      0.00214578     0.000894073      -0.0163914      0.00631812 
      8.9871203    -0.000715259     0.000417234      -0.0116826      0.00709298 
      8.9865688     -0.00214578     -0.00035763     -0.00327827      0.00834471 
      8.9860107     -0.00333787     5.96051e-05      0.00482801      0.00846392 
      8.9854462      -0.0011921     0.000834469      0.00464919      0.00762945 
      8.9848756      0.00178815      0.00178815      0.00393394      0.00780827 
      8.9843731    -0.000953682      0.00101329      0.00220539      0.00762945 
      8.9838615     -0.00280143       0.0012517      0.00154973      0.00685456 
      8.9832749     -0.00178815      0.00107289     -0.00149012      0.00685456 
      8.9826828    -0.000178815      0.00059605     -0.00441077      0.00715259 
