> Measurement made Wed Jun 21 15:13:00 2023
> Main magnet sweep  6.00000 to  9.00000 Tesla at  5.999 mT/s 
> Hysteresis correction (approximate) has been applied. 
> Main Magnet at  5.00173 T 
> ITC set at  290.000 K, T1: 290.000 K, T2: 509.100 K, T3: 324.100 K 
> For Cernox1 11.362000 Ohm corresponds to T = 999.000000 K at 0 T 
> LockIn1:   1 mV, Mod Freq 39610.000000 Hz, Phase -166.020000 degr, Ampl. 0.100000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Normal .
> LockIn2:   1 mV, Mod Freq 39609.800000 Hz, Phase -170.540000 degr, Ampl. 0.010000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Normal .
> Modulation: 22.037400 mA 
> Source Freq 240.000 GHz (dial 15.00), LO Freq 234.000 GHz (dial 3760) 
> Martin Pupplet setting 7.0 mm, Attenuator Grid 15 dB
> Source attn 10 dB, Diode reading (-20dB) 0.14 mV
> Reference attn 3 dB, Diode reading (-30dB) 10 mV
Field  Signal1_X  Signal2_X    Signal1_Y   Signal2_Y    
T  mV mV mV mV 
YMn6Sn6 largest crystal
290 K after not seeing anything at 240K
>BEGIN
      6.0000126     -0.00262262    -0.000655655     -0.00178815      0.00667575 
      6.0000497     -0.00274183      -0.0011921     -0.00160933      0.00661614 
      6.0001105     -0.00214578    -0.000536445     -0.00178815      0.00715259 
      6.0001943     5.96051e-05      0.00035763     -0.00214578      0.00745061 
      6.0003003     -0.00035763      0.00059605     -0.00423196      0.00685456 
      6.0004278      -0.0024438     0.000178815     -0.00488761      0.00649694 
       6.000576     -0.00208618     5.96051e-05     -0.00321867      0.00649694 
      6.0007216     0.000834469     0.000417234     0.000417234      0.00679496 
      6.0009067     0.000894073      0.00035763      0.00274183      0.00679496 
      6.0011107     -0.00333787    -0.000178815      0.00464919      0.00715259 
      6.0013328     -0.00220539    -0.000536445      0.00691417      0.00798708 
      6.0015725     -0.00107289     -0.00107289       0.0060797      0.00870234 
      6.0018292     -0.00166894      -0.0012517       0.0060201       0.0082851 
      6.0021024     -0.00435117      -0.0012517       0.0060797      0.00882155 
      6.0023914     -0.00405314    -0.000536445      0.00780827      0.00929838 
      6.0026585     -0.00292064               0      0.00625852      0.00888115 
      6.0029759    -0.000536445     0.000178815      0.00441077      0.00804669 
      6.0032645      0.00226499      0.00035763      0.00172854      0.00798708 
      6.0035665      0.00214578      0.00011921     0.000298025      0.00888115 
      6.0039225     0.000894073    -0.000536445     5.96051e-05      0.00929838 
      6.0042915      0.00166894     -0.00101329     -0.00160933      0.00888115 
      6.0046237      0.00178815               0     -0.00023842      0.00858313 
      6.0050162       0.0012517     0.000536445      0.00280143      0.00804669 
      6.0054206     -0.00149012     -0.00023842      0.00554326      0.00816589 
      6.0058365     -0.00524524     -0.00101329      0.00447038       0.0082851 
      6.0062635     -0.00840431     -0.00154973      0.00280143      0.00834471 
      6.0067012      -0.0094772    -0.000953682    -0.000834469      0.00804669 
      6.0071494     -0.00619891    -0.000298025     0.000417234      0.00864273 
      6.0076076     -0.00131131      0.00059605      0.00286104      0.00917917 
      6.0080755      0.00172854      0.00143052      0.00208618      0.00923878 
      6.0085529      0.00196697      0.00143052    -0.000655655      0.00858313 
      6.0090393     -0.00023842      0.00101329      0.00035763      0.00864273 
      6.0095344     -0.00482801       0.0011921      0.00375511       0.0082851 
      6.0099732     -0.00578168     0.000953682      0.00268222      0.00816589 
        6.01055     -0.00327827     0.000953682      0.00441077      0.00816589 
      6.0110697     0.000298025     0.000953682      0.00518563      0.00792748 
      6.0115972      0.00149012       0.0011325       0.0024438      0.00768906 
      6.0121321       0.0012517     0.000894073     5.96051e-05      0.00709298 
      6.0126741     -0.00196697     0.000476841     0.000715259      0.00715259 
       6.013223     -0.00441077      0.00011921       0.0012517      0.00697377 
      6.0137787     -0.00661614    -0.000476841      0.00292064      0.00721219 
      6.0143408     -0.00786787    -0.000834469      0.00274183      0.00691417 
      6.0149091      -0.0060201    -0.000774864      0.00274183      0.00703338 
      6.0154097     -0.00661614     -0.00131131    -0.000178815      0.00709298 
      6.0160638     -0.00554326    -0.000417234     -0.00274183      0.00667575 
      6.0166497     -0.00530484     0.000774864      0.00023842      0.00679496 
      6.0172411     -0.00274183      0.00149012      0.00327827      0.00661614 
