> Measurement made Wed Jun 21 16:10:26 2023
> Main magnet sweep  6.00000 to  9.00000 Tesla at  5.999 mT/s 
> Hysteresis correction (approximate) has been applied. 
> Main Magnet at  6.00000 T 
> ITC set at  300.000 K, T1: 300.000 K, T2: 509.100 K, T3: 324.100 K 
> For Cernox1 -71.893000 Ohm corresponds to T = 0.000000 K at 0 T 
> LockIn1:   1 mV, Mod Freq 39610.000000 Hz, Phase 175.980000 degr, Ampl. 0.100000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Normal .
> LockIn2:   1 mV, Mod Freq 39609.800000 Hz, Phase 172.460000 degr, Ampl. 0.010000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Normal .
> Modulation: 21.976100 mA 
> Source Freq 240.000 GHz (dial 15.00), LO Freq 234.000 GHz (dial 3760) 
> Martin Pupplet setting 7.0 mm, Attenuator Grid 15 dB
> Source attn 10 dB, Diode reading (-20dB) 0.14 mV
> Reference attn 3 dB, Diode reading (-30dB) 10 mV
Field  Signal1_X  Signal2_X    Signal1_Y   Signal2_Y    
T  mV mV mV mV 
YMn6Sn6 largest crystal
300 K after not seeing anything at 240K
>BEGIN
      6.0000096      0.00452998               0      0.00226499       0.0128747 
      6.0000436       0.0047684     -0.00023842      0.00268222       0.0135303 
      6.0001015      0.00399354     5.96051e-05      0.00351669       0.0132323 
      6.0001824      0.00280143     0.000298025      0.00387433        0.012219 
       6.000272       0.0023246     0.000536445      0.00464919        0.012219 
      6.0003942      0.00214578     0.000715259      0.00619891        0.012219 
      6.0005179      0.00160933               0      0.00572208       0.0121594 
      6.0006569      0.00149012    -0.000476841      0.00536445        0.012219 
      6.0008125      0.00190736    -0.000476841      0.00512603       0.0120998 
      6.0009812      0.00274183               0      0.00530484       0.0121594 
      6.0011921      0.00268222     0.000298025      0.00578168       0.0127555 
      6.0013925      0.00208618     0.000894073      0.00560287       0.0134707 
      6.0016366      0.00226499     0.000774864      0.00351669       0.0135303 
      6.0018976      0.00339748    -0.000715259      0.00262262       0.0128151 
      6.0021749      0.00399354     -0.00137091      0.00399354       0.0125766 
      6.0024679      0.00315906    -0.000536445      0.00500682       0.0125766 
      6.0027358       0.0011921     -0.00011921      0.00482801       0.0124574 
       6.003099     0.000834469    -0.000774864      0.00488761       0.0133515 
      6.0034362     -0.00023842    -0.000476841       0.0047088       0.0140071 
      6.0037871      0.00059605     5.96051e-05      0.00596049       0.0142456 
      6.0041039      0.00131131     0.000476841      0.00566247       0.0128747 
      6.0044793      0.00172854      0.00011921      0.00500682       0.0115634 
      6.0048672      0.00160933    -0.000774864      0.00464919       0.0110269 
      6.0052672      0.00190736     -0.00011921      0.00423196       0.0113249 
      6.0056788      0.00166894     0.000715259      0.00435117       0.0118614 
      6.0060469      0.00154973       0.0011921       0.0036359       0.0119806 
      6.0064268      0.00178815      0.00154973      0.00339748       0.0121594 
      6.0068114      0.00226499      0.00131131      0.00488761       0.0120402 
      6.0072621      0.00250341      0.00149012      0.00500682        0.012219 
      6.0077228      0.00315906      0.00190736      0.00441077       0.0125766 
      6.0081931      0.00375511      0.00190736      0.00381473        0.012517 
      6.0086727      0.00256301       0.0012517      0.00464919       0.0123382 
      6.0091613      0.00143052      0.00101329      0.00447038       0.0128747 
      6.0096586      0.00274183               0      0.00345708       0.0132919 
      6.0100991       0.0023246    -0.000417234      0.00214578       0.0130535 
        6.01055       0.0011325    -0.000774864      0.00149012       0.0125766 
      6.0110697       0.0011921    -0.000536445      0.00256301       0.0118614 
      6.0115293      0.00101329    -0.000536445      0.00262262       0.0117422 
      6.0119987      0.00202657    -0.000178815      0.00286104       0.0113249 
      6.0124694      0.00309946    -0.000178815      0.00321867       0.0109673 
      6.0130863      0.00411275    -0.000536445      0.00268222       0.0115634 
      6.0136403      0.00435117    -0.000476841       0.0024438       0.0117422 
      6.0142685      0.00542405    -0.000417234      0.00298025       0.0109673 
       6.014836      0.00441077     0.000417234      0.00262262       0.0116826 
      6.0153405      0.00262262     0.000298025      0.00274183       0.0126362 
       6.015845       0.0023842    -0.000476841      0.00351669       0.0124574 
      6.0164288      0.00274183    -0.000417234      0.00411275        0.012219 
      6.0169424      0.00399354     0.000298025      0.00399354       0.0117422 
      6.0175364      0.00452998     0.000715259      0.00268222        0.011921 
