> Measurement made Fri Jun 23 13:31:35 2023
> Main magnet sweep  6.50000 to  8.50000 Tesla at  5.999 mT/s 
> Hysteresis correction (approximate) has been applied. 
> Main Magnet at  6.50000 T 
> ITC set at    5.000 K, T1:   4.991 K, T2: 509.100 K, T3: 324.100 K 
> For Cernox1 43.975000 Ohm corresponds to T = 999.000000 K at 0 T 
> LockIn1:   1 mV, Mod Freq 39610.000000 Hz, Phase 175.980000 degr, Ampl. 0.080000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Normal .
> LockIn2:   1 mV, Mod Freq 39609.800000 Hz, Phase 172.460000 degr, Ampl. 0.010000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Normal .
> Modulation: 21.928100 mA 
> Source Freq 240.000 GHz (dial 15.00), LO Freq 234.000 GHz (dial 3760) 
> Martin Pupplet setting 7.0 mm, Attenuator Grid 15 dB
> Source attn 10 dB, Diode reading (-20dB) 0.2 mV
> Reference attn 4 dB, Diode reading (-30dB) 10 mV
Field  Signal1_X  Signal2_X    Signal1_Y   Signal2_Y    ADC   ADC   
T  mV mV mV mV V V 
YMn6Sn6  FIeld perp plane ~5x4x0.5 mm
5 K (field cooled)
-
-

>BEGIN
      8.4999874        0.014484      -0.0101328       0.0461938     -0.00351669      0.60805628   -0.0012213507 
      8.4999443       0.0144244      -0.0100732       0.0451806     -0.00286104      0.60472243  -0.00093142491 
      8.4998806       0.0136495     -0.00917917        0.045717     -0.00262262      0.60567034  -0.00045106357 
      8.4997814       0.0144244     -0.00840431       0.0473859     -0.00321867      0.60744041   -0.0010467849 
      8.4996542       0.0149012     -0.00852352       0.0494125     -0.00298025       0.6051558   9.1555528e-06 
      8.4995189       0.0135899     -0.00911957       0.0503066     -0.00333787      0.60619282   0.00023438215 
      8.4993631       0.0132323     -0.00965601       0.0493529     -0.00393394      0.60605731   -0.0013153478 
      8.4991875       0.0130535      -0.0100136       0.0482204     -0.00441077      0.60827845  -0.00063722648 
      8.4989682       0.0130535      -0.0101925       0.0473263      -0.0047684      0.60526566    -0.001429487 
      8.4987528       0.0125766      -0.0103117       0.0473263     -0.00458959       0.6061568  -0.00091555528 
      8.4984885        0.012219      -0.0100732       0.0465515     -0.00387433      0.60675802   -0.0019898068 
      8.4982045       0.0128151      -0.0100732        0.045419      -0.0036955      0.60514969   -0.0015485092 
      8.4978976       0.0132919     -0.00983482        0.045717      -0.0036955      0.60654195  -0.00086428419 
      8.4976086       0.0132919     -0.00965601       0.0464919     -0.00303985       0.6068215  -0.00093325602 
      8.4972642       0.0134707     -0.00977522       0.0461938     -0.00321867      0.60754967   -0.0011993774 
      8.4969431       0.0129343     -0.00923878       0.0463726     -0.00375511      0.60542314  -0.00038819544 
      8.4966078       0.0107885     -0.00905996       0.0474455     -0.00381473      0.60726402    -0.001744438 
      8.4962586      0.00983482     -0.00888115       0.0476243     -0.00351669      0.60556597  -0.00024109622 
      8.4958961       0.0095368     -0.00876194         0.04828     -0.00321867      0.60758446    -0.001093173 
      8.4955207       0.0112653     -0.00888115       0.0481608     -0.00309946      0.60760765  -0.00044312876 
      8.4951328       0.0129939     -0.00965601       0.0476839      -0.0036359      0.60500931  -0.00051698355 
       8.494684       0.0137687     -0.00989443       0.0473263     -0.00482801      0.60502152   -0.0014471877 
      8.4942711       0.0123978      -0.0094772       0.0478032     -0.00500682      0.60581561    -0.001060213 
      8.4938469       0.0112653     -0.00894075        0.048578     -0.00488761      0.60762841  -0.00015747551 
      8.4933554        0.012219     -0.00894075       0.0483396     -0.00452998      0.60549577  -0.00078554643 
      8.4929085       0.0128151     -0.00870234       0.0461342     -0.00411275      0.60642109  -0.00047669912 
      8.4924516       0.0136495      -0.0082255       0.0454786     -0.00315906      0.60658406   -0.0013721122 
      8.4919849       0.0141264     -0.00834471       0.0467303     -0.00315906      0.60583575    -0.000253914 
      8.4915087       0.0145436     -0.00923878       0.0480416     -0.00327827      0.60610431   -0.0014197211 
      8.4910235       0.0149608      -0.0100136       0.0486972     -0.00321867      0.60807642  -0.00067140721 
      8.4904656       0.0142456     -0.00965601         0.04828     -0.00351669      0.60616962  -0.00097476119 
      8.4899619       0.0135303     -0.00941759       0.0473859     -0.00375511      0.60709006  -0.00041505173 
      8.4893881       0.0142456     -0.00959641       0.0470283     -0.00333787       0.6073104   -0.0011224708 
      8.4888002       0.0144244     -0.00995403       0.0476243     -0.00345708      0.60698813   -0.0019635609 
      8.4882708       0.0136495     -0.00935799       0.0478032     -0.00393394      0.60519852   0.00050843837 
      8.4877342       0.0139475     -0.00983482       0.0482204     -0.00435117      0.60682638  -0.00059877316 
      8.4871247       0.0139475      -0.0103713       0.0499489     -0.00530484      0.60417615   0.00010071108 
      8.4865733       0.0134707      -0.0103713       0.0501277     -0.00441077      0.60516923   2.5025178e-05 
      8.4860152       0.0133515      -0.0103713       0.0501277     -0.00381473      0.60618488   -0.0011578722 
      8.4854508       0.0132323      -0.0100732       0.0500085      -0.0036359      0.60710837  -0.00062013611 
      8.4848802       0.0132919     -0.00965601         0.04828     -0.00375511      0.60404431   -0.0010583819 
      8.4843036       0.0127555     -0.00905996       0.0467899     -0.00333787      0.60690023   -0.0010400708 
      8.4837212       0.0118614     -0.00923878       0.0466111     -0.00381473      0.60433302   -0.0008661153 
      8.4829819       0.0114442     -0.00900036       0.0465515      -0.0047088      0.60607074   -0.0013873714 
      8.4823155       0.0111461     -0.00876194       0.0469091     -0.00560287       0.6058565   -0.0011535997 
       8.481715        0.011623     -0.00941759       0.0476243     -0.00518563      0.60577532   -0.0011340678 
      8.4811096       0.0121594     -0.00983482       0.0476243     -0.00500682      0.60413587  -3.7842952e-05 
      8.4804993       0.0122786     -0.00971562       0.0470283     -0.00464919      0.60670553  -0.00090029603 
      8.4798054        0.012517      -0.0095368       0.0464323     -0.00464919      0.60504959  -0.00041749321 
      8.4791854       0.0119806     -0.00804669       0.0461342     -0.00488761      0.60659078  -0.00051820429 
      8.4785611       0.0130535     -0.00792748       0.0460746     -0.00506642      0.60544145   -0.0014978484 
      8.4778519       0.0141264     -0.00935799       0.0458958     -0.00399354      0.60514725   -0.0005487228 
      8.4772189       0.0134111      -0.0103117       0.0448229     -0.00333787      0.60563128   -0.0017487106 
      8.4765053       0.0128151      -0.0095368       0.0451806     -0.00357629      0.60338633     -0.00133549 
      8.4758642       0.0128747     -0.00840431       0.0464323     -0.00405314       0.6052205   -0.0011023286 
      8.4752194       0.0115634      -0.0072718       0.0471475     -0.00393394      0.60437391   -0.0020654927 
      8.4745712       0.0107885     -0.00780827       0.0472071     -0.00351669      0.60176092  -0.00079714347 
      8.4739195       0.0118614     -0.00846392       0.0471475      -0.0036359      0.60289743   -0.0016064943 
      8.4732646       0.0134111     -0.00840431       0.0475051     -0.00464919      0.60273751  -0.00052125614 
      8.4726066        0.014186      -0.0082255       0.0482204     -0.00488761       0.6009595    -0.001076693 
      8.4719454       0.0139475      -0.0082851         0.04828     -0.00482801      0.60197089   0.00044618061 
      8.4712813       0.0131727     -0.00888115       0.0481608     -0.00482801      0.60002441  -0.00012573626 
      8.4706144       0.0118614      -0.0095368       0.0473859     -0.00506642      0.60203803  -0.00088930937 
      8.4699447       0.0103713     -0.00858313       0.0473859     -0.00423196      0.60087039   3.7232582e-05 
      8.4692723      0.00977522     -0.00810629       0.0489356      -0.0036359      0.60240486  -0.00035950804 
      8.4685973       0.0112653     -0.00739101       0.0503066     -0.00399354      0.60115848   0.00055787835 
       8.467833       0.0128747      -0.0073314       0.0499489     -0.00530484      0.60237068  -0.00060487686 
       8.467071       0.0140668     -0.00780827       0.0473263     -0.00637773      0.60094729   0.00083864864 
      8.4663883       0.0143648     -0.00804669       0.0478628     -0.00584128      0.59909909    0.0006408887 
      8.4657033        0.014186     -0.00882155       0.0493529     -0.00500682      0.60243904   0.00036133915 
      8.4650161       0.0131727     -0.00888115       0.0486376     -0.00405314      0.60163396   0.00080324717 
      8.4643268       0.0129939     -0.00858313       0.0481608     -0.00321867      0.60435926   0.00040711692 
      8.4636356       0.0133515     -0.00780827       0.0476243     -0.00327827      0.60156194   0.00036378063 
      8.4629423        0.014186      -0.0082255       0.0481012      -0.0036359      0.60352184  -0.00095583972 
      8.4621581       0.0142456     -0.00977522       0.0487568     -0.00345708      0.60200873   0.00029053621 
      8.4614609       0.0141264      -0.0095368       0.0481608     -0.00333787      0.60358226  -0.00080690939 
      8.4606724       0.0133515      -0.0094772       0.0483396     -0.00274183      0.60324412  -0.00064577166 
      8.4599716       0.0132919     -0.00965601       0.0481608     -0.00309946      0.60266243   0.00060121464 
      8.4591847       0.0137091     -0.00965601       0.0477436     -0.00280143       0.6040553   0.00020813623 
      8.4584805       0.0131727      -0.0095368         0.04828     -0.00339748      0.60349498  -7.9348125e-05 
      8.4577747       0.0131727      -0.0094772       0.0486972     -0.00405314      0.60397046   0.00015137181 
      8.4569769       0.0135899      -0.0095368       0.0486376     -0.00309946      0.60366649    0.0011004975 
       8.456268       0.0142456     -0.00965601       0.0482204     -0.00333787      0.60240791   0.00037903989 
      8.4554669       0.0147224     -0.00888115       0.0469091     -0.00405314       0.6023957   0.00039551988 
      8.4547552       0.0156761     -0.00923878       0.0463726     -0.00399354      0.60356517   0.00091372417 
      8.4539566       0.0152589     -0.00983482       0.0469687     -0.00405314      0.60362804   0.00067751091 
      8.4532422       0.0138283      -0.0106097       0.0472667     -0.00441077      0.60303903  -0.00050233467 
      8.4525267       0.0134111      -0.0100732        0.046015     -0.00464919      0.60148015   0.00037110508 
      8.4518101       0.0137091     -0.00864273       0.0463726     -0.00578168      0.60446791   0.00024964141 
      8.4510004       0.0134707     -0.00810629       0.0469687     -0.00506642      0.60422987   0.00074648274 
      8.4502814       0.0143648     -0.00900036       0.0473859     -0.00345708       0.6030842   0.00038392285 
      8.4494749        0.014782     -0.00959641       0.0468495     -0.00351669      0.60361034   2.2583697e-05 
      8.4487538       0.0140668     -0.00989443       0.0464323     -0.00405314      0.60151311    0.0011346782 
      8.4480317       0.0138879     -0.00965601       0.0469091     -0.00458959      0.60436842   0.00024964141 
      8.4473087        0.014186     -0.00864273       0.0476839     -0.00488761      0.60308908    0.0013000885 
      8.4465848       0.0140668     -0.00804669       0.0479224     -0.00411275      0.60392346   0.00069215979 
      8.4457672       0.0144244     -0.00846392       0.0482204     -0.00345708      0.60162236   0.00041383099 
      8.4450415       0.0146628     -0.00911957       0.0476243     -0.00345708      0.60219977    0.0013446455 
       8.444315       0.0137687     -0.00971562        0.046015      -0.0036955       0.6035548   0.00075380718 
      8.4435877       0.0132323      -0.0104905       0.0446441     -0.00327827      0.60184881   0.00076113163 
      8.4428597       0.0137091      -0.0110865       0.0443461     -0.00417235      0.60174078    0.0002722251 
      8.4421309       0.0140668      -0.0103117       0.0451209     -0.00500682      0.60062563    0.0017047639 
      8.4414014       0.0145436     -0.00971562       0.0450017     -0.00435117      0.60120609   0.00015625477 
      8.4405778       0.0146032      -0.0094772       0.0457766     -0.00345708      0.60055361    0.0012244026 
      8.4398469       0.0137091     -0.00911957       0.0466111     -0.00268222      0.60126164   0.00093447676 
      8.4391154       0.0127555     -0.00870234       0.0457766     -0.00208618      0.60110355    0.0004974517 
      8.4383832       0.0127555     -0.00870234       0.0461938     -0.00208618      0.60330454   0.00013977477 
      8.4376505       0.0139475     -0.00888115       0.0468495     -0.00303985      0.60150151    0.0013489181 
      8.4369172       0.0131131     -0.00911957       0.0481608     -0.00280143      0.60241218   0.00060426649 
