> Measurement made Fri Jun 23 13:31:35 2023
> Main magnet sweep  6.50000 to  8.50000 Tesla at  5.999 mT/s 
> Hysteresis correction (approximate) has been applied. 
> Main Magnet at  6.50000 T 
> ITC set at    5.000 K, T1:   4.991 K, T2: 509.100 K, T3: 324.100 K 
> For Cernox1 43.975000 Ohm corresponds to T = 999.000000 K at 0 T 
> LockIn1:   1 mV, Mod Freq 39610.000000 Hz, Phase 175.980000 degr, Ampl. 0.080000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Normal .
> LockIn2:   1 mV, Mod Freq 39609.800000 Hz, Phase 172.460000 degr, Ampl. 0.010000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Normal .
> Modulation: 21.928100 mA 
> Source Freq 240.000 GHz (dial 15.00), LO Freq 234.000 GHz (dial 3760) 
> Martin Pupplet setting 7.0 mm, Attenuator Grid 15 dB
> Source attn 10 dB, Diode reading (-20dB) 0.2 mV
> Reference attn 4 dB, Diode reading (-30dB) 10 mV
Field  Signal1_X  Signal2_X    Signal1_Y   Signal2_Y    ADC   ADC   
T  mV mV mV mV V V 
YMn6Sn6  FIeld perp plane ~5x4x0.5 mm
5 K (field cooled)
-
-

>BEGIN
      6.5000126        0.015855      -0.0113249       0.0337961      0.00667575      0.60855922   -0.0068489639 
      6.5000497       0.0163914      -0.0117422       0.0343921      0.00655654      0.60886685   -0.0068538469 
      6.5001194       0.0162126       -0.011921       0.0349882      0.00637773      0.60959441   -0.0069490646 
      6.5002059       0.0156165       -0.011921       0.0354054      0.00566247      0.60941618   -0.0071358379 
      6.5003145       0.0160934      -0.0111461       0.0361206      0.00619891      0.60869472   -0.0070363475 
      6.5004626       0.0163914      -0.0105501       0.0358822      0.00685456      0.60801721   -0.0065041047 
      6.5006158       0.0171066      -0.0100732       0.0339749      0.00590089      0.60664571   -0.0065981017 
      6.5008125       0.0163914      -0.0103117       0.0333788      0.00530484      0.60611408   -0.0064290292 
      6.5010318       0.0162126      -0.0112057       0.0340345      0.00548366      0.60551347   -0.0063667714 
       6.501276       0.0165106      -0.0110865       0.0347497      0.00613931      0.60472488   -0.0065382855 
      6.5015409       0.0165702      -0.0103117       0.0342133      0.00536445      0.60511673   -0.0073763237 
      6.5017955       0.0156761      -0.0095368       0.0335576      0.00494721      0.60525651   -0.0072414319 
      6.5020665       0.0155569     -0.00882155        0.033498      0.00542405      0.60501053   -0.0067830439 
      6.5023535        0.016451     -0.00965601       0.0325444      0.00625852      0.60516129   -0.0063057344 
       6.502656        0.016451      -0.0109077       0.0315311      0.00619891       0.6053328   -0.0063832514 
      6.5029345        0.015855      -0.0107289       0.0313523      0.00548366      0.60526811   -0.0065657521 
      6.5033051       0.0151992      -0.0115038       0.0333192      0.00500682       0.6036848    -0.005802179 
      6.5036507        0.016451      -0.0118018       0.0337961      0.00512603      0.60448134   -0.0062099063 
      6.5040099       0.0178815      -0.0113249       0.0337961      0.00500682       0.6051973   -0.0061488693 
       6.504382       0.0184776      -0.0107885       0.0333192      0.00494721      0.60512589   -0.0061445967 
      6.5047668       0.0181199      -0.0101328       0.0325444      0.00524524      0.60689535   -0.0063673818 
      6.5051637       0.0172855      -0.0100136       0.0327232      0.00578168      0.60733421   -0.0054689169 
      6.5056255       0.0162126      -0.0105501       0.0331404      0.00619891      0.60774194   -0.0053193762 
      6.5060469       0.0159146      -0.0107289       0.0336173      0.00584128      0.60725852   -0.0045802179 
      6.5064793       0.0169874      -0.0107885       0.0339749       0.0060201      0.60771935   -0.0047199927 
      6.5069223       0.0173451      -0.0107289       0.0340345       0.0060201      0.60770531   -0.0049647511 
      6.5073754       0.0177027      -0.0110865       0.0339749      0.00631812      0.61062044   -0.0054933317 
      6.5078985        0.017047      -0.0107885       0.0329616      0.00703338      0.61052156   -0.0055836665 
      6.5083723       0.0166894      -0.0106097       0.0321867      0.00679496      0.60897427   -0.0058558916 
      6.5089139       0.0172259      -0.0104905       0.0325444      0.00667575      0.60855007   -0.0061037019 
      6.5094069       0.0175239      -0.0101328       0.0324252      0.00721219      0.60783593   -0.0060432752 
      6.5099084       0.0172855      -0.0101328       0.0337365      0.00631812      0.60830348   -0.0055500961 
      6.5104181       0.0157953      -0.0104905       0.0346305      0.00524524      0.60682699   -0.0059382916 
      6.5108734       0.0153781      -0.0107289       0.0351074       0.0047088      0.60584552   -0.0057881405 
      6.5114614       0.0159742      -0.0105501       0.0343325      0.00500682      0.60688437   -0.0059212012 
      6.5120632        0.017047      -0.0103117       0.0336769      0.00518563      0.60648091    -0.005879696 
      6.5126043       0.0179411      -0.0104309       0.0334384      0.00524524      0.60601337   -0.0056947539 
      6.5131524       0.0176431      -0.0105501       0.0327828      0.00590089      0.60792261   -0.0059614856 
      6.5137072        0.017047      -0.0112057       0.0329616      0.00596049      0.60694479   -0.0059871212 
      6.5143408       0.0152589      -0.0117422       0.0325444      0.00637773      0.60649495   -0.0066048158 
      6.5149091       0.0155569      -0.0114442       0.0321867      0.00697377      0.60628437   -0.0060267953 
      6.5154836       0.0165106      -0.0108481       0.0324848      0.00762945      0.60584979   -0.0062001404 
      6.5160638       0.0165106      -0.0109077       0.0324252       0.0082255      0.60593463   -0.0060072634 
      6.5166497       0.0166894      -0.0107885       0.0311139      0.00798708      0.60433119   -0.0058388012 
      6.5172411       0.0160338      -0.0105501       0.0315907      0.00697377      0.60408155    -0.005884579 
      6.5178377       0.0163914      -0.0111461       0.0339749      0.00625852      0.60564776   -0.0062477493 
      6.5184395       0.0176431      -0.0103713       0.0353458      0.00709298      0.60429945   -0.0061397137 
      6.5191193       0.0174643     -0.00971562       0.0361206      0.00792748      0.60490738   -0.0069380779 
      6.5197313       0.0162126      -0.0103117       0.0355246      0.00864273      0.60379467   -0.0068617817 
      6.5204272       0.0160338      -0.0104905       0.0345113      0.00846392      0.60560869   -0.0066487625 
      6.5210488       0.0163318      -0.0105501       0.0344517      0.00786787      0.60404187    -0.006371044 
      6.5216747       0.0174047      -0.0104905        0.033498      0.00715259      0.60503433   -0.0063338115 
      6.5223806       0.0160934      -0.0104309       0.0329616      0.00685456      0.60452101   -0.0059144871 
       6.523015       0.0144244     -0.00971562       0.0336769      0.00596049      0.60560991   -0.0063789789 
      6.5236534       0.0135303      -0.0095368       0.0336173      0.00566247      0.60658162   -0.0064308603 
      6.5243778       0.0137091      -0.0100732       0.0336173      0.00524524      0.60647542   -0.0066469314 
      6.5250239        0.014186      -0.0107289       0.0339153      0.00518563      0.60717612   -0.0066035951 
      6.5257568       0.0149012      -0.0100136       0.0338557      0.00584128      0.60795068   -0.0061677908 
      6.5263263       0.0156761      -0.0101925        0.034869      0.00655654      0.60849757   -0.0063820307 
      6.5270667       0.0149608      -0.0105501        0.035763      0.00667575      0.60891507   -0.0065010529 
      6.5277263       0.0130535      -0.0113845       0.0346901      0.00703338      0.60881558   -0.0066219062 
      6.5283889       0.0138283      -0.0114442       0.0334384       0.0073314      0.60899564   -0.0066780602 
      6.5290545       0.0145436      -0.0112057       0.0340941      0.00709298      0.60935636   -0.0063460189 
      6.5297228       0.0151992      -0.0113845       0.0339749      0.00643733       0.6093112   -0.0068733787 
      6.5303078       0.0163914      -0.0112057       0.0337961      0.00584128      0.60945158   -0.0071132542 
      6.5309812       0.0171066      -0.0113249       0.0333788      0.00584128      0.61012238   -0.0069319742 
      6.5316571       0.0166894      -0.0112057       0.0328424      0.00572208      0.61041108     -0.00733726 
      6.5324225       0.0159146      -0.0112057       0.0328424      0.00500682      0.61139988   -0.0069038972 
      6.5331035       0.0145436      -0.0118018       0.0321867      0.00464919      0.61080721    -0.006784875 
      6.5337869       0.0143052       -0.011623       0.0321867      0.00530484      0.61021393   -0.0069985046 
      6.5344724       0.0144244      -0.0113845       0.0328424      0.00536445      0.61051973   -0.0071266823 
      6.5351602       0.0149012      -0.0115038          0.0332      0.00524524       0.6100943   -0.0067226173 
      6.5358499       0.0160934      -0.0113845       0.0332596      0.00536445      0.61129673   -0.0071749016 
      6.5365417       0.0163318      -0.0115038       0.0340941      0.00506642      0.61274148   -0.0075270852 
      6.5372354       0.0168086      -0.0113845       0.0339153      0.00566247      0.61351238   -0.0075569933 
      6.5378419       0.0180603      -0.0118614       0.0340941      0.00625852      0.61304422   -0.0070198675 
      6.5386284       0.0181795      -0.0112653       0.0345113      0.00655654      0.61058565   -0.0063240455 
       6.539238       0.0162722      -0.0113249        0.034869      0.00721219      0.61131443   -0.0067696158 
      6.5400284       0.0154973      -0.0119806       0.0342133       0.0073314      0.61112278   -0.0065712455 
      6.5407309       0.0157953      -0.0118614        0.033498      0.00685456      0.61052034   -0.0065669729 
      6.5415195        0.016153      -0.0106693       0.0337365       0.0060201      0.61034455   -0.0063576159 
      6.5422253        0.016451      -0.0104905       0.0337961      0.00572208      0.61132481   -0.0069020661 
      6.5429325       0.0168086      -0.0106097       0.0326636      0.00572208      0.61105258   -0.0066389966 
       6.543732       0.0159146      -0.0110865       0.0329616      0.00554326       0.6106003    -0.006260567 
      6.5445331       0.0166894      -0.0117422        0.032306      0.00488761      0.61132237   -0.0063063448 
      6.5452448       0.0156761      -0.0108481       0.0324252      0.00536445      0.61055025   -0.0068697165 
      6.5459578         0.01508      -0.0115038       0.0343921      0.00566247      0.61049165   -0.0067262795 
      6.5467578       0.0156165      -0.0125766       0.0367167      0.00554326      0.61147984   -0.0067744987 
      6.5474733       0.0160338      -0.0118018       0.0371339      0.00536445      0.61056001   -0.0060542619 
      6.5481899       0.0156761      -0.0110865       0.0349882      0.00441077      0.61040498   -0.0058742027 
      6.5489077       0.0154973      -0.0112057       0.0339153      0.00429156      0.61019807   -0.0059309671 
      6.5497186       0.0163318       -0.011623       0.0349286      0.00423196      0.60885586    -0.005856502 
      6.5504386       0.0165106      -0.0116826       0.0353458      0.00488761      0.60997406   -0.0060750145 
      6.5511596       0.0157357      -0.0117422       0.0343921      0.00685456       0.6094058   -0.0061488693 
      6.5519683       0.0156761       -0.012219       0.0343921      0.00715259       0.6090933   -0.0062794885 
      6.5526913       0.0146628      -0.0120402       0.0341537      0.00572208      0.61083285   -0.0066005432 
      6.5534152       0.0139475      -0.0118018       0.0342729      0.00500682        0.609935   -0.0063203833 
      6.5541399       0.0144244      -0.0118018       0.0356438      0.00464919      0.61013581   -0.0060383923 
      6.5549585       0.0149608      -0.0109077       0.0362399      0.00411275      0.61106174    -0.006244087 
       6.555685       0.0148416      -0.0104905       0.0352862       0.0047684      0.60981597   -0.0062794885 
      6.5564123       0.0150204      -0.0104905       0.0345113      0.00452998      0.61040864   -0.0064156011 
      6.5571403       0.0166894      -0.0113249       0.0329616      0.00452998      0.61088046   -0.0068294321 
      6.5578691       0.0176431       -0.012219        0.032902      0.00536445      0.61145482   -0.0069740898 
       6.558692       0.0173451      -0.0119806       0.0336769      0.00584128      0.61021943   -0.0065932188 
      6.5594222       0.0152589      -0.0114442       0.0330808       0.0060201      0.60979888   -0.0073549608 
      6.5601531       0.0139475      -0.0112653       0.0334384      0.00596049      0.61030549    -0.008026368 
      6.5609725       0.0140071      -0.0117422       0.0336173      0.00613931      0.60958708   -0.0075380718 
      6.5617984       0.0134111      -0.0129343       0.0347497      0.00578168      0.60910001   -0.0069270913 
      6.5625313       0.0133515      -0.0131131       0.0343921      0.00578168      0.60794824   -0.0069313639 
      6.5632647       0.0151396      -0.0126362       0.0337365      0.00572208      0.60682699   -0.0066988128 
      6.5640927       0.0162722       -0.012517       0.0327828      0.00625852      0.60723899   -0.0069356365 
