> Measurement made Fri Jun 23 14:10:56 2023
> Main magnet sweep 12.50000 to -0.50000 Tesla at  5.999 mT/s 
> Hysteresis correction (approximate) has been applied. 
> Main Magnet at 12.50000 T 
> ITC set at    5.000 K, T1:   4.994 K, T2: 509.100 K, T3: 324.100 K 
> For Cernox1 39.587000 Ohm corresponds to T = 999.000000 K at 0 T 
> LockIn1:   1 mV, Mod Freq 39610.000000 Hz, Phase 175.980000 degr, Ampl. 0.080000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Normal .
> LockIn2:   1 mV, Mod Freq 39609.800000 Hz, Phase 172.460000 degr, Ampl. 0.010000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Normal .
> Modulation: 20.198900 mA 
> Source Freq 240.000 GHz (dial 15.00), LO Freq 234.000 GHz (dial 3760) 
> Martin Pupplet setting 7.0 mm, Attenuator Grid 15 dB
> Source attn 10 dB, Diode reading (-20dB) 0.2 mV
> Reference attn 4 dB, Diode reading (-30dB) 10 mV
Field  Signal1_X  Signal2_X    Signal1_Y   Signal2_Y    ADC   ADC   
T  mV mV mV mV V V 
YMn6Sn6  FIeld perp plane ~5x4x0.5 mm
5 K (field cooled) Over whole range
-
-

>BEGIN
      12.499987     -0.00804669      0.00202657       0.0442269     -0.00101329      0.47183386     0.081463668 
       12.49995     -0.00762945      0.00292064       0.0432136     -0.00059605      0.47038728     0.081507614 
      12.499889      -0.0060201      0.00351669       0.0429752     -0.00107289      0.47253212     0.081866512 
      12.499794     -0.00590089      0.00411275       0.0433328     -0.00143052      0.47109958      0.08130192 
      12.499685     -0.00542405      0.00387433        0.043452     -0.00143052      0.47068331     0.081507614 
      12.499556     -0.00584128       0.0036359       0.0440481     -0.00137091      0.46958708     0.081244545 
      12.499405     -0.00625852       0.0023246       0.0443461     -0.00154973      0.47120701     0.081395917 
      12.499211     -0.00578168      0.00214578       0.0438693    -0.000774864      0.47113376      0.08164922 
      12.499019     -0.00566247      0.00298025       0.0430944    -0.000298025      0.47015229     0.081309854 
      12.498808     -0.00673535      0.00292064       0.0433924    -0.000715259      0.47055635     0.081696219 
      12.498579     -0.00810629      0.00315906       0.0443461    -0.000834469      0.47091098      0.08163213 
      12.498302     -0.00751021      0.00387433       0.0448825     -0.00143052      0.47191992     0.081669362 
      12.498037     -0.00661614      0.00387433       0.0447633     -0.00220539      0.47121067      0.08184637 
      12.497756     -0.00554326      0.00333787       0.0447633      -0.0023842      0.47128697     0.081540574 
       12.49746     -0.00441077      0.00345708       0.0439885     -0.00208618      0.47248939     0.082080142 
      12.497107     -0.00458959      0.00292064       0.0439289     -0.00172854      0.47177587     0.082234565 
      12.496735     -0.00488761      0.00286104       0.0445845     -0.00131131      0.47162328     0.082090518 
      12.496391     -0.00542405      0.00303985       0.0453594     -0.00172854      0.47243812     0.083460189 
       12.49599     -0.00554326      0.00250341       0.0471475     -0.00333787      0.47137791     0.082797327 
      12.495618      -0.0060797      0.00315906       0.0469091      -0.0036955      0.47280007     0.082804041 
      12.495233     -0.00721219       0.0036955       0.0452402     -0.00196697      0.47077181     0.082360302 
      12.494785     -0.00625852      0.00339748       0.0432732    -0.000834469      0.47197363     0.082988372 
      12.494321     -0.00488761      0.00315906       0.0427368    -0.000417234      0.47298074     0.083192236 
      12.493898     -0.00613931      0.00292064       0.0438096    -0.000536445      0.47083407     0.081760918 
      12.493412     -0.00721219      0.00274183       0.0447633     -0.00137091      0.47152318     0.082100894 
      12.492966     -0.00774866      0.00262262       0.0460746     -0.00208618      0.47178869     0.082442701 
      12.492511     -0.00780827      0.00262262       0.0445845     -0.00190736      0.47260659     0.083402203 
      12.492045     -0.00768906      0.00286104       0.0438693     -0.00172854      0.47357585      0.08336375 
       12.49157      -0.0073314      0.00309946       0.0439885     -0.00220539      0.47228065     0.082268136 
      12.491086     -0.00673535      0.00292064       0.0444057     -0.00220539      0.47305033     0.082431104 
      12.490593     -0.00673535      0.00292064        0.045419      -0.0023246      0.47331584     0.083291726 
      12.490092     -0.00655654       0.0024438       0.0458958     -0.00178815      0.47301065     0.083477889 
      12.489582     -0.00667575       0.0023842       0.0450613     -0.00101329      0.47369427     0.083220313 
      12.489064     -0.00685456      0.00286104       0.0450017    -0.000298025      0.47324259     0.083333232 
      12.488539     -0.00679496      0.00321867       0.0448229    -0.000953682      0.47373882     0.081789605 
      12.488006      -0.0060797      0.00327827        0.045419     -0.00220539      0.47202673     0.082278512 
      12.487465     -0.00739101      0.00309946        0.046313     -0.00262262      0.47271462     0.081949522 
      12.486918     -0.00745061      0.00286104       0.0452998     -0.00309946      0.47329814     0.082354198 
      12.486364      -0.0073314       0.0023842       0.0442269     -0.00268222      0.47398236     0.082382275 
      12.485804     -0.00685456       0.0024438       0.0445845     -0.00172854      0.47359233     0.082867519 
      12.485237     -0.00697377      0.00226499       0.0438693    -0.000774864      0.47431013     0.082990814 
       12.48459      -0.0072718      0.00149012       0.0444057     -0.00143052       0.4742729     0.083139744 
      12.483941     -0.00673535      0.00143052       0.0450613     -0.00190736      0.47476302     0.083631092 
      12.483355      -0.0060201       0.0023842       0.0453594     -0.00214578      0.47369793     0.082731407 
      12.482688     -0.00548366      0.00315906        0.045717     -0.00131131      0.47437544     0.083306986 
       12.48209     -0.00709298      0.00405314       0.0449421     -0.00154973      0.47399823      0.08301706 
      12.481411     -0.00768906      0.00393394       0.0445249     -0.00208618      0.47344646     0.083987548 
      12.480729     -0.00697377      0.00423196       0.0444057     -0.00268222      0.47408307      0.08445204 
      12.480037     -0.00774866      0.00375511       0.0436308     -0.00208618      0.47379131     0.082973113 
       12.47934     -0.00810629      0.00333787       0.0445845     -0.00190736      0.47401776      0.08392346 
      12.478716     -0.00756982      0.00393394       0.0455382     -0.00262262      0.47456709     0.083673208 
      12.478013     -0.00697377      0.00339748       0.0458362     -0.00292064      0.47446638      0.08306711 
      12.477381     -0.00560287       0.0023842       0.0451209     -0.00220539      0.47220435     0.082909635 
      12.476664     -0.00542405       0.0023842       0.0442865     -0.00226499      0.47205359     0.083324686 
      12.475946     -0.00691417      0.00268222       0.0446441     -0.00280143      0.47322489     0.084556413 
      12.475302     -0.00786787      0.00321867       0.0450017     -0.00220539      0.47394086     0.083845943 
      12.474654     -0.00900036      0.00357629       0.0445249     -0.00149012      0.47397565     0.083778191 
      12.474003     -0.00894075      0.00381473       0.0444653     -0.00137091      0.47386761     0.083509018 
      12.473349     -0.00864273      0.00315906       0.0453594      -0.0024438       0.4746794     0.083541368 
      12.472607     -0.00774866       0.0024438       0.0456574     -0.00327827      0.47503586     0.084078494 
      12.471861     -0.00685456       0.0023842       0.0454786     -0.00250341      0.47440168     0.083383282 
      12.471196     -0.00697377      0.00298025       0.0458362     -0.00190736       0.4740141     0.082890103 
      12.470449      -0.0060797      0.00309946        0.046015     -0.00226499      0.47512864     0.084125492 
      12.469778     -0.00548366      0.00250341       0.0447633     -0.00214578      0.47483077     0.083276467 
      12.469105     -0.00673535      0.00190736         0.04375     -0.00101329      0.47440413     0.082871792 
       12.46843     -0.00745061      0.00154973       0.0426176    -0.000774864      0.47598621     0.083737907 
      12.467665     -0.00768906       0.0023246       0.0429156    -0.000655655      0.47461104     0.084320811 
      12.466984     -0.00798708      0.00387433       0.0435116    -0.000536445      0.47499802      0.08486404 
      12.466213     -0.00715259      0.00452998       0.0441077     -0.00154973      0.47530686     0.083917356 
      12.465445     -0.00631812      0.00518563       0.0441077      -0.0023842       0.4732316      0.08375927 
      12.464757     -0.00637773      0.00506642       0.0444653     -0.00292064      0.47440962     0.085092318 
      12.464067     -0.00745061      0.00441077       0.0439289     -0.00220539      0.47591113     0.084636372 
      12.463375     -0.00643733      0.00399354        0.043154     -0.00137091      0.47714957     0.084956206 
      12.462681     -0.00661614      0.00393394       0.0429752    -0.000774864      0.47624439     0.084398328 
      12.461985     -0.00774866      0.00315906       0.0423195    -0.000774864      0.47464461      0.08377514 
      12.461288     -0.00739101      0.00357629       0.0423195     -0.00154973      0.47478317      0.08398938 
      12.460588     -0.00625852      0.00387433       0.0433924     -0.00220539       0.4757622     0.083646962 
      12.459887     -0.00560287      0.00309946       0.0438096     -0.00160933      0.47662282     0.084019898 
      12.459185      -0.0060201      0.00292064       0.0438096      -0.0011921      0.47708243     0.084750511 
       12.45848     -0.00643733      0.00292064       0.0433924    -0.000655655      0.47768792     0.085260781 
      12.457775     -0.00691417      0.00375511       0.0442865    -0.000417234      0.47732047     0.085603809 
      12.457068     -0.00756982       0.0036955       0.0454786    -0.000536445       0.4750499     0.084770653 
      12.456359     -0.00774866      0.00381473       0.0444653     -0.00059605      0.47494491     0.084678488 
      12.455649     -0.00780827      0.00351669       0.0444057    -0.000774864      0.47567614     0.084297006 
      12.454937     -0.00703338      0.00268222       0.0458958    -0.000774864      0.47491989     0.084648579 
      12.454225      -0.0060201      0.00154973       0.0458362      -0.0012517      0.47495712     0.084196295 
      12.453511     -0.00590089      0.00202657       0.0450613     -0.00143052      0.47378704     0.083454695 
      12.452704     -0.00655654      0.00298025       0.0443461     -0.00190736      0.47411908     0.084875637 
      12.451988     -0.00661614      0.00381473       0.0446441     -0.00280143      0.47421918     0.084626606 
      12.451184     -0.00554326      0.00339748       0.0453594     -0.00298025      0.47326273     0.084576556 
      12.450373     -0.00572208      0.00292064       0.0450613     -0.00220539      0.47265847     0.084030885 
      12.449654     -0.00542405      0.00339748       0.0435116     -0.00178815      0.47438765     0.085649586 
      12.448933     -0.00590089      0.00339748       0.0432136     -0.00131131      0.47361248       0.0853914 
      12.448118     -0.00578168      0.00298025       0.0438693     -0.00059605      0.47399884     0.085294351 
      12.447396     -0.00554326      0.00286104       0.0438096               0      0.47380779     0.085268715 
      12.446672     -0.00685456      0.00286104        0.043154    -0.000417234      0.47317362     0.084931181 
      12.445947     -0.00804669      0.00309946       0.0425579     -0.00059605      0.47247169     0.085296793 
      12.445222      -0.0073314      0.00292064       0.0426772    -0.000774864      0.47392193     0.085578173 
      12.444408      -0.0060201      0.00274183       0.0438693    -0.000953682      0.47249794     0.084644917 
      12.443681     -0.00530484      0.00286104       0.0447633     -0.00196697      0.47406171     0.085530564 
       12.44286     -0.00613931       0.0023842       0.0442865     -0.00131131      0.47356426     0.085547044 
      12.442038      -0.0060797      0.00190736       0.0444057    -0.000834469      0.47059603     0.084655293 
      12.441308     -0.00584128      0.00101329       0.0442865     -0.00190736      0.47179479     0.085180212 
      12.440578     -0.00584128      0.00149012        0.043452     -0.00250341        0.471489     0.085553758 
      12.439759     -0.00542405      0.00268222       0.0426772     -0.00214578      0.47163121     0.086114689 
      12.438934     -0.00566247       0.0036955       0.0423195     -0.00196697      0.47294473     0.086341746 
      12.438114     -0.00673535      0.00381473       0.0423791     -0.00208618      0.47251625     0.084884793 
      12.437381     -0.00703338      0.00375511        0.043452     -0.00226499      0.47216529     0.084713279 
      12.436553     -0.00756982      0.00286104       0.0433924     -0.00208618      0.47163244     0.085096591 
      12.435819     -0.00661614      0.00315906       0.0429752     -0.00190736      0.47301675     0.086038392 
      12.435085     -0.00506642      0.00381473       0.0429752     -0.00190736      0.47177892     0.085256508 
      12.434255     -0.00417235      0.00423196       0.0422003      -0.0012517      0.47335673     0.086004822 
       12.43352     -0.00399354       0.0036955       0.0426176     -0.00149012      0.47300394     0.086022523 
      12.432695     -0.00429156      0.00262262       0.0433924      -0.0023842      0.47159276     0.085557421 
      12.431958     -0.00500682       0.0023842       0.0436308      -0.0023246      0.47164098     0.085304727 
