> Measurement made Fri Jun 23 11:29:30 2023
> Main magnet sweep  6.50000 to  8.50000 Tesla at  5.999 mT/s 
> Hysteresis correction (approximate) has been applied. 
> Main Magnet at  6.76128 T 
> ITC set at   60.000 K, T1:  60.000 K, T2: 509.100 K, T3: 324.100 K 
> For Cernox1 -23.900000 Ohm corresponds to T = 0.000000 K at 0 T 
> LockIn1:   1 mV, Mod Freq 39610.000000 Hz, Phase 175.980000 degr, Ampl. 0.080000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Normal .
> LockIn2:   1 mV, Mod Freq 39609.800000 Hz, Phase 172.460000 degr, Ampl. 0.010000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Normal .
> Modulation: 19.661700 mA 
> Source Freq 240.000 GHz (dial 15.00), LO Freq 234.000 GHz (dial 3760) 
> Martin Pupplet setting 7.0 mm, Attenuator Grid 15 dB
> Source attn 10 dB, Diode reading (-20dB) 0.2 mV
> Reference attn 4 dB, Diode reading (-30dB) 10 mV
Field  Signal1_X  Signal2_X    Signal1_Y   Signal2_Y    ADC   ADC   
T  mV mV mV mV V V 
YMn6Sn6  FIeld perp plane ~5x4x0.5 mm
60 K (field cooled)
-
-

>BEGIN
      6.5000126       0.0175239     -0.00184775      -0.0126362       0.0118614      0.25185888     -0.23772637 
      6.5000497       0.0177027     -0.00184775      -0.0109673       0.0120998      0.25198584     -0.23787347 
      6.5001105       0.0180603    -0.000715259      -0.0108481       0.0125766      0.25252235     -0.23791681 
      6.5001943        0.018716     0.000774864      -0.0109673       0.0119806      0.25169408     -0.23781915 
      6.5003155       0.0187756       0.0012517      -0.0101328       0.0116826      0.25242775     -0.23773064 
      6.5004626         0.01961      0.00059605      -0.0094772        0.011921      0.25260414     -0.23820368 
      6.5006369       0.0188948     0.000715259      -0.0106097       0.0117422       0.2518131     -0.23778497 
      6.5008348       0.0179411     0.000655655      -0.0112057       0.0112653      0.25149693     -0.23706961 
      6.5010318       0.0178815       0.0011325      -0.0107885       0.0108481       0.2524778     -0.23760735 
      6.5012472       0.0180007     0.000715259      -0.0105501       0.0104309      0.25274392     -0.23813593 
      6.5014804       0.0188948    -0.000476841      -0.0103117       0.0109673      0.25311563     -0.23800409 
      6.5017308       0.0183583     -0.00035763      -0.0100136       0.0113249        0.252631     -0.23806146 
      6.5020331       0.0182987     0.000178815     -0.00971562        0.011623      0.25328959     -0.23821528 
      6.5023183       0.0183583     0.000834469     -0.00965601        0.012517      0.25322428     -0.23792657 
      6.5026189       0.0175835      0.00172854     -0.00905996       0.0125766      0.25396832     -0.23844539 
      6.5029759       0.0169874      0.00208618      -0.0104309       0.0117422      0.25325358     -0.23862178 
      6.5032645       0.0175239      0.00154973       -0.011623       0.0113845      0.25337809      -0.2386993 
      6.5036536       0.0172855       0.0024438      -0.0112057       0.0111461      0.25310953     -0.23878964 
      6.5040128       0.0174047      0.00190736      -0.0106693       0.0110865      0.25354228     -0.23856563 
      6.5043851       0.0181795     0.000774864      -0.0112057       0.0112653       0.2534019     -0.23854427 
      6.5048169       0.0175835     0.000774864      -0.0113249       0.0112057      0.25380535      -0.2382873 
      6.5052153       0.0179411     0.000894073      -0.0110269      0.00971562      0.25322306     -0.23822504 
      6.5056255       0.0181199      0.00149012      -0.0128151      0.00971562       0.2539317     -0.23879696 
      6.5061016       0.0177623      0.00202657      -0.0128747       0.0100136       0.2541789     -0.23903867 
      6.5065354       0.0179411       0.0011921      -0.0121594      0.00995403      0.25418561     -0.23949217 
      6.5069797       0.0171066      0.00101329      -0.0111461       0.0109077      0.25468368     -0.23979431 
      6.5074342       0.0178219     0.000298025      -0.0104905       0.0124574      0.25491256     -0.23953856 
      6.5079586       0.0187756      0.00059605      -0.0100732       0.0123382      0.25535752     -0.24013855 
      6.5084913       0.0199081               0      -0.0103713       0.0120402      0.25547411     -0.23949767 
      6.5090393       0.0197889               0      -0.0114442       0.0123382      0.25538987     -0.23939024 
      6.5095344       0.0181795     0.000476841      -0.0113249       0.0123382      0.25670827     -0.24026978 
      6.5100381       0.0166298      0.00154973      -0.0109077       0.0128151      0.25613269     -0.24002258 
      6.5106119       0.0157953      0.00226499      -0.0104905       0.0133515      0.25606433     -0.24026856 
      6.5111326       0.0166298       0.0012517      -0.0112653       0.0130535      0.25603198     -0.24051759 
       6.511661       0.0181199       0.0011325      -0.0112057       0.0128747      0.25584704     -0.24053102 
      6.5121967       0.0189544      0.00178815      -0.0103713       0.0128747       0.2552794     -0.24090091 
      6.5128096       0.0185968      0.00226499      -0.0104905       0.0130535      0.25539476     -0.24099307 
      6.5132894       0.0181795      0.00154973      -0.0111461        0.012219      0.25494797     -0.24033448 
      6.5139175       0.0189544     0.000715259      -0.0109673       0.0121594      0.25476119     -0.24023865 
      6.5145538         0.01961     0.000298025       -0.011623       0.0120998      0.25493332     -0.23997131 
      6.5151244       0.0198485     0.000476841      -0.0120998       0.0120402      0.25447981     -0.23992676 
      6.5157011       0.0200273     0.000953682      -0.0109077       0.0115038       0.2538255     -0.23933592 
      6.5163537       0.0192524      0.00107289      -0.0106693       0.0122786       0.2537907      -0.2393231 
      6.5169424       0.0197293      0.00208618      -0.0114442       0.0130535      0.25436995     -0.23971801 
      6.5175364       0.0204445      0.00149012      -0.0114442       0.0131131      0.25548509      -0.2403827 
      6.5181356       0.0203849     0.000894073     -0.00995403       0.0129939      0.25476852     -0.24068178 
       6.518667       0.0194908       0.0011921     -0.00900036       0.0123978       0.2550029     -0.24055605 
      6.5191974       0.0175835     0.000953682     -0.00900036       0.0121594      0.25536485     -0.24066347 
      6.5198887       0.0162722     0.000476841     -0.00911957       0.0122786      0.25474349     -0.24028809 
      6.5205065       0.0172855     0.000774864      -0.0105501       0.0128747      0.25452559     -0.24083132 
      6.5211287       0.0171066     0.000894073      -0.0129343       0.0138879      0.25568529     -0.24115177 
      6.5217551       0.0175239       0.0012517      -0.0133515       0.0130535      0.25449995      -0.2405884 
      6.5223856        0.018418     0.000476841      -0.0112653       0.0120402      0.25436079     -0.24072024 
      6.5230201        0.019014     -0.00059605      -0.0100732       0.0124574      0.25372723     -0.24117008 
      6.5236585        0.018716    -0.000655655     -0.00911957       0.0128747      0.25372784     -0.24139836 
      6.5243005       0.0185968    -0.000536445     -0.00852352       0.0123978      0.25292764      -0.2408478 
      6.5249462       0.0176431    -0.000536445     -0.00882155       0.0120998       0.2532078     -0.24089297 
      6.5256735       0.0165106      0.00101329     -0.00780827       0.0119806      0.25320475     -0.24088137 
      6.5263263       0.0159146      0.00131131     -0.00798708       0.0120402       0.2539433     -0.24110538 
      6.5269824       0.0154973     0.000894073     -0.00780827        0.011623       0.2534727     -0.24071841 
      6.5277263       0.0169278      0.00059605     -0.00965601       0.0108481      0.25410077     -0.24121281 
      6.5284739       0.0181199      0.00101329      -0.0107289       0.0109077      0.25415754     -0.24131901 
      6.5291399       0.0194312      0.00131131      -0.0119806       0.0108481      0.25348674     -0.24088992 
      6.5298086       0.0200869      0.00143052       -0.011921       0.0107885      0.25349284     -0.24124699 
        6.53048       0.0203849       0.0011325      -0.0118614       0.0114442      0.25330424     -0.24145878 
       6.531154        0.019312     0.000774864      -0.0106693        0.012219      0.25262734     -0.24126896 
      6.5318305       0.0188352               0     -0.00935799        0.012219      0.25382855     -0.24141545 
      6.5325095       0.0176431      0.00059605     -0.00971562       0.0123978       0.2532432     -0.24074465 
      6.5331909       0.0174643      0.00149012      -0.0102521       0.0121594      0.25385296     -0.24110843 
      6.5338745       0.0174643      0.00149012      -0.0104905       0.0120998      0.25262246     -0.24066958 
      6.5345604       0.0174047     0.000655655      -0.0109077       0.0128151      0.25415876     -0.24067751 
       6.535331       0.0179411      0.00035763      -0.0108481       0.0127555      0.25292703     -0.24072939 
      6.5360213       0.0187756       0.0011325      -0.0104905       0.0132919      0.25233375     -0.24097659 
      6.5367136       0.0189544      0.00137091      -0.0106693       0.0134111      0.25192663     -0.24045656 
      6.5374078       0.0186564      0.00107289      -0.0109077       0.0128151      0.25280129     -0.24059511 
       6.538193       0.0183583     5.96051e-05     -0.00995403        0.012219      0.25166051     -0.24064516 
      6.5388911       0.0181199      0.00101329     -0.00971562       0.0122786      0.25248451     -0.24084597 
      6.5395909       0.0182987      0.00131131      -0.0105501       0.0121594       0.2532194     -0.24121647 
      6.5402923       0.0178815      0.00131131      -0.0095368       0.0118614      0.25334758     -0.24133305 
      6.5410799       0.0180007       0.0023246     -0.00941759        0.012219       0.2537138     -0.24140263 
       6.541875       0.0185372      0.00286104     -0.00959641       0.0125766      0.25429548     -0.24122745 
      6.5426721       0.0186564       0.0024438     -0.00965601       0.0124574      0.25377483     -0.24072878 
      6.5434653        0.018716      0.00160933      -0.0100732       0.0128747      0.25392071     -0.24101382 
       6.544175       0.0197293      0.00143052      -0.0109673       0.0130535      0.25401959     -0.24095828 
      6.5449771       0.0197293      0.00154973      -0.0118614       0.0123978      0.25349162     -0.24070803 
      6.5456896        0.018716     5.96051e-05      -0.0118018       0.0121594      0.25385357     -0.24084414 
      6.5464033       0.0191332    -0.000715259      -0.0116826       0.0111461      0.25431013     -0.24143803 
      6.5471182       0.0183583    -0.000298025      -0.0107289       0.0106693      0.25424482     -0.24132267 
      6.5478343       0.0178219     0.000715259     -0.00977522       0.0104905      0.25440046     -0.24136113 
      6.5486434       0.0188948     0.000655655     -0.00894075       0.0106097      0.25427473     -0.24112491 
      6.5493619       0.0189544      0.00101329     -0.00911957       0.0106693      0.25383526     -0.24062929 
      6.5500814       0.0178815      0.00149012     -0.00977522       0.0111461      0.25489547     -0.24089541 
      6.5508884       0.0189544      0.00202657     -0.00929838       0.0117422      0.25492172     -0.24070681 
        6.55161       0.0203849       0.0023842     -0.00977522       0.0124574      0.25478072     -0.24084902 
      6.5523326         0.01961      0.00274183     -0.00941759       0.0121594      0.25451643     -0.24063417 
      6.5529692        0.018418      0.00184775      -0.0095368       0.0119806      0.25476791     -0.24080447 
      6.5536006       0.0191928     0.000476841     -0.00983482       0.0118018      0.25473495     -0.24060854 
      6.5543256       0.0199081    -5.96051e-05     -0.00995403       0.0116826      0.25528733      -0.2405884 
      6.5550514       0.0197293     0.000476841     -0.00977522       0.0119806      0.25427229     -0.24043947 
       6.555778       0.0185968      0.00160933     -0.00923878       0.0116826      0.25431745      -0.2400293 
      6.5565054       0.0191928      0.00190736     -0.00810629       0.0116826      0.25446638     -0.24034852 
      6.5573268       0.0182987       0.0012517      -0.0082255       0.0116826       0.2543437      -0.2404883 
      6.5580558       0.0181199     0.000774864     -0.00977522       0.0112653      0.25393414     -0.24025269 
      6.5587854       0.0194908     0.000834469      -0.0120998       0.0109077      0.25364116      -0.2407886 
      6.5595157       0.0191928     0.000715259      -0.0129343       0.0105501      0.25429243     -0.24085025 
      6.5602467       0.0175835    -0.000417234      -0.0113845       0.0107885      0.25491134     -0.24082217 
      6.5609783       0.0173451    -0.000476841      -0.0109673       0.0104309      0.25483261      -0.2407355 
      6.5617984        0.016451    -0.000178815      -0.0106693      0.00971562      0.25455123     -0.24060366 
      6.5625313       0.0175835      0.00035763     -0.00959641      0.00917917       0.2553795     -0.24120609 
      6.5632647       0.0188352     0.000715259     -0.00917917       0.0095368       0.2552562     -0.24107791 
      6.5639987       0.0189544     0.000715259     -0.00965601       0.0106693      0.25506333     -0.24074221 
      6.5647333       0.0176431     0.000476841      -0.0112057       0.0112653      0.25421552     -0.24101321 
      6.5655624       0.0179411    -0.000178815      -0.0104905       0.0109077      0.25472518     -0.24126102 
