> Measurement made Fri Jun 23 07:55:00 2023
> Main magnet sweep  6.20000 to  8.20000 Tesla at  3.999 mT/s 
> Hysteresis correction (approximate) has been applied. 
> Main Magnet at  6.49885 T 
> ITC set at   80.000 K, T1:  80.000 K, T2: 509.100 K, T3: 324.100 K 
> For Cernox1 -4.964000 Ohm corresponds to T = 0.000000 K at 0 T 
> LockIn1:   1 mV, Mod Freq 39610.000000 Hz, Phase 175.980000 degr, Ampl. 0.100000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Normal .
> LockIn2:   1 mV, Mod Freq 39609.800000 Hz, Phase 172.460000 degr, Ampl. 0.010000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Normal .
> Modulation: 23.420600 mA 
> Source Freq 240.000 GHz (dial 15.00), LO Freq 234.000 GHz (dial 3760) 
> Martin Pupplet setting 7.0 mm, Attenuator Grid 15 dB
> Source attn 10 dB, Diode reading (-20dB) 0.2 mV
> Reference attn 4 dB, Diode reading (-30dB) 10 mV
Field  Signal1_X  Signal2_X    Signal1_Y   Signal2_Y    ADC   ADC   
T  mV mV mV mV V V 
YMn6Sn6  FIeld perp plane ~5x4x0.5 mm
80K (field cooled)
-
-

>BEGIN
      8.1999916       -0.046015     -0.00303985      -0.0082851       0.0175835      0.48851405      0.30433668 
      8.1999669      -0.0466111     -0.00387433     -0.00715259       0.0182987      0.48874722      0.30440077 
        8.19992      -0.0467303     -0.00464919     -0.00685456       0.0189544       0.4885757      0.30458388 
      8.1998622      -0.0470879     -0.00429156      -0.0060201       0.0188948       0.4879519      0.30495132 
      8.1997794      -0.0480416     -0.00405314     -0.00554326       0.0182987      0.48756676       0.3052504 
      8.1996908      -0.0481608     -0.00441077     -0.00494721       0.0178815      0.48807581      0.30553545 
      8.1995886      -0.0477436     -0.00488761     -0.00542405       0.0174643      0.48916227      0.30534379 
      8.1994731      -0.0469091     -0.00494721     -0.00524524       0.0175239      0.49023286      0.30413099 
      8.1993448      -0.0469091     -0.00447038     -0.00536445       0.0178815      0.49048067      0.30412061 
      8.1991864      -0.0462534     -0.00393394     -0.00619891       0.0177623      0.48835108      0.30448073 
      8.1990118       -0.045717     -0.00411275     -0.00762945       0.0174643      0.48813257      0.30365246 
      8.1988448      -0.0465515     -0.00411275     -0.00840431       0.0177623      0.48793664      0.30477065 
      8.1986667       -0.047982     -0.00405314     -0.00768906       0.0175835      0.49053011      0.30494461 
      8.1984778       -0.048578      -0.0036359     -0.00673535       0.0169874       0.4894406      0.30525773 
      8.1982787        -0.04828     -0.00339748     -0.00661614       0.0159742       0.4869509      0.30389355 
       8.198042      -0.0476839     -0.00405314     -0.00715259       0.0157953      0.48719687      0.30494888 
      8.1978219      -0.0474455     -0.00488761      -0.0082851       0.0166894      0.48789026      0.30561052 
      8.1975924      -0.0468495     -0.00494721      -0.0082851       0.0176431      0.48531571      0.30649373 
      8.1973248      -0.0460746     -0.00464919     -0.00703338       0.0181199      0.48487747      0.30686483 
      8.1970443      -0.0445845     -0.00429156     -0.00655654       0.0179411      0.48367931      0.30689535 
      8.1967552      -0.0441077     -0.00303985     -0.00631812       0.0178815      0.48458266      0.30583575 
      8.1964539      -0.0450017     -0.00280143     -0.00572208       0.0180603      0.48564409      0.30535905 
      8.1961427      -0.0455978     -0.00309946      -0.0060201       0.0179411      0.48436842      0.30584613 
      8.1958589      -0.0455978      -0.0036359     -0.00560287       0.0172855      0.48328074      0.30657918 
      8.1955325      -0.0461342     -0.00411275     -0.00584128       0.0172855      0.48298227      0.30656697 
      8.1952337      -0.0466707     -0.00435117     -0.00506642       0.0169278      0.48203375      0.30661031 
      8.1949283      -0.0472071     -0.00405314     -0.00506642       0.0162126      0.48180181      0.30706381 
      8.1945759      -0.0474455     -0.00405314     -0.00542405       0.0160338      0.48084658       0.3069808 
      8.1942569      -0.0467303     -0.00405314      -0.0060797       0.0165702      0.47970397      0.30710959 
      8.1939319      -0.0448229     -0.00464919     -0.00703338       0.0175239      0.48002075      0.30680563 
      8.1935583      -0.0451806     -0.00494721     -0.00745061       0.0181795      0.48019837      0.30687399 
      8.1932211      -0.0458362     -0.00506642     -0.00649694       0.0182987      0.48045656      0.30669332 
       8.192837      -0.0475647     -0.00447038      -0.0047684       0.0173451      0.47941649      0.30669454 
      8.1924885      -0.0492337     -0.00482801     -0.00351669       0.0169874      0.47993652       0.3071511 
       8.192135      -0.0488164     -0.00584128     -0.00381473        0.016451      0.47894345      0.30762719 
      8.1917304      -0.0476839     -0.00655654      -0.0047684       0.0157953      0.47806024       0.3075576 
      8.1913228      -0.0466707     -0.00566247     -0.00542405       0.0159146      0.47635731      0.30763573 
      8.1909065      -0.0452998     -0.00494721     -0.00637773       0.0163914      0.47462386      0.30729331 
      8.1905328      -0.0442269     -0.00435117     -0.00739101       0.0163914      0.47455245      0.30770348 
      8.1901549      -0.0438693     -0.00381473     -0.00691417       0.0155569       0.4741435      0.30698996 
       8.189773      -0.0447037     -0.00351669     -0.00739101       0.0160338      0.47447554      0.30656636 
      8.1893871      -0.0455382     -0.00357629      -0.0082255        0.016749      0.47388348      0.30665426 
      8.1889974       -0.046313     -0.00458959     -0.00774866       0.0166298      0.47499802      0.30640217 
       8.188604       -0.045419     -0.00530484     -0.00721219        0.016451       0.4748381      0.30670309 
      8.1882071      -0.0450613     -0.00417235     -0.00804669       0.0165106      0.47442427      0.30673971 
      8.1877553      -0.0444653     -0.00387433      -0.0082851       0.0168682      0.47568468       0.3060921 
      8.1873513      -0.0442269     -0.00417235     -0.00661614        0.016749      0.47612049      0.30655538 
       8.186944      -0.0447037     -0.00458959     -0.00649694        0.017047      0.47686453      0.30649678 
      8.1865336      -0.0447633     -0.00536445     -0.00655654       0.0168086       0.4783636      0.30586688 
      8.1860705      -0.0455382     -0.00512603      -0.0060201       0.0171663      0.47790277      0.30584307 
       8.185654      -0.0466111      -0.0047684     -0.00584128       0.0166894      0.47743461      0.30524796 
      8.1851808      -0.0459554     -0.00447038     -0.00643733        0.016749      0.47792291      0.30519303 
      8.1847584      -0.0455382     -0.00375511     -0.00709298       0.0171066      0.47819636       0.3055623 
      8.1842789      -0.0458362     -0.00309946     -0.00756982       0.0172855      0.47889645      0.30516434 
      8.1837996      -0.0461342     -0.00262262     -0.00745061       0.0175239      0.47865291      0.30502518 
      8.1833692      -0.0463726     -0.00357629      -0.0060201       0.0174047      0.47830134      0.30508988 
      8.1829364      -0.0467303     -0.00447038     -0.00542405       0.0171066      0.47826411      0.30536515 
      8.1825015      -0.0465515     -0.00452998     -0.00500682       0.0162126      0.47877987      0.30547624 
      8.1820643      -0.0469091     -0.00405314     -0.00506642       0.0159146      0.47836848       0.3055092 
      8.1815687      -0.0471475     -0.00381473     -0.00530484       0.0151396      0.47894162       0.3053737 
      8.1811272      -0.0462534     -0.00387433     -0.00542405       0.0159742      0.47863216      0.30585284 
      8.1806837      -0.0469687     -0.00411275     -0.00655654       0.0174643      0.47830195      0.30602618 
      8.1802384      -0.0469091     -0.00411275     -0.00643733       0.0185968       0.4779107      0.30620869 
      8.1797912      -0.0472071     -0.00303985     -0.00613931       0.0189544      0.47898801      0.30632649 
      8.1793423      -0.0474455      -0.0024438     -0.00584128       0.0189544       0.4794763      0.30632221 
      8.1788917      -0.0464323      -0.0023246     -0.00560287       0.0188948      0.47895016      0.30631977 
      8.1784394      -0.0462534     -0.00208618     -0.00554326       0.0181199      0.47907895      0.30661702 
      8.1779855      -0.0448229     -0.00178815      -0.0060797       0.0175835       0.4800238      0.30636006 
      8.1774754      -0.0442269      -0.0023246     -0.00679496       0.0171066       0.4809534      0.30609943 
      8.1770184      -0.0451806     -0.00339748     -0.00780827       0.0166894      0.48038942      0.30648885 
      8.1765011      -0.0458362     -0.00351669     -0.00786787       0.0165106      0.48129948      0.30663961 
      8.1760411      -0.0458362     -0.00411275     -0.00798708       0.0168086      0.48003906      0.30661763 
      8.1755797      -0.0460746      -0.0047088     -0.00756982       0.0172855      0.48116092      0.30672201 
      8.1750578      -0.0472071     -0.00399354     -0.00834471       0.0175835      0.48083193      0.30699606 
      8.1745937      -0.0470879      -0.0024438     -0.00900036       0.0178815      0.48154668      0.30699789 
      8.1741285      -0.0456574     -0.00309946     -0.00756982       0.0172855      0.48205145      0.30637837 
      8.1736621      -0.0443461     -0.00351669     -0.00548366       0.0166298      0.48244942      0.30635456 
      8.1731946      -0.0442865     -0.00327827     -0.00542405        0.016451      0.48256355      0.30631977 
       8.172726      -0.0451806     -0.00298025     -0.00625852       0.0171066      0.48189764      0.30682577 
      8.1722564      -0.0454786     -0.00447038     -0.00768906       0.0175835      0.48206793      0.30687338 
      8.1717292      -0.0451806     -0.00542405      -0.0072718       0.0178219      0.48124821      0.30699362 
       8.171197      -0.0444653     -0.00411275     -0.00780827       0.0172855      0.48265328      0.30690512 
      8.1707242      -0.0453594     -0.00417235     -0.00751021       0.0166894      0.48278085       0.3068099 
      8.1702506      -0.0464323     -0.00339748     -0.00643733       0.0166894      0.48324778      0.30708029 
       8.169776      -0.0464323     -0.00333787     -0.00619891       0.0163914      0.48365734      0.30692892 
      8.1692397      -0.0448825     -0.00447038     -0.00560287       0.0160338      0.48396069      0.30711081 
      8.1687633      -0.0439885     -0.00464919     -0.00464919       0.0162126      0.48445448       0.3071279 
      8.1682862      -0.0442865     -0.00357629     -0.00524524        0.016153      0.48480728      0.30675924 
      8.1678083      -0.0449421     -0.00256301     -0.00697377       0.0165702      0.48448439      0.30650655 
      8.1672723      -0.0446441     -0.00315906     -0.00762945       0.0173451      0.48504044       0.3062801 
      8.1667928      -0.0435712      -0.0036359     -0.00768906       0.0176431      0.48459304      0.30651631 
      8.1663128      -0.0432136     -0.00441077     -0.00768906       0.0172259      0.48542375      0.30655293 
      8.1657704      -0.0439885      -0.0047088     -0.00715259       0.0166894      0.48425733      0.30685629 
       8.165289       -0.045419     -0.00405314      -0.0072718       0.0162722      0.48551531      0.30671407 
       8.164749      -0.0456574     -0.00303985     -0.00751021       0.0157953      0.48557207      0.30695883 
      8.1642662      -0.0458958      -0.0036359     -0.00584128       0.0159742      0.48583148      0.30756981 
      8.1637829      -0.0464323     -0.00441077     -0.00482801       0.0163914      0.48658223      0.30729514 
      8.1632371      -0.0470879     -0.00530484     -0.00494721       0.0162722      0.48726279      0.30716575 
      8.1627526      -0.0461938     -0.00572208     -0.00667575        0.016153       0.4866213      0.30704855 
      8.1622676      -0.0452402     -0.00554326     -0.00721219       0.0163318      0.48642659      0.30711325 
      8.1617821      -0.0440481     -0.00482801     -0.00697377       0.0165702      0.48742515      0.30676534 
      8.1612339      -0.0438693      -0.0036359     -0.00697377       0.0157953       0.4876693      0.30629841 
      8.1607474      -0.0455382     -0.00292064     -0.00655654       0.0157953      0.48813196      0.30648457 
      8.1602605      -0.0460746     -0.00345708     -0.00768906       0.0165106      0.48789697      0.30599017 
      8.1597731      -0.0465515     -0.00327827     -0.00852352        0.016451      0.48832301      0.30600421 
      8.1592853      -0.0469687     -0.00357629     -0.00739101       0.0165702      0.48872829       0.3057387 
      8.1587971      -0.0471475     -0.00339748     -0.00768906       0.0165106      0.48753624      0.30578143 
      8.1583086      -0.0470879     -0.00321867     -0.00798708       0.0165106      0.48802149      0.30579791 
      8.1577609      -0.0466707     -0.00327827     -0.00745061       0.0166894      0.48945219       0.3055916 
      8.1572089       -0.045717     -0.00381473     -0.00691417       0.0168086      0.48913724      0.30580523 
      8.1567191        -0.04375     -0.00375511     -0.00679496       0.0169874      0.48894253      0.30510758 
