> Measurement made Wed Jul 26 16:24:49 2023
> Main magnet sweep  8.50000 to  8.80000 Tesla at  1.001 mT/s 
> Hysteresis correction (approximate) has been applied. 
> Main Magnet at  8.50000 T 
> ITC set at  100.000 K, T1:  99.950 K, T2: 509.100 K, T3: 324.100 K 
> For Cernox1 -1.983000 Ohm corresponds to T = 0.000000 K at 0 T 
> LockIn1:  10 mV, Mod Freq 39260.000000 Hz, Phase -92.020000 degr, Ampl. 0.050000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Normal .
> LockIn2:  10 mV, Mod Freq 39260.600000 Hz, Phase -87.540000 degr, Ampl. 0.010000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Normal .
> Modulation: 58.365300 mA 
> Source Freq 240.000 GHz (dial 15.00), LO Freq 234.000 GHz (dial 3760) 
> Martin Pupplet setting 6.95 mm, Attenuator Grid 13 dB
> Source attn 10 dB, Diode reading (-20dB) 0.5 mV
> Reference attn 5 dB, Diode reading (-30dB) 10 mV
Field  Signal1_X  Signal2_X    Signal1_Y   Signal2_Y    ADC   ADC   
T  mV mV mV mV V V 
CrPS other exfoliated piece (thin, slighty brownish transparent)
100K
mod 58.5 mA ~ 3.3G
Rotator 890. Field perpendicular to plane of crystal
>BEGIN
      8.5000021     -0.00858313      -0.0100136       0.0114442               0     0.024043855       0.3239375 
      8.5000073     -0.00858313      -0.0109673       0.0109673               0     0.024037446      0.32382595 
      8.5000184     -0.00858313      -0.0104905       0.0109673               0      0.02405652       0.3238229 
      8.5000324     -0.00905996      -0.0109673        0.011921               0     0.024288461      0.32397977 
      8.5000526     -0.00810629      -0.0114442       0.0128747    -0.000476841     0.023878292      0.32393078 
      8.5000743     -0.00810629      -0.0109673       0.0128747    -0.000476841     0.024013031      0.32389279 
      8.5000995     -0.00858313      -0.0104905       0.0128747               0     0.024099704      0.32393872 
       8.500128     -0.00858313      -0.0100136       0.0114442               0      0.02377514      0.32391552 
      8.5001597     -0.00905996      -0.0100136       0.0109673               0     0.023793451      0.32387158 
      8.5001945     -0.00810629      -0.0100136       0.0104905    -0.000476841     0.023584857      0.32395215 
      8.5002323     -0.00715259      -0.0104905       0.0109673     -0.00143052      0.02375164      0.32398373 
      8.5002781     -0.00762945      -0.0100136       0.0114442     -0.00143052     0.023285775      0.32394375 
       8.500322     -0.00858313      -0.0095368        0.011921     -0.00143052     0.023423414      0.32389157 
      8.5003747     -0.00810629      -0.0100136       0.0128747     -0.00143052     0.023347423      0.32389584 
      8.5004242     -0.00810629      -0.0100136       0.0138283     -0.00143052     0.023163549       0.3239024 
      8.5004827     -0.00715259      -0.0109673       0.0133515    -0.000953682     0.023139134      0.32385083 
      8.5005374     -0.00762945      -0.0114442        0.011921    -0.000953682     0.023274178      0.32377071 
      8.5005945     -0.00810629      -0.0109673       0.0114442     -0.00143052     0.023505051      0.32380459 
      8.5006617     -0.00858313      -0.0109673       0.0109673     -0.00143052     0.023418226      0.32384518 
      8.5007235     -0.00905996      -0.0114442       0.0109673     -0.00143052     0.023277841      0.32383374 
      8.5007958     -0.00905996      -0.0109673       0.0109673     -0.00190736     0.023033998      0.32386181 
       8.500862     -0.00905996      -0.0109673       0.0114442     -0.00190736     0.023069704      0.32387066 
      8.5009385     -0.00905996      -0.0109673        0.011921     -0.00190736     0.022960295      0.32383969 
      8.5010088     -0.00905996      -0.0109673       0.0128747      -0.0023842     0.022709433      0.32380917 
      8.5010809      -0.0100136      -0.0100136       0.0133515     -0.00190736     0.022373577      0.32374004 
      8.5011644      -0.0114442      -0.0100136       0.0133515     -0.00143052     0.022163152      0.32352565 
      8.5012501      -0.0104905      -0.0100136       0.0123978    -0.000953682     0.022352672      0.32375103 
      8.5013277      -0.0100136      -0.0100136        0.011921     -0.00143052     0.022137059      0.32379192 
       8.501407     -0.00905996      -0.0104905       0.0128747     -0.00143052     0.022194433      0.32391461 
      8.5014976     -0.00810629      -0.0100136       0.0128747     -0.00143052     0.022248909      0.32390988 
      8.5015906     -0.00810629      -0.0095368       0.0123978     -0.00143052     0.022177496      0.32385998 
      8.5016747     -0.00810629      -0.0100136       0.0123978    -0.000476841     0.022255318       0.3238197 
      8.5017704     -0.00858313      -0.0109673       0.0123978    -0.000476841     0.022371593      0.32376644 
      8.5018685     -0.00905996      -0.0114442       0.0123978    -0.000953682     0.021996979      0.32372967 
      8.5019568     -0.00810629      -0.0114442       0.0128747    -0.000953682     0.021825922      0.32368465 
      8.5020463     -0.00715259      -0.0114442       0.0128747     -0.00143052     0.021808679      0.32360225 
      8.5021487     -0.00762945      -0.0104905       0.0128747    -0.000953682     0.021470992      0.32351939 
      8.5022518     -0.00810629      -0.0100136       0.0123978     -0.00143052     0.021555681      0.32380001 
      8.5023451     -0.00810629      -0.0100136       0.0114442    -0.000953682     0.021315958      0.32366985 
      8.5024394     -0.00810629      -0.0104905       0.0114442    -0.000953682     0.021169164      0.32366298 
       8.502547     -0.00905996      -0.0109673        0.011921    -0.000953682     0.020947752      0.32381069 
      8.5026434     -0.00905996      -0.0114442       0.0128747     -0.00143052     0.020825068      0.32376537 
      8.5027534     -0.00810629      -0.0109673       0.0128747     -0.00143052     0.020537584      0.32353755 
      8.5028518     -0.00715259      -0.0104905       0.0128747     -0.00143052       0.0202266      0.32361538 
      8.5029631     -0.00715259      -0.0104905       0.0128747    -0.000953682     0.020384686      0.32360424 
      8.5030763     -0.00715259      -0.0114442        0.011921    -0.000953682     0.020343181      0.32365322 
      8.5031775     -0.00762945      -0.0109673       0.0109673     -0.00143052     0.020227821      0.32366176 
      8.5032918     -0.00810629      -0.0109673       0.0109673     -0.00143052     0.020434126      0.32359035 
      8.5034079     -0.00858313      -0.0104905       0.0109673     -0.00143052     0.020389874      0.32365825 
      8.5035249     -0.00810629      -0.0104905       0.0109673     -0.00143052     0.020403302      0.32358516 
       8.503642     -0.00715259      -0.0104905        0.011921     -0.00190736     0.020753197      0.32348827 
      8.5037473     -0.00667575      -0.0104905       0.0123978     -0.00190736     0.020533006      0.32346477 
      8.5038532     -0.00810629      -0.0109673        0.011921     -0.00143052     0.020465865      0.32343425 
      8.5039598      -0.0095368      -0.0104905        0.011921     -0.00143052     0.020471816      0.32335337 
       8.504067      -0.0100136      -0.0100136       0.0114442    -0.000953682     0.020393078      0.32348933 
      8.5041886     -0.00905996      -0.0104905       0.0109673    -0.000476841     0.020702536      0.32363674 
       8.504297     -0.00905996      -0.0100136        0.011921               0     0.020310068      0.32370998 
        8.50442     -0.00905996      -0.0100136        0.011921    -0.000476841     0.020505081      0.32360973 
      8.5045296     -0.00858313      -0.0100136        0.011921               0     0.020361187      0.32353572 
      8.5046397     -0.00905996      -0.0100136        0.011921               0     0.020469985      0.32366176 
      8.5047636     -0.00905996      -0.0100136        0.011921               0     0.020517594      0.32366359 
      8.5048891     -0.00905996      -0.0100136        0.011921               0     0.020534837      0.32366207 
      8.5050007     -0.00905996      -0.0100136       0.0114442               0      0.02084109      0.32368725 
      8.5051128     -0.00858313      -0.0100136       0.0114442    -0.000476841     0.020914945      0.32380993 
       8.505211     -0.00905996      -0.0095368        0.011921               0     0.020911435      0.32386013 
      8.5053239      -0.0095368      -0.0100136       0.0114442               0     0.020950499      0.32381695 
      8.5054372     -0.00905996      -0.0104905       0.0109673               0     0.020830256      0.32383557 
      8.5055509     -0.00905996      -0.0104905       0.0109673    -0.000476841     0.020893887      0.32377316 
      8.5056797     -0.00905996      -0.0100136        0.011921    -0.000953682     0.020801263      0.32361797 
