> Measurement made Thu Jul 27 13:00:33 2023
> Main magnet sweep  8.35000 to  8.80000 Tesla at  0.601 mT/s 
> Hysteresis correction (approximate) has been applied. 
> Main Magnet at  8.30122 T 
> ITC set at   10.000 K, T1:   9.999 K, T2: 509.100 K, T3: 324.100 K 
> For Cernox1 -0.192000 Ohm corresponds to T = 0.000000 K at 0 T 
> LockIn1:  10 mV, Mod Freq 39260.000000 Hz, Phase -92.020000 degr, Ampl. 0.050000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Normal .
> LockIn2:  10 mV, Mod Freq 39260.600000 Hz, Phase -87.540000 degr, Ampl. 0.010000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Normal .
> Modulation: 53.679200 mA 
> Source Freq 240.000 GHz (dial 15.00), LO Freq 234.000 GHz (dial 3760) 
> Martin Pupplet setting 6.95 mm, Attenuator Grid 13 dB
> Source attn 10 dB, Diode reading (-20dB) 0.5 mV
> Reference attn 5 dB, Diode reading (-30dB) 10 mV
Field  Signal1_X  Signal2_X    Signal1_Y   Signal2_Y    ADC   ADC   
T  mV mV mV mV V V 
CrPS other exfoliated piece (thin, slighty brownish transparent)
10K
mod 53.7 mA ~ 3G
Rotator 890. Field perpendicular to plane of crystal
>BEGIN
      8.3500013      -0.0553133       0.0176431      -0.0362399      0.00858313      0.16724097      0.41890927 
       8.350005      -0.0543597       0.0181199      -0.0367167      0.00810629      0.16717185      0.41884396 
      8.3500111      -0.0548365       0.0185968       -0.035763      0.00762945      0.16720923      0.41967421 
      8.3500195      -0.0543597       0.0185968       -0.035763      0.00858313      0.16692953      0.41926008 
      8.3500316      -0.0548365       0.0185968       -0.035763      0.00858313      0.16674764       0.4189848 
      8.3500446      -0.0548365       0.0185968       -0.035763       0.0095368      0.16662404      0.41888867 
      8.3500597      -0.0557902       0.0190736      -0.0343325       0.0095368      0.16655034      0.41895428 
      8.3500792      -0.0557902       0.0195504      -0.0338557       0.0095368      0.16662832      0.41894406 
      8.3500984       -0.056267       0.0195504      -0.0343325      0.00905996      0.16695059      0.41950636 
      8.3501196       -0.056267       0.0195504      -0.0362399      0.00905996      0.16676244      0.41852184 
      8.3501454      -0.0553133       0.0190736      -0.0371935      0.00858313      0.16704199       0.4194174 
      8.3501736      -0.0557902       0.0185968      -0.0376704      0.00858313       0.1669892      0.41899854 
      8.3502036      -0.0567439       0.0185968      -0.0371935      0.00762945      0.16709021      0.41938307 
       8.350236      -0.0567439       0.0195504      -0.0367167      0.00762945      0.16728202      0.41921522 
      8.3502703      -0.0557902       0.0195504      -0.0367167      0.00762945      0.16720832      0.41894314 
      8.3503023      -0.0553133       0.0185968      -0.0367167      0.00762945      0.16739631      0.41886807 
      8.3503398      -0.0543597       0.0190736      -0.0367167      0.00762945      0.16724036      0.41887844 
      8.3503793      -0.0543597       0.0195504       -0.035763      0.00810629      0.16757927      0.41982101 
      8.3504158      -0.0553133       0.0200273       -0.035763      0.00858313      0.16785745      0.42075167 
      8.3504536      -0.0553133       0.0205041       -0.035763       0.0095368      0.16710822      0.41916303 
      8.3504977       -0.056267        0.020981      -0.0367167       0.0095368      0.16729743      0.41952712 
       8.350538      -0.0567439       0.0214578      -0.0371935       0.0095368      0.16734016      0.41888836 
      8.3505795      -0.0567439        0.020981      -0.0371935       0.0095368      0.16727882       0.4191847 
      8.3506274      -0.0557902        0.020981      -0.0367167       0.0095368      0.16732215      0.41864284 
      8.3506712       -0.056267       0.0205041      -0.0362399      0.00858313      0.16761147      0.41959944 
      8.3507161      -0.0567439       0.0205041       -0.035763      0.00858313      0.16763787      0.42000687 
       8.350768      -0.0576975        0.020981      -0.0362399      0.00905996      0.16715033      0.41867641 
      8.3508149      -0.0581744        0.020981       -0.035763      0.00905996      0.16715293      0.41872555 
      8.3508629      -0.0576975        0.020981      -0.0352862      0.00905996      0.16732017      0.41847407 
      8.3509176      -0.0572207       0.0219346       -0.035763      0.00858313      0.16746544      0.41840037 
      8.3509674      -0.0572207       0.0228883      -0.0367167      0.00905996      0.16722709      0.41802713 
      8.3510181      -0.0572207       0.0219346      -0.0371935      0.00905996      0.16724219      0.41858867 
      8.3510762      -0.0576975       0.0214578      -0.0367167       0.0095368      0.16718604      0.41826716 
      8.3511353      -0.0586512       0.0219346       -0.035763      0.00905996      0.16745033      0.41899609 
       8.351195      -0.0576975       0.0219346      -0.0348093       0.0095368      0.16711234      0.41863643 
       8.351256       -0.056267        0.020981      -0.0348093       0.0095368      0.16696722      0.41846706 
      8.3513178      -0.0557902       0.0214578      -0.0343325       0.0100136      0.16718146      0.41878521 
      8.3513734      -0.0557902       0.0214578       -0.035763       0.0100136      0.16705054      0.41858974 
      8.3514296      -0.0567439       0.0219346      -0.0376704       0.0095368      0.16679739      0.41818903 
      8.3514865      -0.0567439       0.0214578      -0.0367167      0.00905996      0.16681722      0.41788812 
      8.3515509      -0.0567439        0.020981      -0.0362399      0.00905996       0.1670217      0.41890362 
       8.351609      -0.0557902       0.0200273      -0.0367167      0.00905996       0.1670127      0.41881344 
      8.3516677      -0.0557902       0.0200273      -0.0381472       0.0095368      0.16699561      0.41891186 
      8.3517269      -0.0557902       0.0205041      -0.0376704      0.00905996      0.16715522      0.41869762 
      8.3517867      -0.0557902       0.0205041      -0.0367167      0.00905996      0.16691717      0.41847667 
      8.3518547       -0.056267        0.020981       -0.035763      0.00858313      0.16731193      0.41903226 
      8.3519156       -0.056267       0.0219346      -0.0352862      0.00858313      0.16769158      0.41972442 
      8.3519769      -0.0557902       0.0224115      -0.0352862      0.00905996      0.16747261      0.41903607 
      8.3520461      -0.0557902       0.0224115       -0.035763      0.00858313      0.16717383      0.41841594 
      8.3521083       -0.056267       0.0219346      -0.0367167      0.00905996      0.16723945      0.41836756 
       8.352171      -0.0553133       0.0214578      -0.0367167      0.00905996      0.16722892      0.41806589 
      8.3522265      -0.0543597        0.020981      -0.0367167       0.0095368      0.16735023      0.41849605 
      8.3522976      -0.0553133       0.0214578      -0.0352862      0.00905996      0.16745048      0.41875668 
      8.3523615      -0.0557902       0.0214578      -0.0348093       0.0095368      0.16737922      0.41851115 
      8.3524258      -0.0557902       0.0219346      -0.0352862       0.0100136      0.16743919      0.41818171 
      8.3524987      -0.0557902       0.0219346      -0.0362399      0.00905996      0.16749001      0.41847606 
      8.3525637      -0.0548365       0.0219346      -0.0367167      0.00858313      0.16759758      0.41875027 
      8.3526291      -0.0543597       0.0219346      -0.0367167      0.00810629      0.16746437      0.41823572 
      8.3527032      -0.0553133        0.020981      -0.0362399      0.00762945      0.16740364       0.4182281 
      8.3527692      -0.0553133       0.0205041      -0.0352862      0.00810629      0.16738899      0.41796045 
      8.3528356      -0.0557902       0.0200273       -0.035763      0.00810629      0.16737999       0.4179989 
      8.3529022      -0.0557902       0.0200273      -0.0362399      0.00762945       0.1672457      0.41783395 
      8.3529691      -0.0557902       0.0205041       -0.035763      0.00858313      0.16713218      0.41763192 
      8.3530444      -0.0557902        0.020981       -0.035763      0.00858313      0.16733421      0.41791314 
      8.3531037      -0.0553133        0.020981      -0.0367167      0.00858313      0.16714469        0.417678 
      8.3531715      -0.0557902        0.020981      -0.0367167      0.00858313      0.16720496      0.41772317 
      8.3532394      -0.0557902        0.020981      -0.0367167      0.00762945       0.1673484      0.41787332 
      8.3533158      -0.0553133        0.020981      -0.0367167      0.00762945      0.16714576      0.41760781 
      8.3533842      -0.0548365       0.0214578      -0.0362399      0.00762945      0.16719794      0.41764321 
      8.3534529      -0.0543597       0.0219346       -0.035763      0.00858313      0.16718528      0.41761284 
