> Measurement made Wed Jul 26 15:53:54 2023
> Main magnet sweep  8.50000 to  8.80000 Tesla at  1.001 mT/s 
> Hysteresis correction (approximate) has been applied. 
> Main Magnet at  8.50000 T 
> ITC set at  125.000 K, T1: 124.990 K, T2: 509.100 K, T3: 324.100 K 
> For Cernox1 1.088000 Ohm corresponds to T = 999.000000 K at 0 T 
> LockIn1:   5 mV, Mod Freq 39260.000000 Hz, Phase -92.020000 degr, Ampl. 0.050000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Normal .
> LockIn2:   5 mV, Mod Freq 39260.600000 Hz, Phase -87.540000 degr, Ampl. 0.010000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Normal .
> Modulation: 59.585500 mA 
> Source Freq 240.000 GHz (dial 15.00), LO Freq 234.000 GHz (dial 3760) 
> Martin Pupplet setting 6.95 mm, Attenuator Grid 13 dB
> Source attn 10 dB, Diode reading (-20dB) 0.5 mV
> Reference attn 5 dB, Diode reading (-30dB) 10 mV
Field  Signal1_X  Signal2_X    Signal1_Y   Signal2_Y    ADC   ADC   
T  mV mV mV mV V V 
CrPS other exfoliated piece (thin, slighty brownish transparent)
125K
mod 60 mA ~ 3.4G
Rotator 890. Field perpendicular to plane of crystal
>BEGIN
      8.5000027       0.0391009     -0.00643733        0.124932      -0.0438693      0.32857372      0.36249931 
      8.5000094       0.0400546     -0.00596049        0.124932      -0.0443461      0.32867763      0.36243156 
        8.50002       0.0410082     -0.00524524        0.124694      -0.0443461       0.3287022      0.36245552 
      8.5000366       0.0407698     -0.00452998        0.123979      -0.0438693       0.3287579      0.36259911 
      8.5000552       0.0412466      -0.0047684        0.123263      -0.0441077      0.32891888      0.36268227 
      8.5000803       0.0410082     -0.00500682        0.123502      -0.0441077      0.32879879      0.36265007 
      8.5001098       0.0400546     -0.00572208        0.123263      -0.0438693      0.32865093      0.36261879 
      8.5001395       0.0407698     -0.00548366        0.123263      -0.0438693      0.32866146      0.36262795 
      8.5001724       0.0410082     -0.00500682         0.12374      -0.0436308      0.32873211      0.36255394 
      8.5002132        0.040293     -0.00524524        0.123502      -0.0433924      0.32883679      0.36259514 
      8.5002525       0.0400546     -0.00524524        0.124455      -0.0433924      0.32881832      0.36260521 
      8.5002999       0.0407698     -0.00500682        0.124694      -0.0433924      0.32881207      0.36255333 
      8.5003511        0.040293     -0.00524524        0.124932       -0.043154      0.32886196      0.36264931 
      8.5003994       0.0400546     -0.00500682        0.124455       -0.043154      0.32879833      0.36268929 
      8.5004564        0.040293     -0.00500682        0.123263      -0.0433924      0.32880779      0.36269829 
       8.500517        0.040293     -0.00548366        0.123502      -0.0433924      0.32899625      0.36267479 
      8.5005733       0.0398161     -0.00500682        0.124455      -0.0436308      0.32905881      0.36267418 
      8.5006318       0.0393393     -0.00548366         0.12374      -0.0438693      0.32894711      0.36256493 
      8.5007005       0.0391009     -0.00524524        0.122786      -0.0443461      0.32899136      0.36257454 
      8.5007637       0.0379088     -0.00500682        0.123263      -0.0443461       0.3289114       0.3626371 
      8.5008369       0.0383856     -0.00572208        0.123263      -0.0436308      0.32910306      0.36265725 
      8.5009043       0.0395777     -0.00524524        0.123502      -0.0433924        0.328932        0.362743 
      8.5009737        0.040293     -0.00500682         0.12374      -0.0433924      0.32906919      0.36277963 
      8.5010542       0.0391009     -0.00429156        0.123263      -0.0438693      0.32897137        0.362669 
       8.501137       0.0391009     -0.00381473        0.123263      -0.0436308      0.32914151      0.36283303 
      8.5012122       0.0400546     -0.00429156        0.122786      -0.0438693      0.32920377      0.36265374 
      8.5012984        0.040293     -0.00452998        0.122786      -0.0438693      0.32923902      0.36254265 
      8.5013872        0.040293      -0.0047684        0.123025      -0.0438693      0.32923292      0.36262215 
      8.5014676       0.0407698     -0.00500682         0.12374      -0.0441077      0.32917478      0.36260689 
      8.5015495       0.0400546      -0.0047684        0.123979      -0.0443461      0.32907315      0.36261132 
      8.5016328       0.0393393     -0.00452998        0.124694      -0.0443461      0.32907636      0.36267083 
      8.5017175       0.0393393     -0.00452998        0.125171      -0.0445845      0.32901227      0.36278954 
      8.5018036        0.040293     -0.00500682        0.124694      -0.0445845       0.3290788      0.36278283 
       8.501891       0.0407698     -0.00548366        0.124455      -0.0445845      0.32901273      0.36274743 
      8.5019796       0.0410082     -0.00572208        0.124455      -0.0438693      0.32899274      0.36262719 
      8.5020694       0.0414851     -0.00524524        0.124455      -0.0438693      0.32906583      0.36264504 
      8.5021714       0.0407698     -0.00500682        0.125171      -0.0443461      0.32912839      0.36261483 
      8.5022637       0.0398161      -0.0047684        0.125409      -0.0438693       0.3291615      0.36253639 
      8.5023691       0.0400546     -0.00500682        0.125171      -0.0426772      0.32916288      0.36257149 
      8.5024637       0.0407698     -0.00500682        0.124455      -0.0426772      0.32924345      0.36256844 
      8.5025593        0.040293     -0.00548366        0.124694      -0.0433924      0.32917234      0.36263756 
      8.5026558       0.0407698     -0.00548366         0.12374      -0.0436308      0.32935209      0.36261223 
      8.5027534        0.040293     -0.00500682        0.123502      -0.0436308      0.32934904      0.36264077 
      8.5028518       0.0388625     -0.00452998        0.123263       -0.043154      0.32937422      0.36269616 
      8.5029511        0.038624      -0.0047684        0.123025      -0.0426772      0.32945219      0.36262947 
      8.5030513       0.0391009     -0.00452998        0.123025      -0.0429156      0.32965041      0.36258156 
      8.5031653       0.0395777     -0.00452998        0.122786       -0.043154      0.32966414      0.36265343 
      8.5032795       0.0398161     -0.00452998        0.122786      -0.0433924      0.32964476      0.36270867 
      8.5033823       0.0398161     -0.00500682        0.123263      -0.0443461      0.32969832       0.3626899 
      8.5034858        0.040293     -0.00500682        0.123025      -0.0443461      0.32956969      0.36278512 
        8.50359       0.0410082     -0.00524524        0.122548      -0.0441077      0.32958815      0.36284799 
      8.5037085       0.0407698     -0.00524524        0.122548      -0.0436308      0.32964141      0.36286386 
      8.5038277       0.0391009     -0.00500682        0.122786      -0.0433924      0.32966308      0.36277779 
      8.5039342       0.0393393     -0.00572208        0.123263      -0.0438693      0.32964278      0.36273217 
      8.5040412       0.0398161     -0.00524524        0.124694      -0.0443461      0.32966979      0.36271996 
      8.5041488       0.0400546      -0.0047684        0.125409      -0.0441077      0.32967666      0.36275735 
      8.5042571       0.0407698     -0.00500682        0.124694      -0.0438693      0.32958586      0.36273873 
      8.5043789       0.0410082     -0.00524524        0.124217      -0.0441077      0.32966811      0.36270486 
      8.5044883        0.040293     -0.00429156        0.123979      -0.0436308      0.32974227      0.36277017 
      8.5046124       0.0398161     -0.00405314        0.123025      -0.0433924      0.32976745      0.36279946 
      8.5047361       0.0398161     -0.00452998        0.123025      -0.0433924      0.32980926      0.36269341 
      8.5048472        0.040293     -0.00452998        0.123025      -0.0436308      0.32977294      0.36267602 
       8.504973       0.0398161     -0.00452998        0.122071      -0.0443461      0.32994095      0.36273217 
       8.505085       0.0398161     -0.00500682        0.121594      -0.0448229      0.32992004        0.362725 
      8.5052119       0.0395777     -0.00524524         0.12231      -0.0450613      0.33004303      0.36265099 
      8.5053248       0.0395777     -0.00500682         0.12231      -0.0445845      0.33016037      0.36270669 
      8.5054517       0.0395777     -0.00500682        0.121832      -0.0443461      0.33001251      0.36281686 
      8.5055655       0.0398161     -0.00524524        0.123263      -0.0445845      0.33017319      0.36275155 
      8.5056943        0.040293     -0.00500682        0.123979      -0.0448229      0.33018174        0.362734 
      8.5058088       0.0405314     -0.00500682        0.123979      -0.0448229      0.33013672      0.36271874 
      8.5059238       0.0400546     -0.00429156        0.123979      -0.0448229      0.33000473      0.36278878 
