> Measurement made Wed Jul 26 14:15:28 2023
> Main magnet sweep  8.50000 to  8.80000 Tesla at  1.001 mT/s 
> Hysteresis correction (approximate) has been applied. 
> Main Magnet at  8.50000 T 
> ITC set at  200.000 K, T1: 199.990 K, T2: 509.100 K, T3: 324.100 K 
> For Cernox1 -3.544000 Ohm corresponds to T = 0.000000 K at 0 T 
> LockIn1:   5 mV, Mod Freq 39260.000000 Hz, Phase -92.020000 degr, Ampl. 0.050000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Normal .
> LockIn2:   5 mV, Mod Freq 39260.600000 Hz, Phase -87.540000 degr, Ampl. 0.010000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Normal .
> Modulation: 59.612800 mA 
> Source Freq 240.000 GHz (dial 15.00), LO Freq 234.000 GHz (dial 3760) 
> Martin Pupplet setting 6.95 mm, Attenuator Grid 13 dB
> Source attn 10 dB, Diode reading (-20dB) 0.5 mV
> Reference attn 5 dB, Diode reading (-30dB) 10 mV
Field  Signal1_X  Signal2_X    Signal1_Y   Signal2_Y    ADC   ADC   
T  mV mV mV mV V V 
CrPS other exfoliated piece (thin, slighty brownish transparent)
200K
mod 59 mA ~ 3.3G
Rotator 890. Field perpendicular to plane of crystal
>BEGIN
      8.5000021      -0.0011921     -0.00166894       0.0271798       -0.016451      0.19232612       0.3935287 
      8.5000083      -0.0011921     -0.00143052       0.0278951      -0.0166894      0.19233543      0.39352931 
      8.5000199     -0.00214578     -0.00190736       0.0281335      -0.0166894      0.19225791      0.39363826 
      8.5000344     -0.00262262     -0.00214578       0.0283719      -0.0166894      0.19234748      0.39364818 
      8.5000525      -0.0023842     -0.00166894       0.0281335      -0.0171663        0.192275      0.39351665 
      8.5000742     -0.00262262      -0.0011921       0.0281335      -0.0176431       0.1924749      0.39358592 
      8.5000993     -0.00286104    -0.000715259       0.0281335      -0.0178815      0.19260033      0.39353145 
      8.5001316     -0.00333787    -0.000715259       0.0286103      -0.0171663      0.19231895       0.3935522 
      8.5001637     -0.00357629     -0.00023842       0.0288488      -0.0169278      0.19237831      0.39354076 
      8.5001989     -0.00333787    -0.000715259       0.0283719      -0.0169278      0.19263344      0.39348491 
      8.5002418     -0.00333787    -0.000715259       0.0283719      -0.0171663      0.19258766      0.39357753 
      8.5002832     -0.00405314     -0.00023842       0.0288488      -0.0171663      0.19257469      0.39352336 
      8.5003274     -0.00381473    -0.000715259       0.0290872      -0.0171663      0.19242759      0.39357494 
      8.5003743     -0.00333787    -0.000715259       0.0283719      -0.0169278      0.19231422      0.39371166 
      8.5004238     -0.00381473    -0.000953682       0.0276567      -0.0166894        0.192434      0.39358409 
      8.5004827     -0.00357629    -0.000953682       0.0278951      -0.0171663      0.19252953      0.39365902 
      8.5005374     -0.00405314    -0.000953682       0.0281335      -0.0176431      0.19242653      0.39364254 
      8.5005945     -0.00405314    -0.000715259       0.0286103      -0.0178815      0.19250053      0.39354244 
      8.5006617     -0.00405314    -0.000715259       0.0288488      -0.0174047      0.19252953      0.39358013 
      8.5007235      -0.0047684      -0.0011921       0.0293256      -0.0169278      0.19248833      0.39364711 
      8.5007874     -0.00524524     -0.00143052       0.0286103      -0.0171663       0.1923307      0.39357448 
      8.5008534     -0.00500682      -0.0011921       0.0278951      -0.0171663      0.19234687      0.39374599 
      8.5009214     -0.00405314      -0.0011921       0.0283719      -0.0174047      0.19234291      0.39360927 
      8.5009997     -0.00452998     -0.00143052       0.0286103      -0.0176431       0.1923661        0.393708 
      8.5010716     -0.00524524     -0.00143052       0.0286103      -0.0171663      0.19233055      0.39361538 
      8.5011453      -0.0047684    -0.000715259       0.0276567      -0.0171663      0.19260643      0.39359493 
      8.5012305     -0.00381473     -0.00023842       0.0278951      -0.0174047      0.19255043        0.393558 
      8.5013177      -0.0047684      -0.0011921       0.0293256      -0.0171663      0.19255211      0.39356624 
      8.5014063     -0.00596049      -0.0011921        0.029564      -0.0166894      0.19256127      0.39364284 
      8.5014976     -0.00524524    -0.000715259       0.0286103      -0.0166894      0.19259468       0.3936137 
        8.50159      -0.0047684    -0.000953682       0.0283719      -0.0169278       0.1923777      0.39367061 
       8.501674     -0.00500682      -0.0011921       0.0281335      -0.0174047       0.1925634      0.39367244 
      8.5017704     -0.00548366    -0.000953682       0.0271798      -0.0169278      0.19261254      0.39359127 
      8.5018573     -0.00596049      -0.0011921       0.0278951      -0.0166894      0.19239418      0.39369366 
      8.5019454     -0.00596049      -0.0011921       0.0283719      -0.0169278      0.19257378      0.39359951 
      8.5020463     -0.00524524     -0.00166894       0.0286103      -0.0166894      0.19248451      0.39340358 
       8.502137     -0.00429156     -0.00166894       0.0288488      -0.0166894      0.19248955      0.39352458 
      8.5022289     -0.00357629     -0.00143052       0.0286103      -0.0166894      0.19239738      0.39368084 
      8.5023219     -0.00405314     -0.00143052       0.0286103      -0.0171663      0.19247505      0.39369411 
      8.5024159      -0.0047684    -0.000953682       0.0290872      -0.0178815      0.19258675      0.39364467 
      8.5025225     -0.00405314    -0.000715259       0.0286103      -0.0181199      0.19272057      0.39359233 
      8.5026186     -0.00452998     -0.00166894       0.0286103      -0.0174047      0.19251885      0.39367946 
      8.5027158     -0.00452998      -0.0023842       0.0286103      -0.0171663      0.19223884      0.39366649 
      8.5028265      -0.0047684      -0.0023842       0.0283719      -0.0171663      0.19248848      0.39365184 
      8.5029256      -0.0047684     -0.00166894       0.0281335      -0.0174047      0.19230171      0.39372066 
      8.5030256     -0.00500682      -0.0011921       0.0276567      -0.0176431      0.19257683      0.39350215 
      8.5031264     -0.00667575    -0.000715259       0.0278951      -0.0171663        0.192566      0.39347911 
       8.503228     -0.00667575               0       0.0281335      -0.0174047      0.19251473      0.39346217 
      8.5033172     -0.00619891               0       0.0286103      -0.0178815       0.1924543      0.39365108 
      8.5034335     -0.00572208    -0.000476841       0.0293256      -0.0176431      0.19249428      0.39357265 
      8.5035374      -0.0047684    -0.000715259       0.0298024      -0.0176431      0.19276894      0.39344707 
       8.503642     -0.00309946      -0.0011921       0.0298024      -0.0176431      0.19262368      0.39346553 
      8.5037608     -0.00286104      -0.0011921        0.029564      -0.0171663      0.19242759      0.39361965 
      8.5038668     -0.00381473     -0.00143052       0.0290872      -0.0171663      0.19253609      0.39351756 
      8.5039863     -0.00405314     -0.00166894       0.0290872      -0.0166894      0.19270791      0.39352306 
      8.5040937     -0.00429156     -0.00166894        0.029564      -0.0169278      0.19239311      0.39342082 
      8.5042016     -0.00500682     -0.00166894       0.0298024      -0.0171663      0.19239128       0.3934753 
      8.5043101     -0.00452998     -0.00166894       0.0293256      -0.0171663      0.19250206      0.39349849 
      8.5044331     -0.00452998      -0.0011921       0.0286103      -0.0171663      0.19265053      0.39342463 
       8.504556     -0.00405314     -0.00023842       0.0283719      -0.0171663      0.19281671      0.39343455 
      8.5046804     -0.00309946     -0.00023842       0.0286103      -0.0178815      0.19272835      0.39344157 
      8.5048054     -0.00333787    -0.000476841       0.0281335      -0.0183583      0.19285531      0.39341075 
      8.5049301     -0.00333787      -0.0011921       0.0271798      -0.0183583      0.19287912      0.39344234 
      8.5050419     -0.00333787     -0.00166894       0.0276567      -0.0178815      0.19284356      0.39334483 
      8.5051686     -0.00333787     -0.00190736       0.0276567      -0.0183583       0.1928312      0.39338527 
      8.5052814     -0.00381473     -0.00143052       0.0281335      -0.0178815       0.1926867      0.39341533 
      8.5053946     -0.00524524    -0.000953682       0.0276567      -0.0178815      0.19267067      0.39336634 
      8.5055227     -0.00500682    -0.000953682        0.026703      -0.0178815      0.19282754      0.39343501 
