> Measurement made Wed Jul 26 12:25:48 2023
> Main magnet sweep  8.50000 to  8.80000 Tesla at  1.001 mT/s 
> Hysteresis correction (approximate) has been applied. 
> Main Magnet at  8.71459 T 
> ITC set at    5.000 K, T1: 288.900 K, T2: 509.100 K, T3: 324.100 K 
> For Cernox1 -3.966000 Ohm corresponds to T = 0.000000 K at 0 T 
> LockIn1:   5 mV, Mod Freq 39260.000000 Hz, Phase -92.020000 degr, Ampl. 0.050000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Normal .
> LockIn2:   5 mV, Mod Freq 39260.600000 Hz, Phase -87.540000 degr, Ampl. 0.010000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Normal .
> Modulation: 57.238800 mA 
> Source Freq 240.000 GHz (dial 15.00), LO Freq 234.000 GHz (dial 3760) 
> Martin Pupplet setting 6.95 mm, Attenuator Grid 13 dB
> Source attn 10 dB, Diode reading (-20dB) 0.5 mV
> Reference attn 5 dB, Diode reading (-30dB) 10 mV
Field  Signal1_X  Signal2_X    Signal1_Y   Signal2_Y    ADC   ADC   
T  mV mV mV mV V V 
CrPS other exfoliated piece (thin, slighty brownish transparent)
289K
mod 57 mA ~ 3.2G
Rotator 890. Field perpendicular to plane of crystal
>BEGIN
      8.5000021     -0.00381473     -0.00262262      0.00548366      0.00429156      0.34625782      0.39091052 
      8.5000083     -0.00309946      -0.0023842       0.0047684      0.00429156       0.3461124      0.39120823 
      8.5000199     -0.00286104     -0.00214578      0.00596049      0.00452998      0.34580615      0.39054537 
      8.5000344     -0.00286104      -0.0023842      0.00548366      0.00381473      0.34599338      0.39074786 
      8.5000525     -0.00333787      -0.0023842      0.00500682      0.00286104      0.34606113      0.39094867 
      8.5000772     -0.00405314     -0.00333787      0.00452998      0.00262262      0.34678854      0.39191595 
      8.5001027     -0.00452998     -0.00429156       0.0047684      0.00405314      0.34721809      0.39256767 
      8.5001316      -0.0047684     -0.00452998      0.00524524      0.00548366       0.3478692      0.39373913 
      8.5001637     -0.00500682     -0.00357629      0.00619891      0.00667575      0.34844737       0.3941084 
      8.5001989     -0.00405314     -0.00166894      0.00548366      0.00643733      0.34733711      0.39267907 
      8.5002371     -0.00309946     -0.00023842      0.00500682      0.00548366      0.34691702      0.39239265 
      8.5002832      -0.0023842     0.000476841      0.00596049      0.00500682      0.34750832      0.39295694 
      8.5003333     -0.00429156     -0.00143052      0.00572208      0.00548366      0.34666417      0.39180441 
      8.5003805     -0.00619891     -0.00286104      0.00548366      0.00524524      0.34685492      0.39199179 
      8.5004369     -0.00667575      -0.0023842      0.00572208       0.0047684      0.34679067      0.39157689 
       8.500496     -0.00619891     -0.00214578      0.00596049      0.00452998      0.34684881      0.39217139 
      8.5005514     -0.00643733      -0.0023842      0.00619891      0.00548366       0.3470397      0.39223136 
      8.5006091     -0.00619891     -0.00262262      0.00643733      0.00643733       0.3465688      0.39180975 
      8.5006768     -0.00548366     -0.00262262      0.00596049      0.00619891      0.34623218      0.39160176 
      8.5007473     -0.00405314     -0.00023842      0.00619891      0.00691417      0.34675481      0.39210257 
       8.500812     -0.00333787               0      0.00715259      0.00643733      0.34721793      0.39270287 
      8.5008787     -0.00357629     -0.00023842      0.00834471      0.00643733      0.34716834      0.39284768 
      8.5009474     -0.00429156      0.00023842      0.00810629      0.00619891       0.3466155      0.39202795 
      8.5010265     -0.00452998     -0.00023842      0.00643733       0.0047684      0.34626789       0.3913712 
      8.5010991     -0.00500682    -0.000715259      0.00619891      0.00429156      0.34516236      0.38993179 
      8.5011734     -0.00381473      0.00023842      0.00619891      0.00381473       0.3456856      0.39052004 
      8.5012593     -0.00333787     0.000953682      0.00596049      0.00405314      0.34544282      0.39031678 
      8.5013372     -0.00333787     0.000476841      0.00548366      0.00452998      0.34571093      0.39065615 
      8.5014166     -0.00333787     0.000953682      0.00524524      0.00452998      0.34557146       0.3904268 
      8.5015074     -0.00333787     0.000715259      0.00524524      0.00381473      0.34523942      0.38970824 
        8.50159     -0.00405314    -0.000715259      0.00429156      0.00381473      0.34482009      0.38929487 
      8.5016848     -0.00500682     -0.00166894      0.00333787      0.00381473      0.34439802      0.38787637 
      8.5017704      -0.0047684     -0.00190736      0.00262262      0.00214578      0.34570498      0.39031953 
      8.5018685     -0.00452998      -0.0011921      0.00309946       0.0023842      0.34660054      0.39127552 
      8.5019568     -0.00500682      -0.0011921      0.00381473      0.00357629      0.34681661      0.39184683 
      8.5020463     -0.00619891     -0.00166894      0.00381473      0.00333787      0.34734123      0.39244758 
       8.502148     -0.00619891    -0.000476841      0.00452998      0.00381473      0.34650075      0.39105991 
        8.50224      -0.0047684               0      0.00500682      0.00452998      0.34684149      0.39202033 
      8.5023331     -0.00357629    -0.000476841      0.00500682       0.0047684      0.34657155      0.39190466 
      8.5024394     -0.00500682     -0.00190736      0.00596049      0.00572208      0.34684408      0.39228034 
       8.502547     -0.00572208     -0.00262262      0.00739101      0.00596049      0.34724372      0.39282861 
      8.5026551     -0.00572208      -0.0023842      0.00691417      0.00524524      0.34706687      0.39255684 
      8.5027526     -0.00500682     -0.00166894      0.00596049      0.00548366      0.34347545      0.38700705 
       8.502851     -0.00452998     -0.00190736       0.0047684      0.00333787      0.34384457      0.38724601 
      8.5029631     -0.00429156     -0.00286104       0.0047684      0.00262262       0.3438966      0.38728309 
      8.5030634     -0.00500682     -0.00357629      0.00596049      0.00381473      0.34415418      0.38784936 
      8.5031767     -0.00572208     -0.00333787      0.00619891      0.00381473      0.34345256      0.38652944 
      8.5032787     -0.00500682      -0.0023842      0.00643733      0.00309946      0.34265297      0.38552614 
      8.5033815     -0.00381473     -0.00166894      0.00643733      0.00309946      0.34262246      0.38536531 
      8.5034983      -0.0023842    -0.000953682      0.00643733      0.00262262       0.3425045      0.38511521 
      8.5036026     -0.00262262      -0.0011921      0.00596049      0.00214578      0.34299417      0.38552309 
      8.5037076     -0.00357629    -0.000953682      0.00548366      0.00262262      0.34292566      0.38544115 
      8.5038133     -0.00452998      -0.0011921      0.00643733      0.00429156      0.34303247      0.38590091 
      8.5039196     -0.00429156     -0.00143052      0.00596049      0.00548366      0.34304453      0.38556551 
      8.5040266     -0.00333787     -0.00166894      0.00596049      0.00596049      0.34284845      0.38583773 
      8.5041342     -0.00309946      -0.0011921      0.00643733      0.00572208      0.34252403      0.38511032 
      8.5042562     -0.00357629     -0.00166894      0.00596049      0.00429156      0.34243782      0.38483901 
       8.504365     -0.00452998     -0.00166894      0.00548366      0.00381473      0.34275338      0.38548021 
      8.5044743     -0.00405314    -0.000715259       0.0047684      0.00429156      0.34314783      0.38577471 
      8.5045842     -0.00357629    -0.000715259      0.00429156      0.00500682       0.3434582      0.38622059 
      8.5046945     -0.00357629      -0.0011921      0.00357629      0.00548366      0.34351222       0.3861391 
      8.5048187     -0.00357629    -0.000476841      0.00429156      0.00548366      0.34369198      0.38629231 
      8.5049301     -0.00405314      0.00023842      0.00500682       0.0047684       0.3435023       0.3866126 
      8.5050419     -0.00452998               0      0.00572208      0.00452998      0.34341121      0.38583834 
      8.5051686     -0.00452998     0.000476841      0.00739101      0.00596049      0.34349269      0.38562731 
      8.5052814      -0.0047684               0      0.00786787      0.00596049      0.34382382       0.3864951 
      8.5053946     -0.00452998    -0.000476841      0.00691417      0.00524524      0.34388348       0.3861388 
      8.5055081      -0.0047684    -0.000715259      0.00548366      0.00452998      0.34380474      0.38598422 
      8.5056221      -0.0047684               0      0.00429156       0.0047684      0.34342952      0.38580538 
