> Measurement made Thu Jul 27 10:13:44 2023
> Main magnet sweep  8.45000 to  8.80000 Tesla at  1.001 mT/s 
> Hysteresis correction (approximate) has been applied. 
> Main Magnet at  8.49878 T 
> ITC set at   50.000 K, T1:  50.000 K, T2: 509.100 K, T3: 324.100 K 
> For Cernox1 -2.393000 Ohm corresponds to T = 0.000000 K at 0 T 
> LockIn1:  10 mV, Mod Freq 39260.000000 Hz, Phase -92.020000 degr, Ampl. 0.050000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Normal .
> LockIn2:  10 mV, Mod Freq 39260.600000 Hz, Phase -87.540000 degr, Ampl. 0.010000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Normal .
> Modulation: 53.195900 mA 
> Source Freq 240.000 GHz (dial 15.00), LO Freq 234.000 GHz (dial 3760) 
> Martin Pupplet setting 6.95 mm, Attenuator Grid 13 dB
> Source attn 10 dB, Diode reading (-20dB) 0.5 mV
> Reference attn 5 dB, Diode reading (-30dB) 10 mV
Field  Signal1_X  Signal2_X    Signal1_Y   Signal2_Y    ADC   ADC   
T  mV mV mV mV V V 
CrPS other exfoliated piece (thin, slighty brownish transparent)
50K
mod 53.7 mA ~ 3G
Rotator 890. Field perpendicular to plane of crystal
>BEGIN
      8.4500027      -0.0476839        0.011921      -0.0114442      0.00762945      0.15475112      0.41284783 
      8.4500094      -0.0481608        0.011921      -0.0114442      0.00762945      0.15443663      0.41275933 
      8.4500216      -0.0500681        0.011921      -0.0114442      0.00810629      0.15441954      0.41286126 
      8.4500386      -0.0500681       0.0114442      -0.0123978      0.00858313      0.15441069       0.4127134 
      8.4500577      -0.0500681        0.011921       -0.011921      0.00810629      0.15389386      0.41267464 
      8.4500803      -0.0491145        0.011921      -0.0123978      0.00810629      0.15357906      0.41270501 
      8.4501098      -0.0486376        0.011921      -0.0128747      0.00762945      0.15373974      0.41273873 
      8.4501395      -0.0476839        0.011921      -0.0123978      0.00715259      0.15392239      0.41284005 
      8.4501766      -0.0476839       0.0123978      -0.0109673      0.00619891      0.15397748      0.41287866 
      8.4502129      -0.0481608       0.0128747      -0.0100136      0.00667575      0.15392438      0.41269921 
      8.4502522      -0.0486376       0.0128747      -0.0100136      0.00715259      0.15395505      0.41283502 
      8.4502943      -0.0491145       0.0128747      -0.0100136      0.00762945      0.15397244      0.41286523 
      8.4503451      -0.0500681       0.0128747      -0.0100136      0.00715259      0.15382565      0.41266045 
      8.4503994      -0.0500681       0.0123978      -0.0100136      0.00715259      0.15382763      0.41263939 
      8.4504502      -0.0495913       0.0128747      -0.0109673      0.00762945      0.15359447      0.41254204 
        8.45051      -0.0495913       0.0133515      -0.0109673      0.00762945      0.15344096      0.41234336 
      8.4505659      -0.0491145       0.0128747      -0.0114442      0.00762945      0.15324076      0.41240532 
      8.4506242      -0.0491145       0.0123978       -0.011921      0.00762945      0.15284219      0.41244942 
      8.4506926      -0.0491145        0.011921       -0.011921      0.00762945      0.15284936      0.41261788 
      8.4507555      -0.0491145        0.011921      -0.0114442      0.00715259      0.15286416      0.41223258 
      8.4508204      -0.0500681       0.0114442      -0.0114442      0.00619891      0.15269311      0.41210822 
      8.4508956      -0.0510218       0.0109673      -0.0114442      0.00619891       0.1526513      0.41253365 
      8.4509737       -0.050545       0.0109673      -0.0114442      0.00619891      0.15260887      0.41238624 
      8.4510449      -0.0510218       0.0109673       -0.011921      0.00667575      0.15273247      0.41244697 
       8.451118      -0.0510218       0.0109673      -0.0123978      0.00667575      0.15240669      0.41251503 
      8.4511927       -0.050545       0.0109673      -0.0114442      0.00762945      0.15241859      0.41242744 
      8.4512692      -0.0500681       0.0114442      -0.0100136      0.00762945      0.15253334       0.4123632 
      8.4513473      -0.0510218        0.011921      -0.0104905      0.00810629      0.15274239      0.41271584 
      8.4514269      -0.0510218        0.011921      -0.0114442      0.00858313      0.15305383      0.41267312 
       8.451508      -0.0500681        0.011921       -0.011921      0.00858313      0.15302942      0.41288308 
      8.4515906      -0.0491145        0.011921      -0.0123978      0.00810629      0.15319407      0.41281884 
      8.4516747      -0.0491145       0.0123978       -0.011921      0.00858313      0.15322245      0.41284738 
      8.4517601      -0.0491145       0.0128747      -0.0114442      0.00762945      0.15335704      0.41284051 
      8.4518468      -0.0481608       0.0123978      -0.0114442      0.00762945      0.15355571      0.41268212 
      8.4519348      -0.0476839        0.011921      -0.0104905      0.00762945       0.1534666      0.41257088 
       8.452024      -0.0476839        0.011921      -0.0100136      0.00762945      0.15347362      0.41273186 
      8.4521261      -0.0481608       0.0123978      -0.0104905      0.00762945      0.15331111      0.41290155 
      8.4522289      -0.0491145        0.011921      -0.0123978      0.00810629      0.15334284      0.41274346 
      8.4523219      -0.0491145       0.0114442      -0.0128747      0.00810629      0.15347987      0.41281533 
      8.4524159      -0.0481608       0.0114442      -0.0123978      0.00810629      0.15348643      0.41273339 
      8.4525232      -0.0486376        0.011921       -0.011921      0.00762945      0.15328501      0.41269127 
      8.4526318      -0.0491145       0.0114442      -0.0114442      0.00667575      0.15309442      0.41272713 
      8.4527291      -0.0500681        0.011921       -0.011921      0.00619891      0.15338404      0.41283593 
      8.4528273      -0.0510218        0.011921      -0.0123978      0.00667575      0.15347774      0.41283883 
      8.4529384      -0.0524523        0.011921      -0.0123978      0.00762945      0.15363964      0.41285836 
      8.4530513      -0.0524523        0.011921      -0.0128747      0.00858313      0.15367489       0.4128164 
      8.4531523      -0.0514986        0.011921       -0.011921      0.00858313       0.1538638        0.412837 
      8.4532664      -0.0510218       0.0114442      -0.0109673      0.00762945      0.15404981      0.41261437 
      8.4533691       -0.050545        0.011921      -0.0104905      0.00667575      0.15417493      0.41281899 
      8.4534858      -0.0500681        0.011921      -0.0109673      0.00619891      0.15436384      0.41269356 
        8.45359      -0.0491145        0.011921      -0.0114442      0.00667575      0.15428495      0.41287957 
       8.453695      -0.0491145        0.011921       -0.011921      0.00619891      0.15443251      0.41299448 
      8.4538142      -0.0491145        0.011921       -0.011921      0.00619891      0.15443831      0.41289743 
      8.4539333      -0.0491145       0.0123978       -0.011921      0.00667575      0.15465804      0.41274926 
      8.4540541      -0.0495913        0.011921      -0.0114442      0.00762945      0.15444761      0.41282205 
      8.4541756      -0.0495913       0.0114442      -0.0123978      0.00762945      0.15454131      0.41269158 
       8.454284      -0.0500681       0.0109673      -0.0123978      0.00762945      0.15470428      0.41260979 
      8.4543929      -0.0500681       0.0114442      -0.0114442      0.00762945      0.15467208      0.41257653 
      8.4545024      -0.0495913       0.0123978      -0.0109673      0.00762945      0.15473098      0.41248207 
      8.4546124      -0.0500681       0.0128747      -0.0114442      0.00810629      0.15486373      0.41246818 
      8.4547361      -0.0500681       0.0128747      -0.0123978      0.00762945      0.15468062       0.4122335 
      8.4548614      -0.0495913        0.011921      -0.0123978      0.00667575      0.15449171      0.41227866 
       8.454973      -0.0491145        0.011921       -0.011921      0.00619891      0.15467132      0.41227714 
       8.455085      -0.0491145       0.0114442      -0.0123978      0.00667575      0.15487457      0.41222785 
       8.455211      -0.0486376       0.0114442      -0.0114442      0.00715259      0.15488556      0.41230461 
      8.4553384      -0.0481608       0.0109673      -0.0109673      0.00715259      0.15473922      0.41213523 
      8.4554517      -0.0491145       0.0109673      -0.0114442      0.00667575      0.15476379       0.4123281 
      8.4555801      -0.0500681        0.011921      -0.0104905      0.00715259      0.15474654      0.41214042 
      8.4556943      -0.0500681        0.011921      -0.0104905      0.00715259      0.15477157      0.41211783 
      8.4558226      -0.0500681        0.011921      -0.0109673      0.00762945       0.1547441      0.41209098 
