> Measurement made Thu Jul 27 16:45:17 2023
> Main magnet sweep  8.30000 to  8.80000 Tesla at  1.001 mT/s 
> Hysteresis correction (approximate) has been applied. 
> Main Magnet at  8.32801 T 
> ITC set at    5.000 K, T1:   5.002 K, T2: 509.100 K, T3: 324.100 K 
> For Cernox1 1.152000 Ohm corresponds to T = 999.000000 K at 0 T 
> LockIn1:  10 mV, Mod Freq 39260.000000 Hz, Phase -92.020000 degr, Ampl. 0.050000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Normal .
> LockIn2:  10 mV, Mod Freq 39260.600000 Hz, Phase -87.540000 degr, Ampl. 0.010000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Normal .
> Modulation: 53.754800 mA 
> Source Freq 240.000 GHz (dial 15.00), LO Freq 234.000 GHz (dial 3760) 
> Martin Pupplet setting 6.95 mm, Attenuator Grid 13 dB
> Source attn 10 dB, Diode reading (-20dB) 0.5 mV
> Reference attn 5 dB, Diode reading (-30dB) 10 mV
Field  Signal1_X  Signal2_X    Signal1_Y   Signal2_Y    ADC   ADC   
T  mV mV mV mV V V 
CrPS other exfoliated piece (thin, slighty brownish transparent)
5K
mod 53.7 mA ~ 3G
Rotator 790. Roatted 18 deg from perpendicular to plane of crystal
>BEGIN
      8.3000026     0.000953682      0.00333787     -0.00810629      0.00190736      0.58088153      0.23365749 
      8.3000104     0.000953682      0.00381473     -0.00762945      0.00190736      0.58092257      0.23379192 
      8.3000216     0.000953682      0.00333787     -0.00715259     0.000953682       0.5810918      0.23379421 
      8.3000385     0.000953682      0.00333787     -0.00810629     0.000953682      0.58081729      0.23377636 
      8.3000575      0.00190736      0.00286104     -0.00810629     0.000953682      0.58119022       0.2338377 
      8.3000832      0.00190736      0.00333787     -0.00810629     0.000476841      0.58103519      0.23375378 
      8.3001096       0.0023842      0.00286104     -0.00810629               0      0.58112522      0.23384579 
      8.3001393      0.00190736       0.0023842     -0.00810629               0      0.58100314      0.23379559 
      8.3001721      0.00143052      0.00190736     -0.00762945               0      0.58130436      0.23386502 
      8.3002081      0.00190736      0.00190736     -0.00762945    -0.000476841      0.58133839      0.23362667 
      8.3002418      0.00190736      0.00190736     -0.00715259               0      0.58144551      0.23353847 
      8.3002887      0.00190736       0.0023842     -0.00667575               0      0.58164525      0.23369274 
      8.3003333      0.00190736      0.00190736     -0.00715259     0.000476841      0.58156362      0.23367214 
      8.3003868       0.0023842     0.000953682     -0.00572208     0.000476841      0.58178671      0.23377758 
      8.3004369       0.0023842     0.000953682     -0.00667575     0.000476841      0.58138844      0.23358501 
      8.3004896       0.0023842      0.00190736     -0.00715259     0.000476841      0.58167882      0.23363918 
      8.3005514      0.00286104      0.00190736     -0.00762945     0.000953682      0.58137516      0.23367901 
      8.3006166      0.00333787      0.00190736     -0.00762945     0.000953682      0.58135624      0.23341029 
      8.3006847      0.00381473      0.00190736     -0.00810629     0.000953682      0.58134175      0.23353374 
      8.3007473      0.00333787      0.00190736     -0.00810629     0.000953682      0.58147725      0.23364025 
       8.300812      0.00333787      0.00190736     -0.00762945     0.000953682      0.58155385      0.23350658 
      8.3008869      0.00429156     0.000953682     -0.00667575     0.000476841      0.58152089      0.23372097 
      8.3009558      0.00381473     0.000953682     -0.00667575               0      0.58124882      0.23331767 
      8.3010357      0.00286104     0.000953682     -0.00762945               0      0.58126255      0.23352412 
      8.3011085      0.00190736     0.000953682     -0.00810629               0      0.58131611      0.23368618 
      8.3011831      0.00190736     0.000953682     -0.00762945               0      0.58157109      0.23343074 
      8.3012686      0.00190736     0.000953682     -0.00762945     0.000476841      0.58147816      0.23362453 
      8.3013567      0.00190736     0.000953682     -0.00762945     0.000476841      0.58150777      0.23356166 
      8.3014365     0.000953682     0.000476841     -0.00715259               0       0.5813448       0.2334846 
      8.3015074       0.0023842               0     -0.00762945               0       0.5813625      0.23347514 
        8.30159      0.00286104               0     -0.00810629               0      0.58200903      0.23385281 
       8.301674      0.00190736     0.000476841     -0.00810629               0      0.58223121      0.23363994 
      8.3017594     0.000953682     0.000953682     -0.00762945               0      0.58220557      0.23378079 
      8.3018573      0.00190736     0.000476841     -0.00762945     0.000476841      0.58161672      0.23348262 
      8.3019454       0.0023842     0.000476841     -0.00715259     0.000476841      0.58170934      0.23327448 
      8.3020348      0.00190736     0.000476841     -0.00667575               0      0.58201117      0.23357692 
      8.3021254       0.0023842     0.000476841     -0.00715259               0      0.58175008      0.23355892 
      8.3022171      0.00286104     0.000953682     -0.00715259               0      0.58161443      0.23340205 
      8.3023099      0.00286104     0.000953682     -0.00715259               0      0.58166723      0.23337321 
      8.3024038       0.0023842      0.00143052     -0.00762945    -0.000476841      0.58166051       0.2332609 
       8.302511      0.00286104      0.00143052     -0.00810629    -0.000476841      0.58180471      0.23300027 
      8.3026186      0.00286104      0.00143052     -0.00858313    -0.000476841      0.58177465      0.23325526 
      8.3027158      0.00286104      0.00143052     -0.00905996    -0.000476841      0.58196631      0.23340403 
      8.3028139      0.00190736      0.00143052     -0.00858313               0       0.5822248      0.23339427 
      8.3029129     0.000953682      0.00190736     -0.00810629      0.00143052      0.58218711       0.2333047 
      8.3030127     0.000476841      0.00190736     -0.00715259     0.000953682      0.58179907      0.23319803 
      8.3031264     0.000953682      0.00190736     -0.00762945     0.000476841      0.58186148      0.23307413 
       8.303228     0.000953682       0.0023842     -0.00715259               0      0.58183691      0.23318064 
      8.3033304     0.000953682      0.00190736     -0.00715259    -0.000476841      0.58230415      0.23325297 
      8.3034335      0.00143052      0.00190736     -0.00715259               0      0.58197409       0.2333314 
      8.3035374      0.00190736     0.000953682     -0.00858313     0.000476841      0.58245933       0.2333076 
      8.3036554      0.00143052      0.00143052     -0.00905996     0.000476841      0.58234001      0.23358303 
      8.3037608      0.00190736      0.00190736     -0.00810629               0      0.58187628       0.2332664 
      8.3038796      0.00190736      0.00143052     -0.00762945               0      0.58214423      0.23340358 
      8.3039863      0.00286104      0.00190736     -0.00715259               0      0.58197867      0.23347163 
      8.3040937      0.00190736      0.00190736     -0.00715259               0      0.58239113      0.23347591 
      8.3042016     0.000953682      0.00190736     -0.00715259               0      0.58241859      0.23322672 
      8.3043101     0.000953682      0.00190736     -0.00762945               0      0.58222236      0.23316675 
      8.3044191      0.00143052      0.00190736     -0.00667575     0.000476841      0.58237434      0.23318979 
      8.3045287      0.00190736       0.0023842     -0.00715259     0.000953682      0.58236579       0.2328901 
       8.304653      0.00143052       0.0023842     -0.00715259               0      0.58189306       0.2333462 
      8.3047636     0.000953682       0.0023842     -0.00762945     0.000476841      0.58186499      0.23353542 
      8.3048748      0.00143052      0.00190736     -0.00762945     0.000476841       0.5820922      0.23327189 
      8.3049998      0.00143052      0.00190736     -0.00762945               0      0.58205985      0.23324274 
      8.3051263     0.000953682      0.00286104     -0.00762945    -0.000476841      0.58223106      0.23326228 
      8.3052389     0.000476841      0.00286104     -0.00810629    -0.000476841      0.58224937       0.2333578 
       8.305352     0.000476841      0.00190736     -0.00715259    -0.000476841      0.58227927        0.233408 
      8.3054799     0.000476841       0.0023842     -0.00667575               0      0.58224067      0.23336024 
      8.3055938     0.000953682      0.00190736     -0.00715259               0      0.58233421      0.23336787 
      8.3056934      0.00190736       0.0023842     -0.00762945               0      0.58243126      0.23338908 
      8.3058226      0.00190736      0.00286104     -0.00762945     0.000476841      0.58259499      0.23330592 
      8.3059514      0.00190736      0.00381473     -0.00810629     0.000953682       0.5823191      0.23302133 
      8.3060667       0.0023842      0.00429156     -0.00905996      0.00143052      0.58237495       0.2328605 
