> Measurement made Thu Jul 27 18:29:15 2023
> Main magnet sweep  8.40000 to  9.00000 Tesla at  1.001 mT/s 
> Hysteresis correction (approximate) has been applied. 
> Main Magnet at  8.49122 T 
> ITC set at    5.000 K, T1:   5.009 K, T2: 509.100 K, T3: 324.100 K 
> For Cernox1 -2.316000 Ohm corresponds to T = 0.000000 K at 0 T 
> LockIn1:   5 mV, Mod Freq 39260.000000 Hz, Phase -92.020000 degr, Ampl. 0.050000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Normal .
> LockIn2:   5 mV, Mod Freq 39260.600000 Hz, Phase -87.540000 degr, Ampl. 0.010000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Normal .
> Modulation: 53.775700 mA 
> Source Freq 240.000 GHz (dial 15.00), LO Freq 234.000 GHz (dial 3760) 
> Martin Pupplet setting 6.95 mm, Attenuator Grid 13 dB
> Source attn 10 dB, Diode reading (-20dB) 0.5 mV
> Reference attn 5 dB, Diode reading (-30dB) 10 mV
Field  Signal1_X  Signal2_X    Signal1_Y   Signal2_Y    ADC   ADC   
T  mV mV mV mV V V 
CrPS other exfoliated piece (thin, slighty brownish transparent)
5K
mod 53.7 mA ~ 3G
Rotator 340. Rotated 99 deg from perpendicular to plane of crystal
>BEGIN
      8.4000021      -0.0107289     -0.00834471               0       0.0023842      0.32271401      0.20129749 
      8.4000094      -0.0107289     -0.00882155     0.000715259       0.0023842      0.32264641      0.20123569 
        8.40002      -0.0102521     -0.00882155     0.000476841       0.0023842      0.32272332       0.2011182 
      8.4000366      -0.0100136     -0.00834471    -0.000715259      0.00214578      0.32254143      0.20138661 
      8.4000552     -0.00977522     -0.00762945     -0.00143052      0.00214578       0.3226487      0.20116947 
      8.4000774      -0.0095368     -0.00739101     -0.00166894      0.00262262      0.32234504      0.20110889 
       8.400103      -0.0095368     -0.00786787      -0.0011921      0.00262262      0.32231834      0.20100009 
      8.4001319     -0.00905996     -0.00786787      -0.0011921      0.00214578      0.32299142      0.20065523 
      8.4001724     -0.00905996     -0.00715259      -0.0011921      0.00214578      0.32310648      0.20101459 
      8.4002129     -0.00858313     -0.00691417    -0.000715259      0.00190736      0.32305353      0.20086871 
      8.4002574     -0.00834471     -0.00739101     -0.00023842      0.00143052      0.32268868      0.20099002 
      8.4002999     -0.00905996     -0.00762945               0      0.00166894      0.32224143      0.20101276 
      8.4003451     -0.00834471     -0.00810629      0.00023842      0.00143052      0.32321223      0.20094958 
       8.400393     -0.00810629     -0.00810629      -0.0011921      0.00143052       0.3232194      0.20093463 
      8.4004502     -0.00810629     -0.00786787     -0.00166894      0.00166894      0.32290048      0.20093295 
        8.40051     -0.00810629     -0.00762945     -0.00286104      0.00214578      0.32246452       0.2010828 
      8.4005659     -0.00834471     -0.00786787      -0.0023842      0.00214578       0.3225016      0.20073748 
      8.4006242     -0.00905996     -0.00810629     -0.00214578      0.00190736      0.32265816      0.20070238 
      8.4006847     -0.00929838     -0.00786787     -0.00190736       0.0011921      0.32293573      0.20085177 
      8.4007473      -0.0102521     -0.00739101     -0.00214578     0.000715259      0.32266274      0.20102191 
       8.400812      -0.0109673     -0.00739101     -0.00166894     0.000953682      0.32281991      0.20088275 
      8.4008874      -0.0107289     -0.00739101    -0.000953682      0.00143052      0.32266533      0.20066561 
      8.4009653      -0.0104905     -0.00810629    -0.000715259      0.00190736      0.32309702      0.20069475 
      8.4010363      -0.0104905     -0.00786787     -0.00023842      0.00214578      0.32299432      0.20056291 
       8.401118      -0.0104905     -0.00786787               0      0.00166894      0.32315546      0.20069658 
      8.4011927      -0.0109673     -0.00762945    -0.000476841      0.00166894      0.32308557      0.20060961 
      8.4012791      -0.0112057     -0.00739101    -0.000715259      0.00214578      0.32355998      0.20095889 
      8.4013574      -0.0107289     -0.00739101    -0.000715259      0.00190736      0.32300699      0.20107761 
      8.4014372      -0.0102521     -0.00715259      -0.0011921      0.00166894      0.32313486      0.20081576 
      8.4015185      -0.0104905     -0.00715259    -0.000476841      0.00143052       0.3231254      0.20108844 
      8.4016013     -0.00905996     -0.00762945               0     0.000953682      0.32305979      0.20105029 
      8.4016855     -0.00786787     -0.00786787               0       0.0011921        0.322987      0.20112918 
      8.4017814     -0.00834471     -0.00739101      0.00023842      0.00190736      0.32285623      0.20090335 
      8.4018797      -0.0095368     -0.00762945     0.000476841      0.00214578      0.32285699      0.20110584 
      8.4019682     -0.00929838     -0.00786787     0.000476841       0.0011921      0.32277886      0.20098193 
      8.4020694     -0.00905996     -0.00786787      0.00023842      0.00166894      0.32311014      0.20084399 
      8.4021604      -0.0095368     -0.00762945    -0.000476841      0.00262262      0.32326991      0.20087207 
      8.4022637      -0.0095368     -0.00739101      -0.0011921      0.00262262      0.32331858       0.2009328 
      8.4023571     -0.00977522     -0.00667575     -0.00190736      0.00214578       0.3231344      0.20112217 
      8.4024637     -0.00977522     -0.00667575     -0.00214578      0.00190736      0.32295099      0.20094562 
      8.4025593      -0.0095368     -0.00739101     -0.00143052      0.00190736      0.32254906      0.20051134 
      8.4026683      -0.0095368     -0.00739101      -0.0011921      0.00190736      0.32232093      0.20075213 
      8.4027659     -0.00977522     -0.00715259    -0.000715259      0.00143052      0.32332133      0.20076617 
      8.4028763      -0.0102521     -0.00691417     -0.00023842      0.00214578      0.32294168      0.20063051 
      8.4029887      -0.0100136     -0.00667575    -0.000715259      0.00166894      0.32297937      0.20066561 
      8.4030892     -0.00977522     -0.00762945    -0.000953682       0.0011921      0.32306619      0.20047563 
      8.4031905     -0.00929838     -0.00810629     -0.00023842      0.00143052      0.32289102      0.20054857 
      8.4032926     -0.00929838     -0.00834471    -0.000476841      0.00143052      0.32246055      0.20061769 
      8.4034079     -0.00905996     -0.00762945    -0.000715259      0.00143052      0.32200308      0.20066088 
      8.4035249     -0.00905996     -0.00739101               0      0.00214578      0.32249672      0.20037736 
      8.4036294     -0.00929838     -0.00739101     -0.00023842      0.00286104      0.32210196      0.20082553 
      8.4037481     -0.00929838     -0.00715259     -0.00023842      0.00262262      0.32245674       0.2008269 
      8.4038668     -0.00929838     -0.00739101     -0.00023842      0.00214578      0.32178091      0.20082751 
      8.4039735     -0.00834471     -0.00667575               0       0.0023842      0.32220923      0.20068392 
      8.4040807     -0.00786787     -0.00667575     0.000715259       0.0023842      0.32246208      0.20077914 
      8.4041886     -0.00858313     -0.00739101      0.00143052      0.00214578      0.32281945      0.20059847 
       8.404311      -0.0095368     -0.00739101       0.0011921      0.00214578      0.32252754      0.20049303 
       8.404434      -0.0100136     -0.00739101     0.000476841      0.00214578      0.32324381      0.20037751 
      8.4045437      -0.0095368     -0.00786787     -0.00023842      0.00214578      0.32298242      0.20053423 
      8.4046813     -0.00929838     -0.00834471    -0.000476841      0.00214578      0.32215171      0.20062105 
       8.404792     -0.00858313     -0.00882155    -0.000476841      0.00214578      0.32253792      0.20071566 
      8.4049033     -0.00858313     -0.00882155      -0.0011921      0.00190736      0.32223228      0.20063906 
      8.4050151     -0.00905996     -0.00882155     -0.00166894      0.00214578       0.3226426      0.20074297 
      8.4051407     -0.00929838     -0.00858313     -0.00166894      0.00190736      0.32290185      0.20071429 
      8.4052678     -0.00905996     -0.00882155     -0.00190736      0.00143052       0.3231785      0.20078219 
       8.405381      -0.0100136     -0.00810629     -0.00166894      0.00143052      0.32308649      0.20078372 
      8.4054945      -0.0102521     -0.00786787      -0.0011921      0.00166894      0.32307703      0.20057222 
       8.405623      -0.0104905     -0.00786787      -0.0011921      0.00214578      0.32310343      0.20072008 
