> Measurement made Thu Jul 27 16:29:24 2023
> Main magnet sweep  8.30000 to  8.80000 Tesla at  0.601 mT/s 
> Hysteresis correction (approximate) has been applied. 
> Main Magnet at  8.30000 T 
> ITC set at    5.000 K, T1:   5.001 K, T2: 509.100 K, T3: 324.100 K 
> For Cernox1 -2.137000 Ohm corresponds to T = 0.000000 K at 0 T 
> LockIn1:  10 mV, Mod Freq 39260.000000 Hz, Phase -92.020000 degr, Ampl. 0.050000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Normal .
> LockIn2:  10 mV, Mod Freq 39260.600000 Hz, Phase -87.540000 degr, Ampl. 0.010000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Normal .
> Modulation: 53.760800 mA 
> Source Freq 240.000 GHz (dial 15.00), LO Freq 234.000 GHz (dial 3760) 
> Martin Pupplet setting 6.95 mm, Attenuator Grid 13 dB
> Source attn 10 dB, Diode reading (-20dB) 0.5 mV
> Reference attn 5 dB, Diode reading (-30dB) 10 mV
Field  Signal1_X  Signal2_X    Signal1_Y   Signal2_Y    ADC   ADC   
T  mV mV mV mV V V 
CrPS other exfoliated piece (thin, slighty brownish transparent)
5K
mod 53.7 mA ~ 3G
Rotator 840. Roatted 9 deg from perpendicular to plane of crystal
>BEGIN
      8.3000016               0     0.000953682      -0.0138283    -0.000953682      0.39751274      0.32690817 
      8.3000063    -0.000476841     0.000953682      -0.0138283     -0.00143052      0.39740806      0.32696509 
      8.3000129    -0.000476841     0.000953682      -0.0133515     -0.00143052      0.39753807      0.32706671 
      8.3000232               0      0.00143052      -0.0133515     -0.00143052         0.39721      0.32700751 
      8.3000346    -0.000476841      0.00190736      -0.0133515     -0.00190736      0.39690664      0.32663839 
      8.3000463               0      0.00190736      -0.0128747      -0.0023842      0.39710654      0.32714576 
      8.3000617               0      0.00143052      -0.0128747      -0.0023842      0.39700293      0.32704688 
      8.3000814    -0.000476841      0.00143052      -0.0128747     -0.00286104      0.39737434      0.32702811 
      8.3001009     -0.00143052      0.00143052      -0.0133515      -0.0023842      0.39725059       0.3271923 
      8.3001251     -0.00190736      0.00143052      -0.0133515     -0.00190736      0.39700827      0.32715537 
      8.3001485    -0.000953682      0.00190736      -0.0133515     -0.00143052      0.39693106      0.32715979 
      8.3001767     0.000953682      0.00190736      -0.0133515     -0.00143052      0.39723472      0.32729835 
      8.3002036     0.000953682      0.00190736      -0.0133515      -0.0023842      0.39723685      0.32700735 
      8.3002287               0      0.00190736      -0.0133515     -0.00286104      0.39732078       0.3271102 
      8.3002586               0      0.00190736      -0.0133515     -0.00286104      0.39726371      0.32721259 
      8.3002901               0      0.00190736      -0.0128747     -0.00333787      0.39773171       0.3271897 
      8.3003229               0     0.000953682      -0.0133515      -0.0023842      0.39811411      0.32736564 
      8.3003572     0.000476841     0.000953682      -0.0133515     -0.00286104      0.39819193      0.32700446 
      8.3003929     0.000953682     0.000953682      -0.0138283     -0.00286104      0.39821009      0.32693411 
      8.3004299     0.000476841     0.000953682       -0.014782     -0.00286104      0.39837062      0.32707205 
      8.3004728     0.000476841     0.000953682       -0.014782     -0.00286104      0.39789483      0.32690344 
      8.3005124     0.000953682     0.000953682      -0.0128747     -0.00333787      0.39763955      0.32690863 
      8.3005585               0     0.000953682       -0.011921     -0.00333787      0.39745674      0.32668828 
       8.300606     -0.00143052      0.00143052      -0.0123978      -0.0023842      0.39779244      0.32711585 
      8.3006493    -0.000476841      0.00190736      -0.0133515     -0.00190736      0.39758736       0.3269834 
      8.3006937               0      0.00190736      -0.0128747      -0.0023842      0.39795236      0.32705802 
      8.3007391    -0.000476841      0.00190736      -0.0123978      -0.0023842      0.39815546      0.32722022 
      8.3007911    -0.000953682       0.0023842      -0.0123978     -0.00333787      0.39825068      0.32730445 
      8.3008386               0      0.00143052      -0.0128747     -0.00286104      0.39842463      0.32743095 
       8.300887               0      0.00143052      -0.0123978      -0.0023842      0.39806223      0.32715064 
      8.3009363    -0.000953682     0.000953682      -0.0133515     -0.00286104      0.39826395      0.32751671 
      8.3009929     -0.00143052     0.000476841      -0.0128747      -0.0023842       0.3979873      0.32698752 
      8.3010501    -0.000476841     0.000476841      -0.0128747      -0.0023842      0.39811548      0.32704352 
      8.3011021    -0.000476841     0.000953682      -0.0123978     -0.00333787      0.39824183      0.32716498 
      8.3011616    -0.000953682     0.000953682      -0.0114442     -0.00333787      0.39791787      0.32716086 
      8.3012152    -0.000476841     0.000953682       -0.011921     -0.00429156      0.39752586       0.3270896 
      8.3012625               0     0.000953682      -0.0123978     -0.00429156      0.39769448      0.32716559 
      8.3013174               0      0.00143052      -0.0123978     -0.00381473      0.39780663      0.32732597 
      8.3013801     0.000476841     0.000953682      -0.0123978     -0.00333787      0.39748222      0.32712897 
      8.3014364      0.00190736     0.000476841       -0.011921     -0.00286104       0.3974868      0.32690466 
      8.3014934     0.000953682     0.000953682      -0.0123978      -0.0023842      0.39773705      0.32736549 
      8.3015509     0.000476841      0.00143052      -0.0128747     -0.00286104      0.39749306      0.32721046 
       8.301609               0      0.00190736      -0.0128747      -0.0023842      0.39753563      0.32729118 
      8.3016677    -0.000476841      0.00143052      -0.0133515      -0.0023842      0.39808405      0.32729423 
      8.3017269     0.000476841     0.000953682      -0.0138283      -0.0023842      0.39815821      0.32721198 
      8.3017867     0.000953682     0.000476841      -0.0133515      -0.0023842      0.39843852      0.32700919 
       8.301847      0.00143052               0      -0.0123978      -0.0023842      0.39861156      0.32721747 
      8.3019077     0.000953682               0      -0.0123978      -0.0023842      0.39856792      0.32712027 
       8.301969     0.000953682               0      -0.0123978      -0.0023842      0.39887112      0.32733268 
      8.3020228     0.000953682               0      -0.0123978      -0.0023842      0.39855251      0.32706061 
      8.3020849     0.000953682     0.000476841      -0.0133515      -0.0023842      0.39902188      0.32703223 
      8.3021554     0.000953682     0.000953682      -0.0133515     -0.00286104      0.39883969      0.32691916 
      8.3022184               0     0.000953682      -0.0123978     -0.00333787      0.39913388      0.32736991 
      8.3022819               0     0.000476841      -0.0123978     -0.00381473      0.39894681      0.32726417 
      8.3023456               0     0.000476841      -0.0114442     -0.00381473      0.39922803      0.32721122 
      8.3024016               0               0      -0.0114442     -0.00381473      0.39923551       0.3271984 
      8.3024744     0.000953682    -0.000476841       -0.011921     -0.00333787      0.39909482      0.32700674 
      8.3025392     0.000953682               0       -0.011921     -0.00286104      0.39887417      0.32686773 
      8.3026045     0.000476841               0       -0.011921      -0.0023842      0.39917814      0.32682928 
        8.30267     0.000953682               0      -0.0123978     -0.00286104       0.3990994      0.32677602 
      8.3027444     0.000953682    -0.000476841      -0.0123978     -0.00333787      0.39901547      0.32676183 
      8.3028106     0.000953682    -0.000476841      -0.0128747     -0.00333787      0.39892865      0.32639912 
      8.3028851      0.00143052    -0.000476841      -0.0133515     -0.00286104      0.39909513      0.32675817 
       8.302952     0.000953682    -0.000476841      -0.0133515     -0.00286104      0.39911145      0.32660024 
      8.3030191      0.00190736               0      -0.0133515     -0.00333787      0.39900952      0.32650746 
      8.3030865       0.0023842               0      -0.0128747     -0.00333787      0.39900388      0.32660695 
      8.3031541      0.00190736     0.000953682      -0.0133515     -0.00286104      0.39917631      0.32629276 
       8.303222     0.000953682      0.00143052      -0.0133515     -0.00286104      0.39925062        0.326395 
      8.3032901     0.000953682     0.000953682      -0.0128747     -0.00333787      0.39877773      0.32648564 
      8.3033585      0.00190736               0      -0.0128747     -0.00333787      0.39898511      0.32648305 
      8.3034271       0.0023842    -0.000953682      -0.0133515     -0.00333787      0.39889172      0.32644688 
