> Measurement made Thu Jul 27 14:49:54 2023
> Main magnet sweep  8.30000 to  8.80000 Tesla at  0.601 mT/s 
> Hysteresis correction (approximate) has been applied. 
> Main Magnet at  8.30000 T 
> ITC set at    6.000 K, T1:   5.990 K, T2: 509.100 K, T3: 324.100 K 
> For Cernox1 1.152000 Ohm corresponds to T = 999.000000 K at 0 T 
> LockIn1:  10 mV, Mod Freq 39260.000000 Hz, Phase -92.020000 degr, Ampl. 0.050000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Normal .
> LockIn2:  10 mV, Mod Freq 39260.600000 Hz, Phase -87.540000 degr, Ampl. 0.010000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Normal .
> Modulation: 53.742600 mA 
> Source Freq 240.000 GHz (dial 15.00), LO Freq 234.000 GHz (dial 3760) 
> Martin Pupplet setting 6.95 mm, Attenuator Grid 13 dB
> Source attn 10 dB, Diode reading (-20dB) 0.5 mV
> Reference attn 5 dB, Diode reading (-30dB) 10 mV
Field  Signal1_X  Signal2_X    Signal1_Y   Signal2_Y    ADC   ADC   
T  mV mV mV mV V V 
CrPS other exfoliated piece (thin, slighty brownish transparent)
6K
mod 53.7 mA ~ 3G
Rotator 890. Field perpendicular to plane of crystal
>BEGIN
      8.3000013      -0.0605586      0.00572208      -0.0462534       0.0109673      0.22273812        0.408596 
       8.300005      -0.0605586      0.00524524      -0.0462534       0.0109673      0.22286874      0.40884121 
       8.300012      -0.0610356      0.00524524      -0.0452998       0.0095368      0.22327631      0.40902173 
      8.3000207      -0.0605586      0.00524524      -0.0443461       0.0095368      0.22321802      0.40868191 
      8.3000331      -0.0610356       0.0047684      -0.0452998       0.0095368      0.22326426      0.40875286 
      8.3000463      -0.0610356      0.00524524      -0.0457766       0.0095368      0.22333689      0.40856197 
      8.3000617      -0.0610356      0.00572208      -0.0457766       0.0095368      0.22325922      0.40878506 
       8.300079      -0.0610356      0.00524524      -0.0457766       0.0095368      0.22349498      0.40860698 
      8.3001009      -0.0605586      0.00524524      -0.0457766       0.0095368      0.22355937      0.40861034 
      8.3001222      -0.0600817      0.00572208      -0.0457766       0.0104905      0.22340419      0.40872219 
      8.3001483      -0.0596049      0.00572208      -0.0457766       0.0104905      0.22341182      0.40872677 
      8.3001734       -0.059128      0.00524524      -0.0452998       0.0100136      0.22343562      0.40857356 
      8.3002001      -0.0581744      0.00524524      -0.0457766       0.0104905      0.22370159      0.40897534 
      8.3002285       -0.059128      0.00524524      -0.0457766       0.0104905      0.22365505      0.40868908 
      8.3002623      -0.0586512       0.0047684      -0.0452998       0.0100136      0.22394665      0.40889859 
      8.3002939       -0.059128       0.0047684      -0.0448229       0.0095368      0.22394665       0.4085902 
       8.300327      -0.0586512       0.0047684      -0.0457766       0.0100136      0.22406171      0.40882794 
      8.3003614      -0.0586512      0.00524524      -0.0457766       0.0095368      0.22404035      0.40831217 
      8.3004019      -0.0586512      0.00524524      -0.0457766       0.0095368      0.22434584      0.40873928 
      8.3004392       -0.059128      0.00429156      -0.0457766       0.0100136      0.22431837       0.4083517 
      8.3004778      -0.0586512      0.00429156      -0.0448229       0.0104905      0.22446821      0.40836421 
      8.3005224      -0.0581744      0.00524524      -0.0433924       0.0104905      0.22461241      0.40800134 
      8.3005635      -0.0581744      0.00524524      -0.0433924       0.0100136      0.22448897      0.40812922 
      8.3006057      -0.0576975      0.00524524      -0.0443461       0.0095368      0.22485565      0.40837382 
       8.300649      -0.0572207       0.0047684      -0.0448229       0.0095368      0.22483551      0.40828578 
      8.3006934      -0.0576975      0.00429156      -0.0448229       0.0100136      0.22492981      0.40831431 
      8.3007388      -0.0576975      0.00429156      -0.0448229       0.0100136      0.22494583      0.40776086 
      8.3007851      -0.0576975      0.00429156      -0.0448229       0.0095368      0.22480346      0.40770013 
      8.3008325      -0.0586512       0.0047684      -0.0448229       0.0095368      0.22478683       0.4076838 
      8.3008807       -0.059128      0.00524524      -0.0448229       0.0100136      0.22506302      0.40807077 
      8.3009363       -0.059128      0.00572208      -0.0452998       0.0095368      0.22504135      0.40772652 
      8.3009864       -0.059128      0.00572208      -0.0443461       0.0095368      0.22501831      0.40759667 
      8.3010439       -0.059128      0.00524524      -0.0443461       0.0095368      0.22511719      0.40759514 
      8.3010958       -0.059128      0.00524524      -0.0452998       0.0095368      0.22516999       0.4074781 
      8.3011485      -0.0581744      0.00572208      -0.0457766       0.0095368      0.22519013      0.40744377 
      8.3012018      -0.0576975      0.00572208      -0.0452998       0.0095368      0.22532289      0.40733161 
       8.301256      -0.0581744      0.00619891      -0.0452998       0.0104905       0.2257271      0.40763665 
      8.3013108      -0.0581744      0.00619891      -0.0457766       0.0104905      0.22546999      0.40726722 
      8.3013663      -0.0586512      0.00572208      -0.0457766       0.0095368      0.22581332       0.4073014 
      8.3014224      -0.0586512      0.00619891      -0.0448229      0.00905996      0.22580813      0.40719703 
      8.3014792       -0.059128      0.00619891      -0.0448229      0.00858313      0.22575747      0.40699454 
      8.3015366       -0.059128      0.00619891      -0.0448229      0.00858313       0.2259328      0.40719169 
      8.3016015       -0.059128      0.00619891      -0.0452998       0.0095368      0.22593966      0.40690573 
      8.3016677      -0.0596049      0.00619891      -0.0452998       0.0104905      0.22597705      0.40724357 
      8.3017269      -0.0600817      0.00619891      -0.0457766       0.0109673      0.22599994      0.40731361 
      8.3017867      -0.0600817      0.00619891      -0.0452998       0.0109673      0.22624546      0.40764412 
      8.3018542       -0.059128      0.00619891      -0.0452998       0.0104905      0.22645161      0.40792673 
      8.3019151      -0.0581744      0.00762945      -0.0443461       0.0104905       0.2263213      0.40755608 
      8.3019764      -0.0576975      0.00810629      -0.0452998       0.0109673      0.22658269      0.40743751 
      8.3020461      -0.0586512      0.00858313      -0.0452998       0.0104905      0.22656652      0.40755135 
      8.3021083      -0.0596049      0.00762945      -0.0448229       0.0095368      0.22691549      0.40782678 
       8.302171      -0.0596049      0.00762945      -0.0443461       0.0100136      0.22657369      0.40657674 
      8.3022341      -0.0600817      0.00762945      -0.0443461       0.0095368      0.22694311      0.40769799 
      8.3022976      -0.0610356      0.00762945      -0.0448229      0.00905996      0.22699271      0.40750389 
      8.3023615      -0.0605586      0.00762945      -0.0457766       0.0095368      0.22710959      0.40781518 
      8.3024258      -0.0600817      0.00762945      -0.0448229      0.00858313      0.22701178      0.40678808 
      8.3024904      -0.0610356      0.00762945      -0.0438693      0.00858313      0.22729163      0.40721122 
      8.3025554      -0.0619893      0.00810629      -0.0433924      0.00858313       0.2272248      0.40649495 
      8.3026291      -0.0619893      0.00858313      -0.0438693       0.0095368      0.22774941      0.40687292 
      8.3026948      -0.0610356       0.0095368      -0.0443461       0.0104905      0.22772271      0.40645314 
      8.3027608      -0.0600817       0.0095368      -0.0438693       0.0100136      0.22761925      0.40643056 
       8.302835      -0.0596049      0.00905996      -0.0443461       0.0100136      0.22759804      0.40636753 
      8.3029102       -0.059128      0.00858313      -0.0433924       0.0100136      0.22773186      0.40632359 
      8.3029858      -0.0596049      0.00762945      -0.0433924       0.0104905      0.22803583       0.4071308 
      8.3030611      -0.0600817      0.00762945      -0.0433924       0.0100136      0.22796594      0.40652165 
      8.3031286      -0.0605586      0.00762945      -0.0438693       0.0100136      0.22777398      0.40625065 
      8.3032051      -0.0605586      0.00762945      -0.0438693       0.0100136       0.2278515      0.40600772 
      8.3032732      -0.0610356      0.00762945      -0.0433924       0.0095368      0.22803644      0.40614093 
      8.3033415      -0.0605586      0.00762945      -0.0424387       0.0095368      0.22809076      0.40593799 
