> Measurement made Wed Jul 26 17:12:24 2023
> Main magnet sweep  8.50000 to  8.80000 Tesla at  1.001 mT/s 
> Hysteresis correction (approximate) has been applied. 
> Main Magnet at  8.50000 T 
> ITC set at   80.000 K, T1:  79.970 K, T2: 509.100 K, T3: 324.100 K 
> For Cernox1 -2.137000 Ohm corresponds to T = 0.000000 K at 0 T 
> LockIn1:  10 mV, Mod Freq 39260.000000 Hz, Phase -92.020000 degr, Ampl. 0.050000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Normal .
> LockIn2:  10 mV, Mod Freq 39260.600000 Hz, Phase -87.540000 degr, Ampl. 0.010000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Normal .
> Modulation: 56.193400 mA 
> Source Freq 240.000 GHz (dial 15.00), LO Freq 234.000 GHz (dial 3760) 
> Martin Pupplet setting 6.95 mm, Attenuator Grid 13 dB
> Source attn 10 dB, Diode reading (-20dB) 0.5 mV
> Reference attn 5 dB, Diode reading (-30dB) 10 mV
Field  Signal1_X  Signal2_X    Signal1_Y   Signal2_Y    ADC   ADC   
T  mV mV mV mV V V 
CrPS other exfoliated piece (thin, slighty brownish transparent)
80K
mod 58.5 mA ~ 3.3G
Rotator 890. Field perpendicular to plane of crystal
>BEGIN
      8.5000021      -0.0181199     -0.00143052        0.038624       0.0023842     0.041476791      0.30233268 
      8.5000083      -0.0176431     -0.00143052        0.038624      0.00190736     0.041809137      0.30230811 
      8.5000184      -0.0181199    -0.000953682       0.0381472      0.00190736      0.04157857      0.30223472 
      8.5000324      -0.0181199    -0.000476841       0.0376704      0.00190736     0.041729484      0.30232994 
      8.5000501      -0.0181199    -0.000953682       0.0376704       0.0023842     0.041868801      0.30246284 
      8.5000714      -0.0181199               0       0.0376704      0.00333787     0.041556749      0.30233192 
      8.5000993      -0.0185968               0       0.0367167      0.00286104     0.041666921      0.30237312 
      8.5001277      -0.0190736               0       0.0367167      0.00190736     0.041621601      0.30234901 
      8.5001554      -0.0190736               0       0.0371935      0.00143052     0.041705374      0.30240989 
      8.5001942      -0.0190736    -0.000476841       0.0376704      0.00190736     0.041765191      0.30235618 
      8.5002371      -0.0185968    -0.000476841        0.038624      0.00190736     0.041496628       0.3025071 
      8.5002781      -0.0190736     -0.00143052        0.038624      0.00190736     0.041823939      0.30244133 
       8.500322      -0.0185968    -0.000953682        0.038624      0.00190736     0.041677755      0.30227973 
      8.5003747      -0.0185968     -0.00143052       0.0376704      0.00190736     0.041852168       0.3022985 
      8.5004242      -0.0190736    -0.000953682        0.038624      0.00190736     0.042022614      0.30245781 
      8.5004827      -0.0190736    -0.000953682       0.0381472      0.00190736     0.042039247      0.30244743 
      8.5005446      -0.0185968    -0.000953682       0.0367167       0.0023842     0.042184362      0.30230247 
       8.500602      -0.0181199    -0.000476841       0.0362399       0.0023842     0.042114017      0.30242393 
      8.5006617      -0.0190736               0       0.0371935       0.0023842     0.042512436      0.30231056 
      8.5007316      -0.0190736    -0.000476841       0.0381472      0.00190736     0.042638173      0.30228401 
      8.5007958      -0.0181199    -0.000476841       0.0381472     0.000953682     0.042385327       0.3022837 
       8.500862      -0.0171663    -0.000476841        0.038624     0.000953682     0.042476119      0.30220344 
      8.5009302      -0.0166894    -0.000953682       0.0376704      0.00143052     0.042368389      0.30226432 
      8.5010003      -0.0181199    -0.000953682       0.0376704     0.000953682     0.042315897      0.30233375 
      8.5010722      -0.0185968               0       0.0381472      0.00143052     0.042557451      0.30226783 
      8.5011459      -0.0190736     0.000476841        0.038624       0.0023842     0.042282632      0.30241447 
      8.5012213      -0.0190736     0.000953682       0.0395777      0.00190736     0.042078616      0.30218375 
      8.5012984      -0.0190736     0.000953682       0.0395777      0.00143052     0.042313761      0.30231239 
       8.501377      -0.0190736               0       0.0395777     0.000953682     0.042300333      0.30231376 
      8.5014469      -0.0190736               0       0.0391009     0.000953682     0.042323527      0.30229545 
      8.5015284      -0.0190736               0        0.038624      0.00143052     0.042500076      0.30222053 
      8.5016006      -0.0190736               0       0.0381472      0.00190736     0.042250893      0.30225974 
      8.5016957      -0.0190736     0.000476841       0.0371935      0.00190736     0.042608875      0.30228889 
      8.5017925      -0.0176431     0.000953682       0.0376704      0.00190736     0.042547227      0.30234184 
      8.5018797      -0.0171663     0.000953682        0.038624     0.000953682     0.042615741      0.30241295 
      8.5019682      -0.0176431               0       0.0391009     0.000476841     0.042761315      0.30225028 
      8.5020579      -0.0181199               0       0.0395777     0.000476841     0.043023316      0.30212027 
      8.5021487      -0.0181199               0       0.0391009     0.000476841     0.042772454      0.30234809 
      8.5022289      -0.0181199               0        0.038624     0.000953682     0.043037965       0.3021897 
      8.5023338      -0.0166894               0       0.0381472      0.00143052     0.042964721      0.30229545 
       8.502428      -0.0162126    -0.000476841        0.038624      0.00190736     0.043389996      0.30223502 
      8.5025347      -0.0176431    -0.000476841        0.038624      0.00190736     0.043153478      0.30226127 
       8.502631      -0.0181199               0        0.038624      0.00190736      0.04332667      0.30217093 
      8.5027283      -0.0181199               0       0.0381472      0.00190736     0.043154698      0.30227302 
      8.5028265      -0.0181199    -0.000476841        0.038624      0.00190736     0.043285318      0.30236518 
      8.5029256      -0.0185968    -0.000953682        0.038624      0.00143052     0.043238319      0.30223853 
      8.5030384      -0.0181199    -0.000953682        0.038624     0.000953682     0.043335063      0.30229377 
      8.5031393      -0.0176431               0        0.038624     0.000953682     0.043575701      0.30236702 
      8.5032411      -0.0176431    -0.000476841        0.038624     0.000953682     0.043533738      0.30222831 
      8.5033435      -0.0176431    -0.000476841       0.0391009     0.000953682     0.043365276      0.30214805 
      8.5034468      -0.0176431               0       0.0391009      0.00143052     0.043267922      0.30207068 
      8.5035633      -0.0176431    -0.000476841       0.0376704      0.00190736     0.043522599      0.30209235 
      8.5036815      -0.0166894    -0.000476841       0.0371935      0.00286104     0.043853572      0.30228248 
       8.503787      -0.0166894    -0.000476841       0.0376704       0.0023842     0.043457595      0.30233573 
      8.5038932      -0.0166894    -0.000476841        0.038624      0.00190736     0.043593707      0.30212119 
      8.5040137      -0.0162126    -0.000953682       0.0391009     0.000953682     0.043717765      0.30218925 
      8.5041212      -0.0166894               0        0.038624      0.00143052     0.043551286      0.30213126 
      8.5042423      -0.0181199     0.000476841        0.038624      0.00190736      0.04371456       0.3022335 
       8.504351      -0.0190736     0.000476841        0.038624      0.00190736      0.04387112      0.30222938 
      8.5044603      -0.0195504               0        0.038624      0.00143052     0.043687857      0.30212653 
      8.5045701      -0.0200273               0       0.0395777      0.00190736     0.043888974      0.30217856 
      8.5046804      -0.0190736               0       0.0395777      0.00143052      0.04379284      0.30206473 
      8.5047912      -0.0185968     0.000476841       0.0395777      0.00143052     0.043810389      0.30207251 
      8.5049024      -0.0190736     0.000953682        0.038624      0.00190736     0.043682211      0.30204352 
      8.5050285      -0.0181199     0.000953682       0.0391009      0.00143052     0.043687551      0.30207709 
      8.5051407      -0.0181199     0.000476841       0.0391009     0.000953682     0.043949248      0.30208686 
      8.5052534      -0.0181199               0        0.038624     0.000953682     0.043644978      0.30213141 
       8.505352      -0.0190736               0        0.038624      0.00143052      0.04389462      0.30204443 
      8.5054654      -0.0190736               0        0.038624      0.00143052     0.043901181      0.30230995 
      8.5055792      -0.0190736               0       0.0371935      0.00190736     0.043905606      0.30216529 
      8.5056934      -0.0185968               0       0.0376704      0.00190736      0.04408826      0.30204321 
      8.5058079      -0.0181199               0       0.0371935      0.00190736     0.043666799      0.30208701 
      8.5059376      -0.0181199               0       0.0371935      0.00190736     0.043670919      0.30217078 
