> Measurement made Thu Jul 27 13:44:12 2023
> Main magnet sweep  8.30000 to  8.80000 Tesla at  0.601 mT/s 
> Hysteresis correction (approximate) has been applied. 
> Main Magnet at  8.34757 T 
> ITC set at    8.000 K, T1:   7.977 K, T2: 509.100 K, T3: 324.100 K 
> For Cernox1 -4.337000 Ohm corresponds to T = 0.000000 K at 0 T 
> LockIn1:  10 mV, Mod Freq 39260.000000 Hz, Phase -92.020000 degr, Ampl. 0.050000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Normal .
> LockIn2:  10 mV, Mod Freq 39260.600000 Hz, Phase -87.540000 degr, Ampl. 0.010000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Normal .
> Modulation: 53.678600 mA 
> Source Freq 240.000 GHz (dial 15.00), LO Freq 234.000 GHz (dial 3760) 
> Martin Pupplet setting 6.95 mm, Attenuator Grid 13 dB
> Source attn 10 dB, Diode reading (-20dB) 0.5 mV
> Reference attn 5 dB, Diode reading (-30dB) 10 mV
Field  Signal1_X  Signal2_X    Signal1_Y   Signal2_Y    ADC   ADC   
T  mV mV mV mV V V 
CrPS other exfoliated piece (thin, slighty brownish transparent)
8K
mod 53.7 mA ~ 3G
Rotator 890. Field perpendicular to plane of crystal
>BEGIN
       8.300001      -0.0548365       0.0143052       -0.032902       0.0123978      0.17396481      0.41988754 
      8.3000038      -0.0553133       0.0152589      -0.0338557       0.0128747      0.17401608      0.41974212 
      8.3000093      -0.0557902       0.0157357      -0.0343325       0.0123978      0.17393597      0.41956145 
      8.3000172      -0.0557902       0.0162126      -0.0343325       0.0128747       0.1741995      0.42016816 
      8.3000272      -0.0557902       0.0157357      -0.0343325       0.0128747      0.17412473      0.42004868 
      8.3000395      -0.0557902       0.0157357      -0.0338557       0.0128747      0.17408887      0.42035447 
      8.3000538       -0.056267       0.0162126      -0.0338557       0.0123978      0.17404706      0.42046464 
      8.3000702      -0.0557902       0.0157357      -0.0333788       0.0128747      0.17408368      0.42047258 
      8.3000908      -0.0557902        0.014782       -0.032902       0.0128747      0.17390744      0.42001312 
      8.3001112      -0.0548365       0.0143052      -0.0333788       0.0128747      0.17395291      0.42013657 
      8.3001335      -0.0538828       0.0138283      -0.0333788       0.0128747       0.1739964      0.42026933 
      8.3001575      -0.0529292       0.0128747       -0.032902       0.0133515      0.17397565      0.42007843 
      8.3001832       -0.053406       0.0128747       -0.032902       0.0133515      0.17411283      0.42015168 
      8.3002106      -0.0543597       0.0128747      -0.0333788       0.0133515      0.17417707      0.42040727 
      8.3002395      -0.0548365       0.0128747       -0.032902       0.0128747      0.17415693      0.41998444 
        8.30027      -0.0557902       0.0128747      -0.0324252       0.0128747       0.1742056      0.41992721 
       8.300302      -0.0553133       0.0133515       -0.032902        0.011921      0.17429456      0.42018174 
      8.3003313      -0.0548365       0.0138283      -0.0324252        0.011921      0.17424406      0.42007141 
      8.3003702      -0.0543597       0.0138283      -0.0324252        0.011921      0.17417661      0.42013749 
      8.3004063      -0.0543597       0.0133515      -0.0319483        0.011921      0.17423917       0.4202707 
      8.3004487      -0.0548365       0.0128747      -0.0314715       0.0109673      0.17450377      0.42051973 
      8.3004875      -0.0548365       0.0128747      -0.0314715       0.0109673      0.17454497      0.42069246 
      8.3005276      -0.0548365       0.0128747      -0.0324252       0.0114442      0.17429807      0.42007401 
      8.3005742      -0.0553133       0.0143052      -0.0333788        0.011921      0.17429655      0.41981674 
      8.3006218       -0.056267       0.0143052      -0.0324252       0.0123978      0.17472427      0.42037095 
      8.3006656      -0.0567439       0.0143052       -0.032902        0.011921      0.17446043      0.42005936 
      8.3007103      -0.0567439       0.0143052       -0.032902        0.011921      0.17460784      0.42030534 
      8.3007561      -0.0567439       0.0133515      -0.0333788        0.011921      0.17452406      0.42037873 
      8.3008028       -0.056267       0.0128747      -0.0333788        0.011921      0.17446165      0.42016861 
      8.3008505      -0.0567439       0.0128747      -0.0333788        0.011921      0.17477828      0.42087527 
      8.3009054       -0.056267       0.0143052       -0.032902        0.011921      0.17447768       0.4201619 
       8.300955      -0.0557902        0.014782      -0.0324252        0.011921      0.17457427      0.42072695 
      8.3010055      -0.0548365       0.0143052      -0.0314715        0.011921      0.17422498       0.4197232 
      8.3010567      -0.0557902       0.0143052      -0.0314715        0.011921      0.17466842      0.42050325 
      8.3011088      -0.0553133       0.0143052      -0.0314715       0.0114442      0.17466201      0.42005234 
      8.3011616      -0.0543597       0.0143052      -0.0324252        0.011921       0.1746939      0.42004883 
      8.3012152      -0.0538828       0.0133515      -0.0333788        0.011921      0.17478469      0.42073458 
      8.3012695      -0.0543597       0.0128747      -0.0338557       0.0123978      0.17485961      0.42067217 
      8.3013245      -0.0543597       0.0133515      -0.0338557       0.0123978      0.17484558      0.42078768 
      8.3013869      -0.0553133       0.0152589       -0.032902       0.0128747      0.17460356      0.42030732 
      8.3014432      -0.0557902       0.0152589      -0.0324252       0.0128747      0.17489715      0.42082858 
      8.3015002      -0.0567439       0.0143052      -0.0333788       0.0128747      0.17477264      0.42055834 
      8.3015578      -0.0572207       0.0143052      -0.0333788       0.0138283      0.17487762      0.42086261 
       8.301616      -0.0567439       0.0143052      -0.0343325       0.0133515      0.17475738        0.420562 
      8.3016823      -0.0557902       0.0138283      -0.0343325       0.0128747      0.17459059      0.42033494 
      8.3017493      -0.0557902       0.0143052      -0.0343325       0.0128747      0.17474334      0.42060381 
      8.3018016      -0.0572207        0.014782      -0.0343325       0.0123978      0.17480514      0.42083346 
       8.301862      -0.0572207       0.0143052      -0.0348093        0.011921      0.17480331      0.42039171 
      8.3019229       -0.056267       0.0143052      -0.0343325       0.0123978      0.17477142      0.42055284 
      8.3019843      -0.0557902       0.0143052      -0.0343325       0.0133515      0.17460204      0.42041581 
      8.3020461      -0.0553133        0.014782      -0.0343325       0.0133515      0.17461974      0.42041383 
      8.3021083      -0.0543597       0.0143052      -0.0338557       0.0133515      0.17453001      0.42017273 
       8.302171      -0.0543597       0.0143052      -0.0343325       0.0128747      0.17469634      0.42038118 
      8.3022341      -0.0543597       0.0143052      -0.0348093       0.0123978      0.17469756      0.42029374 
      8.3022976      -0.0538828       0.0143052      -0.0338557        0.011921      0.17480407      0.42047685 
      8.3023615       -0.053406       0.0143052      -0.0333788        0.011921      0.17460753      0.42039781 
       8.302434       -0.053406       0.0133515      -0.0333788       0.0114442      0.17467208      0.42032914 
      8.3024987      -0.0543597        0.011921      -0.0333788        0.011921      0.17473663      0.42054216 
      8.3025637      -0.0553133        0.011921      -0.0333788       0.0114442      0.17454344      0.42033113 
      8.3026291      -0.0548365       0.0128747      -0.0333788        0.011921      0.17466643       0.4208742 
      8.3026948      -0.0543597       0.0138283      -0.0343325        0.011921      0.17462065      0.42035752 
      8.3027608      -0.0553133       0.0143052      -0.0343325       0.0114442      0.17452956      0.42037782 
      8.3028271      -0.0557902        0.014782      -0.0338557        0.011921      0.17454253      0.42055651 
      8.3028937       -0.056267       0.0152589      -0.0338557       0.0123978      0.17456847      0.42038652 
      8.3029605      -0.0567439        0.014782      -0.0333788       0.0123978      0.17447493      0.42064638 
      8.3030277       -0.056267       0.0152589      -0.0338557        0.011921      0.17457595       0.4205649 
      8.3031032      -0.0557902       0.0152589      -0.0343325        0.011921      0.17479919        0.421348 
      8.3031709      -0.0548365       0.0152589      -0.0352862        0.011921       0.1746971      0.42086306 
      8.3032389      -0.0548365       0.0152589      -0.0348093       0.0114442      0.17458296       0.4205736 
      8.3033158      -0.0557902       0.0152589      -0.0343325       0.0114442      0.17446989      0.42050935 
