> Measurement made Tue Aug  8 15:31:16 2023
> Main magnet sweep  8.55000 to  8.70000 Tesla at  1.001 mT/s 
> Hysteresis correction (approximate) has been applied. 
> Main Magnet at  8.67684 T 
> ITC set at    5.000 K, T1: 289.600 K, T2: 509.100 K, T3: 324.100 K 
> For Cernox1 0.461000 Ohm corresponds to T = 0.000000 K at 0 T 
> LockIn1:   1 mV, Mod Freq 39260.000000 Hz, Phase -110.020000 degr, Ampl. 0.040000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Normal .
> LockIn2:   1 mV, Mod Freq 39260.600000 Hz, Phase -105.540000 degr, Ampl. 0.010000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Normal .
> Modulation: 22.379580 mA 
> Source Freq 240.000 GHz (dial 15.00), LO Freq 234.000 GHz (dial 3760) 
> Martin Pupplet setting 7.0 mm, Attenuator Grid 10 dB
> Source attn 10 dB, Diode reading (-20dB) 0.146 mV
> Reference attn 8 dB, Diode reading (-30dB) 11 mV
Field  Signal1_X  Signal2_X    Signal1_Y   Signal2_Y    ADC   ADC   
T  mV mV mV mV V V 
Thin piece of CrPS4 mounted on rotator
290K, 10Gpp modulation. 
Rotator 030. Approximately perpendicular.
-
-

>BEGIN
       8.550004     -0.00441077      -0.0011921     -0.00506642    -0.000536445      0.08785699      0.41415189 
      8.5500129     -0.00423196    -0.000834469      -0.0047684      0.00011921     0.087896817      0.41432569 
       8.550025      -0.0047088    -0.000774864     -0.00464919      0.00059605     0.088016907        0.414214 
       8.550043     -0.00530484     -0.00101329     -0.00506642      0.00059605     0.087905972      0.41432218 
       8.550063     -0.00518563    -0.000953682     -0.00530484     0.000655655     0.088042848      0.41424711 
      8.5500896     -0.00512603    -0.000834469     -0.00506642     0.000476841     0.088205206      0.41433988 
      8.5501206     -0.00494721     -0.00107289     -0.00464919     5.96051e-05      0.08779931      0.41439268 
      8.5501554      -0.0047088     -0.00178815     -0.00458959    -0.000178815     0.087836848      0.41439375 
      8.5501945      -0.0047684      -0.0012517     -0.00458959     -0.00023842      0.08767098      0.41429579 
      8.5502323     -0.00464919      -0.0011325     -0.00447038      0.00023842     0.087554399      0.41443342 
      8.5502785     -0.00441077     -0.00143052     -0.00435117     0.000715259     0.087444533      0.41418775 
      8.5503278      -0.0036359      -0.0012517     -0.00494721      0.00154973     0.087548296      0.41444319 
      8.5503809      -0.0036955    -0.000834469     -0.00506642      0.00202657     0.087101962      0.41458007 
      8.5504369     -0.00452998    -0.000834469     -0.00494721      0.00160933     0.087500992      0.41450377 
      8.5504965     -0.00530484    -0.000476841     -0.00524524      0.00149012     0.087454146      0.41460494 
      8.5505591     -0.00578168    -0.000715259      -0.0060797     0.000774864     0.087434156       0.4144499 
      8.5506242     -0.00691417     -0.00107289     -0.00584128     0.000774864     0.087307352      0.41446715 
      8.5506926     -0.00679496     -0.00107289     -0.00572208     0.000953682     0.087199927      0.41461776 
      8.5507637     -0.00548366     -0.00131131     -0.00590089     0.000476841      0.08738731      0.41466292 
      8.5508289     -0.00506642     -0.00166894     -0.00524524     0.000417234     0.087705313      0.41477462 
      8.5509043     -0.00518563     -0.00196697      -0.0047088     0.000536445     0.087721335      0.41466079 
      8.5509827     -0.00506642      -0.0023842     -0.00494721     0.000774864     0.087479476      0.41500275 
      8.5510629     -0.00506642      -0.0023842     -0.00524524     0.000953682     0.088004395      0.41489364 
      8.5511459     -0.00500682    -0.000894073     -0.00530484       0.0011921      0.08797235      0.41479034 
      8.5512213     -0.00578168    -5.96051e-05     -0.00488761      0.00143052     0.088468734      0.41443602 
      8.5513083     -0.00524524    -0.000536445     -0.00488761     0.000715259     0.088393963       0.4144969 
      8.5513968     -0.00447038    -0.000774864      -0.0047088     0.000178815     0.088526872      0.41446821 
      8.5514878     -0.00500682    -0.000715259     -0.00482801      0.00011921     0.088671224      0.41461272 
      8.5515806     -0.00536445    -0.000953682     -0.00554326     -0.00011921     0.088965423      0.41443724 
      8.5516747     -0.00578168    -0.000834469     -0.00554326      0.00011921     0.088737144      0.41440291 
      8.5517711     -0.00548366    -0.000834469     -0.00494721    -0.000298025      0.08871395       0.4145352 
      8.5518685     -0.00488761    -0.000655655     -0.00464919    -0.000655655     0.088785974      0.41466582 
      8.5519682     -0.00447038    -0.000655655      -0.0047684    -0.000476841     0.088740959      0.41468291 
      8.5520694     -0.00387433      -0.0011325     -0.00512603    -0.000715259     0.088628956      0.41465804 
      8.5521714     -0.00327827     -0.00178815     -0.00596049    -0.000417234      0.08866512      0.41469817 
      8.5522637     -0.00250341     -0.00220539     -0.00619891               0      0.08818186        0.414729 
      8.5523691     -0.00321867     -0.00166894     -0.00625852     0.000953682     0.088245491      0.41477981 
      8.5524759     -0.00351669     -0.00107289     -0.00560287      0.00154973     0.088282571      0.41462157 
      8.5525831     -0.00357629     -0.00137091     -0.00560287       0.0011921     0.088307138      0.41428861 
      8.5526924     -0.00333787     -0.00154973     -0.00554326      0.00035763     0.088248695       0.4142758 
      8.5528021     -0.00375511     -0.00208618     -0.00441077     5.96051e-05     0.088442335      0.41436155 
      8.5529137     -0.00435117     -0.00268222     -0.00345708     0.000894073      0.08838084      0.41462905 
      8.5530264      -0.0047088     -0.00250341     -0.00327827      0.00149012     0.088397778       0.4144586 
      8.5531393     -0.00447038     -0.00214578     -0.00303985      0.00137091      0.08829722      0.41449812 
      8.5532541      -0.0047088      -0.0012517     -0.00435117       0.0012517     0.088163854      0.41460631 
      8.5533699     -0.00458959     -0.00101329     -0.00488761      0.00107289     0.088163854       0.4145204 
      8.5534858     -0.00345708     -0.00196697     -0.00542405       0.0012517     0.088020875      0.41463805 
      8.5536034     -0.00298025     -0.00262262     -0.00494721       0.0011921     0.088136082      0.41454985 
      8.5537211     -0.00381473     -0.00256301      -0.0047684     0.000536445     0.087756127      0.41461287 
      8.5538405      -0.0036955     -0.00220539     -0.00542405      0.00023842     0.087358013      0.41453902 
       8.553947     -0.00405314     -0.00160933     -0.00560287               0      0.08760445      0.41447417 
      8.5540541     -0.00429156     -0.00149012     -0.00554326      0.00035763     0.088007752      0.41423475 
      8.5541618     -0.00500682      -0.0012517     -0.00566247      0.00101329     0.088106937      0.41449248 
      8.5542701     -0.00542405     -0.00149012     -0.00613931      0.00149012     0.088329112      0.41440168 
      8.5543929     -0.00435117     -0.00154973     -0.00625852      0.00149012     0.087974792      0.41430815 
      8.5545024     -0.00435117     -0.00214578     -0.00590089      0.00137091      0.08822779      0.41410993 
      8.5546256     -0.00566247     -0.00178815     -0.00590089      0.00149012      0.08831492       0.4141232 
      8.5547503     -0.00584128     -0.00149012      -0.0060797       0.0011325     0.088216803      0.41420087 
      8.5548614     -0.00500682      -0.0012517     -0.00560287      0.00149012     0.088074892      0.41425275 
       8.554973      -0.0047088     -0.00137091     -0.00524524       0.0012517     0.088345134      0.41405072 
       8.555085     -0.00447038     -0.00131131     -0.00548366     0.000894073     0.088427381      0.41408124 
      8.5552119     -0.00441077     -0.00178815     -0.00536445      0.00131131     0.087958312      0.41434507 
      8.5553384     -0.00345708     -0.00196697     -0.00518563      0.00172854     0.087894833      0.41422376 
      8.5554663     -0.00357629     -0.00208618     -0.00512603      0.00149012     0.087665792      0.41420164 
      8.5555938     -0.00345708     -0.00178815     -0.00488761     0.000894073     0.088070315      0.41419553 
       8.555708     -0.00280143     -0.00154973     -0.00435117     0.000715259     0.088058412      0.41428037 
      8.5558226     -0.00327827      -0.0012517     -0.00488761     0.000715259     0.088490249      0.41405744 
      8.5559523     -0.00405314     -0.00131131     -0.00494721     0.000894073     0.088631855      0.41405499 
      8.5560824      -0.0047684     -0.00137091     -0.00423196     0.000774864     0.088768426      0.41392148 
       8.556212     -0.00494721    -0.000894073     -0.00435117      0.00101329     0.088195593      0.41387997 
      8.5563429     -0.00536445    -0.000715259     -0.00500682       0.0012517     0.087856227      0.41407132 
      8.5564742     -0.00488761    -0.000536445     -0.00494721     0.000774864     0.087627644      0.41426801 
       8.556605     -0.00441077     -0.00107289     -0.00512603     0.000715259     0.087441176         0.41427 
       8.556737     -0.00393394    -0.000953682     -0.00488761     0.000655655     0.087435835       0.4141937 
      8.5568543     -0.00357629    -0.000834469     -0.00524524     0.000894073     0.087721335       0.4142172 
       8.556986     -0.00339748     -0.00166894      -0.0060797     0.000476841     0.087673574      0.41425336 
       8.557119     -0.00405314     -0.00220539     -0.00655654     0.000953682     0.087169256      0.41425016 
      8.5572523     -0.00447038      -0.0023246     -0.00637773     0.000774864     0.086835383      0.41444212 
      8.5573707     -0.00423196      -0.0024438     -0.00560287     0.000298025     0.086994385       0.4145584 
      8.5575036     -0.00405314     -0.00208618     -0.00464919      0.00035763     0.087123173      0.41439604 
