> Measurement made Tue Aug  8 16:32:28 2023
> Main magnet sweep  8.55000 to  8.72000 Tesla at  1.001 mT/s 
> Hysteresis correction (approximate) has been applied. 
> Main Magnet at  8.55000 T 
> ITC set at    5.000 K, T1: 289.100 K, T2: 509.100 K, T3: 324.100 K 
> For Cernox1 -4.158000 Ohm corresponds to T = 0.000000 K at 0 T 
> LockIn1:   2 mV, Mod Freq 39260.000000 Hz, Phase -110.020000 degr, Ampl. 0.040000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Normal .
> LockIn2:   2 mV, Mod Freq 39260.600000 Hz, Phase -105.540000 degr, Ampl. 0.010000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Normal .
> Modulation: 22.349220 mA 
> Source Freq 240.000 GHz (dial 15.00), LO Freq 234.000 GHz (dial 3760) 
> Martin Pupplet setting 7.0 mm, Attenuator Grid 10 dB
> Source attn 10 dB, Diode reading (-20dB) 0.146 mV
> Reference attn 8 dB, Diode reading (-30dB) 11 mV
Field  Signal1_X  Signal2_X    Signal1_Y   Signal2_Y    ADC   ADC   
T  mV mV mV mV V V 
Thin piece of CrPS4 mounted on rotator
290K, 10Gpp modulation. 
Rotator 380. 117 deg rotation

>BEGIN
      8.5500021     -0.00202657    -0.000476841      0.00381473     -0.00011921      0.19117084    -0.068873714 
      8.5500094     -0.00226499    -0.000476841      0.00381473    -0.000476841      0.19104068     -0.06892056 
        8.55002     -0.00274183     -0.00011921       0.0036955     -0.00023842      0.19102374    -0.068807794 
      8.5500345     -0.00226499      0.00011921      0.00405314     -0.00035763      0.19087771    -0.068972442 
      8.5500552     -0.00154973      0.00035763      0.00452998     -0.00011921      0.19108448    -0.068696097 
      8.5500774     -0.00190736      0.00035763      0.00464919     -0.00011921      0.19082629    -0.068721427 
      8.5501063     -0.00202657      0.00035763      0.00417235      0.00011921      0.19075381    -0.068748283 
      8.5501395     -0.00190736      0.00035763      0.00417235      0.00035763      0.19054109    -0.068698996 
      8.5501768     -0.00178815     0.000715259      0.00393394      0.00059605      0.19070803    -0.068630177 
      8.5502177     -0.00154973      0.00035763      0.00393394     0.000715259      0.19057878    -0.068684652 
      8.5502574     -0.00154973     -0.00023842       0.0047684     0.000715259      0.19058718    -0.068646504 
      8.5502999     -0.00214578     -0.00107289      0.00536445      0.00059605      0.19055086    -0.068729972 
      8.5503511     -0.00214578     -0.00011921      0.00536445     0.000715259      0.19054338    -0.068534959 
      8.5503994     -0.00214578     0.000715259      0.00500682               0      0.19052934    -0.068637806 
      8.5504502     -0.00250341     0.000715259      0.00488761               0      0.19051317    -0.068637501 
      8.5505034     -0.00226499      0.00035763      0.00452998               0      0.19054735     -0.06867214 
      8.5505659      -0.0023842      0.00011921      0.00381473      0.00011921      0.19071764    -0.068537706 
      8.5506242     -0.00202657               0       0.0036955               0       0.1909682     -0.06829783 
      8.5506847     -0.00202657     -0.00011921       0.0036955     -0.00023842      0.19092242    -0.068426313 
      8.5507473     -0.00190736      0.00011921       0.0036955     -0.00011921      0.19105136    -0.068435163 
       8.550812     -0.00202657     0.000834469      0.00405314      0.00059605      0.19099551    -0.068407849 
      8.5508874     -0.00166894     0.000953682      0.00357629     0.000834469       0.1909003    -0.068360088 
      8.5509653     -0.00143052      0.00059605      0.00417235      0.00023842      0.19090045     -0.06850734 
      8.5510363      -0.0011921      0.00059605      0.00417235    -0.000476841       0.1908298    -0.068527024 
      8.5511091     -0.00107289      0.00059605      0.00452998    -0.000953682      0.19088855    -0.068571276 
      8.5511927     -0.00166894      0.00011921       0.0047684     -0.00023842      0.19071718    -0.068637654 
      8.5512692     -0.00250341      0.00011921      0.00488761     0.000715259      0.19082598    -0.068598132 
      8.5513574     -0.00226499    -0.000476841      0.00417235     0.000715259      0.19052873    -0.068734855 
      8.5514475     -0.00190736     -0.00023842       0.0036955     0.000476841      0.19069308    -0.068561663 
      8.5515389    -0.000715259     -0.00023842       0.0036955      0.00011921      0.19051439    -0.068615223 
      8.5516221    -0.000715259     -0.00035763       0.0036955     0.000834469      0.19054247    -0.068591876 
      8.5517066     -0.00131131     -0.00011921      0.00429156      0.00023842      0.19039293    -0.068548692 
      8.5517925     -0.00154973               0      0.00500682      0.00011921      0.19011811    -0.068694113 
      8.5518797      -0.0023842               0      0.00512603      0.00011921      0.19009964    -0.068782311 
      8.5519796     -0.00250341      0.00023842      0.00452998      0.00035763      0.19028794     -0.06854976 
      8.5520803     -0.00298025     -0.00011921      0.00488761     0.000715259      0.19004547    -0.068551286 
      8.5521832     -0.00357629     -0.00023842      0.00441077     0.000834469      0.19001053    -0.068551744 
      8.5522875     -0.00286104     -0.00011921       0.0047684      0.00011921      0.19013047     -0.06865566 
      8.5523812     -0.00286104     0.000476841      0.00500682     -0.00059605      0.19034608    -0.068530534 
      8.5524873     -0.00309946     0.000834469      0.00452998    -0.000715259      0.18999222    -0.068663747 
      8.5525955     -0.00274183     0.000715259       0.0047684      0.00011921      0.19002869    -0.068514512 
      8.5526924      -0.0023842               0      0.00429156      0.00023842      0.19023637    -0.068724479 
      8.5527903     -0.00226499     -0.00023842      0.00405314      0.00011921      0.19016358    -0.068657796 
       8.552889      -0.0023842               0      0.00429156     -0.00011921       0.1903264    -0.068819239 
      8.5530015     -0.00309946      0.00023842      0.00464919      0.00035763      0.19042116     -0.06871456 
      8.5531142     -0.00286104      0.00035763      0.00405314      0.00059605      0.19053438    -0.068682058 
      8.5532158     -0.00226499      0.00131131      0.00345708      0.00035763      0.19051317    -0.068676412 
      8.5533312     -0.00202657     0.000953682       0.0036955      0.00011921      0.19030396    -0.068661458 
      8.5534211     -0.00226499      0.00023842       0.0036955               0      0.19039933     -0.06866451 
      8.5535383     -0.00250341    -0.000476841       0.0036955      0.00011921      0.19046724      -0.0685786 
      8.5536428     -0.00190736               0      0.00345708     -0.00035763      0.19042314    -0.068578448 
      8.5537481      -0.0011921    -0.000476841      0.00345708               0      0.19036744    -0.068483688 
      8.5538541      -0.0011921    -0.000834469       0.0036955               0      0.19038514    -0.068599658 
      8.5539735     -0.00166894    -0.000476841      0.00345708      0.00023842      0.19056825     -0.06847148 
      8.5540945     -0.00214578     -0.00035763      0.00345708      0.00059605      0.19039674    -0.068499863 
      8.5542024     -0.00226499     -0.00011921       0.0036955      0.00023842      0.19063128    -0.068601489 
       8.554311     -0.00250341               0       0.0036955      0.00023842      0.19065889     -0.06855327 
        8.55442     -0.00226499     -0.00035763      0.00298025               0      0.19073305    -0.068564562 
      8.5545437     -0.00214578     -0.00035763      0.00345708      0.00011921      0.19076235    -0.068583789 
      8.5546671     -0.00214578      0.00011921      0.00381473     0.000715259      0.19067873    -0.068555712 
      8.5547778     -0.00154973     0.000834469      0.00405314      0.00107289      0.19065645    -0.068576159 
      8.5549033     -0.00166894       0.0011921      0.00357629      0.00178815      0.19066851    -0.068425092 
      8.5550151      -0.0023842     0.000715259      0.00309946      0.00107289       0.1906389     -0.06844264 
      8.5551416     -0.00226499     -0.00011921      0.00357629     0.000834469      0.19045274     -0.06860332 
      8.5552543     -0.00190736      0.00011921      0.00452998               0       0.1906505    -0.068507492 
       8.555381     -0.00154973     -0.00023842      0.00452998     -0.00023842      0.19083773    -0.068694113 
      8.5554945     -0.00178815     -0.00023842      0.00393394     -0.00023842      0.19082858    -0.068630634 
       8.555623     -0.00202657      0.00035763      0.00381473      0.00011921      0.19087878    -0.068623157 
      8.5557511     -0.00226499      0.00011921      0.00429156               0      0.19090564    -0.068730735 
      8.5558805     -0.00357629      0.00011921      0.00512603      0.00035763      0.19104556    -0.068911557 
      8.5560104     -0.00357629     0.000476841      0.00572208      0.00107289        0.191171    -0.068987854 
      8.5561398     -0.00250341      0.00059605       0.0047684      0.00059605      0.19124363    -0.068906369 
      8.5562556     -0.00250341      0.00059605      0.00417235               0      0.19121265    -0.068873562 
      8.5563867     -0.00274183     0.000834469      0.00488761     -0.00035763      0.19128758    -0.068900113 
      8.5565181     -0.00226499       0.0011921      0.00512603     -0.00035763      0.19130436    -0.068649251 
      8.5566349     -0.00107289      0.00107289      0.00464919               0      0.19127949    -0.068568072 
       8.556752     -0.00131131      0.00035763      0.00417235               0      0.19114948    -0.068603931 
      8.5568835     -0.00166894     0.000715259      0.00381473               0      0.19122242     -0.06856151 
      8.5570011     -0.00154973     0.000953682      0.00357629      0.00023842      0.19089755    -0.068671377 
      8.5571341     -0.00202657     0.000715259       0.0036955      0.00059605      0.19096164    -0.068556475 
      8.5572665     -0.00250341      0.00023842      0.00357629      0.00035763      0.19084567    -0.068599353 
      8.5574001     -0.00226499      0.00035763      0.00309946      0.00023842      0.19114658    -0.068564867 
       8.557534      -0.0023842      0.00107289      0.00309946      0.00023842      0.19105152     -0.06844966 
