> Measurement made Fri Oct 13 17:57:42 2023
> Main magnet sweep  8.00000 to 11.50000 Tesla at  5.999 mT/s 
> Hysteresis correction (approximate) has been applied. 
> Main Magnet at  8.00000 T 
> ITC set at  125.000 K, T1: 124.990 K, T2: 509.100 K, T3: 324.100 K 
> For Cernox1 -15.059000 Ohm corresponds to T = 0.000000 K at 0 T 
> LockIn1:   5 mV, Mod Freq 39600.000000 Hz, Phase 159.510000 degr, Ampl. 0.080000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Normal .
> LockIn2:   5 mV, Mod Freq 39599.900000 Hz, Phase -20.410000 degr, Ampl. 0.010000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Normal .
> Modulation: 11.817200 mA 
> Source Freq 240.000 GHz (dial 15.00), LO Freq 234.000 GHz (dial 3760) 
> Martin Pupplet setting 7.0 mm, Attenuator Grid 15 dB
> Source attn 10 dB, Diode reading (-20dB) 0.4 mV
> Reference attn 5 dB, Diode reading (-30dB) 10 mV
Field  Signal1_X  Signal2_X    Signal1_Y   Signal2_Y    
T  mV mV mV mV 
YmnSn 125K perpendicular 240 GHz 
-
-
-

>BEGIN
      11.499987     0.000715259      0.00214578    -0.000715259     -0.00357629 
       11.49995     0.000476841      0.00286104    -0.000953682     -0.00333787 
       11.49988     0.000476841      0.00357629    -0.000953682     -0.00286104 
      11.499793     0.000476841      0.00381473      -0.0011921     -0.00333787 
      11.499685      0.00262262      0.00452998    -0.000715259     -0.00405314 
      11.499554      0.00262262      0.00381473      0.00023842     -0.00405314 
      11.499404      0.00143052      0.00262262      0.00143052     -0.00333787 
      11.499233               0      0.00190736      0.00262262     -0.00190736 
      11.499043      0.00023842      0.00143052      0.00143052      -0.0011921 
      11.498834    -0.000476841      0.00262262     0.000715259    -0.000953682 
      11.498607      0.00023842      0.00381473    -0.000476841     -0.00166894 
      11.498363      0.00143052      0.00452998      -0.0011921     -0.00190736 
      11.498102      0.00286104      0.00381473     -0.00166894     -0.00286104 
      11.497861      0.00143052      0.00214578     -0.00166894     -0.00333787 
       11.49757     0.000476841      0.00143052      -0.0011921     -0.00214578 
      11.497264      -0.0011921       0.0011921      0.00143052      -0.0023842 
      11.496943    -0.000953682      0.00166894      0.00309946     -0.00286104 
      11.496608    -0.000715259      0.00333787      0.00262262      -0.0011921 
      11.496259     0.000953682      0.00429156      0.00214578    -0.000715259 
       11.49594      0.00214578      0.00405314       0.0023842      -0.0011921 
      11.495566     0.000476841      0.00286104      0.00333787     0.000476841 
       11.49518     0.000476841       0.0011921      0.00381473     0.000953682 
      11.494781      0.00143052     0.000953682      0.00357629      0.00143052 
      11.494371     0.000476841      0.00143052      0.00190736               0 
       11.49395    -0.000476841       0.0023842      -0.0011921     -0.00166894 
      11.493517     0.000715259      0.00214578     -0.00286104     -0.00190736 
      11.493074     0.000476841      0.00190736     -0.00166894      -0.0011921 
      11.492621     0.000476841      0.00357629               0     -0.00166894 
      11.492158     0.000715259      0.00429156      0.00023842     -0.00190736 
      11.491685      0.00143052      0.00500682    -0.000715259     -0.00286104 
      11.491203      0.00214578      0.00405314      -0.0011921     -0.00381473 
      11.490712      0.00214578      0.00357629     -0.00143052     -0.00452998 
      11.490277      0.00262262      0.00333787    -0.000476841      -0.0047684 
      11.489832      0.00143052      0.00381473     0.000715259     -0.00429156 
      11.489318       0.0011921      0.00452998      0.00143052     -0.00333787 
      11.488796      0.00262262      0.00405314      0.00143052      -0.0023842 
      11.488335      0.00309946      0.00309946      0.00190736     -0.00190736 
      11.487868      0.00357629      0.00262262      0.00262262      -0.0011921 
      11.487326      0.00286104      0.00333787      0.00190736    -0.000953682 
      11.486777      0.00190736      0.00381473      0.00190736      -0.0011921 
      11.486221      0.00143052      0.00405314     0.000715259     -0.00166894 
      11.485659     -0.00023842      0.00262262    -0.000476841     -0.00166894 
      11.485091    -0.000715259      0.00190736    -0.000715259     -0.00190736 
      11.484586     -0.00023842      0.00214578    -0.000715259      -0.0023842 
      11.484006     0.000476841      0.00214578     -0.00023842     -0.00166894 
      11.483421       0.0011921      0.00190736               0      -0.0011921 
       11.48283      0.00143052      0.00190736    -0.000715259     -0.00143052 
      11.482234       0.0023842      0.00214578     -0.00023842     -0.00143052 
      11.481633      0.00381473      0.00286104     0.000476841     -0.00166894 
      11.481105      0.00333787      0.00214578       0.0011921     -0.00166894 
      11.480573      0.00190736      0.00286104     0.000953682     -0.00262262 
      11.479958     0.000715259      0.00429156     0.000476841     -0.00357629 
       11.47934     0.000715259      0.00429156     0.000476841     -0.00333787 
      11.478716     0.000953682      0.00286104               0     -0.00286104 
      11.478089      0.00190736      0.00286104     -0.00023842     -0.00262262 
      11.477457     0.000476841      0.00286104    -0.000953682     -0.00309946 
      11.476822     0.000953682      0.00357629      -0.0011921     -0.00333787 
      11.476183      0.00333787      0.00357629      0.00023842     -0.00333787 
       11.47554      0.00309946      0.00309946     0.000715259     -0.00286104 
      11.474893      0.00309946      0.00262262               0     -0.00214578 
      11.474243      0.00333787      0.00381473     0.000476841     -0.00143052 
      11.473668      0.00214578      0.00309946               0     -0.00166894 
      11.473012      0.00023842      0.00381473     -0.00023842      -0.0023842 
      11.472438               0      0.00405314    -0.000476841     -0.00357629 
      11.471776    -0.000715259      0.00333787    -0.000476841     -0.00429156 
      11.471111    -0.000715259      0.00190736      0.00023842     -0.00429156 
      11.470443      -0.0011921      0.00166894     -0.00023842     -0.00381473 
      11.469773      -0.0011921      0.00190736    -0.000715259     -0.00286104 
        11.4691    -0.000715259       0.0023842     -0.00023842     -0.00166894 
      11.468505     0.000476841      0.00262262      -0.0011921      -0.0023842 
      11.467746      0.00023842      0.00262262      -0.0023842     -0.00333787 
      11.467066     0.000953682      0.00262262     -0.00190736     -0.00262262 
      11.466383      0.00214578      0.00309946      -0.0023842     -0.00190736 
      11.465698      0.00190736      0.00333787      -0.0023842     -0.00190736 
      11.465011     0.000953682      0.00381473     -0.00262262     -0.00214578 
      11.464404               0      0.00357629     -0.00309946     -0.00166894 
      11.463802               0      0.00262262     -0.00286104    -0.000715259 
      11.463198               0      0.00214578     -0.00214578      0.00023842 
      11.462587     0.000476841      0.00262262    -0.000715259     -0.00023842 
      11.461891               0      0.00309946     0.000715259      -0.0011921 
      11.461282               0      0.00286104     0.000476841     -0.00214578 
      11.460672    -0.000476841      0.00309946               0     -0.00214578 
      11.459972    -0.000715259       0.0023842               0      -0.0023842 
      11.459269     -0.00166894      0.00166894     0.000476841     -0.00214578 
      11.458565    -0.000953682      0.00262262      0.00023842    -0.000953682 
      11.457859     -0.00023842       0.0047684    -0.000715259     -0.00143052 
      11.457152    -0.000476841       0.0047684     -0.00190736     -0.00214578 
      11.456529               0      0.00429156      -0.0023842      -0.0011921 
      11.455819     0.000953682      0.00405314     -0.00166894    -0.000715259 
      11.455108      0.00166894      0.00381473    -0.000715259     -0.00143052 
      11.454396     0.000953682      0.00262262     -0.00023842      -0.0023842 
      11.453682     0.000953682      0.00166894    -0.000476841     -0.00309946 
      11.453059     0.000715259      0.00214578               0     -0.00333787 
      11.452343               0      0.00286104     -0.00190736     -0.00286104 
      11.451535    -0.000715259      0.00262262     -0.00333787     -0.00166894 
      11.450908               0      0.00262262     -0.00333787      -0.0011921 
      11.450189    -0.000715259      0.00333787     -0.00286104     -0.00143052 
      11.449469    -0.000715259      0.00286104      -0.0023842    -0.000715259 
      11.448748      0.00023842       0.0023842      -0.0023842      0.00023842 
      11.448026       0.0011921      0.00214578     -0.00286104     0.000476841 
       11.44739       0.0023842      0.00214578     -0.00286104     0.000476841 
      11.446666      0.00333787      0.00262262     -0.00286104    -0.000715259 
      11.445941      0.00357629      0.00357629     -0.00166894     -0.00143052 
      11.445216      0.00262262      0.00286104      0.00023842     -0.00166894 
      11.444489      0.00214578      0.00381473       0.0011921    -0.000715259 
      11.443762       0.0011921      0.00548366      0.00143052    -0.000715259 
      11.443034    -0.000476841      0.00596049     0.000476841     -0.00166894 
      11.442306     0.000476841      0.00667575      0.00023842     -0.00166894 
      11.441577      0.00023842      0.00596049     0.000476841     -0.00143052 
      11.440847    -0.000476841      0.00405314    -0.000476841      -0.0011921 
      11.440116     0.000476841      0.00262262    -0.000476841    -0.000476841 
      11.439385      0.00143052      0.00309946     0.000715259    -0.000476841 
      11.438653      0.00262262      0.00333787               0    -0.000715259 
       11.43792      0.00309946      0.00309946      0.00023842      0.00023842 
      11.437187      0.00214578      0.00262262      0.00143052     0.000715259 
      11.436365    -0.000476841      0.00262262      0.00262262    -0.000476841 
      11.435631    -0.000715259      0.00357629      0.00262262     -0.00190736 
      11.434896    -0.000953682      0.00381473      0.00143052     -0.00286104 
      11.434161     0.000476841      0.00309946               0     -0.00429156 
      11.433425     0.000715259      0.00286104    -0.000715259      -0.0047684 
      11.432689     0.000715259      0.00309946      -0.0011921     -0.00357629 
      11.431952      0.00143052      0.00309946     0.000476841      -0.0011921 
      11.431215      0.00214578      0.00286104     0.000476841     -0.00023842 
      11.430566      0.00214578      0.00309946     0.000476841               0 
      11.429828       0.0023842      0.00381473      0.00166894    -0.000476841 
       11.42909      0.00143052      0.00381473     0.000953682     -0.00143052 
      11.428446     -0.00023842      0.00309946      -0.0011921     -0.00143052 
      11.427801      -0.0011921      0.00214578     -0.00166894    -0.000715259 
      11.427062     -0.00214578      0.00214578      -0.0011921      0.00023842 
      11.426322    -0.000953682      0.00309946     -0.00023842     -0.00023842 
      11.425582     -0.00166894      0.00262262     0.000476841      -0.0011921 
      11.424842    -0.000953682      0.00214578      -0.0011921     -0.00190736 
      11.424101     -0.00023842       0.0023842      -0.0011921      -0.0011921 
      11.423449    -0.000715259      0.00214578    -0.000715259    -0.000953682 
      11.422708      0.00023842      0.00214578      -0.0011921    -0.000715259 
      11.421966      0.00143052      0.00214578     -0.00286104      -0.0011921 
      11.421225      0.00262262      0.00190736      -0.0023842    -0.000953682 
      11.420578      0.00214578       0.0011921               0    -0.000715259 
       11.41993      0.00309946      0.00214578               0               0 
      11.419093       0.0023842      0.00262262    -0.000715259      -0.0011921 
       11.41835    -0.000715259      0.00262262      -0.0011921     -0.00286104 
      11.417607     -0.00166894      0.00309946      -0.0023842     -0.00357629 
      11.416864      0.00143052      0.00452998     -0.00214578     -0.00357629 
      11.416215      0.00524524      0.00500682     -0.00143052     -0.00286104 
      11.415472      0.00572208      0.00429156     -0.00023842      -0.0023842 
      11.414728      0.00381473      0.00452998      0.00166894      -0.0023842 
      11.413984      0.00214578       0.0047684      0.00262262     -0.00190736 
      11.413329       0.0023842      0.00452998      0.00166894     -0.00214578 
      11.412584       0.0023842      0.00452998      0.00166894     -0.00286104 
       11.41184      0.00286104      0.00572208      0.00143052     -0.00286104 
      11.411095      0.00214578      0.00596049      0.00166894     -0.00166894 
      11.410445       0.0011921      0.00405314      0.00286104     -0.00143052 
        11.4097      0.00023842      0.00214578      0.00143052     -0.00143052 
      11.409044     -0.00166894     0.000715259               0      -0.0011921 
      11.408299      -0.0023842     -0.00023842     0.000953682    -0.000715259 
      11.407649     -0.00333787               0       0.0011921    -0.000715259 
      11.406998     -0.00286104       0.0023842               0      -0.0023842 
      11.406253     -0.00214578      0.00429156               0      -0.0023842 
      11.405411      -0.0011921      0.00500682     -0.00023842     -0.00166894 
      11.404665      0.00023842      0.00429156     -0.00166894      -0.0023842 
      11.403919      0.00166894      0.00405314      -0.0023842      -0.0023842 
      11.403172      0.00214578      0.00429156      -0.0023842      -0.0023842 
      11.402522      0.00190736      0.00286104     -0.00166894     -0.00166894 
      11.401775      0.00190736      0.00214578    -0.000476841      -0.0011921 
      11.401028      0.00166894      0.00262262     0.000715259      -0.0011921 
      11.400282     -0.00023842      0.00381473       0.0011921     -0.00143052 
      11.399535     -0.00023842      0.00452998      0.00143052      -0.0011921 
      11.398877      -0.0011921       0.0047684      0.00190736      -0.0023842 
       11.39813      -0.0011921       0.0047684      0.00190736     -0.00286104 
      11.397383    -0.000715259      0.00381473      0.00262262     -0.00262262 
      11.396636    -0.000953682      0.00381473      0.00143052     -0.00357629 
      11.395889     -0.00023842      0.00357629    -0.000715259     -0.00357629 
      11.395141    -0.000476841      0.00262262     -0.00286104     -0.00262262 
      11.394304     0.000953682      0.00214578     -0.00262262     -0.00214578 
      11.393556      0.00143052      0.00190736    -0.000476841    -0.000715259 
      11.392809      0.00143052      0.00214578      0.00143052               0 
      11.392061     0.000953682      0.00190736     0.000953682    -0.000953682 
      11.391217     0.000476841       0.0011921     0.000476841      -0.0023842 
      11.390469    -0.000715259      0.00143052     0.000953682     -0.00214578 
      11.389721     -0.00214578      0.00262262      0.00143052     -0.00143052 
      11.388973     -0.00190736      0.00309946     0.000953682     -0.00214578 
      11.388321     -0.00166894      0.00333787               0     -0.00333787 
      11.387573      -0.0011921      0.00405314     -0.00023842     -0.00429156 
      11.386825      -0.0011921      0.00452998      -0.0023842     -0.00333787 
      11.386076     -0.00286104      0.00333787      -0.0023842     -0.00286104 
      11.385328     -0.00262262      0.00214578     -0.00166894     -0.00262262 
       11.38458     0.000953682      0.00286104     -0.00286104     -0.00333787 
      11.383831      0.00357629      0.00333787     -0.00309946     -0.00333787 
      11.383083      0.00262262      0.00333787     -0.00286104      -0.0023842 
      11.382334     0.000476841      0.00333787    -0.000715259     -0.00286104 
       11.38149    -0.000953682      0.00333787      0.00143052     -0.00333787 
      11.380741    -0.000715259      0.00286104      0.00143052      -0.0023842 
      11.380089     0.000953682      0.00262262      0.00214578    -0.000476841 
       11.37934      0.00262262      0.00286104      0.00166894    -0.000715259 
      11.378591      0.00309946      0.00357629     0.000953682     -0.00143052 
      11.377932     0.000953682      0.00333787      0.00023842     -0.00333787 
