> Measurement made Fri Oct 13 16:50:10 2023
> Main magnet sweep  8.00000 to 11.50000 Tesla at  5.999 mT/s 
> Hysteresis correction (approximate) has been applied. 
> Main Magnet at  8.00000 T 
> ITC set at  150.000 K, T1: 149.910 K, T2: 509.100 K, T3: 324.100 K 
> For Cernox1 3.812000 Ohm corresponds to T = 999.000000 K at 0 T 
> LockIn1:   5 mV, Mod Freq 39600.000000 Hz, Phase 159.510000 degr, Ampl. 0.080000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Normal .
> LockIn2:   5 mV, Mod Freq 39599.900000 Hz, Phase -20.410000 degr, Ampl. 0.010000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Normal .
> Modulation: 11.758600 mA 
> Source Freq 240.000 GHz (dial 15.00), LO Freq 234.000 GHz (dial 3760) 
> Martin Pupplet setting 7.0 mm, Attenuator Grid 15 dB
> Source attn 10 dB, Diode reading (-20dB) 0.4 mV
> Reference attn 5 dB, Diode reading (-30dB) 10 mV
Field  Signal1_X  Signal2_X    Signal1_Y   Signal2_Y    
T  mV mV mV mV 
YmnSn 150K perpendicular 240 GHz 
-
-
-

>BEGIN
      8.0000096     0.000953682     -0.00524524      0.00810629     -0.00762945 
      8.0000436       0.0011921     -0.00572208      0.00715259     -0.00691417 
      8.0001015      0.00214578     -0.00619891      0.00596049     -0.00715259 
      8.0001824      0.00405314     -0.00572208      0.00715259     -0.00739101 
      8.0002856      0.00500682     -0.00452998      0.00762945     -0.00739101 
      8.0004103      0.00381473     -0.00405314      0.00548366     -0.00762945 
      8.0005559       0.0023842     -0.00452998      0.00643733     -0.00667575 
      8.0007216      -0.0011921     -0.00572208      0.00667575     -0.00619891 
      8.0009067     -0.00381473     -0.00572208      0.00667575     -0.00667575 
      8.0011107     -0.00286104     -0.00500682      0.00619891     -0.00691417 
      8.0013625     0.000953682     -0.00452998      0.00762945     -0.00715259 
      8.0015725      0.00190736     -0.00333787      0.00882155     -0.00715259 
      8.0018292     0.000953682     -0.00286104      0.00929838     -0.00667575 
      8.0020665               0     -0.00405314      0.00834471     -0.00643733 
      8.0023535      0.00023842     -0.00500682      0.00810629     -0.00786787 
       8.002656      0.00214578     -0.00500682      0.00905996     -0.00810629 
      8.0029733       0.0023842     -0.00452998      0.00977522     -0.00786787 
      8.0032645      0.00214578     -0.00452998       0.0109673     -0.00667575 
      8.0036085     0.000953682     -0.00524524      0.00810629     -0.00739101 
      8.0039661     0.000715259      -0.0047684      0.00643733     -0.00834471 
      8.0043367      0.00023842     -0.00429156      0.00715259     -0.00858313 
      8.0047199     0.000953682     -0.00429156      0.00762945     -0.00905996 
      8.0051154     0.000476841     -0.00429156      0.00834471     -0.00858313 
      8.0055227     0.000953682     -0.00429156      0.00715259     -0.00834471 
      8.0059414      0.00357629     -0.00452998      0.00596049     -0.00834471 
      8.0063711      0.00262262     -0.00500682      0.00572208     -0.00739101 
      8.0068114      0.00143052     -0.00548366      0.00715259     -0.00643733 
      8.0072621      0.00214578     -0.00548366      0.00977522     -0.00667575 
      8.0077228      0.00357629     -0.00500682       0.0107289     -0.00667575 
      8.0081931      0.00429156     -0.00524524        0.011921     -0.00739101 
      8.0086727      0.00381473     -0.00500682       0.0128747     -0.00786787 
      8.0091613      0.00500682     -0.00524524       0.0131131     -0.00739101 
      8.0096586      0.00357629     -0.00524524       0.0121594     -0.00715259 
      8.0100991      0.00143052     -0.00500682       0.0114442     -0.00691417 
      8.0105458      0.00190736     -0.00429156       0.0100136     -0.00715259 
      8.0110655      0.00309946     -0.00381473      0.00905996     -0.00691417 
      8.0115293      0.00452998     -0.00333787      0.00905996     -0.00786787 
      8.0120632       0.0047684     -0.00333787      0.00929838     -0.00786787 
      8.0126043      0.00190736     -0.00357629       0.0107289     -0.00739101 
      8.0131524      -0.0023842     -0.00405314       0.0116826     -0.00667575 
      8.0137072      -0.0023842     -0.00405314       0.0095368     -0.00715259 
      8.0142685    -0.000953682     -0.00452998      0.00786787     -0.00786787 
       8.014836    -0.000715259     -0.00500682      0.00739101     -0.00739101 
      8.0154097    -0.000476841     -0.00572208      0.00762945     -0.00762945 
      8.0159892    -0.000476841     -0.00619891       0.0100136     -0.00691417 
      8.0165744      0.00023842     -0.00619891       0.0109673     -0.00691417 
      8.0171651     0.000953682     -0.00548366       0.0100136     -0.00810629 
      8.0177611      0.00214578     -0.00452998      0.00882155     -0.00834471 
      8.0183622      0.00309946     -0.00333787      0.00905996     -0.00786787 
      8.0189683      0.00333787     -0.00429156      0.00977522     -0.00691417 
      8.0195791      0.00572208     -0.00429156      0.00905996     -0.00739101 
      8.0201946      0.00452998     -0.00452998      0.00810629     -0.00786787 
      8.0208146      0.00286104     -0.00500682      0.00691417     -0.00834471 
      8.0214389      0.00166894     -0.00596049       0.0047684     -0.00882155 
      8.0220673      0.00286104     -0.00596049       0.0047684     -0.00834471 
      8.0226998      0.00214578     -0.00619891      0.00715259     -0.00739101 
      8.0233363      0.00262262     -0.00548366      0.00667575     -0.00667575 
      8.0239765       0.0011921     -0.00429156      0.00667575     -0.00667575 
      8.0246203      0.00214578     -0.00429156      0.00977522     -0.00810629 
      8.0252677      0.00309946     -0.00452998       0.0107289     -0.00834471 
      8.0258351      0.00381473      -0.0047684       0.0112057     -0.00858313 
      8.0264888      0.00405314     -0.00500682       0.0121594     -0.00905996 
      8.0271456      0.00405314      -0.0047684       0.0102521     -0.00834471 
      8.0278056      0.00262262     -0.00452998      0.00834471     -0.00786787 
      8.0284686     0.000476841     -0.00500682      0.00762945     -0.00762945 
      8.0291345      0.00214578     -0.00524524      0.00762945     -0.00667575 
      8.0297228      0.00286104     -0.00548366      0.00977522     -0.00619891 
      8.0303078       0.0023842      -0.0047684       0.0109673     -0.00619891 
      8.0308949     0.000953682     -0.00452998       0.0100136     -0.00715259 
      8.0314892     0.000476841     -0.00500682      0.00810629     -0.00762945 
      8.0320801      0.00214578     -0.00452998      0.00619891     -0.00834471 
      8.0326728      0.00357629     -0.00452998      0.00572208     -0.00929838 
      8.0333547      0.00381473      -0.0047684       0.0047684     -0.00977522 
      8.0340389      0.00357629     -0.00452998      0.00452998     -0.00929838 
      8.0347253      0.00381473      -0.0047684      0.00500682     -0.00810629 
      8.0354138       0.0047684      -0.0047684      0.00548366     -0.00691417 
      8.0361043      0.00381473     -0.00452998      0.00572208     -0.00691417 
      8.0367968      0.00286104     -0.00452998      0.00691417     -0.00667575 
      8.0374912      0.00333787      -0.0047684      0.00643733     -0.00667575 
      8.0381875      0.00286104     -0.00548366      0.00596049     -0.00762945 
      8.0388855      0.00214578     -0.00548366      0.00524524     -0.00762945 
      8.0395853      0.00214578      -0.0047684      0.00548366     -0.00739101 
      8.0402867      0.00333787     -0.00381473      0.00572208     -0.00739101 
      8.0409898      0.00262262     -0.00333787      0.00429156     -0.00739101 
      8.0416944      0.00143052     -0.00357629      0.00524524     -0.00762945 
      8.0424005     0.000715259     -0.00452998      0.00643733     -0.00786787 
      8.0431081     -0.00143052     -0.00452998      0.00691417     -0.00858313 
      8.0438171     -0.00166894     -0.00572208      0.00810629      -0.0095368 
      8.0445275     0.000715259     -0.00667575      0.00810629     -0.00977522 
      8.0452391      0.00333787     -0.00572208      0.00715259      -0.0104905 
      8.0459521      0.00381473     -0.00452998      0.00715259      -0.0100136 
      8.0466663      0.00381473     -0.00429156      0.00643733     -0.00929838 
      8.0473816      0.00500682     -0.00405314      0.00619891     -0.00810629 
      8.0480981       0.0047684      -0.0047684      0.00596049     -0.00691417 
      8.0488158      0.00357629     -0.00524524      0.00691417     -0.00619891 
      8.0495345      0.00262262     -0.00500682      0.00762945     -0.00572208 
      8.0502542      0.00333787     -0.00357629      0.00619891     -0.00643733 
       8.050975      0.00381473     -0.00429156      0.00643733     -0.00762945 
      8.0516967      0.00452998     -0.00596049      0.00596049     -0.00786787 
      8.0524193       0.0047684     -0.00619891      0.00643733     -0.00691417 
      8.0531429      0.00286104     -0.00524524      0.00715259     -0.00619891 
      8.0538673     0.000953682     -0.00500682      0.00643733     -0.00691417 
      8.0545926      0.00023842     -0.00452998      0.00643733     -0.00762945 
      8.0553187     0.000476841     -0.00381473      0.00810629     -0.00786787 
      8.0560456    -0.000953682     -0.00405314      0.00929838     -0.00786787 
      8.0567733     -0.00166894     -0.00524524      0.00977522     -0.00810629 
      8.0575017     -0.00023842     -0.00548366      0.00882155     -0.00762945 
      8.0581433      0.00262262     -0.00500682      0.00905996     -0.00715259 
       8.058873      0.00309946     -0.00405314      0.00786787     -0.00786787 
      8.0596034      0.00214578     -0.00405314      0.00691417     -0.00810629 
      8.0603345    -0.000715259     -0.00429156      0.00834471     -0.00715259 
      8.0610661      0.00023842     -0.00357629      0.00977522     -0.00739101 
      8.0617984     0.000953682     -0.00286104       0.0095368     -0.00810629 
      8.0624375     0.000953682     -0.00333787      0.00762945     -0.00834471 
      8.0631708      0.00190736     -0.00452998      0.00548366     -0.00786787 
      8.0639048       0.0023842     -0.00500682      0.00619891     -0.00739101 
       8.064551      0.00190736     -0.00524524      0.00858313     -0.00786787 
      8.0651919               0     -0.00572208      0.00977522     -0.00834471 
      8.0659272     -0.00023842     -0.00596049      0.00977522     -0.00810629 
      8.0665688       0.0011921     -0.00548366      0.00858313     -0.00834471 
       8.067305     0.000476841     -0.00548366      0.00810629     -0.00786787 
      8.0680417     0.000476841     -0.00500682      0.00905996     -0.00739101 
      8.0687789     0.000715259     -0.00429156      0.00882155     -0.00762945 
      8.0695164     0.000476841     -0.00429156      0.00810629     -0.00858313 
      8.0702544      0.00143052     -0.00500682      0.00834471     -0.00834471 
      8.0709928      0.00262262     -0.00500682      0.00905996     -0.00786787 
      8.0717315      0.00309946     -0.00452998      0.00905996     -0.00810629 
      8.0725653      0.00143052     -0.00500682      0.00834471     -0.00882155 
      8.0733048     0.000953682     -0.00572208      0.00667575      -0.0095368 
      8.0740446      0.00214578     -0.00596049      0.00667575      -0.0102521 
      8.0747848      0.00286104     -0.00572208      0.00715259      -0.0109673 
      8.0755254      0.00381473     -0.00500682      0.00762945      -0.0095368 
      8.0762662      0.00262262     -0.00452998      0.00715259     -0.00834471 
      8.0770073       0.0023842     -0.00405314      0.00762945     -0.00786787 
      8.0777488      0.00214578     -0.00357629      0.00882155     -0.00739101 
      8.0784905       0.0011921      -0.0047684      0.00929838     -0.00715259 
      8.0792325               0     -0.00596049      0.00882155     -0.00786787 
      8.0799747      0.00143052     -0.00667575      0.00882155     -0.00810629 
      8.0806222      0.00405314     -0.00596049      0.00882155     -0.00786787 
      8.0813649      0.00548366     -0.00572208      0.00834471     -0.00786787 
      8.0821079      0.00643733     -0.00452998      0.00858313     -0.00739101 
       8.082851      0.00452998     -0.00524524       0.0104905     -0.00739101 
      8.0835052     0.000715259     -0.00691417       0.0109673     -0.00762945 
      8.0842488     -0.00023842     -0.00619891       0.0100136     -0.00810629 
      8.0850819      0.00214578     -0.00572208      0.00834471     -0.00834471 
      8.0857367      0.00381473     -0.00429156      0.00858313     -0.00810629 
      8.0863856      0.00309946     -0.00452998      0.00929838     -0.00834471 
        8.08713      0.00262262     -0.00500682       0.0109673     -0.00786787 
      8.0877792      0.00214578     -0.00405314       0.0107289     -0.00715259 
      8.0884346      0.00143052     -0.00405314      0.00905996     -0.00691417 
      8.0891794     0.000953682     -0.00500682      0.00858313     -0.00667575 
      8.0899245               0     -0.00572208      0.00977522     -0.00643733 
      8.0906697               0     -0.00524524       0.0104905     -0.00739101 
       8.091415      0.00143052     -0.00524524       0.0095368     -0.00762945 
      8.0921605      0.00429156     -0.00548366      0.00619891     -0.00786787 
      8.0929062      0.00572208     -0.00452998      0.00309946     -0.00882155 
       8.093652       0.0047684     -0.00405314      0.00309946     -0.00834471 
      8.0943979      0.00429156     -0.00357629      0.00381473     -0.00786787 
      8.0951439       0.0047684     -0.00309946      0.00429156     -0.00715259 
      8.0958901      0.00405314     -0.00262262      0.00619891     -0.00762945 
      8.0966364      0.00214578     -0.00286104      0.00643733     -0.00786787 
      8.0973829      0.00214578     -0.00429156      0.00739101     -0.00691417 
      8.0981294      0.00214578     -0.00500682      0.00834471     -0.00667575 
      8.0988761     0.000953682     -0.00452998      0.00882155     -0.00739101 
      8.0996228     0.000715259     -0.00452998      0.00929838     -0.00834471 
      8.1003697      -0.0011921     -0.00500682       0.0112057     -0.00834471 
