> Measurement made Sat Oct 14 10:59:12 2023
> Main magnet sweep  8.00000 to 12.00000 Tesla at  5.999 mT/s 
> Hysteresis correction (approximate) has been applied. 
> Main Magnet at  8.00000 T 
> ITC set at   20.000 K, T1:  19.999 K, T2: 509.100 K, T3: 324.100 K 
> For Cernox1 11.989000 Ohm corresponds to T = 999.000000 K at 0 T 
> LockIn1:   2 mV, Mod Freq 39600.000000 Hz, Phase 159.510000 degr, Ampl. 0.080000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Normal .
> LockIn2:   2 mV, Mod Freq 39599.900000 Hz, Phase -20.410000 degr, Ampl. 0.010000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Normal .
> Modulation: 14.810000 mA 
> Source Freq 240.000 GHz (dial 15.00), LO Freq 235.92 GHz (dial 6150) 
> Martin Pupplet setting 7.0 mm, Attenuator Grid 15 dB
> Source attn 10 dB, Diode reading (-20dB) 0.25 mV
> Reference attn 5 dB, Diode reading (-30dB) 11 mV
Field  Signal1_X  Signal2_X    Signal1_Y   Signal2_Y    
T  mV mV mV mV 
YmnSn 20K perpendicular 240 GHz 
-
-
-

>BEGIN
      8.0000126      0.00691417       0.0146628     -0.00810629      -0.0171663 
       8.000044      0.00655654       0.0135899     -0.00751021      -0.0174047 
      8.0000933      0.00643733       0.0121594      -0.0082255      -0.0177623 
      8.0001715       0.0072718       0.0109673     -0.00762945      -0.0195504 
      8.0002588      0.00715259      0.00977522     -0.00703338      -0.0216962 
      8.0003619      0.00631812      0.00905996     -0.00751021       -0.021577 
      8.0004999      0.00584128      0.00882155     -0.00882155      -0.0200273 
      8.0006583       0.0047684      0.00882155     -0.00870234      -0.0184776 
      8.0008125      0.00452998      0.00834471     -0.00739101      -0.0182391 
      8.0010072      0.00619891      0.00941759     -0.00751021      -0.0183583 
      8.0011938      0.00798708       0.0110865      -0.0082255      -0.0172855 
      8.0013925      0.00739101       0.0120402     -0.00882155      -0.0178815 
      8.0016044      0.00631812       0.0121594     -0.00870234      -0.0195504 
      8.0018314      0.00512603       0.0121594     -0.00917917      -0.0184776 
      8.0020688      0.00560287        0.011921      -0.0102521      -0.0168086 
      8.0023559      0.00596049       0.0116826      -0.0115634       -0.017047 
      8.0026585      0.00619891       0.0115634      -0.0108481      -0.0182391 
       8.002937      0.00619891        0.011921     -0.00894075       -0.018716 
      8.0032672      0.00679496       0.0123978     -0.00870234      -0.0184776 
      8.0035665      0.00655654       0.0131131     -0.00989443      -0.0174047 
      8.0039225      0.00643733       0.0137091      -0.0121594      -0.0172855 
      8.0042436      0.00429156       0.0151396      -0.0115634      -0.0171663 
      8.0045775      0.00274183       0.0153781     -0.00989443      -0.0174047 
      8.0049685      0.00214578       0.0143052     -0.00834471      -0.0177623 
      8.0053192      0.00321867        0.014186     -0.00810629      -0.0185968 
      8.0056788      0.00488761       0.0152589     -0.00739101      -0.0190736 
      8.0060503      0.00548366       0.0160934     -0.00762945      -0.0188352 
      8.0064268      0.00536445       0.0159742     -0.00858313      -0.0189544 
       8.006815      0.00464919       0.0146628     -0.00917917      -0.0190736 
      8.0072075      0.00536445       0.0134707     -0.00977522      -0.0185968 
       8.007667      0.00715259       0.0143052     -0.00905996      -0.0176431 
      8.0081361      0.00572208       0.0152589      -0.0103713       -0.017047 
