> Measurement made Fri Oct 13 14:33:30 2023
> Main magnet sweep  8.00000 to 11.00000 Tesla at  5.999 mT/s 
> Hysteresis correction (approximate) has been applied. 
> Main Magnet at  8.17748 T 
> ITC set at  250.000 K, T1: 250.000 K, T2: 509.100 K, T3: 324.100 K 
> For Cernox1 -37.322000 Ohm corresponds to T = 0.000000 K at 0 T 
> LockIn1:   5 mV, Mod Freq 39600.000000 Hz, Phase 159.510000 degr, Ampl. 0.080000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Normal .
> LockIn2:   5 mV, Mod Freq 39599.900000 Hz, Phase -20.410000 degr, Ampl. 0.010000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Normal .
> Modulation: 11.700300 mA 
> Source Freq 240.000 GHz (dial 15.00), LO Freq 234.000 GHz (dial 3760) 
> Martin Pupplet setting 7.0 mm, Attenuator Grid 15 dB
> Source attn 10 dB, Diode reading (-20dB) 0.4 mV
> Reference attn 5 dB, Diode reading (-30dB) 10 mV
Field  Signal1_X  Signal2_X    Signal1_Y   Signal2_Y    
T  mV mV mV mV 
YmnSn 250K perpendicular 240 GHz take 2
-
-
-

>BEGIN
      8.0000126     -0.00739101    -0.000715259      0.00262262      -0.0011921 
      8.0000497     -0.00667575    -0.000953682       0.0011921     -0.00143052 
      8.0001105     -0.00572208               0      0.00214578      -0.0011921 
      8.0001943     -0.00524524     0.000953682       0.0047684      -0.0011921 
      8.0003003     -0.00572208     0.000715259      0.00548366     -0.00214578 
      8.0004278     -0.00500682      0.00023842      0.00309946     -0.00286104 
       8.000576     -0.00333787     0.000953682      0.00143052      -0.0023842 
      8.0007442     -0.00166894     0.000715259      0.00143052     -0.00166894 
      8.0009318     -0.00500682      -0.0011921      0.00429156     0.000476841 
      8.0011381     -0.00739101    -0.000953682      0.00643733     0.000953682 
      8.0013625     -0.00691417    -0.000715259      0.00381473    -0.000715259 
      8.0016044     -0.00596049    -0.000476841      0.00286104      -0.0011921 
      8.0018292     -0.00405314      -0.0011921      0.00452998               0 
      8.0021024     -0.00262262     -0.00166894      0.00452998    -0.000953682 
      8.0023914     -0.00381473     -0.00214578      0.00190736     -0.00190736 
      8.0026958     -0.00572208     -0.00214578       0.0023842     -0.00143052 
       8.003015     -0.00739101     -0.00166894      0.00357629     -0.00143052 
      8.0033485     -0.00643733      0.00023842      0.00357629     -0.00286104 
       8.003696     -0.00524524      0.00190736      0.00429156     -0.00333787 
      8.0040568     -0.00429156      0.00214578      0.00596049     -0.00214578 
      8.0044306     -0.00405314      0.00214578      0.00715259      -0.0011921 
      8.0047668     -0.00405314      0.00190736      0.00858313               0 
      8.0051637     -0.00452998      0.00143052      0.00929838     0.000953682 
      8.0055723     -0.00548366     0.000476841      0.00762945     0.000476841 
      8.0059414     -0.00548366    -0.000476841      0.00357629               0 
      8.0063711     -0.00405314     -0.00023842      0.00309946               0 
      8.0067545     -0.00524524      -0.0011921      0.00524524               0 
      8.0072039     -0.00667575      -0.0011921      0.00452998    -0.000476841 
      8.0076633     -0.00619891      0.00023842      0.00381473    -0.000715259 
      8.0080718     -0.00643733    -0.000476841      0.00286104      0.00023842 
      8.0084913     -0.00834471      -0.0011921      0.00190736               0 
      8.0089765     -0.00977522    -0.000715259      0.00262262      0.00023842 
      8.0094706      -0.0095368               0      0.00500682     0.000715259 
      8.0099732     -0.00834471     -0.00023842      0.00643733     0.000476841 
       8.010484     -0.00619891    -0.000715259      0.00596049               0 
      8.0110028     -0.00429156    -0.000715259      0.00500682      0.00023842 
      8.0115293     -0.00524524      -0.0011921      0.00524524     0.000476841 
      8.0120632     -0.00643733      -0.0023842       0.0047684     0.000953682 
      8.0126043     -0.00619891      -0.0023842       0.0023842     0.000953682 
      8.0131524     -0.00667575      -0.0023842      0.00357629     0.000715259 
      8.0137072     -0.00739101     -0.00190736      0.00548366    -0.000715259 
      8.0142685     -0.00786787    -0.000953682      0.00452998      -0.0011921 
       8.014836     -0.00691417      0.00023842      0.00309946     -0.00166894 
      8.0154097     -0.00619891     0.000953682      0.00143052     -0.00143052 
      8.0159892     -0.00762945     0.000953682      0.00309946    -0.000953682 
      8.0165744     -0.00858313     0.000953682      0.00572208    -0.000476841 
      8.0171651     -0.00810629     0.000715259      0.00619891    -0.000476841 
      8.0177611     -0.00667575               0      0.00572208    -0.000953682 
      8.0183622     -0.00667575     -0.00023842      0.00524524      -0.0011921 
      8.0189683     -0.00667575    -0.000953682      0.00548366      -0.0011921 
      8.0195791     -0.00762945     -0.00166894      0.00381473     -0.00214578 
      8.0201946     -0.00810629     -0.00143052      0.00143052      -0.0023842 
      8.0208146     -0.00739101     -0.00166894      0.00262262     -0.00190736 
      8.0214389     -0.00667575      -0.0023842      0.00619891     -0.00023842 
      8.0220673     -0.00596049     -0.00214578      0.00691417    -0.000715259 
      8.0226998     -0.00786787     -0.00262262       0.0047684      -0.0011921 
      8.0233363      -0.0107289     -0.00333787      0.00309946      -0.0011921 
      8.0239765      -0.0100136     -0.00190736      0.00214578     -0.00166894 
      8.0246203     -0.00500682    -0.000476841       0.0011921     -0.00214578 
      8.0251847     -0.00286104               0      0.00381473               0 
      8.0258351     -0.00214578      0.00023842      0.00452998     0.000476841 
      8.0264888     -0.00286104      0.00023842      0.00381473     0.000953682 
      8.0271456     -0.00452998    -0.000715259      0.00429156     0.000953682 
      8.0278056     -0.00667575    -0.000953682      0.00548366     0.000953682 
      8.0284686     -0.00762945    -0.000715259      0.00619891     0.000476841 
      8.0291345     -0.00810629      -0.0011921       0.0047684    -0.000715259 
      8.0298032     -0.00929838      -0.0023842      0.00262262      -0.0011921 
      8.0304746      -0.0095368     -0.00190736      0.00143052    -0.000953682 
      8.0311486      -0.0107289      -0.0023842      0.00309946      0.00023842 
      8.0318251      -0.0109673      -0.0023842      0.00357629      0.00023842 
      8.0325041      -0.0100136     -0.00166894      0.00357629    -0.000715259 
      8.0331854     -0.00858313    -0.000476841      0.00333787      -0.0023842 
       8.033869     -0.00810629     0.000953682      0.00381473     -0.00262262 
      8.0345549     -0.00715259      0.00262262      0.00500682     -0.00143052 
      8.0351602     -0.00452998      0.00333787      0.00452998      -0.0011921 
      8.0357615     -0.00452998      0.00166894      0.00309946      -0.0011921 
      8.0363644     -0.00452998     0.000715259      0.00333787    -0.000953682 
      8.0370577     -0.00357629     0.000953682      0.00500682    -0.000715259 
      8.0377528     -0.00596049     0.000953682       0.0023842     -0.00190736 
