> Measurement made Fri Oct 13 11:37:08 2023
> Main magnet sweep 12.00000 to  6.00000 Tesla at  5.999 mT/s 
> Hysteresis correction (approximate) has been applied. 
> Main Magnet at 11.00173 T 
> ITC set at   10.000 K, T1: 289.500 K, T2: 509.100 K, T3: 324.100 K 
> For Cernox1 3.928000 Ohm corresponds to T = 999.000000 K at 0 T 
> LockIn1:   5 mV, Mod Freq 39600.000000 Hz, Phase -130.490000 degr, Ampl. 0.080000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Normal .
> LockIn2:   5 mV, Mod Freq 39599.900000 Hz, Phase 50.590000 degr, Ampl. 0.010000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Normal .
> Modulation: 11.784700 mA 
> Source Freq 240.000 GHz (dial 15.00), LO Freq 234.000 GHz (dial 3760) 
> Martin Pupplet setting 7.0 mm, Attenuator Grid 15 dB
> Source attn 10 dB, Diode reading (-20dB) 0.4 mV
> Reference attn 5 dB, Diode reading (-30dB) 10 mV
Field  Signal1_X  Signal2_X    Signal1_Y   Signal2_Y    
T  mV mV mV mV 
YmnSn 290K perpendicular 240 GHz
-
-
-

>BEGIN
      11.999987      0.00429156     -0.00309946     -0.00524524      -0.0011921 
       11.99995      0.00452998     -0.00262262     -0.00619891     -0.00262262 
      11.999889      0.00405314      -0.0023842     -0.00548366     -0.00309946 
      11.999806      0.00357629      -0.0011921     -0.00381473     -0.00286104 
        11.9997      0.00452998    -0.000953682     -0.00333787     -0.00166894 
      11.999572      0.00500682     -0.00166894     -0.00405314    -0.000715259 
      11.999424      0.00500682     -0.00214578     -0.00405314               0 
      11.999256      0.00596049      -0.0023842     -0.00405314     0.000476841 
      11.999068      0.00524524     -0.00286104     -0.00405314     0.000715259 
      11.998862       0.0047684     -0.00286104     -0.00333787      0.00143052 
      11.998637      0.00548366     -0.00286104     -0.00357629      0.00166894 
      11.998396      0.00596049     -0.00309946     -0.00405314     0.000953682 
      11.998137      0.00524524      -0.0023842     -0.00452998               0 
      11.997861      0.00596049     -0.00143052     -0.00500682    -0.000715259 
       11.99757      0.00524524    -0.000953682     -0.00452998    -0.000953682 
      11.997264      0.00333787      -0.0011921      -0.0023842      -0.0011921 
