> Measurement made Fri Oct 13 12:22:17 2023
> Main magnet sweep  8.00000 to 11.00000 Tesla at  5.999 mT/s 
> Hysteresis correction (approximate) has been applied. 
> Main Magnet at  6.00182 T 
> ITC set at   10.000 K, T1: 289.400 K, T2: 509.100 K, T3: 324.100 K 
> For Cernox1 6.833000 Ohm corresponds to T = 999.000000 K at 0 T 
> LockIn1:   5 mV, Mod Freq 39600.000000 Hz, Phase -130.490000 degr, Ampl. 0.080000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Normal .
> LockIn2:   5 mV, Mod Freq 39599.900000 Hz, Phase 50.590000 degr, Ampl. 0.010000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Normal .
> Modulation: 11.778800 mA 
Modulation phase corrections made: LockIn1  -70.0 degr., LockIn2  -71.0 degr. 
Millimeter phase correction (abs and disp)    0.0 degr. 
> Source Freq 240.000 GHz (dial 15.00), LO Freq 234.000 GHz (dial 3760) 
> Martin Pupplet setting 7.0 mm, Attenuator Grid 15 dB
> Source attn 10 dB, Diode reading (-20dB) 0.4 mV
> Reference attn 5 dB, Diode reading (-30dB) 10 mV
Field  Signal1_X  Signal2_X    Signal1_Y   Signal2_Y    
T  mV mV mV mV 
YmnSn 290K perpendicular 240 GHz take 2
-
-
-

>BEGIN
      8.0000126  -0.00014332082    0.0045713621   -0.0024850481   -0.0028348358 
      8.0000497    0.0018532844    0.0063747969    -0.001181984   -0.0034558082 
      8.0001105    0.0023219596    0.0049446012  -0.00059140291   -0.0032155103 
      8.0001943    0.0014249707    0.0028306785   -0.0030558596     -0.00349626 
      8.0003003    0.0012009292    0.0010123508   -0.0029743151   -0.0043831177 
      8.0004278  -0.00083603624   0.00041368764   -0.0029940841   -0.0039248023 
       8.000576   -0.0019562457    0.0025201939   -0.0025863612   -0.0043979727 
      8.0007442   -0.0014266173    0.0031964761   -0.0025254089   -0.0046308353 
      8.0009318   -0.0015897027    0.0032113435   -0.0029734826   -0.0031230176 
      8.0011381   -0.0028532346    0.0043459315   -0.0050508179   -0.0027572138 
      8.0013625   -0.0039124842    0.0042683096   -0.0051727144   -0.0029826444 
      8.0016044   -0.0036274901    0.0047191706   -0.0057838864   -0.0031378883 
      8.0018633   -0.0016926618    0.0040280083   -0.0067418275   -0.0044128496 
      8.0021385   0.00060869751    0.0036473371   -0.0080868963   -0.0047860792 
      8.0024295    0.0015254648    0.0040354437   -0.0076594085    -0.003658936 
      8.0027358    0.0012198882    0.0042683096    -0.007801909   -0.0029826444 
      8.0030569  -0.00047031704    0.0035845826   -0.0061718396   -0.0035036921 
      8.0033922   -0.0009991217    0.0035845826   -0.0034421578   -0.0035036921 
      8.0037414   0.00050821285     0.004042879   -0.0034833508   -0.0029050224 
      8.0041039   0.00069107074    0.0034516538   -0.0050722332   -0.0016928166 
      8.0044793  -0.00099994451    0.0025499222   -0.0062327922   -0.0013823255 
      8.0048672   -0.0016720681    0.0015557078   -0.0059881592   -0.0028050944 
      8.0052672   -0.0015699362    0.0023021765   -0.0050104578   -0.0035664401 
      8.0056788  -0.00055103961    0.0032815301   -0.0036052463   -0.0036515007 
      8.0061016   0.00075284618    0.0039578217   -0.0028112262   -0.0038843665 
      8.0065354   0.00067130173    0.0029008556   -0.0030352678   -0.0040247398 
      8.0069797  -0.00030640971   0.00093473208   -0.0029331312   -0.0046085388 
      8.0074342  -0.00030640971   0.00093473208   -0.0029331312   -0.0046085388 
      8.0078985    0.0015468794    0.0018364448   -0.0041151051   -0.0049190233 
      8.0083723    0.0032782555    0.0018364448   -0.0042378426   -0.0049190233 
      8.0088553    0.0032378947     0.001696081   -0.0029545461   -0.0038620605 
      8.0093472    0.0017313798    0.0016333297  -0.00012272713   -0.0025796639 
      8.0098477    0.0016704275    0.0023872433   0.00040690128   -0.0025870992 
      8.0103565    0.0026687292    0.0033740325    0.0010584321   -0.0019182453 
      8.0108734    0.0028515874    0.0033591521  -0.00053044934   -0.0034260701 
      8.0113304    0.0008146235    0.0022873248  -0.00055021997   -0.0050742738 
      8.0117932  -0.00048926666    0.0017513875   -0.0013442491   -0.0058983674 
      8.0123307   0.00081379881     0.001991692   -0.0033408537   -0.0044681528 
      8.0128096    0.0024224502     0.001773703   -0.0051949613     -0.00363663 
      8.0133602    0.0029108941    0.0023797985   -0.0066413466   -0.0033410096 
      8.0139175    0.0022997222    0.0027679083   -0.0069263408   -0.0022138569 
      8.0144812   0.00028334852    0.0021618127   -0.0061924408   -0.0025094773 
       8.015051  -0.00042913684   0.00064655026    -0.004664511   -0.0032485202 
      8.0156964   -0.0008772208   0.00064655026   -0.0045014218   -0.0032485202 
      8.0162788  -0.00093817155    0.0021618127    -0.003971795   -0.0025094773 
      8.0168667    0.0015468794    0.0032889654   -0.0041151051   -0.0028975871 
        8.01746    0.0021580385    0.0038876351    -0.003830117   -0.0033558835 
      8.0180586   0.00058975729    0.0041832523   -0.0032593093   -0.0039619885 
      8.0186622    0.0002232187    0.0029859224   -0.0028721789   -0.0030453989 
      8.0192706  -0.00050985847    0.0016333297   -0.0020979181   -0.0025796639 
      8.0198838  -0.00032617845    0.0023797985  -0.00089616794   -0.0033410096 
      8.0205015  -0.00083521283    0.0023723632  -0.00020345098   -0.0040949231 
      8.0211237  -0.00024463299    0.0018364448   -0.0006721236   -0.0049190233 
      8.0217501    0.0013640181    0.0003988137   -0.0025262321   -0.0054326389 
      8.0223806    0.0018730538    0.0016184623   -0.0032189485   -0.0040874816 
       8.023015    0.0014043789    0.0035069606   -0.0038095286   -0.0037291226 
      8.0236534    0.0013022427    0.0050998444   -0.0047872391   -0.0027646511 
      8.0242954     0.001465335    0.0038174485   -0.0043391466   -0.0028274005 
       8.024941    0.0028301724    0.0020065688   -0.0040747537   -0.0029603384 
      8.0255901    0.0039915636    0.0014780858   -0.0029751379    -0.003030525 
      8.0262426    0.0040121558    0.0020693139    -0.002221468   -0.0042427223 
      8.0268983   0.00079402912    0.0029636069   -0.0013038902   -0.0053071364 
      8.0275571   4.0361756e-05    0.0042608742   -0.0012832968    -0.003736558 
       8.028219  -0.00046949517    0.0038174485   -0.0033812048   -0.0028274005 
      8.0288838   -0.0019158839    0.0033517167    -0.003869658   -0.0041799837 
      8.0294712   -0.0016308889    0.0036473371   -0.0044808303   -0.0047860792 
      8.0301412  -0.00059222572    0.0031262862    -0.005112594   -0.0041023617 
       8.030814   -0.0019364748    0.0032889654   -0.0046233274   -0.0028975871 
      8.0314892   -0.0014266173    0.0035920179   -0.0025254089   -0.0027497785 
       8.032167   -0.0016910187    0.0024574205   -0.0011605684    -0.003115579 
      8.0328472   -0.0013450728    0.0019289469   -0.0023013674   -0.0031857689 
      8.0334422   0.00075284618    0.0035845826   -0.0028112262   -0.0035036921 
      8.0341267    0.0030336256    0.0019991335   -0.0049099577   -0.0037142519 
      8.0349013    0.0033186163  -3.7173441e-05    -0.005521139   -0.0037695584 
      8.0355903    0.0032782555   -0.0011494597   -0.0042378426   -0.0018736306 
      8.0362814    0.0021176871   0.00013293696   -0.0025468239   -0.0018108793 
      8.0369744  -0.00014332082    0.0023170567   -0.0024850481   -0.0020586162 
      8.0376693  -0.00044808397    0.0033591521   0.00016308923   -0.0034260701 
       8.038366   0.00032617845    0.0037323912   0.00089616794   -0.0038067446 
      8.0390645    0.0009974795     0.002745615   -0.0021391017   -0.0044755914 
      8.0397647   0.00093570065    0.0035845826   -0.0044001181   -0.0035036921 
      8.0404666    6.012982e-05    0.0047340413   -0.0033202619   -0.0016300611 
        8.04117   0.00042667183    0.0036068981   -0.0037073829   -0.0012419546 
       8.041875    0.0028499414    0.0012600906   -0.0061117191   -0.0021989894 
      8.0425815    0.0014645215    0.0019289469   -0.0071297845   -0.0031857689 
      8.0432895   -0.0016720681    0.0044788694   -0.0059881592   -0.0045680935 
      8.0439988   -0.0017124333    0.0057612566   -0.0047048718    -0.004505339 
      8.0447095   0.00093570065     0.005084965   -0.0044001181   -0.0042724731 
      8.0454215    0.0011795052    0.0044161181   -0.0065186151   -0.0032856969 
      8.0461348   0.00034430457    0.0041906876   -0.0067220589   -0.0032080749 
      8.0468493   0.00064989053    0.0044161181   -0.0065795618   -0.0032856969 
      8.0475649    0.0002825129    0.0041906876   -0.0089830812   -0.0032080749 
      8.0482817   0.00050655441    0.0033517167   -0.0090646256   -0.0041799837 
      8.0489996       0.0011581     0.002745615    -0.010062922   -0.0044755914 
      8.0497186    0.0027675708    0.0035845826   -0.0091264045   -0.0035036921 
      8.0503464    0.0018112689    0.0035069606    -0.005479952   -0.0037291226 
      8.0510673   -0.0010394859    0.0034995253   -0.0021588707   -0.0044830362 
      8.0517891    -0.001935652    0.0020693139   -0.0018326929   -0.0042427223 
      8.0524193   -0.0012025748    0.0019289469   -0.0026069537   -0.0031857689 
      8.0531429   -0.0024455123    0.0031964761   -0.0039306103   -0.0046308353 
      8.0538673   -0.0029545461     0.003414468   -0.0032378947   -0.0054623803 
      8.0545926   -0.0020377867    0.0030412256   -0.0028103934   -0.0050817153 
      8.0553187    -0.001528756    0.0028232337   -0.0035031292   -0.0042501703 
      8.0560456  -0.00079567636    0.0019215115   -0.0042773802   -0.0039396825 
      8.0567733   0.00012108587    0.0010974113     -0.00384988   -0.0034037641 
       8.057595   0.00071165913   0.00080179418   -0.0043185736   -0.0027976591 
      8.0582308     0.001994953   0.00057636364   -0.0042781906   -0.0027200371 
      8.0589606   0.00085415962    0.0010346601   -0.0046241502   -0.0021213675 
      8.0596911   0.00063011811    0.0029157169   -0.0045426057   -0.0025169094 
      8.0604222   1.8946194e-05    0.0039726917   -0.0048275999   -0.0023765413 
       8.061154   0.00036489297     0.004120501   -0.0059683993   -0.0026795919 
      8.0618864  -0.00067377016    0.0029231525   -0.0053366355   -0.0017629948 
      8.0625313   -0.0008978098    0.0023170567   -0.0052550918   -0.0020586162 
      8.0632647  -0.00030723158    0.0023797985   -0.0057237659   -0.0033410096 
      8.0639987    0.0026053081    0.0023723632   -0.0067838437   -0.0040949231 
      8.0647333    0.0050088027    0.0030560996   -0.0071512017   -0.0035738787 
      8.0654683    0.0031958882    0.0027530565   -0.0072525185   -0.0037216905 
      8.0662038   0.00044643741    0.0011676012   -0.0057443577   -0.0039322377 
      8.0669398   -0.0012429347   0.00085711012   -0.0013236576   -0.0048339693 
      8.0676763   -0.0030962204     0.002745615  -0.00014167426   -0.0044755914 
      8.0684132   -0.0027502736    0.0034442094   -0.0012824736    -0.002446726 
      8.0691505  -0.00079485261    0.0043608022   -0.0014867462   -0.0012493867 
      8.0698883  -0.00073389998    0.0035292761   -0.0020163736   -0.0014673851 
      8.0706265     0.001669604    0.0029231525    -0.002383735   -0.0017629948 
       8.071365    0.0025245959    0.0031560181   -0.0042172542   -0.0010867042 
       8.072104   0.00018203508    0.0024723009   -0.0043795168   -0.0016077542 
      8.0728433   -0.0024455123    0.0023872433   -0.0039306103   -0.0025870992 
      8.0735829   -0.0016712472     0.002682851   -0.0031975241    -0.003193201 
      8.0743229    0.0010987964    0.0022245546   -0.0039520162   -0.0037918706 
      8.0750632    0.0017503163    0.0029008556   -0.0049503245   -0.0040247398 
      8.0758039    0.0031357584    0.0044161181   -0.0039322566   -0.0032856969 
      8.0765448    0.0030138625    0.0041130656   -0.0028730051   -0.0034335055 
      8.0772861    0.0010378403    0.0041906876   -0.0034223982   -0.0032080749 
      8.0779327  -0.00081544443    0.0044161181   -0.0022404151   -0.0032856969 
      8.0786745   -0.0019554213    0.0035845826   0.00020427157   -0.0035036921 
      8.0794165  -0.00073307871     0.003436774   0.00077426242   -0.0032006396 
      8.0801588   0.00028499474    0.0027679083   -0.0006111732   -0.0022138569 
      8.0808123  -0.00065235554    0.0031485831   -0.0017923321   -0.0018406168 
      8.0815551  -0.00046949517    0.0036696399   -0.0033812048    -0.002524348 
      8.0822981  -0.00010295565    0.0035920179   -0.0037683355   -0.0027497785 
      8.0830413    0.0018121011    0.0034442094    -0.002689321    -0.002446726 
      8.0837848    0.0019142367    0.0034442094   -0.0017116124    -0.002446726 
      8.0845285   0.00048844573    0.0027679083    -0.001446386   -0.0022138569 
      8.0852724  -0.00040854656    0.0049446012   -0.0039108521   -0.0032155103 
      8.0860165   0.00036489297    0.0053029602   -0.0059683993   -0.0051040086 
      8.0867607  -0.00097935424    0.0046968584   -0.0054791333   -0.0053996163 
      8.0875052   -0.0028935935    0.0044012475   -0.0037675221    -0.004793524 
      8.0882499   -0.0027107312    0.0034293387   -0.0053563955   -0.0039545532 
      8.0888993    -0.001835157     0.002605229   -0.0064362422   -0.0034186315 
      8.0896443  -0.00059222572    0.0030560996    -0.005112594   -0.0035738787 
      8.0903894  -0.00077507925    0.0021618127   -0.0035237025   -0.0025094773 
      8.0911347   -0.0012025748   0.00087941614   -0.0026069537   -0.0025722286 
      8.0918802  -8.2093031e-07     0.001112282   -0.0027906351   -0.0018959369 
