> Measurement made Sat Oct 14 12:49:07 2023
> Main magnet sweep  7.50000 to 12.00000 Tesla at  5.999 mT/s 
> Hysteresis correction (approximate) has been applied. 
> Main Magnet at  7.50000 T 
> ITC set at    5.000 K, T1:   5.000 K, T2: 509.100 K, T3: 324.100 K 
> For Cernox1 16.915000 Ohm corresponds to T = 999.000000 K at 0 T 
> LockIn1:   2 mV, Mod Freq 39600.000000 Hz, Phase 159.510000 degr, Ampl. 0.080000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Normal .
> LockIn2:   2 mV, Mod Freq 39599.900000 Hz, Phase -20.410000 degr, Ampl. 0.010000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Normal .
> Modulation: 14.912600 mA 
> Source Freq 240.000 GHz (dial 15.00), LO Freq 235.92 GHz (dial 6150) 
> Martin Pupplet setting 7.0 mm, Attenuator Grid 15 dB
> Source attn 10 dB, Diode reading (-20dB) 0.25 mV
> Reference attn 5 dB, Diode reading (-30dB) 11 mV
Field  Signal1_X  Signal2_X    Signal1_Y   Signal2_Y    
T  mV mV mV mV 
YmnSn 5K perpendicular 240 GHz 
-
-
-

>BEGIN
      7.5000126    -0.000953682     -0.00417235      0.00834471     -0.00977522 
      7.5000497     -0.00154973      -0.0047684      0.00739101      -0.0101328 
      7.5001105     -0.00023842     -0.00464919      0.00786787     -0.00989443 
      7.5001943    -0.000953682     -0.00441077      0.00631812      -0.0104905 
      7.5003003     0.000715259      -0.0047684      0.00619891      -0.0106097 
      7.5004278      0.00226499      -0.0047684      0.00655654      -0.0101328 
      7.5005559      0.00143052      -0.0047684      0.00762945     -0.00989443 
      7.5007216       0.0011921     -0.00381473      0.00596049     -0.00905996 
      7.5008819      0.00107289     -0.00321867      0.00452998     -0.00834471 
      7.5010835      0.00059605     -0.00393394      0.00584128     -0.00798708 
      7.5013034     -0.00262262     -0.00429156      0.00751021     -0.00751021 
      7.5015409     -0.00274183     -0.00405314      0.00762945     -0.00762945 
      7.5017955     -0.00011921     -0.00381473      0.00739101     -0.00894075 
      7.5020665     -0.00011921     -0.00441077      0.00643733     -0.00941759 
      7.5023535     -0.00166894      -0.0047684      0.00655654     -0.00882155 
      7.5026189     -0.00178815      -0.0047684      0.00643733     -0.00905996 
      7.5029345    -0.000715259     -0.00500682      0.00500682     -0.00977522 
      7.5032645    -0.000476841     -0.00548366      0.00357629      -0.0112057 
      7.5036085     -0.00131131     -0.00512603      0.00393394      -0.0116826 
      7.5039661     -0.00190736     -0.00500682      0.00524524      -0.0106097 
      7.5043367     -0.00059605     -0.00464919      0.00715259     -0.00989443 
      7.5047199     -0.00107289     -0.00452998      0.00739101     -0.00917917 
      7.5051154     -0.00190736     -0.00393394      0.00679496     -0.00905996 
      7.5055227      0.00023842     -0.00417235      0.00548366      -0.0095368 
      7.5059414      0.00023842     -0.00441077      0.00536445      -0.0101328 
      7.5063711     -0.00035763      -0.0047684      0.00536445     -0.00977522 
      7.5068114     -0.00107289     -0.00524524      0.00536445     -0.00905996 
      7.5072621     -0.00166894     -0.00524524      0.00417235     -0.00846392 
      7.5077228     -0.00143052     -0.00500682      0.00286104      -0.0082255 
      7.5081931    -0.000476841     -0.00500682      0.00190736     -0.00858313 
      7.5086727      0.00023842     -0.00441077      0.00381473     -0.00882155 
      7.5091613     -0.00035763     -0.00429156      0.00584128     -0.00989443 
      7.5096586     -0.00107289     -0.00441077      0.00667575      -0.0108481 
      7.5101643    -0.000834469     -0.00429156      0.00572208      -0.0100136 
      7.5106781     -0.00166894     -0.00417235      0.00596049      -0.0095368 
      7.5111998     -0.00357629      -0.0047684      0.00572208     -0.00929838 
      7.5117292     -0.00166894     -0.00524524      0.00560287      -0.0095368 
      7.5122658    -0.000953682     -0.00512603      0.00691417     -0.00989443 
      7.5128096     -0.00035763     -0.00500682      0.00739101      -0.0102521 
      7.5133602      0.00298025     -0.00500682      0.00739101      -0.0108481 
      7.5139175      0.00512603      -0.0047684      0.00703338      -0.0106097 
      7.5144812      0.00405314     -0.00441077      0.00751021     -0.00929838 
       7.515051       0.0023842     -0.00357629      0.00739101     -0.00846392 
      7.5156269      0.00059605     -0.00393394      0.00548366     -0.00894075 
      7.5162086      0.00035763     -0.00345708      0.00417235      -0.0104905 
      7.5167204               0     -0.00333787      0.00393394      -0.0110865 
      7.5173124     -0.00023842     -0.00429156      0.00298025      -0.0109673 
      7.5179097    -0.000476841     -0.00452998      0.00250341      -0.0104905 
       7.518512    -0.000953682     -0.00405314      0.00226499      -0.0102521 
      7.5190462    -0.000834469     -0.00357629      0.00345708     -0.00929838 
      7.5195791     -0.00107289     -0.00298025      0.00548366     -0.00846392 
      7.5201156    -0.000953682     -0.00166894      0.00512603      -0.0082255 
       7.520735    -0.000715259     -0.00143052      0.00464919     -0.00762945 
      7.5212836     -0.00011921     -0.00202657       0.0047684     -0.00810629 
      7.5219111      0.00035763     -0.00274183      0.00584128     -0.00846392 
      7.5225426      0.00059605     -0.00333787      0.00631812     -0.00882155 
      7.5231781      0.00035763     -0.00393394      0.00774866      -0.0095368 
      7.5238174     -0.00023842     -0.00452998      0.00810629     -0.00965601 
      7.5244603     -0.00035763      -0.0047684      0.00655654     -0.00917917 
      7.5250239      0.00023842      -0.0047684      0.00631812      -0.0100136 
      7.5257568    -0.000715259     -0.00429156       0.0060797      -0.0103713 
      7.5264101    -0.000834469     -0.00321867      0.00584128      -0.0102521 
      7.5270667    -0.000834469     -0.00333787      0.00417235      -0.0106097 
      7.5276417               0     -0.00393394      0.00441077      -0.0115634 
       7.528219               0     -0.00429156      0.00524524      -0.0116826 
      7.5288838     0.000834469      -0.0047684      0.00715259      -0.0106097 
      7.5294712      0.00333787     -0.00452998      0.00703338     -0.00917917 
      7.5300553      0.00298025     -0.00381473      0.00536445      -0.0082255 
      7.5306469      0.00131131     -0.00298025      0.00417235     -0.00834471 
       7.531235      0.00023842     -0.00298025      0.00441077      -0.0095368 
      7.5319119     -0.00023842     -0.00309946      0.00619891     -0.00989443 
      7.5325912     -0.00178815     -0.00357629      0.00846392     -0.00965601 
      7.5331854     -0.00214578     -0.00321867       0.0082255     -0.00929838 
       7.533869     -0.00143052     -0.00381473      0.00679496      -0.0095368 
      7.5345549     -0.00107289     -0.00357629      0.00560287      -0.0103713 
      7.5352428     0.000953682     -0.00250341      0.00560287      -0.0101328 
      7.5359328      0.00202657     -0.00262262      0.00429156     -0.00977522 
      7.5366249      0.00190736     -0.00202657      0.00429156     -0.00989443 
      7.5373188      0.00154973     -0.00250341      0.00488761      -0.0108481 
      7.5380146      0.00286104     -0.00286104      0.00524524      -0.0114442 
      7.5387122      0.00202657     -0.00381473       0.0060797      -0.0109673 
      7.5394116    -0.000476841     -0.00417235      0.00691417      -0.0100136 
      7.5401126      0.00011921     -0.00441077      0.00691417     -0.00917917 
      7.5408153      0.00035763     -0.00464919      0.00691417     -0.00905996 
      7.5415195      0.00023842     -0.00429156      0.00560287     -0.00929838 
      7.5422253      0.00154973      -0.0036955      0.00536445     -0.00870234 
      7.5429325      0.00214578     -0.00381473      0.00381473     -0.00941759 
       7.543556      0.00321867     -0.00452998      0.00202657      -0.0103713 
      7.5443512      0.00250341     -0.00464919       0.0023842      -0.0109673 
      7.5449771      0.00143052     -0.00405314      0.00286104      -0.0112057 
      7.5456896      0.00131131     -0.00381473      0.00405314      -0.0107289 
      7.5464033      0.00214578     -0.00333787      0.00452998      -0.0103713 
      7.5471182      0.00286104     -0.00274183      0.00393394      -0.0108481 
      7.5478343      0.00333787     -0.00333787      0.00572208      -0.0106097 
      7.5485515      0.00226499     -0.00429156       0.0082255      -0.0104905 
      7.5492699      0.00178815     -0.00357629      0.00762945     -0.00989443 
      7.5499892      0.00381473      -0.0036955       0.0072718     -0.00917917 
      7.5506173      0.00464919     -0.00393394      0.00691417     -0.00965601 
      7.5512462      0.00393394     -0.00429156      0.00619891     -0.00977522 
      7.5519683      0.00131131     -0.00500682      0.00548366      -0.0102521 
      7.5526913      0.00011921     -0.00524524      0.00452998      -0.0110865 
      7.5533283     0.000834469     -0.00524524      0.00452998      -0.0113249 
      7.5540529      0.00011921     -0.00548366      0.00500682      -0.0116826 
      7.5547784     -0.00035763     -0.00596049      0.00655654       -0.012517 
      7.5554117    -0.000715259     -0.00524524      0.00643733      -0.0120402 
      7.5561387      0.00059605     -0.00464919      0.00417235      -0.0108481 
      7.5568665      0.00131131     -0.00429156      0.00262262      -0.0102521 
       7.557595      0.00143052     -0.00405314      0.00464919     -0.00989443 
      7.5583242      0.00011921     -0.00357629      0.00619891     -0.00917917 
      7.5590541    -0.000834469     -0.00333787      0.00715259     -0.00941759 
      7.5597847    -0.000953682     -0.00357629      0.00810629     -0.00977522 
      7.5605159     -0.00059605     -0.00333787      0.00703338     -0.00965601 
      7.5611598      0.00178815     -0.00321867      0.00596049      -0.0095368 
      7.5618922      0.00298025     -0.00345708      0.00572208     -0.00941759 
      7.5625313      0.00286104     -0.00393394      0.00429156      -0.0100136 
