> Measurement made Sat Oct 14 00:00:47 2023
> Main magnet sweep  8.00000 to 11.50000 Tesla at  5.999 mT/s 
> Hysteresis correction (approximate) has been applied. 
> Main Magnet at  8.00000 T 
> ITC set at   60.000 K, T1:  59.980 K, T2: 509.100 K, T3: 324.100 K 
> For Cernox1 33.215000 Ohm corresponds to T = 999.000000 K at 0 T 
> LockIn1:   5 mV, Mod Freq 39600.000000 Hz, Phase 159.510000 degr, Ampl. 0.080000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Normal .
> LockIn2:   5 mV, Mod Freq 39599.900000 Hz, Phase -20.410000 degr, Ampl. 0.010000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Normal .
> Modulation: 13.073700 mA 
> Source Freq 240.000 GHz (dial 15.00), LO Freq 235.92 GHz (dial 6150) 
> Martin Pupplet setting 7.0 mm, Attenuator Grid 15 dB
> Source attn 10 dB, Diode reading (-20dB) 0.25 mV
> Reference attn 5 dB, Diode reading (-30dB) 11 mV
Field  Signal1_X  Signal2_X    Signal1_Y   Signal2_Y    
T  mV mV mV mV 
YmnSn 60K perpendicular 240 GHz 
-
-
-

>BEGIN
       11.49999      0.00870234     -0.00393394               0      0.00202657 
      11.499956      0.00977522     -0.00286104      0.00011921      0.00178815 
      11.499899       0.0104905     -0.00333787     -0.00059605     0.000834469 
      11.499818       0.0107289     -0.00345708     0.000953682     0.000834469 
      11.499728       0.0108481     -0.00214578      0.00178815               0 
      11.499623      0.00917917     -0.00190736      0.00202657    -0.000834469 
      11.499501      0.00774866     -0.00178815      0.00321867    -0.000476841 
      11.499343      0.00751021     -0.00166894      0.00286104    -0.000834469 
      11.499165       0.0082255     -0.00202657      0.00011921     -0.00166894 
      11.498968       0.0102521     -0.00107289      0.00023842     -0.00143052 
      11.498753      0.00905996     -0.00166894       0.0011921     -0.00178815 
      11.498549      0.00905996     -0.00274183               0     -0.00190736 
        11.4983       0.0101328     -0.00357629    -0.000834469      -0.0023842 
      11.498035       0.0103713      -0.0047684     -0.00214578     -0.00298025 
      11.497791      0.00905996     -0.00560287     -0.00262262     -0.00202657 
      11.497496      0.00751021     -0.00500682     -0.00143052     -0.00166894 
      11.497226      0.00643733     -0.00417235     -0.00023842    -0.000953682 
      11.496943      0.00584128     -0.00309946      0.00190736      0.00011921 
      11.496651      0.00751021     -0.00250341      0.00274183       0.0011921 
      11.496304      0.00894075     -0.00274183       0.0036955      0.00011921 
      11.495943      0.00941759     -0.00190736      0.00131131     -0.00178815 
      11.495615      0.00882155     -0.00166894    -0.000715259     -0.00202657 
       11.49523      0.00834471     -0.00274183    -0.000834469      -0.0011921 
