> Measurement made Fri Oct 13 23:11:47 2023
> Main magnet sweep  8.00000 to 11.50000 Tesla at  5.999 mT/s 
> Hysteresis correction (approximate) has been applied. 
> Main Magnet at  8.00000 T 
> ITC set at   80.000 K, T1:  79.960 K, T2: 509.100 K, T3: 324.100 K 
> For Cernox1 11.144000 Ohm corresponds to T = 999.000000 K at 0 T 
> LockIn1:   5 mV, Mod Freq 39600.000000 Hz, Phase 159.510000 degr, Ampl. 0.080000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Normal .
> LockIn2:   5 mV, Mod Freq 39599.900000 Hz, Phase -20.410000 degr, Ampl. 0.010000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Normal .
> Modulation: 12.280500 mA 
> Source Freq 240.000 GHz (dial 15.00), LO Freq 234.000 GHz (dial 3760) 
> Martin Pupplet setting 7.0 mm, Attenuator Grid 15 dB
> Source attn 10 dB, Diode reading (-20dB) 0.4 mV
> Reference attn 5 dB, Diode reading (-30dB) 10 mV
Field  Signal1_X  Signal2_X    Signal1_Y   Signal2_Y    
T  mV mV mV mV 
YmnSn 80K perpendicular 240 GHz 
-
-
-

>BEGIN
      11.499987       0.0114442      -0.0133515      0.00762945     -0.00405314 
       11.49995       0.0114442       -0.011921      0.00762945     -0.00452998 
      11.499898       0.0114442       -0.011921       0.0095368     -0.00381473 
      11.499817      0.00929838      -0.0135899      0.00977522     -0.00357629 
      11.499728      0.00977522      -0.0135899      0.00929838     -0.00452998 
      11.499623       0.0126362      -0.0123978      0.00882155     -0.00548366 
      11.499482       0.0138283      -0.0116826      0.00905996     -0.00619891 
      11.499342        0.014782      -0.0107289      0.00762945     -0.00619891 
      11.499188       0.0150204      -0.0107289      0.00643733     -0.00500682 
      11.498993       0.0135899      -0.0116826      0.00739101     -0.00429156 
       11.49878        0.011921      -0.0128747      0.00762945     -0.00452998 
      11.498577       0.0126362      -0.0133515      0.00715259     -0.00452998 
      11.498331       0.0135899      -0.0133515      0.00548366      -0.0047684 
      11.498068        0.014782      -0.0128747      0.00452998     -0.00524524 
      11.497788       0.0140668      -0.0116826      0.00429156     -0.00452998 
