> Measurement made Fri Oct 13 23:11:47 2023
> Main magnet sweep  8.00000 to 11.50000 Tesla at  5.999 mT/s 
> Hysteresis correction (approximate) has been applied. 
> Main Magnet at  8.00000 T 
> ITC set at   80.000 K, T1:  79.960 K, T2: 509.100 K, T3: 324.100 K 
> For Cernox1 11.144000 Ohm corresponds to T = 999.000000 K at 0 T 
> LockIn1:   5 mV, Mod Freq 39600.000000 Hz, Phase 159.510000 degr, Ampl. 0.080000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Normal .
> LockIn2:   5 mV, Mod Freq 39599.900000 Hz, Phase -20.410000 degr, Ampl. 0.010000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Normal .
> Modulation: 12.280500 mA 
> Source Freq 240.000 GHz (dial 15.00), LO Freq 234.000 GHz (dial 3760) 
> Martin Pupplet setting 7.0 mm, Attenuator Grid 15 dB
> Source attn 10 dB, Diode reading (-20dB) 0.4 mV
> Reference attn 5 dB, Diode reading (-30dB) 10 mV
Field  Signal1_X  Signal2_X    Signal1_Y   Signal2_Y    
T  mV mV mV mV 
YmnSn 80K perpendicular 240 GHz 
-
-
-

>BEGIN
      8.0000096      0.00762945     -0.00929838      0.00214578     -0.00286104 
      8.0000379      0.00619891     -0.00977522      0.00143052     -0.00286104 
      8.0000927      0.00500682     -0.00905996      0.00143052     -0.00309946 
      8.0001707      0.00572208     -0.00882155      0.00143052     -0.00405314 
      8.0002579      0.00786787     -0.00834471      0.00309946     -0.00381473 
      8.0003774      0.00858313     -0.00810629      0.00381473     -0.00357629 
      8.0004987       0.0095368     -0.00882155      0.00381473     -0.00381473 
      8.0006369       0.0107289     -0.00905996      0.00309946     -0.00357629 
      8.0008125       0.0109673      -0.0095368      0.00429156     -0.00333787 
      8.0009812      0.00810629     -0.00834471      0.00596049      -0.0023842 
      8.0011641      0.00715259     -0.00739101      0.00596049     -0.00166894 
      8.0013906      0.00762945     -0.00691417       0.0047684      -0.0023842 
      8.0016346      0.00643733     -0.00739101      0.00429156      -0.0023842 
      8.0018955      0.00596049     -0.00810629      0.00524524      -0.0023842 
