> Measurement made Mon Oct  2 17:20:15 2023
> Main magnet sweep  7.00000 to  0.00000 Tesla at  5.999 mT/s 
> Hysteresis correction (approximate) has been applied. 
> Main Magnet at  7.00000 T 
> ITC set at   10.000 K, T1:  10.055 K, T2: 509.100 K, T3: 324.100 K 
> For Cernox1 385.520900 Ohm corresponds to T = 10.352255 K at 0 T 
> LockIn1:   1 mV, Mod Freq 39260.000000 Hz, Phase -3.020000 degr, Ampl. 0.080000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Normal .
> LockIn2:   1 mV, Mod Freq 39260.600000 Hz, Phase 178.460000 degr, Ampl. 0.010000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Normal .
> Modulation: 22.104200 mA 
> Source Freq 120 GHz (dial 15.00), LO Freq 115.74 GHz (dial 5225) 
> Martin Pupplet setting 6.6 mm, Attenuator Grid -20 dB
> Source attn 10 dB, Diode reading (-20dB) 0.3 mV
> Reference attn 10 dB, Diode reading (-30dB) 11 mV
Field  Signal1_X  Signal2_X    Signal1_Y   Signal2_Y    
T  mV mV mV mV 
YMn6Sn6
Mounted perpendicular
120 G, 10K, coooled in zero field, Mod ~8G
-
-
-

>BEGIN
      6.9999874      -0.0867848       -0.145019       0.0351074       0.0371339 
      6.9999503      -0.0863676       -0.143946       0.0345113       0.0360014 
      6.9998895      -0.0862484       -0.142635        0.033498       0.0356438 
      6.9998057        -0.08601       -0.141383       0.0328424       0.0360014 
      6.9996997      -0.0859504       -0.141383       0.0329616       0.0361803 
      6.9995722       -0.086308       -0.141562       0.0339749       0.0364783 
       6.999424      -0.0869636       -0.141622       0.0346305       0.0357034 
      6.9992558      -0.0879173       -0.141741       0.0350478       0.0361803 
      6.9990429      -0.0879173       -0.140668       0.0344517       0.0370147 
      6.9988342      -0.0882749       -0.139297       0.0347497       0.0373127 
      6.9986075      -0.0876193       -0.139476       0.0350478       0.0374319 
      6.9983634      -0.0870829       -0.139416        0.035465       0.0371935 
      6.9981024      -0.0854735       -0.139416       0.0355246       0.0368359 
      6.9978615      -0.0844006        -0.13888       0.0348093       0.0368955 
      6.9975705      -0.0848775       -0.138939       0.0337961       0.0370147 
      6.9973042      -0.0857119       -0.139595       0.0339749       0.0371935 
       6.996985      -0.0858312       -0.140131       0.0338557       0.0373127 
      6.9966515      -0.0868444        -0.14031       0.0339153       0.0367167 
       6.996304      -0.0873809       -0.139237       0.0336173        0.035167 
      6.9959432      -0.0868444       -0.139535       0.0342133       0.0350478 
      6.9955694       -0.086606       -0.139893       0.0350478       0.0349286 
      6.9951831      -0.0865464       -0.140489       0.0356438       0.0350478 
      6.9947847      -0.0857715       -0.141741       0.0361803       0.0344517 
      6.9943745      -0.0848775       -0.141204       0.0364187       0.0342729 
      6.9938984      -0.0838046       -0.140608       0.0364187       0.0352862 
      6.9935207      -0.0846391       -0.139655       0.0364187       0.0358822 
      6.9930777      -0.0849371       -0.139714       0.0358226       0.0364783 
      6.9925658      -0.0853543       -0.141383       0.0359418       0.0358822 
      6.9921015      -0.0862484       -0.142098        0.036061        0.036061 
      6.9915664      -0.0870829       -0.142933       0.0355246       0.0366571 
      6.9910822      -0.0873213       -0.141741       0.0347497       0.0366571 
      6.9905892      -0.0869636       -0.140906        0.034869       0.0361803 
      6.9901523      -0.0872617       -0.140727       0.0348093       0.0356438 
       6.989709      -0.0872617       -0.140668       0.0348093       0.0361803 
      6.9891932      -0.0867848       -0.139595       0.0349882       0.0371339 
      6.9886696      -0.0863676       -0.139416       0.0348093       0.0375512 
      6.9881384      -0.0861888        -0.14031       0.0345709       0.0355842 
       6.987665       -0.086308       -0.140191       0.0349882       0.0345113 
      6.9871203      -0.0862484       -0.140668       0.0349286       0.0336173 
