> Measurement made Mon Oct  2 22:26:55 2023
> Main magnet sweep  7.00000 to  0.00000 Tesla at  5.999 mT/s 
> Hysteresis correction (approximate) has been applied. 
> Main Magnet at  7.00000 T 
> ITC set at  175.000 K, T1: 174.990 K, T2: 509.100 K, T3: 324.100 K 
> For Cernox1 138.778000 Ohm corresponds to T = 172.600242 K at 0 T 
> LockIn1:   1 mV, Mod Freq 39260.000000 Hz, Phase -3.020000 degr, Ampl. 0.080000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Normal .
> LockIn2:   1 mV, Mod Freq 39260.600000 Hz, Phase 178.460000 degr, Ampl. 0.010000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Normal .
> Modulation: 17.743600 mA 
> Source Freq 120 GHz (dial 15.00), LO Freq 115.74 GHz (dial 5225) 
> Martin Pupplet setting 6.6 mm, Attenuator Grid -20 dB
> Source attn 10 dB, Diode reading (-20dB) 0.3 mV
> Reference attn 10 dB, Diode reading (-30dB) 11 mV
Field  Signal1_X  Signal2_X    Signal1_Y   Signal2_Y    
T  mV mV mV mV 
YMn6Sn6
Mounted perpendicular
120 G, 175K, coooled in zero field, Mod ~8G
-
-
-

>BEGIN
      6.9999903      0.00631812      0.00625852       0.0243188     0.000178815 
       6.999956      0.00530484      0.00691417       0.0246168     0.000178815 
      6.9999067      0.00548366      0.00691417       0.0244976               0 
      6.9998398      0.00631812      0.00697377       0.0240804      0.00011921 
      6.9997421      0.00721219      0.00667575       0.0243188      0.00143052 
      6.9996381      0.00792748      0.00655654       0.0246168       0.0023842 
      6.9995001      0.00804669       0.0060797       0.0245572      0.00226499 
      6.9993631      0.00762945      0.00619891       0.0244976      0.00202657 
      6.9992096      0.00739101      0.00637773       0.0244976      0.00149012 
      6.9990429      0.00721219      0.00619891       0.0253321      0.00107289 
      6.9988342      0.00667575      0.00625852       0.0254513       0.0011325 
      6.9986375      0.00590089      0.00625852       0.0253321       0.0011921 
      6.9983956      0.00619891      0.00655654       0.0254513      0.00190736 
      6.9981367      0.00703338      0.00739101       0.0246764     0.000953682 
      6.9978615      0.00655654      0.00780827       0.0243784       0.0012517 
      6.9975705      0.00578168      0.00768906        0.024438      0.00214578 
      6.9972642      0.00548366      0.00691417       0.0245572      0.00202657 
      6.9969431      0.00536445      0.00631812       0.0247956      0.00202657 
      6.9966487      0.00560287      0.00631812       0.0250937      0.00250341 
      6.9963012      0.00578168      0.00584128       0.0252129      0.00214578 
      6.9959403      0.00572208      0.00512603       0.0255705      0.00208618 
      6.9956149      0.00661614      0.00578168       0.0253917      0.00137091 
      6.9952801      0.00697377      0.00590089       0.0255109      0.00059605 
      6.9948846      0.00798708      0.00619891       0.0267626      0.00101329 
      6.9945268       0.0082851      0.00661614       0.0270606      0.00149012 
      6.9941635      0.00810629      0.00697377       0.0268222      0.00250341 
      6.9937365      0.00816589       0.0073314       0.0262858      0.00351669 
      6.9933518      0.00852352      0.00768906       0.0259281      0.00387433 
      6.9929049      0.00864273      0.00768906       0.0257493      0.00321867 
      6.9925069      0.00888115      0.00709298       0.0260473      0.00280143 
      6.9920414       0.0082851      0.00697377       0.0263454       0.0023246 
      6.9916277      0.00721219       0.0073314       0.0263454      0.00131131 
      6.9911447      0.00721219       0.0082851       0.0265242     0.000417234 
      6.9907123      0.00768906      0.00941759       0.0269414      0.00011921 
      6.9902128      0.00774866       0.0094772       0.0268222      0.00101329 
      6.9897049       0.0073314       0.0082255       0.0262858      0.00214578 
      6.9891891      0.00751021      0.00715259       0.0259281       0.0023246 
      6.9887328      0.00739101      0.00715259       0.0255109      0.00220539 
      6.9882026      0.00709298      0.00756982       0.0256897      0.00196697 
      6.9877342      0.00721219      0.00751021        0.024736      0.00256301 
