> Measurement made Tue Oct  3 12:06:38 2023
> Main magnet sweep  2.00000 to  7.00000 Tesla at  5.999 mT/s 
> Hysteresis correction (approximate) has been applied. 
> Main Magnet at  2.21233 T 
> ITC set at  215.000 K, T1: 215.000 K, T2: 509.100 K, T3: 324.100 K 
> For Cernox1 123.540900 Ohm corresponds to T = 216.288696 K at 0 T 
> LockIn1:   1 mV, Mod Freq 39260.000000 Hz, Phase -3.020000 degr, Ampl. 0.080000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Normal .
> LockIn2:   1 mV, Mod Freq 39260.600000 Hz, Phase 178.460000 degr, Ampl. 0.010000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Normal .
> Modulation: 17.829700 mA 
> Source Freq 120 GHz (dial 15.00), LO Freq 115.74 GHz (dial 5225) 
> Martin Pupplet setting 6.6 mm, Attenuator Grid -20 dB
> Source attn 20 dB, Diode reading (-20dB) 1 mV
> Reference attn 3 dB, Diode reading (-30dB) 10 mV
Field  Signal1_X  Signal2_X    Signal1_Y   Signal2_Y    
T  mV mV mV mV 
YMn6Sn6
Mounted perpendicular
120 G, 215K, coooled in zero field, Mod ~8G
-
-
-

>BEGIN
      2.0000126     -0.00351669       0.0012517    -0.000476841      0.00554326 
      2.0000497     -0.00399354       0.0011921    -0.000834469      0.00578168 
      2.0001105     -0.00447038       0.0011921    -0.000834469      0.00613931 
      2.0001943     -0.00464919      0.00059605    -0.000894073       0.0060201 
      2.0002856     -0.00494721      0.00023842      -0.0012517      0.00596049 
      2.0004103     -0.00524524      0.00011921     -0.00107289      0.00596049 
      2.0005559     -0.00530484     -0.00011921    -0.000536445      0.00572208 
      2.0007442     -0.00512603     5.96051e-05    -0.000774864      0.00500682 
      2.0009318      -0.0047684     0.000417234     -0.00101329      0.00536445 
      2.0011381     -0.00417235      0.00035763     -0.00137091      0.00613931 
      2.0013625     -0.00381473     0.000476841     -0.00160933      0.00667575 
      2.0015725     -0.00387433     0.000655655     -0.00154973      0.00631812 
      2.0017955     -0.00381473     0.000894073     -0.00154973      0.00584128 
      2.0020331     -0.00351669      0.00131131     -0.00107289      0.00578168 
      2.0023183     -0.00280143      0.00184775    -0.000894073      0.00578168 
      2.0026189      -0.0024438      0.00172854    -0.000953682      0.00596049 
      2.0028933     -0.00262262     0.000953682    -0.000953682      0.00590089 
      2.0031813     -0.00327827     0.000536445    -0.000715259      0.00619891 
      2.0034776     -0.00393394               0    -0.000774864      0.00596049 
      2.0037842     -0.00411275     -0.00023842     -0.00137091      0.00554326 
      2.0041039     -0.00381473     0.000417234     -0.00137091      0.00548366 
      2.0044306     -0.00375511       0.0011921      -0.0011921      0.00572208 
      2.0048169     -0.00411275      0.00137091     -0.00149012      0.00566247 
      2.0052153     -0.00441077      0.00107289      -0.0023842      0.00542405 
      2.0056255     -0.00411275     0.000476841     -0.00250341      0.00512603 
      2.0060469      -0.0036359     0.000834469     -0.00208618      0.00429156 
      2.0064793     -0.00405314      0.00131131     -0.00149012      0.00452998 
      2.0069223     -0.00417235     0.000953682      -0.0012517      0.00500682 
      2.0073754     -0.00429156      0.00035763     -0.00101329      0.00566247 
      2.0078385     -0.00375511     0.000417234     -0.00059605      0.00578168 
      2.0082501      -0.0036955     0.000178815    -0.000834469      0.00536445 
      2.0086727     -0.00333787      0.00023842     -0.00101329      0.00566247 
      2.0090982     -0.00321867               0      -0.0011325      0.00536445 
      2.0095344     -0.00345708     -0.00011921     -0.00101329      0.00482801 
      2.0099732      -0.0036955    -0.000417234    -0.000953682      0.00447038 
       2.010484     -0.00381473     -0.00023842     -0.00107289      0.00458959 
      2.0110028     -0.00357629    -0.000417234     -0.00131131      0.00452998 
