> Measurement made Tue Oct  3 11:17:28 2023
> Main magnet sweep  7.00000 to  2.00000 Tesla at  5.999 mT/s 
> Hysteresis correction (approximate) has been applied. 
> Main Magnet at  6.53957 T 
> ITC set at  230.000 K, T1: 230.000 K, T2: 509.100 K, T3: 324.100 K 
> For Cernox1 119.478600 Ohm corresponds to T = 230.901449 K at 0 T 
> LockIn1:   1 mV, Mod Freq 39260.000000 Hz, Phase -3.020000 degr, Ampl. 0.080000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Normal .
> LockIn2:   1 mV, Mod Freq 39260.600000 Hz, Phase 178.460000 degr, Ampl. 0.010000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Normal .
> Modulation: 17.680000 mA 
> Source Freq 120 GHz (dial 15.00), LO Freq 115.74 GHz (dial 5225) 
> Martin Pupplet setting 6.6 mm, Attenuator Grid -20 dB
> Source attn 15 dB, Diode reading (-20dB) 2 mV
> Reference attn 3 dB, Diode reading (-30dB) 5 mV
Field  Signal1_X  Signal2_X    Signal1_Y   Signal2_Y    
T  mV mV mV mV 

YMn6Sn6
Mounted perpendicular
120 G, 230K, coooled in zero field, Mod ~8G-
-

>BEGIN
      6.9999874     -0.00303985      -0.0011325     -0.00548366      0.00512603 
      6.9999503      -0.0023246     -0.00280143     -0.00530484       0.0104905 
      6.9998895      -0.0024438     -0.00405314     -0.00554326       0.0148416 
      6.9998057     -0.00250341     -0.00530484      -0.0060797       0.0172855 
      6.9997135      -0.0023246      -0.0060797     -0.00661614       0.0185968 
      6.9995886     -0.00196697     -0.00590089     -0.00631812        0.018716 
      6.9994429     -0.00184775     -0.00572208     -0.00548366       0.0184776 
       6.999277     -0.00220539     -0.00512603     -0.00560287        0.018418 
      6.9990917      -0.0024438     -0.00452998     -0.00596049       0.0178815 
      6.9989148     -0.00184775     -0.00423196     -0.00613931       0.0180603 
       6.998724     -0.00131131     -0.00464919     -0.00667575       0.0192524 
      6.9985177     -0.00154973      -0.0047684     -0.00697377       0.0197293 
      6.9983002     -0.00190736     -0.00500682     -0.00679496         0.01961 
      6.9980678     -0.00214578     -0.00512603     -0.00643733       0.0189544 
      6.9978251     -0.00274183      -0.0047088     -0.00637773       0.0184776 
      6.9975705     -0.00303985     -0.00500682     -0.00637773       0.0182987 
      6.9973017     -0.00315906     -0.00488761     -0.00560287       0.0181199 
      6.9970241      -0.0036955     -0.00488761      -0.0047684       0.0180007 
      6.9966922     -0.00351669     -0.00500682     -0.00452998       0.0178219 
