> Measurement made Tue Oct  3 15:15:47 2023
> Main magnet sweep  7.00000 to  2.00000 Tesla at  5.999 mT/s 
> Hysteresis correction (approximate) has been applied. 
> Main Magnet at  5.63457 T 
> ITC set at  260.000 K, T1: 259.900 K, T2: 509.100 K, T3: 324.100 K 
> For Cernox1 112.221500 Ohm corresponds to T = 261.629570 K at 0 T 
> LockIn1:   1 mV, Mod Freq 39260.000000 Hz, Phase -3.020000 degr, Ampl. 0.080000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Normal .
> LockIn2:   1 mV, Mod Freq 39260.600000 Hz, Phase 178.460000 degr, Ampl. 0.010000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Normal .
> Modulation: 17.723000 mA 
> Source Freq 120 GHz (dial 15.00), LO Freq 115.74 GHz (dial 5225) 
> Martin Pupplet setting 6.6 mm, Attenuator Grid -18 dB
> Source attn 20 dB, Diode reading (-20dB) 0.6 mV
> Reference attn 0 dB, Diode reading (-30dB) 10 mV
Field  Signal1_X  Signal2_X    Signal1_Y   Signal2_Y    
T  mV mV mV mV 
YMn6Sn6
Mounted perpendicular
120 G, 260K, coooled in zero field, Mod ~8G
-

Modulation phase corrections made: LockIn1    0.0 degr., LockIn2    0.0 degr. 
Millimeter phase correction (abs and disp) -117.0 degr. 
>BEGIN
      6.9999874    -0.010304588     0.016022571    -0.027791669     0.026579319 
      6.9999564    -0.009744431     0.015973532    -0.026621312      0.02690797 
      6.9998985   -0.0097714888     0.016026636    -0.026192345     0.026591415 
      6.9998176    -0.010199374     0.016209961    -0.025870686     0.026353965 
      6.9997144    -0.010838698     0.016151772     -0.02640485     0.026483138 
      6.9995897     -0.01102608     0.016256968    -0.026192345     0.026591415 
      6.9994441   -0.0099578676     0.015998562    -0.026033033     0.026672589 
      6.9992784   -0.0095840985     0.015921444    -0.026406784     0.026749715 
      6.9991165   -0.0094508237      0.01592246    -0.026884809      0.02650615 
      6.9989416   -0.0099308097     0.015945458    -0.026802624     0.026213572 
       6.998724    -0.010596181     0.015807106    -0.025951859     0.026513277 
      6.9984885    -0.011444904     0.015240879    -0.025395785     0.026997283 
      6.9982692    -0.011899847     0.015477308    -0.025450912     0.027236756 
      6.9980022    -0.011740526     0.015558486    -0.025448889     0.026970225 
      6.9977191    -0.011392803     0.015401207    -0.025074126     0.026759832 
      6.9974571    -0.011258525     0.015268953    -0.025446865     0.026703693 
      6.9971859    -0.011180369     0.015509447    -0.025740455     0.026754774 
      6.9968613    -0.011474988     0.015693785    -0.025659281     0.026595462 
      6.9965224    -0.011103224     0.015883208    -0.024966817     0.026680728 
      6.9961699    -0.010836675      0.01588524    -0.025103118     0.027079513 
      6.9958042    -0.010864744      0.01607161    -0.025770548     0.027207675 
      6.9954717    -0.010677354     0.015966418    -0.025795582     0.026994248 
      6.9950822    -0.011368771     0.015747905    -0.026595266     0.026988132 
      6.9946808     -0.01222053     0.015581475    -0.027048213     0.026958128 
      6.9943212    -0.011687413     0.015585549    -0.026673405     0.026747647 
      6.9938434    -0.011897832     0.015210772    -0.026298553       0.0265373 
      6.9934083    -0.012033121     0.015476292    -0.026087148     0.026778797 
      6.9929627    -0.012166414     0.015475267    -0.025609212     0.027022317 
      6.9925658    -0.012270607     0.015154615    -0.026061102     0.026858958 
      6.9921615    -0.013069253     0.015015247    -0.026863866      0.02725273 
      6.9917461    -0.013335793     0.015013219    -0.026546165     0.027548388 
      6.9912653    -0.012697489      0.01520467     -0.02635676      0.02717666 
      6.9907756    -0.011710442      0.01510558    -0.025848686      0.02696719 
      6.9902772    -0.011575153      0.01484006    -0.025765489     0.026541346 
      6.9898357    -0.011229453     0.014949313    -0.025795582     0.026994248 
