> Measurement made Tue Oct  3 10:01:00 2023
> Main magnet sweep  0.00000 to  7.00000 Tesla at  5.999 mT/s 
> Hysteresis correction (approximate) has been applied. 
> Main Magnet at  0.00000 T 
> ITC set at  200.000 K, T1: 287.900 K, T2: 509.100 K, T3: 324.100 K 
> For Cernox1 106.878400 Ohm corresponds to T = 289.338188 K at 0 T 
> LockIn1:   1 mV, Mod Freq 39260.000000 Hz, Phase -3.020000 degr, Ampl. 0.080000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Normal .
> LockIn2:   1 mV, Mod Freq 39260.600000 Hz, Phase 178.460000 degr, Ampl. 0.010000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Normal .
> Modulation: 17.815000 mA 
> Source Freq 120 GHz (dial 15.00), LO Freq 115.74 GHz (dial 5225) 
> Martin Pupplet setting 6.6 mm, Attenuator Grid -20 dB
> Source attn 10 dB, Diode reading (-20dB) 0.3 mV
> Reference attn 10 dB, Diode reading (-30dB) 11 mV
Field  Signal1_X  Signal2_X    Signal1_Y   Signal2_Y    
T  mV mV mV mV 
YMn6Sn6
Mounted perpendicular
120 G, 288K, coooled in zero field, Mod ~8G
-
-
-

>BEGIN
  1.2559254e-05    -5.96051e-05       0.0023842    -0.000417234      0.00154973 
  4.3954064e-05    -0.000774864       0.0023246     -0.00011921      0.00202657 
  0.00010200698    -0.000953682       0.0024438     0.000476841      0.00190736 
  0.00017146432    -0.000834469      0.00256301      0.00011921      0.00143052 
  0.00027202799    -0.000953682      0.00178815    -0.000178815      0.00143052 
  0.00039421958     -0.00137091      0.00131131      0.00059605      0.00160933 
   0.0005373187     -0.00178815       0.0011921     0.000655655       0.0011325 
  0.00070062897     -0.00160933      0.00107289      0.00023842     0.000834469 
  0.00088347719     -0.00137091     0.000953682    -0.000953682     0.000715259 
   0.0010852126     -0.00154973      0.00101329      -0.0011325     0.000834469 
   0.0013052061    -0.000894073     0.000894073    -0.000476841     0.000655655 
   0.0015428495    -0.000536445     0.000953682      0.00011921     0.000715259 
    0.001797555    -0.000834469     0.000715259     5.96051e-05     0.000774864 
   0.0020353579    -0.000774864     0.000894073     -0.00035763      0.00208618 
   0.0022832288     0.000417234      0.00149012     5.96051e-05      0.00160933 
   0.0025429183       0.0011325      0.00160933     0.000476841       0.0012517 
   0.0028166223      0.00101329      0.00196697     0.000298025      0.00131131 
   0.0030990278     0.000894073       0.0024438    -0.000476841      0.00190736 
   0.0033922468      0.00035763      0.00256301    -0.000536445      0.00309946 
   0.0037414119    -0.000417234      0.00184775     0.000178815      0.00327827 
   0.0041039246     -0.00160933     0.000655655     -0.00035763      0.00202657 
   0.0044793402     -0.00184775     0.000834469     -0.00208618     5.96051e-05 
   0.0048672289     -0.00107289      0.00160933     -0.00220539    -0.000417234 
   0.0052671753    -0.000715259      0.00190736     -0.00190736      0.00011921 
   0.0056287831    -0.000655655      0.00149012     -0.00196697      0.00035763 
   0.0059957463    -0.000298025     0.000774864     -0.00220539     -0.00035763 
   0.0063745429    -0.000417234     0.000476841     -0.00202657     -0.00107289 
   0.0067580407     -0.00059605       0.0011325    -0.000894073    -0.000476841 
   0.0071494094     -0.00101329      0.00107289     0.000298025      0.00011921 
   0.0076076199    -0.000774864      0.00143052    -0.000715259     0.000774864 
   0.0080755459    -0.000536445       0.0011325     -0.00149012      0.00172854 
   0.0085528637     -0.00137091     -0.00011921     -0.00166894     0.000476841 
   0.0090392605     -0.00208618    -0.000715259     -0.00190736    -0.000178815 
   0.0095344339     -0.00196697      0.00011921     -0.00220539    -0.000417234 
    0.010038092     -0.00137091      0.00107289     -0.00172854      0.00059605 
    0.010549951               0      0.00160933     -0.00149012      0.00160933 
