Measurement made Mon Oct  2 16:27:01 2023
> Main magnet sweep  7.00000 to  0.00000 Tesla at  5.999 mT/s 
> Hysteresis correction (approximate) has been applied. 
> Main Magnet at  7.00000 T 
> ITC set at   30.000 K, T1:  30.020 K, T2: 509.100 K, T3: 324.100 K 
> For Cernox1 280.982600 Ohm corresponds to T = 30.141046 K at 0 T 
> LockIn1:   1 mV, Mod Freq 39260.000000 Hz, Phase -3.020000 degr, Ampl. 0.080000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Normal .
> LockIn2:   1 mV, Mod Freq 39260.600000 Hz, Phase 178.460000 degr, Ampl. 0.010000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Normal .
> Modulation: 21.843200 mA 
> Source Freq 120 GHz (dial 15.00), LO Freq 115.74 GHz (dial 5225) 
> Martin Pupplet setting 6.6 mm, Attenuator Grid -20 dB
> Source attn 10 dB, Diode reading (-20dB) 0.3 mV
> Reference attn 10 dB, Diode reading (-30dB) 11 mV
Field  Signal1_X  Signal2_X    Signal1_Y   Signal2_Y    
T  mV mV mV mV 
YMn6Sn6
Mounted perpendicular
120 G, 30K, coooled in zero field, Mod ~8G
-
-
-

>BEGIN
       4.0210579      -0.0287892       0.0504854       0.0977521       0.0626449 
       4.020308      -0.0277163       0.0513198       0.0981097        0.062943 
      4.0195581      -0.0271202       0.0507238       0.0981693       0.0631218 
      4.0189042      -0.0275971       0.0501277       0.0980501       0.0628238 
      4.0182503      -0.0289084       0.0500085       0.0972156       0.0624661 
      4.0175004      -0.0298024       0.0507238       0.0967388       0.0619893 
      4.0167505      -0.0300409       0.0509622        0.096858       0.0610952 
      4.0160006      -0.0293852       0.0506046       0.0970368       0.0613932 
      4.0152507       -0.028968       0.0492933       0.0969772       0.0618105 
      4.0145009      -0.0286103       0.0483396       0.0972156       0.0618701 
       4.013751      -0.0288488       0.0488164       0.0972752       0.0603797 
      4.0130911      -0.0293852       0.0492933       0.0966792       0.0609162 
      4.0124371      -0.0288488       0.0494721       0.0964408       0.0609162 
      4.0116872      -0.0277163       0.0500085       0.0962024        0.061274 
      4.0109374      -0.0273586        0.050545       0.0966196       0.0619297 
      4.0101875      -0.0268818       0.0503066       0.0967388       0.0614529 
      4.0095335      -0.0271798       0.0491145       0.0963812       0.0615125 
      4.0088736      -0.0280143         0.04828       0.0956063       0.0619893 
      4.0081237      -0.0290872       0.0486376       0.0954871       0.0618701 
      4.0074698      -0.0296236       0.0482204       0.0962024        0.061274 
      4.0067199       -0.029564       0.0487568       0.0963216       0.0613336 
        4.00597       -0.028968       0.0485184       0.0961428       0.0614529 
      4.0052202      -0.0285507        0.048578       0.0958447       0.0613932 
      4.0044703      -0.0280739       0.0500085       0.0960832       0.0609758 
      4.0037204      -0.0273586       0.0498893       0.0969176       0.0611548 
      4.0028745      -0.0270606       0.0495317       0.0977521       0.0609162 
      4.0021246      -0.0276567       0.0501873       0.0972156       0.0613336 
      4.0013747      -0.0280739       0.0507238       0.0975137       0.0620489 
      4.0006248      -0.0286103       0.0507238       0.0982885       0.0630026 
      3.9998749      -0.0278951       0.0503066       0.0982885       0.0631814 
       3.999125      -0.0277759       0.0504854       0.0979309       0.0628238 
      3.9983751      -0.0274779       0.0510218       0.0976925       0.0618105 
      3.9977212       -0.027001       0.0512006       0.0972156       0.0617509 
      3.9969713      -0.0267626       0.0507834       0.0969772       0.0619297 
      3.9962214      -0.0277163       0.0504258       0.0974541       0.0615125 
      3.9954715      -0.0285507       0.0501277       0.0973349       0.0610952 
      3.9948116      -0.0283123       0.0499489       0.0973945       0.0609162 
      3.9941577      -0.0280143       0.0494721       0.0977521       0.0611548 
      3.9934078      -0.0278355       0.0495317       0.0975137       0.0616913 
