> Measurement made Tue Oct  3 16:20:32 2023
> Main magnet sweep  2.00000 to  7.00000 Tesla at  5.999 mT/s 
> Hysteresis correction (approximate) has been applied. 
> Main Magnet at  2.00000 T 
> ITC set at  320.000 K, T1: 320.100 K, T2: 509.100 K, T3: 324.100 K 
> For Cernox1 102.280100 Ohm corresponds to T = 999.000000 K at 0 T 
> LockIn1:   1 mV, Mod Freq 39260.000000 Hz, Phase -3.020000 degr, Ampl. 0.080000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Normal .
> LockIn2:   1 mV, Mod Freq 39260.600000 Hz, Phase 178.460000 degr, Ampl. 0.010000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Normal .
> Modulation: 17.736800 mA 
> Source Freq 120 GHz (dial 15.00), LO Freq 115.74 GHz (dial 5225) 
> Martin Pupplet setting 6.6 mm, Attenuator Grid -18 dB
> Source attn 20 dB, Diode reading (-20dB) 0.6 mV
> Reference attn 0 dB, Diode reading (-30dB) 10 mV
Field  Signal1_X  Signal2_X    Signal1_Y   Signal2_Y    
T  mV mV mV mV 
YMn6Sn6
Mounted perpendicular
120 G, 320K, coooled in zero field, Mod ~8G
-
-
-

>BEGIN
      6.9999904       0.0122786      0.00274183      0.00524524      0.00542405 
      6.9999621       0.0125766      0.00327827      0.00500682      0.00530484 
      6.9999073        0.012517      0.00351669      0.00464919      0.00506642 
      6.9998293       0.0123978      0.00327827      0.00452998      0.00494721 
      6.9997421       0.0126362      0.00262262      0.00441077      0.00500682 
      6.9996226       0.0124574       0.0023842      0.00458959       0.0047088 
      6.9995013       0.0118018      0.00184775      0.00458959      0.00429156 
      6.9993644       0.0112653      0.00178815      0.00512603      0.00429156 
       6.999189       0.0113845      0.00190736      0.00524524      0.00452998 
      6.9989944        0.011921      0.00268222      0.00494721      0.00435117 
      6.9987814       0.0123978      0.00292064      0.00494721      0.00417235 
      6.9985791        0.012517      0.00375511      0.00524524      0.00405314 
      6.9983654        0.012517      0.00411275      0.00494721      0.00399354 
      6.9981045       0.0129343      0.00387433       0.0047088      0.00447038 
      6.9978615       0.0129939      0.00292064      0.00488761      0.00464919 
      6.9975705       0.0128151      0.00280143      0.00518563      0.00500682 
      6.9972642       0.0128747      0.00327827      0.00518563      0.00423196 
      6.9969431       0.0128151      0.00381473      0.00512603      0.00357629 
      6.9966515       0.0130535       0.0036955      0.00518563      0.00399354 
       6.996304       0.0127555      0.00292064      0.00524524      0.00435117 
      6.9959901        0.012219      0.00208618      0.00524524      0.00423196 
      6.9956633       0.0121594      0.00190736      0.00542405      0.00399354 
      6.9952801       0.0122786      0.00190736      0.00548366      0.00435117 
      6.9948846       0.0129343      0.00315906      0.00566247      0.00488761 
      6.9945301       0.0129343      0.00339748      0.00536445      0.00524524 
      6.9941129       0.0124574      0.00298025      0.00554326      0.00542405 
        6.99374        0.012517      0.00292064      0.00596049      0.00536445 
      6.9933023       0.0126362      0.00321867      0.00655654      0.00524524 
      6.9929085       0.0126958      0.00357629      0.00661614      0.00482801 
      6.9924516       0.0128747      0.00333787      0.00655654      0.00429156 
      6.9920452       0.0132323      0.00345708      0.00661614      0.00447038 
      6.9915702       0.0128151      0.00357629       0.0060797      0.00452998 
      6.9910861       0.0126362      0.00345708      0.00560287      0.00441077 
      6.9906528       0.0129343      0.00315906      0.00524524      0.00482801 
      6.9902168       0.0135899      0.00321867      0.00566247      0.00518563 
       6.989709       0.0143052      0.00315906       0.0060797      0.00488761 
      6.9892597        0.014186      0.00315906      0.00566247      0.00441077 
       6.988737       0.0139475       0.0036955      0.00560287      0.00452998 
      6.9882068       0.0136495      0.00321867      0.00554326       0.0047684 
      6.9877342       0.0132323       0.0023842      0.00554326      0.00423196 
