> Measurement made Mon Oct  2 17:45:41 2023
> Main magnet sweep  0.00000 to  7.00000 Tesla at  5.999 mT/s 
> Hysteresis correction (approximate) has been applied. 
> Main Magnet at  0.00000 T 
> ITC set at    5.000 K, T1:   5.004 K, T2: 509.100 K, T3: 324.100 K 
> For Cernox1 472.854500 Ohm corresponds to T = 5.085592 K at 0 T 
> LockIn1:   1 mV, Mod Freq 39260.000000 Hz, Phase -3.020000 degr, Ampl. 0.060000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Normal .
> LockIn2:   1 mV, Mod Freq 39260.600000 Hz, Phase 178.460000 degr, Ampl. 0.010000 V
>  Tc 0.100000 seconds, Slope 18/oct, Dyn Res Normal .
> Modulation: 17.845200 mA 
> Source Freq 120 GHz (dial 15.00), LO Freq 115.74 GHz (dial 5225) 
> Martin Pupplet setting 6.6 mm, Attenuator Grid -20 dB
> Source attn 10 dB, Diode reading (-20dB) 0.3 mV
> Reference attn 10 dB, Diode reading (-30dB) 11 mV
Field  Signal1_X  Signal2_X    Signal1_Y   Signal2_Y    
T  mV mV mV mV 
YMn6Sn6
Mounted perpendicular
120 G, 5K, coooled in zero field, Mod ~8G
-
-
-

>BEGIN
      4.0592585      -0.0977521       -0.065804       0.0425579        0.035763 
      4.0599184      -0.0978117      -0.0658636        0.042856       0.0365379 
      4.0606683      -0.0987058      -0.0661616       0.0426176       0.0371339 
      4.0614182      -0.0970964      -0.0666385       0.0430348       0.0370743 
      4.0620721       -0.096858      -0.0674729       0.0427964       0.0370147 
       4.062822      -0.0973945      -0.0681286        0.043154       0.0370147 
      4.0635719      -0.0966196      -0.0688438       0.0440481       0.0375512 
      4.0643218      -0.0963812      -0.0687842       0.0444653       0.0377896 
      4.0650717      -0.0959639      -0.0683074       0.0443461       0.0370147 
      4.0657256      -0.0963812      -0.0678306       0.0447037       0.0366571 
      4.0664755      -0.0961428      -0.0675325       0.0454786       0.0358226 
      4.0671354      -0.0974541      -0.0678902       0.0442865       0.0355246 
      4.0678853      -0.0984673       -0.068665       0.0439885       0.0360014 
      4.0686352      -0.0982885      -0.0696187       0.0438096       0.0364187 
      4.0693851      -0.0980501      -0.0692611       0.0442865       0.0373127 
       4.070135      -0.0979309       -0.068963       0.0439289       0.0381472 
      4.0707889      -0.0977521      -0.0692015       0.0442865       0.0378492 
      4.0715388      -0.0976329      -0.0694399       0.0438096       0.0364783 
      4.0721987      -0.0967388      -0.0687842       0.0438096       0.0356438 
      4.0728526      -0.0956063      -0.0684266       0.0435712       0.0359418 
      4.0736025      -0.0957851      -0.0684266       0.0436308       0.0376108 
      4.0743524      -0.0974541      -0.0690822       0.0436904       0.0375512 
      4.0751023      -0.0981693      -0.0685458       0.0438096       0.0371935 
      4.0758522      -0.0978713      -0.0671749       0.0435712       0.0364187 
      4.0766021      -0.0967388      -0.0675325       0.0436904        0.036061 
       4.077352      -0.0967984      -0.0681286       0.0438096       0.0358822 
      4.0780059      -0.0975137      -0.0687842       0.0440481       0.0358226 
      4.0787558      -0.0972156      -0.0689034       0.0435116       0.0364783 
      4.0794157      -0.0962024      -0.0677113       0.0435712       0.0361206 
      4.0800696       -0.096262      -0.0665789       0.0436904       0.0358822 
      4.0809155      -0.0976329      -0.0657444       0.0435712       0.0365975 
      4.0816654      -0.0982289      -0.0669961       0.0442269       0.0369551 
      4.0823193      -0.0993018      -0.0684862       0.0442865       0.0368955 
      4.0830692       -0.098825      -0.0694995       0.0435712       0.0364783 
      4.0838191      -0.0989442      -0.0688438       0.0435712       0.0366571 
       4.084569      -0.0995998      -0.0678306       0.0440481       0.0366571 
      4.0853188      -0.0986462      -0.0678306       0.0438096       0.0372531 
      4.0859728      -0.0979905      -0.0681882       0.0429156       0.0373127 
