     index            Field [G]         Intensity []

         1                  200   -0.547047664538976
         2                200.4    -0.54803181818793
         3                200.8   -0.548921132297805
         4                201.2    -0.54952660535496
         5                201.6   -0.549698776311501
         6                  202   -0.549400595760192
         7                202.4   -0.548707246675255
         8                202.8   -0.547762326239658
         9                203.2    -0.54678544992892
        10                203.6   -0.546101529562085
        11                  204   -0.546052192115312
        12                204.4   -0.546782125179853
        13                204.8   -0.548093265451528
        14                205.2   -0.549534676565377
        15                205.6   -0.550673208614246
        16                  206   -0.551336861498032
        17                206.4   -0.551669533712176
        18                206.8    -0.55198308944431
        19                207.2    -0.55251757027811
        20                207.6   -0.553277754264641
        21                  208   -0.554065662523593
        22                208.4   -0.554668820829764
        23                208.8   -0.555025627899664
        24                209.2   -0.555232053908163
        25                209.6   -0.555425963252296
        26                  210   -0.555675830863409
        27                210.4   -0.555946171121738
        28                210.8   -0.556141126273076
        29                211.2   -0.556198424809048
        30                211.6   -0.556157286897458
        31                  212   -0.556101749849091
        32                212.4   -0.556008806594129
        33                212.8   -0.555703237799676
        34                213.2   -0.555053344027694
        35                213.6   -0.554236424311722
        36                  214   -0.553751991403147
        37                214.4   -0.554106346930498
        38                214.8   -0.555448286017857
        39                215.2   -0.557475598315989
        40                215.6   -0.559653785568781
        41                  216   -0.561541128024394
        42                216.4   -0.562998103375936
        43                216.8    -0.56417526996326
        44                217.2   -0.565300957907032
        45                217.6   -0.566419890120889
        46                  218    -0.56730758012974
        47                218.4   -0.567666373280579
        48                218.8   -0.567433901123538
        49                219.2   -0.566893778880778
        50                219.6    -0.56646878311812
        51                  220   -0.566397311425637
        52                220.4   -0.566582416792309
        53                220.8   -0.566702668144596
        54                221.2    -0.56645464731909
        55                221.6   -0.565755344408341
        56                  222   -0.564808198100072
        57                222.4   -0.564013146401587
        58                222.8   -0.563767944132253
        59                223.2   -0.564268489949919
        60                223.6   -0.565414885110897
        61                  224   -0.566849309700945
        62                224.4   -0.568072147844913
