> Measurement made Tue Dec 12 10:10:22 2023
> Main magnet sweep 10.00000 to 12.50000 Tesla at  3.999 mT/s 
> Hysteresis correction (approximate) has been applied. 
> Main Magnet at 10.42056 T 
> ITC set at   10.000 K, T1:   9.994 K, T2: 509.100 K, T3: 324.100 K 
> For Cernox1 -219.440000 Ohm corresponds to T = 0.000000 K at 0 T 
> LockIn1:   2 mV, Mod Freq 39330.000000 Hz, Phase 160.510000 degr, Ampl. 0.150000 V
>  Tc 0.300000 seconds, Slope 18/oct, Dyn Res Normal .
> LockIn2:   2 mV, Mod Freq 39330.100000 Hz, Phase -18.390000 degr, Ampl. 0.010000 V
>  Tc 0.300000 seconds, Slope 18/oct, Dyn Res Normal .
> Modulation: 26.991870 mA 
> Source Freq 307.608 GHz (dial 12.817), LO Freq 311.808 GHz (dial 3760) 
> Martin Pupplet setting 7.0 mm, Attenuator Grid 20 dB
> Source attn 20 dB, Diode reading (-20dB) 0 mV
> Reference attn 0 dB, Diode reading (-30dB) 6.5 mV
Field  Signal1_X  Signal2_X    Signal1_Y   Signal2_Y    
T  mV mV mV mV 
YMnSn same orientation perp field 300 GHz 
10K

>BEGIN
      10.000006       0.0469687      -0.0121594       0.0212194      0.00309946 
      10.000025       0.0474455      -0.0116826       0.0214578      0.00357629 
      10.000057       0.0485184      -0.0100136       0.0216962      0.00405314 
        10.0001       0.0497105     -0.00786787       0.0218154      0.00452998 
      10.000154       0.0509026     -0.00584128       0.0218154       0.0047684 
       10.00022       0.0516179     -0.00500682       0.0220538      0.00452998 
      10.000297       0.0520947     -0.00441077        0.022173      0.00393394 
      10.000384       0.0520947     -0.00429156       0.0220538      0.00298025 
      10.000481       0.0516179      -0.0047684       0.0216962      0.00178815 
      10.000589       0.0509026     -0.00596049       0.0214578      0.00059605 
      10.000706       0.0501873      -0.0072718        0.020981     -0.00059605 
      10.000833       0.0497105      -0.0082255       0.0206233     -0.00166894 
      10.000968       0.0493529     -0.00905996       0.0201465     -0.00286104 
      10.001111       0.0492337     -0.00977522       0.0197889     -0.00381473 
      10.001265       0.0489953      -0.0102521       0.0194312     -0.00441077 
      10.001426       0.0486376      -0.0109673       0.0191928     -0.00512603 
      10.001594       0.0480416      -0.0120402       0.0188352     -0.00548366 
      10.001772       0.0476839      -0.0129939       0.0185968     -0.00584128 
      10.001956       0.0474455      -0.0138283       0.0184776     -0.00596049 
      10.002149       0.0473263      -0.0143052       0.0185968     -0.00536445 
      10.002348       0.0470879      -0.0146628       0.0191928     -0.00405314 
      10.002553       0.0470879      -0.0143052       0.0199081     -0.00250341 
      10.002768       0.0472071      -0.0137091       0.0208617     -0.00131131 
      10.002986       0.0472071      -0.0131131       0.0214578    -0.000476841 
