> Measurement made Tue Dec 12 21:45:54 2023
> Main magnet sweep 10.50000 to  8.00000 Tesla at  3.999 mT/s 
> Hysteresis correction (approximate) has been applied. 
> Main Magnet at 10.48150 T 
> ITC set at   10.000 K, T1:   9.993 K, T2: 509.100 K, T3: 324.100 K 
> For Cernox1 -12.897000 Ohm corresponds to T = 0.000000 K at 0 T 
> LockIn1:   2 mV, Mod Freq 39330.000000 Hz, Phase 160.510000 degr, Ampl. 0.150000 V
>  Tc 0.300000 seconds, Slope 18/oct, Dyn Res Normal .
> LockIn2:   2 mV, Mod Freq 39330.100000 Hz, Phase -18.390000 degr, Ampl. 0.010000 V
>  Tc 0.300000 seconds, Slope 18/oct, Dyn Res Normal .
> Modulation: 26.920190 mA 
> Source Freq 307.608 GHz (dial 12.817), LO Freq 311.808 GHz (dial 3760) 
> Martin Pupplet setting 7.0 mm, Attenuator Grid 20 dB
> Source attn 20 dB, Diode reading (-20dB) 0 mV
> Reference attn 0 dB, Diode reading (-30dB) 6.5 mV
Field  Signal1_X  Signal2_X    Signal1_Y   Signal2_Y    
T  mV mV mV mV 
YMnSn same orientation par field 300 GHz 
10 K

>BEGIN
      10.499994     -0.00941759       0.0152589      0.00131131     -0.00190736 
      10.499975      -0.0095368       0.0152589      0.00131131     -0.00202657 
      10.499943     -0.00977522       0.0152589      0.00131131     -0.00202657 
        10.4999     -0.00977522       0.0151396      0.00131131     -0.00214578 
      10.499846     -0.00977522        0.014782      0.00131131      -0.0023842 
       10.49978     -0.00977522       0.0144244       0.0011921     -0.00250341 
      10.499703      -0.0095368       0.0143052     0.000953682      -0.0023842 
      10.499616      -0.0095368       0.0143052      0.00059605     -0.00214578 
      10.499518     -0.00965601       0.0146628      0.00023842     -0.00190736 
      10.499411      -0.0100136       0.0150204     -0.00023842     -0.00166894 
      10.499294      -0.0101328       0.0150204    -0.000834469     -0.00154973 
      10.499167      -0.0104905       0.0149012     -0.00131131     -0.00154973 
      10.499032      -0.0106097        0.014782     -0.00166894     -0.00154973 
      10.498889      -0.0109673        0.014782     -0.00190736     -0.00166894 
      10.498735      -0.0110865        0.014782     -0.00166894     -0.00190736 
      10.498574      -0.0112057       0.0149012     -0.00131131     -0.00202657 
      10.498404      -0.0110865       0.0149012    -0.000834469     -0.00202657 
      10.498228      -0.0108481       0.0149012    -0.000476841     -0.00190736 
      10.498044      -0.0106097       0.0149012     -0.00035763     -0.00190736 
      10.497851      -0.0103713       0.0149012     -0.00023842     -0.00202657 
      10.497682      -0.0101328        0.014782               0     -0.00214578 
      10.497475      -0.0100136        0.014782      0.00023842     -0.00226499 
      10.497264     -0.00977522       0.0144244      0.00059605      -0.0023842 
      10.497044      -0.0095368        0.014186     0.000953682     -0.00250341 
       10.49682      -0.0095368       0.0137091      0.00131131     -0.00250341 
       10.49659     -0.00977522       0.0132323      0.00143052     -0.00226499 
      10.496351     -0.00977522       0.0127555      0.00131131     -0.00190736 
      10.496109     -0.00965601       0.0123978       0.0011921     -0.00131131 
      10.495861      -0.0095368       0.0120402      0.00107289    -0.000834469 
      10.495606     -0.00941759       0.0116826     0.000834469     -0.00023842 
      10.495308     -0.00929838       0.0115634      0.00059605      0.00023842 
      10.495044     -0.00905996        0.011921      0.00035763      0.00035763 
      10.494772     -0.00882155       0.0120402      0.00011921      0.00035763 
      10.494497     -0.00846392       0.0121594      0.00011921      0.00011921 
      10.494218     -0.00834471       0.0121594               0     -0.00011921 
      10.493932      -0.0082255       0.0121594               0     -0.00035763 
      10.493601     -0.00810629       0.0120402     -0.00023842    -0.000715259 
      10.493308     -0.00810629       0.0120402    -0.000715259    -0.000715259 
      10.493011     -0.00810629       0.0121594    -0.000953682    -0.000715259 
      10.492665      -0.0082255       0.0123978    -0.000953682    -0.000715259 
      10.492356     -0.00834471        0.012517    -0.000834469     -0.00059605 
      10.492001     -0.00834471       0.0126362    -0.000715259    -0.000476841 
      10.491641      -0.0082255       0.0126362    -0.000476841     -0.00059605 
      10.491276      -0.0082255       0.0129939     -0.00023842    -0.000953682 
      10.490906      -0.0082255       0.0133515      0.00023842     -0.00143052 
      10.490533     -0.00786787       0.0138283      0.00035763     -0.00190736 
      10.490249     -0.00751021       0.0139475      0.00023842      -0.0023842 
      10.489868      -0.0072718       0.0138283               0     -0.00250341 
      10.489533     -0.00715259       0.0138283     -0.00035763     -0.00274183 
      10.489144      -0.0072718       0.0138283    -0.000834469     -0.00298025 
      10.488803     -0.00751021       0.0138283    -0.000953682     -0.00321867 
      10.488455     -0.00762945       0.0137091     -0.00107289     -0.00357629 
      10.488108     -0.00774866       0.0137091      -0.0011921     -0.00393394 
      10.487759     -0.00774866       0.0137091     -0.00107289     -0.00417235 
      10.487354     -0.00786787       0.0137091    -0.000715259     -0.00441077 
      10.486996     -0.00810629       0.0135899     -0.00023842     -0.00464919 
      10.486639      -0.0082255       0.0133515      0.00011921      -0.0047684 
      10.486276     -0.00846392       0.0131131      0.00011921      -0.0047684 
      10.485914     -0.00882155       0.0131131      0.00011921      -0.0047684 
       10.48555     -0.00929838       0.0129939      0.00011921      -0.0047684 
      10.485181     -0.00977522       0.0127555               0     -0.00488761 
      10.484813      -0.0102521        0.012517      0.00011921     -0.00500682 
      10.484442      -0.0106097       0.0123978      0.00035763     -0.00524524 
      10.484067      -0.0109673       0.0123978      0.00059605     -0.00512603 
      10.483693      -0.0113249       0.0126362     0.000715259     -0.00488761 
      10.483314      -0.0115634       0.0128747     0.000715259     -0.00441077 
      10.482936      -0.0116826       0.0131131      0.00059605     -0.00393394 
      10.482557      -0.0116826       0.0133515      0.00059605     -0.00345708 
      10.482173      -0.0114442       0.0137091      0.00035763     -0.00298025 
       10.48179      -0.0113249       0.0138283      0.00023842     -0.00250341 
      10.481406      -0.0112057       0.0138283      0.00011921     -0.00214578 
      10.481074      -0.0109673       0.0137091               0     -0.00190736 
       10.48063      -0.0107289       0.0134707               0     -0.00166894 
      10.480238      -0.0106097       0.0131131               0     -0.00166894 
      10.479849      -0.0103713       0.0126362      0.00011921     -0.00178815 
      10.479457      -0.0101328       0.0122786      0.00023842     -0.00190736 
      10.479061      -0.0101328        0.011921     0.000476841     -0.00202657 
      10.478668      -0.0101328       0.0115634     0.000715259     -0.00202657 
      10.478273      -0.0101328       0.0114442     0.000953682     -0.00190736 
      10.477873      -0.0102521       0.0113249       0.0011921     -0.00166894 
      10.477475      -0.0103713       0.0110865      0.00131131     -0.00166894 
      10.477073      -0.0103713       0.0109673      0.00143052     -0.00178815 
      10.476615      -0.0101328       0.0107289      0.00143052     -0.00214578 
      10.476273     -0.00989443       0.0104905      0.00131131     -0.00226499 
      10.475812     -0.00965601       0.0107289       0.0011921     -0.00226499 
      10.475406     -0.00965601       0.0109673       0.0011921     -0.00202657 
      10.475002     -0.00977522       0.0114442      0.00107289     -0.00166894 
      10.474597     -0.00977522        0.011921     0.000834469     -0.00154973 
      10.474188     -0.00977522       0.0121594      0.00059605     -0.00190736 
      10.473782      -0.0095368       0.0122786      0.00059605     -0.00214578 
      10.473371     -0.00929838       0.0122786     0.000834469      -0.0023842 
      10.472962     -0.00917917       0.0122786      0.00107289      -0.0023842 
      10.472553     -0.00929838       0.0123978      0.00131131     -0.00262262 
       10.47214     -0.00941759        0.012517      0.00154973     -0.00274183 
      10.471729     -0.00965601       0.0126362      0.00154973     -0.00298025 
      10.471318     -0.00977522        0.012517      0.00154973     -0.00309946 
      10.470902     -0.00977522       0.0123978      0.00143052     -0.00321867 
