> Measurement made Mon Dec 11 17:24:22 2023
> Main magnet sweep 10.00000 to 12.50000 Tesla at  3.999 mT/s 
> Hysteresis correction (approximate) has been applied. 
> Main Magnet at 10.00000 T 
> ITC set at  125.000 K, T1: 124.890 K, T2: 509.100 K, T3: 324.100 K 
> For Cernox1 26.152000 Ohm corresponds to T = 999.000000 K at 0 T 
> LockIn1:   2 mV, Mod Freq 39330.000000 Hz, Phase 160.510000 degr, Ampl. 0.150000 V
>  Tc 0.300000 seconds, Slope 18/oct, Dyn Res Normal .
> LockIn2:   2 mV, Mod Freq 39330.100000 Hz, Phase -18.390000 degr, Ampl. 0.010000 V
>  Tc 0.300000 seconds, Slope 18/oct, Dyn Res Normal .
> Modulation: 22.000410 mA 
> Source Freq 307.608 GHz (dial 12.817), LO Freq 311.808 GHz (dial 3760) 
> Martin Pupplet setting 7.0 mm, Attenuator Grid 20 dB
> Source attn 20 dB, Diode reading (-20dB) 0 mV
> Reference attn 0 dB, Diode reading (-30dB) 6.5 mV
Field  Signal1_X  Signal2_X    Signal1_Y   Signal2_Y    
T  mV mV mV mV 
YMnSn same orientation perp field 300 GHz 
125K

>BEGIN
      10.000008      0.00059605     -0.00214578     -0.00405314      0.00154973 
      10.000033      0.00143052     -0.00190736     -0.00524524      0.00178815 
      10.000074      0.00226499     -0.00166894     -0.00631812      0.00178815 
       10.00013      0.00321867     -0.00154973      -0.0060797      0.00178815 
        10.0002      0.00429156     -0.00143052     -0.00512603      0.00166894 
      10.000285      0.00548366     -0.00143052     -0.00381473      0.00154973 
      10.000384      0.00655654     -0.00154973     -0.00131131       0.0011921 
      10.000496      0.00691417     -0.00154973      0.00190736     0.000953682 
      10.000621      0.00691417     -0.00143052      0.00381473     0.000715259 
      10.000759      0.00679496      -0.0011921      0.00572208      0.00059605 
      10.000908      0.00703338    -0.000953682      0.00715259     0.000476841 
      10.001048      0.00751021    -0.000953682      0.00762945      0.00035763 
      10.001197      0.00786787      -0.0011921      0.00774866      0.00059605 
      10.001355      0.00739101     -0.00143052      0.00751021      0.00059605 
      10.001521      0.00655654     -0.00154973      0.00751021     0.000715259 
      10.001695      0.00536445     -0.00166894      0.00751021     0.000834469 
      10.001876      0.00452998     -0.00190736      0.00739101     0.000715259 
      10.002092      0.00429156     -0.00214578      0.00715259     0.000715259 
      10.002289      0.00512603     -0.00262262      0.00596049      0.00035763 
      10.002494      0.00560287     -0.00298025      0.00405314      0.00011921 
      10.002673      0.00619891     -0.00309946      0.00190736               0 
      10.002891      0.00679496     -0.00298025     -0.00023842     -0.00011921 
      10.003113      0.00715259     -0.00274183     -0.00274183     -0.00023842 
      10.003344      0.00691417      -0.0023842     -0.00429156     -0.00035763 
