> Measurement made Tue Dec 12 16:21:45 2023
> Main magnet sweep 10.70000 to  8.20000 Tesla at  3.999 mT/s 
> Hysteresis correction (approximate) has been applied. 
> Main Magnet at 10.79124 T 
> ITC set at  150.000 K, T1: 150.270 K, T2: 509.100 K, T3: 324.100 K 
> For Cernox1 4.184000 Ohm corresponds to T = 999.000000 K at 0 T 
> LockIn1:   2 mV, Mod Freq 39330.000000 Hz, Phase 160.510000 degr, Ampl. 0.150000 V
>  Tc 0.300000 seconds, Slope 18/oct, Dyn Res Normal .
> LockIn2:   2 mV, Mod Freq 39330.100000 Hz, Phase -18.390000 degr, Ampl. 0.010000 V
>  Tc 0.300000 seconds, Slope 18/oct, Dyn Res Normal .
> Modulation: 21.798340 mA 
> Source Freq 307.608 GHz (dial 12.817), LO Freq 311.808 GHz (dial 3760) 
> Martin Pupplet setting 7.0 mm, Attenuator Grid 20 dB
> Source attn 20 dB, Diode reading (-20dB) 0 mV
> Reference attn 0 dB, Diode reading (-30dB) 6.5 mV
Field  Signal1_X  Signal2_X    Signal1_Y   Signal2_Y    
T  mV mV mV mV 
YMnSn same orientation par field 300 GHz 
150 K

>BEGIN
      10.699995      0.00643733     -0.00667575      0.00250341    -0.000834469 
      10.699978      0.00596049     -0.00762945      0.00262262    -0.000834469 
      10.699949      0.00572208     -0.00858313      0.00250341    -0.000834469 
      10.699907      0.00572208     -0.00929838      0.00202657    -0.000834469 
      10.699854      0.00548366      -0.0107289      0.00131131      -0.0011921 
       10.69979      0.00524524      -0.0118018      0.00107289     -0.00107289 
      10.699715      0.00524524      -0.0126362       0.0011921     -0.00059605 
      10.699629      0.00512603      -0.0133515       0.0011921     -0.00035763 
      10.699534       0.0047684      -0.0144244       0.0011921    -0.000476841 
      10.699427      0.00405314      -0.0154973      0.00154973               0 
      10.699312      0.00309946      -0.0169278      0.00262262       0.0011921 
      10.699186      0.00190736      -0.0183583      0.00381473       0.0023842 
      10.699053      0.00131131      -0.0190736       0.0047684      0.00357629 
      10.698889     0.000953682      -0.0194312      0.00643733      0.00548366 
      10.698736     0.000715259      -0.0190736       0.0082255      0.00703338 
      10.698574      0.00023842       -0.018716      0.00870234      0.00739101 
      10.698406     -0.00107289       -0.019312      0.00870234      0.00774866 
      10.698229     -0.00274183      -0.0200273      0.00882155      0.00858313 
      10.698044     -0.00429156      -0.0206233      0.00917917      0.00941759 
      10.697852     -0.00536445      -0.0206233      0.00941759       0.0101328 
      10.697652     -0.00667575      -0.0213386      0.00941759       0.0104905 
      10.697447     -0.00774866      -0.0219346      0.00917917       0.0102521 
      10.697234     -0.00882155      -0.0222923      0.00858313      0.00905996 
      10.697014      -0.0100136      -0.0224115       0.0072718      0.00703338 
      10.696755      -0.0104905      -0.0219346      0.00584128      0.00500682 
      10.696523      -0.0106097      -0.0211002      0.00452998      0.00333787 
      10.696285      -0.0103713      -0.0194312      0.00393394      0.00262262 
      10.696039      -0.0095368      -0.0174047      0.00381473      0.00274183 
       10.69579     -0.00846392      -0.0152589      0.00381473      0.00298025 
      10.695533     -0.00703338      -0.0126362      0.00345708      0.00286104 
      10.695272     -0.00584128      -0.0107289      0.00309946      0.00286104 
      10.695007     -0.00500682     -0.00894075      0.00262262      0.00226499 
      10.694734     -0.00417235      -0.0072718      0.00190736       0.0011921 
      10.694459     -0.00357629     -0.00560287       0.0011921      0.00035763 
      10.694179     -0.00286104     -0.00381473       0.0011921      0.00059605 
      10.693892     -0.00250341     -0.00250341      0.00202657      0.00154973 
      10.693604     -0.00214578     -0.00166894      0.00309946      0.00286104 
      10.693308     -0.00166894     -0.00107289      0.00405314      0.00381473 
      10.693011     -0.00131131    -0.000834469      0.00452998      0.00441077 
      10.692709     -0.00143052      -0.0011921      0.00417235      0.00405314 
      10.692401     -0.00190736     -0.00166894      0.00345708       0.0036955 
      10.692092     -0.00262262     -0.00214578      0.00226499      0.00309946 
       10.69178     -0.00321867     -0.00226499       0.0011921      0.00226499 
       10.69146     -0.00333787     -0.00166894      0.00059605      0.00202657 
       10.69114     -0.00309946    -0.000834469     0.000715259      0.00250341 
      10.690814     -0.00274183      0.00035763      0.00143052      0.00357629 
      10.690488     -0.00274183     0.000834469      0.00262262       0.0047684 
      10.690158     -0.00309946     0.000953682      0.00381473      0.00572208 
      10.689822     -0.00357629     0.000715259      0.00464919      0.00631812 
      10.689486     -0.00405314      0.00011921      0.00488761       0.0060797 
      10.689147     -0.00488761    -0.000953682      0.00429156      0.00464919 
      10.688803     -0.00596049     -0.00226499      0.00321867      0.00286104 
      10.688458     -0.00739101     -0.00417235      0.00226499      0.00143052 
      10.688108     -0.00882155     -0.00560287      0.00190736     0.000834469 
      10.687759     -0.00917917      -0.0060797      0.00190736      0.00059605 
      10.687406     -0.00882155     -0.00572208      0.00190736     0.000715259 
      10.687049      -0.0082255     -0.00488761       0.0023842      0.00143052 
      10.686692     -0.00786787     -0.00417235      0.00309946       0.0023842 
      10.686332     -0.00798708     -0.00417235      0.00393394      0.00321867 
      10.685967     -0.00810629     -0.00393394      0.00452998      0.00381473 
      10.685604     -0.00774866     -0.00333787      0.00464919      0.00452998 
      10.685235     -0.00715259     -0.00250341      0.00488761      0.00512603 
      10.684813     -0.00667575     -0.00202657      0.00464919      0.00500682 
      10.684388     -0.00643733     -0.00154973      0.00429156      0.00464919 
      10.684016     -0.00655654     -0.00143052      0.00464919      0.00441077 
      10.683642     -0.00703338     -0.00166894      0.00512603      0.00405314 
      10.683262     -0.00834471     -0.00298025      0.00584128       0.0036955 
      10.682884      -0.0095368     -0.00405314      0.00655654      0.00321867 
      10.682449      -0.0101328      -0.0047684      0.00679496      0.00262262 
      10.682068      -0.0104905     -0.00584128      0.00619891      0.00178815 
      10.681681      -0.0107289     -0.00655654      0.00524524      0.00059605 
      10.681297      -0.0110865     -0.00774866      0.00405314    -0.000953682 
      10.680907      -0.0112057     -0.00917917      0.00286104     -0.00226499 
       10.68052      -0.0114442      -0.0106097      0.00190736     -0.00286104 
      10.680074      -0.0115634      -0.0113249      0.00190736     -0.00226499 
      10.679684      -0.0113249      -0.0112057       0.0023842     -0.00143052 
      10.679288      -0.0104905      -0.0101328      0.00262262    -0.000953682 
      10.678895     -0.00941759     -0.00882155      0.00250341    -0.000953682 
      10.678501     -0.00786787     -0.00691417      0.00226499    -0.000953682 
      10.678102      -0.0060797     -0.00441077      0.00154973     -0.00143052 
      10.677705     -0.00393394     -0.00178815      0.00059605     -0.00202657 
      10.677304     -0.00190736      0.00059605      0.00023842     -0.00202657 
      10.676846     -0.00023842      0.00214578     0.000476841     -0.00154973 
      10.676446      0.00023842      0.00214578     0.000715259      -0.0011921 
      10.675986      0.00059605      0.00202657     0.000834469    -0.000953682 
      10.675583     0.000953682      0.00202657     0.000953682    -0.000476841 
      10.675176      0.00131131      0.00202657      0.00190736     0.000834469 
      10.674772      0.00166894      0.00214578      0.00250341      0.00178815 
      10.674367       0.0023842      0.00298025      0.00262262      0.00202657 
      10.673957      0.00298025      0.00345708      0.00262262      0.00226499 
       10.67355      0.00274183      0.00298025      0.00286104      0.00250341 
      10.673138      0.00190736      0.00178815      0.00286104      0.00214578 
       10.67273     0.000953682      0.00011921      0.00262262      0.00143052 
       10.67232     0.000476841    -0.000834469      0.00190736      0.00035763 
      10.671906      0.00023842     -0.00143052      0.00143052     -0.00023842 
      10.671495      0.00023842     -0.00154973      0.00107289     -0.00107289 
      10.671084      0.00059605    -0.000953682      0.00035763     -0.00226499 
      10.670667      0.00107289    -0.000715259     -0.00059605     -0.00357629 
