> Measurement made Tue Dec 12 21:57:40 2023
> Main magnet sweep  8.00000 to 10.50000 Tesla at  3.999 mT/s 
> Hysteresis correction (approximate) has been applied. 
> Main Magnet at  8.00000 T 
> ITC set at   15.000 K, T1:  15.016 K, T2: 509.100 K, T3: 324.100 K 
> For Cernox1 5.182000 Ohm corresponds to T = 999.000000 K at 0 T 
> LockIn1:   2 mV, Mod Freq 39330.000000 Hz, Phase 160.510000 degr, Ampl. 0.150000 V
>  Tc 0.300000 seconds, Slope 18/oct, Dyn Res Normal .
> LockIn2:   2 mV, Mod Freq 39330.100000 Hz, Phase -18.390000 degr, Ampl. 0.010000 V
>  Tc 0.300000 seconds, Slope 18/oct, Dyn Res Normal .
> Modulation: 27.750350 mA 
> Source Freq 307.608 GHz (dial 12.817), LO Freq 311.808 GHz (dial 3760) 
> Martin Pupplet setting 7.0 mm, Attenuator Grid 20 dB
> Source attn 20 dB, Diode reading (-20dB) 0 mV
> Reference attn 0 dB, Diode reading (-30dB) 6.5 mV
Field  Signal1_X  Signal2_X    Signal1_Y   Signal2_Y    
T  mV mV mV mV 
YMnSn same orientation par field 300 GHz 
15 K

>BEGIN
      8.0000065      -0.0197889       0.0082255      0.00739101     -0.00429156 
      8.0000255      -0.0195504      0.00798708      0.00739101     -0.00441077 
      8.0000566       -0.019312      0.00762945      0.00739101      -0.0047684 
         8.0001      -0.0191928      0.00739101       0.0072718     -0.00488761 
      8.0001544      -0.0190736      0.00703338       0.0072718     -0.00500682 
        8.00022      -0.0190736      0.00679496       0.0072718     -0.00524524 
      8.0002971      -0.0190736      0.00655654      0.00739101     -0.00536445 
       8.000384      -0.0191928      0.00643733       0.0072718     -0.00548366 
       8.000482       -0.019312      0.00631812      0.00715259     -0.00560287 
       8.000589      -0.0195504      0.00643733      0.00691417     -0.00560287 
      8.0007056      -0.0196696      0.00667575      0.00643733     -0.00560287 
      8.0008327      -0.0196696      0.00691417      0.00631812     -0.00548366 
      8.0009676      -0.0196696      0.00739101      0.00631812     -0.00536445 
      8.0011114      -0.0195504      0.00786787      0.00631812     -0.00512603 
      8.0012651       -0.019312       0.0082255      0.00643733     -0.00488761 
      8.0014257      -0.0191928      0.00858313      0.00655654      -0.0047684 
      8.0015959      -0.0190736      0.00858313      0.00655654      -0.0047684 
      8.0017723      -0.0190736      0.00846392      0.00655654     -0.00488761 
      8.0019563      -0.0190736       0.0082255      0.00655654     -0.00512603 
      8.0021494      -0.0189544      0.00798708      0.00655654     -0.00548366 
       8.002348      -0.0188352      0.00774866      0.00643733     -0.00584128 
      8.0025534       -0.018716      0.00762945      0.00655654     -0.00619891 
      8.0027675       -0.018716      0.00751021      0.00667575     -0.00643733 
      8.0029862      -0.0188352      0.00751021      0.00703338     -0.00655654 
      8.0032134      -0.0189544      0.00751021      0.00739101     -0.00655654 
      8.0034446       -0.019312      0.00762945      0.00751021     -0.00655654 
      8.0036818      -0.0196696      0.00774866      0.00739101     -0.00655654 
       8.003927      -0.0199081      0.00774866      0.00715259     -0.00655654 
      8.0041757      -0.0200273      0.00774866      0.00703338     -0.00655654 
      8.0044298      -0.0200273      0.00798708      0.00691417     -0.00631812 
      8.0046915      -0.0201465       0.0082255      0.00691417     -0.00631812 
      8.0049561      -0.0203849      0.00846392      0.00703338     -0.00643733 
      8.0052282      -0.0206233      0.00846392       0.0072718     -0.00643733 
      8.0055026      -0.0207425      0.00846392      0.00739101     -0.00631812 
      8.0057818      -0.0207425      0.00858313      0.00751021     -0.00619891 
      8.0060681      -0.0205041      0.00870234      0.00774866     -0.00631812 
      8.0063563      -0.0203849      0.00870234      0.00798708     -0.00631812 
      8.0066488      -0.0202657      0.00882155      0.00810629     -0.00631812 
      8.0069893      -0.0199081      0.00882155      0.00846392     -0.00619891 
      8.0072934      -0.0195504      0.00882155      0.00882155      -0.0060797 
      8.0075987      -0.0190736      0.00870234      0.00905996      -0.0060797 
      8.0079106       -0.018716      0.00882155      0.00929838     -0.00584128 
      8.0082696      -0.0184776      0.00905996      0.00941759     -0.00548366 
      8.0086333      -0.0183583      0.00929838      0.00917917     -0.00524524 
      8.0089541      -0.0184776      0.00929838      0.00882155     -0.00500682 
      8.0092783      -0.0185968      0.00917917      0.00858313     -0.00464919 
      8.0096088      -0.0188352      0.00894075       0.0082255     -0.00441077 
      8.0099394      -0.0190736      0.00870234      0.00810629     -0.00429156 
      8.0102731      -0.0195504      0.00846392      0.00798708     -0.00429156 
      8.0106129      -0.0201465      0.00810629      0.00810629     -0.00429156 
      8.0109525      -0.0206233      0.00774866      0.00798708     -0.00429156 
      8.0112981      -0.0211002      0.00751021      0.00798708     -0.00429156 
      8.0116432      -0.0212194      0.00739101      0.00774866     -0.00405314 
       8.011991      -0.0213386      0.00715259      0.00751021     -0.00393394 
      8.0123446      -0.0213386      0.00703338      0.00751021     -0.00381473 
      8.0126975      -0.0214578      0.00703338      0.00751021     -0.00381473 
      8.0130527       -0.021577      0.00715259      0.00751021     -0.00381473 
      8.0134137      -0.0216962       0.0072718      0.00751021     -0.00357629 
      8.0137736      -0.0216962      0.00739101      0.00739101     -0.00357629 
      8.0141391      -0.0216962      0.00739101       0.0072718      -0.0036955 
      8.0145034       -0.021577      0.00751021      0.00703338     -0.00393394 
      8.0148698       -0.021577      0.00762945      0.00691417     -0.00429156 
      8.0151874       -0.021577      0.00762945      0.00691417     -0.00441077 
      8.0155575      -0.0214578      0.00762945      0.00691417      -0.0047684 
       8.015933      -0.0212194      0.00762945      0.00667575     -0.00500682 
      8.0163069       -0.020981      0.00774866      0.00643733     -0.00512603 
      8.0166861      -0.0207425      0.00774866      0.00619891     -0.00536445 
      8.0170636      -0.0206233      0.00774866      0.00596049     -0.00548366 
      8.0174427      -0.0205041      0.00786787      0.00572208     -0.00560287 
      8.0178271      -0.0202657      0.00798708      0.00572208     -0.00584128 
      8.0182095      -0.0202657      0.00810629      0.00572208      -0.0060797 
      8.0186501      -0.0202657       0.0082255      0.00584128     -0.00631812 
      8.0190358      -0.0203849      0.00834471      0.00584128     -0.00631812 
      8.0194266      -0.0205041      0.00834471      0.00596049     -0.00631812 
      8.0198152      -0.0206233       0.0082255      0.00596049      -0.0060797 
      8.0202088      -0.0207425      0.00810629      0.00596049     -0.00596049 
      8.0206002       -0.020981      0.00786787      0.00619891     -0.00548366 
      8.0209928       -0.020981      0.00762945      0.00643733     -0.00500682 
      8.0214447      -0.0212194      0.00762945      0.00655654      -0.0047684 
      8.0218436      -0.0213386      0.00762945      0.00691417     -0.00429156 
      8.0222401      -0.0214578      0.00774866       0.0072718     -0.00381473 
      8.0226378       -0.021577      0.00774866      0.00762945     -0.00357629 
      8.0230402      -0.0216962      0.00774866      0.00798708     -0.00345708 
      8.0234401      -0.0218154      0.00762945       0.0082255     -0.00333787 
      8.0238447      -0.0218154      0.00739101      0.00858313     -0.00321867 
      8.0242466      -0.0216962       0.0072718      0.00870234     -0.00321867 
      8.0246496      -0.0212194      0.00715259      0.00870234     -0.00333787 
      8.0250572      -0.0207425      0.00715259      0.00858313     -0.00357629 
       8.025462      -0.0203849      0.00739101      0.00834471     -0.00381473 
      8.0258678      -0.0199081      0.00774866       0.0082255     -0.00393394 
      8.0262781      -0.0195504       0.0082255      0.00834471     -0.00417235 
      8.0266856       -0.019312      0.00858313       0.0082255     -0.00429156 
      8.0270977       -0.019312      0.00870234      0.00810629     -0.00452998 
      8.0275068      -0.0194312      0.00870234      0.00774866     -0.00488761 
      8.0279167      -0.0194312      0.00870234       0.0072718     -0.00524524 
